Layer[0],Layer[1],IN[2],INFER[2-2],OUT[2],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.489903,0.017921,0.116163,7.922442,0.073154,8.115568,0.005312,0.047969,0.000864,0.013601,0.000384,0.001408,0.002816,0.000576,8.704354
0.415852,0.017760,0.137316,0.511631,0.070370,0.723285,0.008160,0.048802,0.000896,0.013664,0.000352,0.001440,0.001952,0.000320,1.240324
0.396139,0.017505,0.143364,0.512175,0.067394,0.726517,0.005281,0.049761,0.000864,0.014849,0.000384,0.001728,0.001600,0.000384,1.223332
0.395052,0.017280,0.137892,0.512335,0.067170,0.720853,0.005088,0.050657,0.000832,0.014465,0.000416,0.001440,0.002016,0.000352,1.216324
0.395116,0.017409,0.138948,0.512335,0.068514,0.723509,0.005184,0.050370,0.000640,0.014400,0.000448,0.001440,0.001600,0.000448,1.219108
0.395788,0.017569,0.137700,0.512303,0.068290,0.721845,0.005184,0.048898,0.000640,0.014208,0.000384,0.001472,0.001568,0.000384,1.216196
0.395724,0.017504,0.127011,0.530448,0.073090,0.734293,0.005280,0.049026,0.000672,0.013824,0.000416,0.001504,0.001504,0.000384,1.227909
0.395403,0.017377,0.138148,0.513903,0.069570,0.725045,0.005120,0.049762,0.001056,0.013728,0.000416,0.001536,0.001537,0.000384,1.219300
0.395276,0.017761,0.126915,0.513199,0.068770,0.712917,0.005408,0.048897,0.001248,0.013920,0.000448,0.001504,0.001408,0.000384,1.207108
0.413580,0.017793,0.143140,0.521040,0.070434,0.738230,0.005504,0.048833,0.001024,0.013889,0.000448,0.001536,0.001504,0.000384,1.251077
0.395180,0.018112,0.141157,0.514959,0.069698,0.729526,0.005472,0.048898,0.001248,0.013760,0.000416,0.001632,0.001248,0.000384,1.225380
0.395659,0.017633,0.139908,0.522256,0.070274,0.736406,0.005280,0.050081,0.001217,0.014016,0.000448,0.001536,0.001376,0.000448,1.232324
0.394508,0.017568,0.137348,0.511728,0.069922,0.722678,0.005312,0.048801,0.000832,0.013537,0.000416,0.001504,0.001248,0.000352,1.215012
0.395436,0.017504,0.137316,0.512847,0.069667,0.723478,0.005440,0.049121,0.000608,0.013505,0.000416,0.001504,0.001120,0.000416,1.216356
0.395244,0.017729,0.121827,0.530640,0.084227,0.740758,0.009664,0.048769,0.000640,0.013665,0.000416,0.001568,0.001120,0.000448,1.238437
0.395019,0.017632,0.132356,0.510703,0.068866,0.715861,0.005216,0.053730,0.000608,0.013632,0.000416,0.001505,0.001184,0.000352,1.213188
