Layer[0],Layer[1],IN[2],INFER[2-3],OUT[3],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.491183,0.017920,0.107620,7.931114,0.070114,8.112848,0.049122,0.000768,0.013504,0.000416,0.001536,0.002272,0.000576,8.697729
0.396204,0.017569,0.129156,0.519439,0.068418,0.720597,0.049698,0.000832,0.013856,0.000384,0.001472,0.001280,0.000352,1.211172
0.397452,0.017409,0.134532,0.522895,0.067650,0.728277,0.048706,0.000832,0.014080,0.000384,0.001792,0.001184,0.000416,1.218180
0.396076,0.017536,0.123716,0.536944,0.086338,0.750742,0.050914,0.000864,0.014016,0.000352,0.001408,0.001121,0.000320,1.240453
0.397228,0.017504,0.131108,0.518191,0.066626,0.719253,0.049602,0.000544,0.013536,0.000384,0.001440,0.001025,0.000416,1.207460
0.395691,0.017312,0.128452,0.516815,0.063586,0.712277,0.049506,0.000512,0.013472,0.000352,0.001536,0.001088,0.000352,1.198851
0.419021,0.017312,0.130276,0.526512,0.070946,0.732534,0.049409,0.000544,0.014113,0.000384,0.001600,0.001120,0.000320,1.244261
0.395531,0.017537,0.124420,0.515887,0.063714,0.707573,0.050209,0.000544,0.013825,0.000352,0.001600,0.001184,0.000352,1.195683
0.396268,0.017504,0.129444,0.520944,0.066754,0.720438,0.049601,0.000544,0.013633,0.000352,0.001536,0.001184,0.000320,1.208452
0.395275,0.017441,0.133028,0.520143,0.066050,0.722549,0.049314,0.000544,0.013952,0.000352,0.001440,0.001152,0.000352,1.208995
0.396268,0.017249,0.132004,0.518607,0.065026,0.718965,0.048577,0.000544,0.013569,0.000416,0.001504,0.001056,0.000352,1.205156
0.395884,0.017472,0.130308,0.539504,0.084867,0.757783,0.048801,0.000512,0.013537,0.000384,0.001408,0.001120,0.000352,1.243621
0.396172,0.017632,0.131268,0.520208,0.066498,0.721398,0.048289,0.000576,0.013600,0.000352,0.001601,0.001184,0.000384,1.209988
0.395980,0.017664,0.128196,0.520144,0.067074,0.718646,0.049313,0.000544,0.013601,0.000352,0.001440,0.001088,0.000384,1.206372
0.395404,0.017312,0.139621,0.550096,0.107715,0.800792,0.047938,0.000576,0.013632,0.000384,0.001504,0.001184,0.000384,1.286374
0.397420,0.017537,0.139876,0.517711,0.066402,0.727221,0.047778,0.000512,0.013472,0.000384,0.001472,0.001056,0.000416,1.214308
0.395371,0.017825,0.151652,0.518672,0.066114,0.739926,0.048353,0.000544,0.013857,0.000352,0.001536,0.001088,0.000384,1.226116
0.411821,0.017536,0.162821,0.518255,0.067298,0.751638,0.047938,0.000544,0.013536,0.000416,0.001504,0.001184,0.000320,1.253445
0.396043,0.017505,0.133028,0.518255,0.063714,0.718197,0.047714,0.000576,0.013632,0.000384,0.001504,0.001056,0.000352,1.204451
0.395212,0.017313,0.134564,0.517167,0.065538,0.720661,0.048385,0.000544,0.013537,0.000384,0.001504,0.001024,0.000352,1.205860
0.395435,0.017409,0.121956,0.516175,0.063906,0.705333,0.047617,0.000512,0.013537,0.000320,0.001440,0.001056,0.000352,1.189859
0.395628,0.017504,0.131108,0.516751,0.064578,0.715669,0.048546,0.000544,0.013568,0.000384,0.001504,0.001056,0.000256,1.201923
0.398700,0.017761,0.139268,0.535408,0.079714,0.758294,0.049506,0.000608,0.013856,0.000384,0.001664,0.001216,0.000384,1.251397
0.397228,0.017505,0.148996,0.521231,0.068194,0.741909,0.050306,0.000640,0.013792,0.000384,0.001569,0.001152,0.000352,1.232421
0.396876,0.017569,0.131875,0.522159,0.068866,0.726197,0.050658,0.000608,0.013888,0.000352,0.001504,0.001248,0.000320,1.216388
0.413004,0.017569,0.137188,0.529999,0.070338,0.741462,0.050977,0.000608,0.013920,0.000352,0.001440,0.001120,0.000352,1.248037
0.395851,0.017376,0.129380,0.522351,0.065634,0.720725,0.048770,0.000608,0.013600,0.000416,0.001472,0.001248,0.000448,1.207779
0.395851,0.017313,0.131396,0.518159,0.065282,0.717941,0.049474,0.000576,0.013920,0.000384,0.001504,0.001088,0.000480,1.205315
0.413292,0.017536,0.135620,0.528976,0.066786,0.734646,0.049729,0.000576,0.013569,0.000352,0.001440,0.001024,0.000352,1.239749
0.395532,0.017568,0.141988,0.519184,0.064962,0.729558,0.049025,0.000576,0.013505,0.000384,0.001472,0.001088,0.000416,1.215780
0.396684,0.017632,0.123652,0.517039,0.092771,0.736630,0.049122,0.000640,0.013664,0.000384,0.001504,0.001056,0.000352,1.224484
0.395244,0.017600,0.143525,0.520431,0.066754,0.734614,0.056706,0.000640,0.013984,0.000352,0.001504,0.001024,0.000384,1.230980
0.397004,0.017440,0.133060,0.520560,0.070146,0.727446,0.048673,0.000576,0.013697,0.000416,0.001600,0.001248,0.000448,1.216580
0.396012,0.017569,0.140260,0.536400,0.085602,0.766102,0.049154,0.000672,0.013568,0.000384,0.001504,0.001249,0.000448,1.253958
0.395788,0.017408,0.142180,0.518192,0.066978,0.730710,0.048865,0.000544,0.013537,0.000352,0.001536,0.000960,0.000352,1.217476
0.395756,0.017600,0.130468,0.517487,0.066594,0.718197,0.050401,0.000736,0.013568,0.000384,0.001505,0.001152,0.000448,1.207012
0.434701,0.017600,0.133156,0.526352,0.070818,0.735286,0.049730,0.000672,0.013824,0.000384,0.001472,0.001280,0.000416,1.263301
0.396108,0.017473,0.135716,0.532719,0.082627,0.754454,0.048897,0.000608,0.013505,0.000384,0.001472,0.001152,0.000320,1.241701
0.396524,0.017409,0.143460,0.520047,0.087363,0.754870,0.050881,0.000640,0.013505,0.000416,0.001504,0.001120,0.000384,1.244581
0.395467,0.017344,0.153093,0.532079,0.073955,0.762647,0.050401,0.000576,0.013441,0.000384,0.001504,0.001024,0.000352,1.250789
0.395660,0.017409,0.167781,0.519599,0.068482,0.759126,0.051874,0.000672,0.013536,0.000352,0.001504,0.001120,0.000544,1.249349
0.396652,0.017249,0.128163,0.533584,0.070338,0.735765,0.051458,0.000576,0.013472,0.000448,0.001568,0.001217,0.000384,1.226021
0.396332,0.017632,0.135620,0.518927,0.079330,0.737430,0.048738,0.000608,0.013632,0.000384,0.001504,0.001216,0.000448,1.226788
0.397004,0.017376,0.146661,0.519311,0.070274,0.739286,0.048994,0.000576,0.014240,0.000320,0.001504,0.001088,0.000448,1.228356
0.413613,0.017504,0.140836,0.533391,0.068162,0.745718,0.048738,0.000608,0.014080,0.000384,0.001600,0.001088,0.000384,1.251301
0.397067,0.017633,0.160453,0.521903,0.074658,0.760502,0.050082,0.000608,0.013984,0.000416,0.001600,0.001281,0.000384,1.251205
0.395596,0.017376,0.135204,0.522896,0.070050,0.731574,0.048897,0.000640,0.013921,0.000384,0.001728,0.001248,0.000352,1.260453
0.395788,0.017568,0.128740,0.519151,0.069603,0.720982,0.049281,0.000640,0.014881,0.000416,0.001472,0.001120,0.000384,1.209220
0.395691,0.017345,0.136964,0.528080,0.072930,0.741206,0.052161,0.000609,0.014144,0.000384,0.001408,0.001088,0.000416,1.232100
0.395756,0.017537,0.135716,0.533744,0.076450,0.749270,0.050081,0.000608,0.013664,0.000384,0.001408,0.001120,0.000384,1.237573
0.396012,0.017536,0.133028,0.516016,0.065858,0.718614,0.055489,0.000640,0.013537,0.000384,0.001440,0.001056,0.000352,1.212740
0.395372,0.017568,0.129252,0.518607,0.064930,0.716181,0.048226,0.000576,0.013856,0.000352,0.001408,0.000864,0.000416,1.201923
0.398251,0.035041,0.139844,0.523119,0.078595,0.747190,0.049153,0.000704,0.013633,0.000384,0.001600,0.001152,0.000416,1.256613
0.395948,0.017632,0.143813,0.530703,0.069314,0.747414,0.048738,0.000608,0.013504,0.000352,0.001504,0.001120,0.000448,1.234501
0.395564,0.017600,0.128196,0.520303,0.069507,0.721334,0.049185,0.000576,0.013472,0.000352,0.001441,0.001056,0.000448,1.208132
0.395979,0.017761,0.138820,0.527728,0.075298,0.745398,0.052033,0.000608,0.013665,0.000384,0.001440,0.001088,0.000480,1.235428
0.396044,0.017793,0.138788,0.521007,0.070498,0.733653,0.049281,0.000736,0.014528,0.000320,0.001537,0.001408,0.000416,1.223685
0.395819,0.017440,0.136356,0.535152,0.077730,0.752470,0.050690,0.000672,0.013856,0.000384,0.001536,0.001216,0.000416,1.241924
0.395723,0.017345,0.142788,0.519440,0.070754,0.736150,0.049409,0.000608,0.013601,0.000384,0.001504,0.001024,0.000352,1.223044
0.395692,0.017600,0.133476,0.519728,0.067554,0.724246,0.049505,0.000576,0.013761,0.000416,0.001440,0.001088,0.000416,1.212100
0.396748,0.017440,0.132964,0.534288,0.105443,0.776247,0.049186,0.000608,0.013568,0.000320,0.001504,0.001056,0.000352,1.263941
0.396556,0.017729,0.143524,0.527408,0.077090,0.751222,0.049825,0.000608,0.013473,0.000320,0.001504,0.001024,0.000416,1.239877
0.396044,0.017665,0.138436,0.533359,0.072067,0.747414,0.048769,0.000608,0.013665,0.000352,0.001504,0.001152,0.000416,1.235461
0.411084,0.017633,0.141956,0.528240,0.075138,0.748854,0.049954,0.000640,0.013664,0.000352,0.001536,0.001056,0.000384,1.252837
0.395659,0.017601,0.126820,0.528207,0.066466,0.725077,0.050786,0.000608,0.013728,0.000352,0.001472,0.000992,0.000352,1.213667
0.395787,0.017473,0.131044,0.518127,0.094755,0.747478,0.049665,0.000640,0.013761,0.000352,0.001536,0.001184,0.000320,1.235813
0.396684,0.017473,0.126243,0.517743,0.074370,0.721653,0.050434,0.000640,0.013888,0.000352,0.001408,0.001120,0.000352,1.211780
0.397035,0.017633,0.128548,0.516431,0.073250,0.721557,0.051394,0.000640,0.013504,0.000352,0.001376,0.001056,0.000352,1.212547
0.395787,0.017409,0.134116,0.537616,0.089538,0.764534,0.050593,0.000608,0.013472,0.000416,0.001473,0.001088,0.000352,1.253061
0.395723,0.017632,0.145764,0.519152,0.075874,0.744214,0.050466,0.000608,0.014272,0.000320,0.001536,0.001024,0.000320,1.233412
0.396204,0.017729,0.133444,0.518255,0.069954,0.725013,0.049378,0.000608,0.013920,0.000416,0.001408,0.001024,0.000384,1.213412
0.413069,0.017728,0.129508,0.525072,0.079074,0.738710,0.050114,0.000640,0.013760,0.000320,0.001440,0.001024,0.000352,1.244901
0.396491,0.017569,0.137668,0.521071,0.069123,0.731574,0.049473,0.000640,0.013568,0.000385,0.001536,0.001184,0.000352,1.220484
0.396396,0.017408,0.137605,0.518287,0.066786,0.726102,0.049057,0.000576,0.014401,0.000384,0.001792,0.001088,0.000384,1.214692
0.396780,0.017408,0.138404,0.517744,0.070114,0.729494,0.049825,0.000608,0.014657,0.000384,0.001472,0.001216,0.000416,1.219428
0.396012,0.017472,0.138980,0.521072,0.070882,0.734998,0.048449,0.000609,0.013856,0.000352,0.001472,0.001184,0.000448,1.222500
0.395788,0.017505,0.141924,0.537104,0.095554,0.778167,0.049281,0.000640,0.013600,0.000384,0.001473,0.001056,0.000448,1.265382
0.395595,0.017537,0.134404,0.519151,0.079939,0.737142,0.050369,0.000608,0.013569,0.000384,0.001536,0.001184,0.000384,1.225828
0.396044,0.017408,0.130532,0.515568,0.067298,0.717046,0.050017,0.000640,0.013921,0.000352,0.001504,0.001408,0.000416,1.206564
0.411724,0.017377,0.140932,0.518575,0.072003,0.734998,0.049441,0.000608,0.013537,0.000320,0.001536,0.001184,0.000320,1.238885
0.396684,0.017440,0.128388,0.533904,0.068482,0.734006,0.048801,0.000640,0.013472,0.000352,0.001536,0.000960,0.000416,1.221444
0.396363,0.017601,0.137764,0.523215,0.077890,0.742422,0.049345,0.000576,0.014721,0.000352,0.001600,0.001184,0.000384,1.232676
0.396684,0.017696,0.131300,0.528720,0.072706,0.736470,0.050018,0.000608,0.014304,0.000384,0.001536,0.000960,0.000352,1.226244
0.395788,0.017569,0.136612,0.519471,0.069698,0.729301,0.049762,0.000640,0.013888,0.000416,0.001440,0.000960,0.000512,1.217444
0.396044,0.017377,0.143396,0.548624,0.107267,0.802999,0.050882,0.000640,0.013568,0.000384,0.001440,0.000992,0.000353,1.292391
0.396460,0.017761,0.137572,0.518511,0.069826,0.729461,0.048514,0.000608,0.013536,0.000352,0.001472,0.001216,0.000384,1.217380
0.396235,0.017569,0.137316,0.518703,0.066914,0.726165,0.049698,0.000640,0.013568,0.000384,0.001472,0.001120,0.000416,1.214660
0.395276,0.017536,0.158789,0.531984,0.066210,0.760695,0.050177,0.000608,0.013473,0.000384,0.001536,0.001120,0.000384,1.248453
0.395660,0.017504,0.142213,0.530543,0.067490,0.743926,0.056450,0.000608,0.013568,0.000384,0.001409,0.001536,0.000384,1.238469
0.396172,0.017569,0.142916,0.515183,0.067970,0.729365,0.052482,0.000608,0.013568,0.000384,0.001408,0.001088,0.000352,1.219877
0.414060,0.017761,0.167397,0.528431,0.068098,0.767254,0.051778,0.000640,0.013600,0.000384,0.001408,0.000992,0.000352,1.275878
0.396748,0.017697,0.135364,0.521871,0.068386,0.729269,0.049154,0.000608,0.013568,0.000320,0.001472,0.001344,0.000352,1.218532
0.395755,0.017633,0.133508,0.528912,0.103363,0.769815,0.051745,0.000640,0.014241,0.000352,0.001536,0.001568,0.000448,1.261253
0.396972,0.017664,0.137348,0.516527,0.066146,0.723350,0.048993,0.000576,0.014241,0.000384,0.001536,0.001280,0.000384,1.212740
0.399692,0.017633,0.140900,0.517743,0.070306,0.732181,0.050210,0.000640,0.013696,0.000384,0.001440,0.001249,0.000416,1.225285
0.396140,0.020896,0.137220,0.533712,0.089219,0.763831,0.049281,0.000672,0.013665,0.000384,0.001920,0.001152,0.000384,1.255909
0.395884,0.017696,0.144293,0.516463,0.066722,0.730710,0.049185,0.000608,0.013537,0.000384,0.001504,0.001120,0.000512,1.218404
0.398476,0.017761,0.132260,0.520687,0.065666,0.721941,0.049698,0.000608,0.013440,0.000352,0.001600,0.001120,0.000384,1.212996
0.417101,0.017632,0.141125,0.529263,0.066562,0.739894,0.048802,0.000704,0.014816,0.000384,0.001472,0.001024,0.000416,1.249861
0.395564,0.017505,0.135140,0.517167,0.075394,0.731061,0.056194,0.000672,0.013632,0.000384,0.001536,0.001184,0.000416,1.225797
0.396395,0.017472,0.132356,0.519951,0.067106,0.722837,0.048290,0.000640,0.013440,0.000384,0.001952,0.001120,0.000416,1.227844
0.396364,0.017504,0.133028,0.518832,0.066050,0.721590,0.048769,0.000640,0.013409,0.000352,0.001504,0.001184,0.000352,1.209764
0.396364,0.017697,0.138884,0.518351,0.065922,0.726325,0.048961,0.000609,0.014112,0.000384,0.001536,0.001152,0.000352,1.214916
0.396299,0.017441,0.138756,0.531280,0.087298,0.761110,0.048929,0.000672,0.013728,0.000352,0.001696,0.001057,0.000352,1.249189
0.395820,0.017472,0.133380,0.518704,0.068226,0.723862,0.050241,0.000608,0.013537,0.000384,0.001504,0.001152,0.000416,1.211620
0.395756,0.017632,0.134948,0.518480,0.068130,0.724886,0.049057,0.000672,0.013505,0.000352,0.001536,0.001216,0.000352,1.212836
0.420108,0.017473,0.147748,0.528816,0.068162,0.748278,0.048769,0.000609,0.013472,0.000352,0.001440,0.001504,0.000352,1.259397
0.397868,0.017601,0.135428,0.519823,0.071586,0.730165,0.055874,0.000640,0.013568,0.000416,0.001472,0.001184,0.000352,1.226501
0.396427,0.017665,0.138724,0.518095,0.064802,0.724949,0.050722,0.000608,0.013856,0.000384,0.001408,0.001120,0.000384,1.214979
0.396428,0.017664,0.139941,0.529807,0.069250,0.742582,0.051426,0.000608,0.013632,0.000448,0.001472,0.000992,0.000352,1.233764
0.395372,0.017600,0.144804,0.518480,0.067362,0.733750,0.051169,0.000640,0.013601,0.000352,0.001344,0.001088,0.000352,1.222660
0.396492,0.017953,0.136676,0.542224,0.119715,0.802327,0.049122,0.000640,0.013664,0.000416,0.001504,0.001248,0.000352,1.291495
0.395884,0.017632,0.137348,0.522032,0.074242,0.736758,0.050146,0.000736,0.013568,0.000384,0.001472,0.001184,0.000480,1.225412
0.395819,0.017409,0.135236,0.519023,0.073762,0.731445,0.050530,0.000576,0.014144,0.000384,0.001473,0.001056,0.000544,1.220676
0.395595,0.017600,0.165125,0.532624,0.069250,0.770583,0.049697,0.000672,0.013505,0.000416,0.001472,0.001024,0.000320,1.258597
0.396364,0.017377,0.136868,0.520239,0.067042,0.727925,0.049314,0.000608,0.013984,0.000352,0.001536,0.001184,0.000416,1.216644
0.395724,0.017664,0.147845,0.518255,0.069922,0.739030,0.050434,0.000640,0.014272,0.000352,0.001504,0.001216,0.000384,1.227908
0.395724,0.017728,0.147333,0.528719,0.069603,0.749239,0.050081,0.000640,0.013984,0.000384,0.001504,0.001152,0.000352,1.238373
0.395948,0.017536,0.135332,0.518160,0.066338,0.723222,0.049217,0.000576,0.013889,0.000352,0.001472,0.000992,0.000384,1.210916
0.396235,0.017440,0.144836,0.548305,0.083362,0.780119,0.048578,0.000640,0.014048,0.000416,0.001408,0.001184,0.000416,1.267589
0.395500,0.017632,0.138501,0.518415,0.067170,0.727094,0.049185,0.000640,0.014081,0.000352,0.001472,0.001120,0.000448,1.214628
0.396556,0.017505,0.139876,0.535984,0.069506,0.749206,0.049889,0.000609,0.013920,0.000384,0.001536,0.001152,0.000352,1.239013
0.396012,0.017665,0.162789,0.520591,0.068130,0.755542,0.050562,0.000640,0.013664,0.000384,0.001440,0.001024,0.000384,1.244549
0.395916,0.017505,0.127939,0.518095,0.068162,0.717333,0.049633,0.000640,0.013601,0.000416,0.001472,0.001088,0.000384,1.205028
0.396876,0.017536,0.134692,0.517839,0.070755,0.726422,0.049857,0.000608,0.013601,0.000384,0.001504,0.000992,0.000384,1.215300
0.413324,0.017536,0.135172,0.533295,0.069986,0.741718,0.048674,0.000640,0.013664,0.000352,0.001472,0.001216,0.000352,1.246820
0.396107,0.017472,0.141636,0.519248,0.065602,0.730134,0.049729,0.000640,0.013761,0.000384,0.001440,0.001152,0.000384,1.218628
0.395756,0.017376,0.123780,0.518511,0.064930,0.711061,0.051362,0.000608,0.032161,0.000480,0.001984,0.001280,0.000448,1.220036
0.395435,0.017600,0.142340,0.518736,0.066434,0.730806,0.049985,0.000640,0.013633,0.000352,0.001664,0.001056,0.000352,1.218820
