Layer[0],Layer[1],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.509044,0.017825,8.097089,0.001152,0.014976,0.000384,0.001504,0.002752,0.000576,8.654615
0.417648,0.017568,0.735517,0.000832,0.015649,0.000512,0.001504,0.001760,0.000352,1.200943
0.420785,0.020865,0.731133,0.001152,0.017024,0.000608,0.001601,0.000992,0.000416,1.201232
0.417264,0.017601,0.737405,0.000768,0.014817,0.000544,0.001600,0.001248,0.000352,1.200303
0.416017,0.017312,0.733789,0.000769,0.014368,0.000576,0.001568,0.001248,0.000352,1.193551
0.419793,0.017504,0.776415,0.001216,0.016865,0.000576,0.001600,0.001184,0.000384,1.247089
0.416752,0.017632,0.729373,0.000864,0.014593,0.000544,0.001536,0.001024,0.000384,1.189743
0.416080,0.017217,0.731933,0.000800,0.013920,0.000352,0.001537,0.001024,0.000320,1.190479
0.415472,0.017441,0.745053,0.000896,0.013985,0.000608,0.001440,0.000992,0.000352,1.202895
0.420497,0.017473,0.727069,0.001312,0.014912,0.000416,0.001472,0.001024,0.000352,1.191471
0.420145,0.017281,0.711452,0.000896,0.014017,0.000352,0.001440,0.001024,0.000320,1.174319
0.432721,0.017345,0.720189,0.000832,0.016256,0.000384,0.001472,0.001025,0.000384,1.197680
0.420112,0.017217,0.717181,0.001248,0.014688,0.000416,0.001472,0.000992,0.000352,1.180750
0.415569,0.017377,0.709276,0.000768,0.013824,0.000416,0.001441,0.001024,0.000352,1.167375
0.443634,0.017281,0.723868,0.000864,0.013953,0.000416,0.001504,0.001024,0.000352,1.210096
0.420817,0.017249,0.726077,0.001344,0.015360,0.000384,0.001536,0.000960,0.000352,1.191344
0.415536,0.017409,0.749918,0.000832,0.014720,0.000384,0.001600,0.001056,0.000321,1.208752
0.416560,0.017473,0.728829,0.000832,0.013889,0.000384,0.001472,0.000960,0.000352,1.187311
0.416016,0.017217,0.701596,0.000768,0.013920,0.000384,0.001441,0.000864,0.000288,1.159534
0.415728,0.017153,0.715868,0.000672,0.014464,0.000416,0.001472,0.000896,0.000320,1.174702
0.415345,0.017281,0.710908,0.000704,0.013761,0.000384,0.001472,0.000992,0.000352,1.169135
0.415664,0.017249,0.710844,0.000768,0.014081,0.000384,0.001408,0.001088,0.000384,1.169550
