Layer[0],Layer[1],IN[2],INFER[2-4],OUT[4],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.493711,0.018080,0.100483,7.987629,0.091810,8.184594,0.000768,0.014913,0.000416,0.001696,0.002880,0.000608,8.726018
0.398540,0.017889,0.153220,0.570705,0.074883,0.802712,0.020192,0.015553,0.000640,0.001920,0.001600,0.000384,1.269318
0.395852,0.017889,0.134436,0.571280,0.065346,0.774614,0.000864,0.015712,0.000384,0.001440,0.001696,0.000896,1.216356
0.394827,0.017505,0.141764,0.569713,0.073986,0.789719,0.000800,0.015105,0.000608,0.001504,0.001376,0.000576,1.230820
0.396716,0.018145,0.144228,0.585937,0.077475,0.812632,0.000704,0.015584,0.000672,0.001696,0.001472,0.000384,1.256613
0.396812,0.017921,0.138820,0.569489,0.065794,0.778039,0.000800,0.015904,0.000640,0.001760,0.001729,0.000352,1.221861
0.396939,0.017696,0.141796,0.570353,0.067522,0.783703,0.001056,0.015713,0.000416,0.001632,0.001536,0.000384,1.226692
0.414028,0.017697,0.138692,0.570353,0.073154,0.785783,0.000768,0.015009,0.000416,0.001600,0.001248,0.000416,1.244581
0.395404,0.017569,0.132131,0.565104,0.064002,0.765430,0.000992,0.014977,0.000608,0.001600,0.001344,0.000608,1.206020
0.395212,0.017792,0.140964,0.567664,0.070018,0.782679,0.000800,0.014753,0.000384,0.001632,0.001120,0.000416,1.221988
0.396204,0.017824,0.135748,0.566865,0.066914,0.773527,0.000768,0.015329,0.000384,0.001536,0.001248,0.000384,1.215204
0.396332,0.017889,0.131043,0.569969,0.069378,0.774358,0.000800,0.014880,0.000448,0.001632,0.001248,0.000352,1.215812
0.396428,0.017729,0.167973,0.588369,0.078563,0.839193,0.001024,0.015104,0.000416,0.001696,0.001472,0.000384,1.281062
0.396139,0.017569,0.136036,0.568913,0.071490,0.780279,0.000704,0.014849,0.000608,0.001568,0.001344,0.000384,1.220644
0.396300,0.017920,0.140901,0.579377,0.069922,0.793944,0.000800,0.015232,0.000640,0.001536,0.001217,0.000416,1.236229
0.417740,0.017665,0.147684,0.577489,0.067458,0.796247,0.000736,0.015073,0.000416,0.001664,0.001312,0.000416,1.259045
0.395180,0.017536,0.141413,0.569104,0.068674,0.783192,0.000864,0.014656,0.000352,0.001664,0.001120,0.000416,1.222468
0.396140,0.017889,0.136996,0.577777,0.067650,0.786231,0.001120,0.014753,0.000608,0.001472,0.001632,0.000384,1.227781
0.396748,0.017825,0.137636,0.568817,0.073378,0.783735,0.000928,0.014816,0.000384,0.001601,0.001440,0.000384,1.225445
0.396651,0.017728,0.136772,0.568881,0.066466,0.776119,0.001184,0.014817,0.000384,0.001632,0.001632,0.000384,1.218116
0.396043,0.018336,0.129316,0.586385,0.085155,0.805688,0.000960,0.015040,0.000640,0.001632,0.001185,0.000416,1.248613
0.396268,0.018016,0.140612,0.568401,0.068962,0.783543,0.000736,0.015201,0.000352,0.001632,0.001120,0.000384,1.225028
0.396364,0.017728,0.140261,0.572401,0.068386,0.784888,0.000768,0.014944,0.000352,0.001632,0.001120,0.000384,1.225700
0.417773,0.017856,0.148037,0.582673,0.073314,0.807672,0.001088,0.014977,0.000384,0.001568,0.001120,0.000416,1.271110
