Layer[0],Layer[1],IN[2],INFER[2-5],OUT[5],TEE[2-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.510287,0.017793,0.123236,7.980876,0.069474,8.179154,0.016032,0.000736,0.001824,0.002784,0.000576,8.737443
0.397516,0.017697,0.149764,0.580753,0.070274,0.805303,0.016769,0.000704,0.001792,0.001920,0.000352,1.249957
0.395052,0.017504,0.131620,0.575185,0.074882,0.785623,0.017825,0.000512,0.001568,0.001312,0.000480,1.227300
0.399724,0.035681,0.148068,0.581938,0.075298,0.809848,0.017248,0.000512,0.001664,0.001472,0.000416,1.274118
0.394987,0.017601,0.141508,0.572465,0.069442,0.787159,0.015489,0.000512,0.001536,0.001216,0.000384,1.225796
0.399820,0.018049,0.134980,0.571281,0.069890,0.779447,0.015360,0.000608,0.001632,0.001056,0.000384,1.222596
0.399980,0.017665,0.160165,0.574289,0.071074,0.810584,0.015104,0.000512,0.001472,0.000960,0.000384,1.253317
0.400236,0.017473,0.141988,0.568241,0.066562,0.780215,0.015616,0.000512,0.001504,0.000960,0.000384,1.223844
0.399916,0.017472,0.143333,0.589681,0.131780,0.869210,0.015777,0.000480,0.001408,0.001024,0.000384,1.313031
0.400107,0.017568,0.145188,0.567889,0.071458,0.787799,0.015169,0.000480,0.001440,0.000992,0.000384,1.230820
0.400267,0.017697,0.143300,0.570449,0.070946,0.788119,0.014689,0.000512,0.001440,0.001120,0.000384,1.230276
0.411372,0.017728,0.139108,0.581521,0.075778,0.801848,0.015361,0.000544,0.001472,0.001120,0.000416,1.257061
0.394924,0.017696,0.139076,0.576177,0.069922,0.789080,0.015776,0.000512,0.001472,0.001120,0.000384,1.227652
0.394667,0.017985,0.132740,0.571409,0.070018,0.777495,0.015520,0.000512,0.001536,0.000992,0.000384,1.214948
0.398859,0.017569,0.142116,0.579665,0.071395,0.796664,0.014624,0.000512,0.001504,0.000928,0.000352,1.237604
0.399691,0.017505,0.140804,0.570353,0.072290,0.786903,0.015617,0.000480,0.001504,0.001024,0.000384,1.229860
0.399499,0.017377,0.132164,0.588785,0.077507,0.801944,0.015200,0.000576,0.001504,0.001120,0.000320,1.243780
0.400268,0.017377,0.140516,0.567793,0.065666,0.777879,0.015360,0.000544,0.001536,0.001024,0.000320,1.220836
0.400075,0.017569,0.148644,0.571633,0.075491,0.799416,0.015200,0.000544,0.001568,0.001248,0.000448,1.243076
