Layer[0],Layer[1],IN[2],INFER[2-6],OUT[6],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.490382,0.017953,0.097475,7.993804,0.071106,8.166641,0.001216,0.002752,0.002593,0.000672,8.690305
0.397004,0.018017,0.143524,0.585297,0.067266,0.800151,0.000864,0.003105,0.001920,0.000352,1.229573
0.396684,0.017729,0.129732,0.582833,0.091171,0.807896,0.001024,0.003168,0.001440,0.000384,1.235045
0.396588,0.017601,0.126307,0.587378,0.064866,0.782615,0.000736,0.003104,0.001248,0.000416,1.209188
0.396108,0.017377,0.133380,0.586129,0.069250,0.792503,0.000736,0.003232,0.001280,0.000416,1.217796
0.396428,0.017537,0.142852,0.613522,0.086435,0.847545,0.000832,0.002560,0.001376,0.000384,1.273446
0.396588,0.017921,0.131427,0.585010,0.069026,0.788919,0.001152,0.002912,0.001344,0.000448,1.215332
0.396204,0.018049,0.122275,0.585010,0.066370,0.777367,0.000768,0.002912,0.001440,0.000416,1.203268
0.415660,0.017889,0.137124,0.588337,0.067746,0.797175,0.000960,0.002880,0.001312,0.000416,1.242692
0.396043,0.017569,0.134468,0.594705,0.066913,0.799704,0.000800,0.002816,0.001248,0.000448,1.224868
0.395980,0.017600,0.136740,0.593874,0.075042,0.809240,0.000832,0.002848,0.001344,0.000416,1.234021
0.396076,0.017441,0.135268,0.594033,0.068098,0.801111,0.000736,0.002784,0.001344,0.000385,1.226629
0.395788,0.017376,0.139780,0.582706,0.066466,0.792632,0.000704,0.003200,0.001344,0.000448,1.218052
0.395948,0.017505,0.122435,0.600050,0.102915,0.829208,0.001056,0.003104,0.001376,0.000384,1.254757
0.395723,0.017665,0.129476,0.593393,0.071459,0.798200,0.000800,0.002816,0.001344,0.000416,1.224004
0.397739,0.018177,0.144708,0.586674,0.077506,0.812888,0.001056,0.002848,0.001280,0.000416,1.241956
0.416140,0.017825,0.139876,0.600658,0.075938,0.820120,0.000992,0.003264,0.001312,0.000448,1.266661
0.396236,0.018081,0.127332,0.584657,0.069474,0.785783,0.000704,0.003104,0.001376,0.000352,1.212260
0.396779,0.017536,0.130596,0.588273,0.071459,0.793880,0.000736,0.005120,0.001216,0.000448,1.222468
0.395852,0.018017,0.134532,0.596593,0.073282,0.807767,0.001088,0.002944,0.001184,0.000384,1.233317
0.395820,0.017632,0.143620,0.583474,0.068194,0.798808,0.000672,0.005152,0.001280,0.000384,1.225924
0.396076,0.017921,0.137476,0.610322,0.092675,0.844377,0.000704,0.005024,0.001056,0.000448,1.271526
0.395627,0.017633,0.164709,0.593585,0.074850,0.836409,0.000704,0.002560,0.001152,0.000384,1.260549
0.396940,0.017633,0.135844,0.584337,0.074370,0.797879,0.000736,0.003136,0.001216,0.000384,1.223268
0.396652,0.017505,0.137796,0.594129,0.071810,0.807543,0.000736,0.002592,0.001312,0.000384,1.233477
0.395659,0.017632,0.120676,0.582129,0.064610,0.771095,0.000704,0.004928,0.001184,0.000384,1.197635
0.395468,0.017568,0.133124,0.584498,0.064930,0.785752,0.001024,0.005408,0.001216,0.000384,1.212260
0.411532,0.017505,0.139524,0.593586,0.067714,0.804440,0.000768,0.003104,0.001120,0.000416,1.245253
0.395916,0.017408,0.130372,0.585298,0.063585,0.783192,0.000864,0.005312,0.001280,0.000352,1.210596
0.396364,0.017312,0.133220,0.602578,0.093091,0.832793,0.000800,0.003072,0.001184,0.000352,1.257797
0.395723,0.017505,0.127876,0.593105,0.069218,0.793655,0.000672,0.005089,0.001152,0.000384,1.220452
0.395947,0.017504,0.131012,0.595698,0.066850,0.797112,0.000704,0.005312,0.001216,0.000384,1.223524
0.396268,0.017888,0.135492,0.598834,0.079810,0.818072,0.000736,0.002784,0.001153,0.000448,1.243749
0.396012,0.017505,0.126147,0.580978,0.064354,0.775063,0.000736,0.004832,0.001120,0.000384,1.201060
0.397932,0.017728,0.120228,0.585425,0.067010,0.778263,0.001152,0.002657,0.001312,0.000480,1.205956
0.415244,0.018080,0.142116,0.593778,0.076386,0.815960,0.000704,0.002432,0.001280,0.000448,1.261093
0.396459,0.017440,0.135108,0.585617,0.071107,0.795512,0.000736,0.005152,0.001152,0.000384,1.223044
0.395788,0.017856,0.124644,0.611346,0.065986,0.805880,0.000832,0.003232,0.001120,0.000320,1.231428
0.395948,0.017920,0.135716,0.598802,0.067042,0.805336,0.000736,0.003136,0.001120,0.000352,1.230500
0.395628,0.017889,0.133924,0.583793,0.065090,0.786295,0.000736,0.004832,0.000960,0.000352,1.212708
0.395628,0.017697,0.133444,0.600881,0.076835,0.815192,0.000832,0.002432,0.001184,0.000480,1.239685
0.395179,0.017697,0.133380,0.582641,0.065506,0.785431,0.000768,0.004608,0.001184,0.000384,1.211043
0.395915,0.018113,0.135108,0.583089,0.070466,0.791927,0.000640,0.002912,0.001152,0.000481,1.216676
0.395979,0.017344,0.146628,0.594706,0.065506,0.810200,0.000768,0.004800,0.001088,0.000320,1.236068
