Layer[0],Layer[1],IN[2],INFER[2-7],OUT[7],TEE[2-7],Layer[8],Layer[9],Layer[10],classifier
0.494862,0.017921,0.107875,7.997004,0.073667,8.182706,0.003360,0.013376,0.000608,8.719617
0.413004,0.018113,0.146148,0.595474,0.074274,0.821016,0.003008,0.002016,0.000384,1.264549
0.397355,0.017665,0.139652,0.588306,0.067938,0.799352,0.002688,0.001184,0.000384,1.224132
0.401419,0.017568,0.129860,0.602098,0.114019,0.849561,0.003264,0.001216,0.000704,1.279525
0.400492,0.017441,0.137060,0.585233,0.066178,0.791863,0.002848,0.000992,0.000448,1.220068
0.396428,0.017601,0.132708,0.584209,0.067938,0.788439,0.003040,0.001568,0.000416,1.213604
0.396492,0.017440,0.132964,0.603218,0.085795,0.826521,0.002848,0.001088,0.000512,1.251141
0.396235,0.017473,0.125540,0.582801,0.066114,0.777911,0.002624,0.000992,0.000480,1.200995
0.396364,0.017569,0.125731,0.582098,0.065986,0.777975,0.002752,0.001056,0.000480,1.202468
0.417420,0.017601,0.138788,0.593746,0.074978,0.810872,0.003008,0.000992,0.000512,1.256165
0.400556,0.017313,0.138660,0.585777,0.070018,0.798743,0.002528,0.001088,0.000512,1.226916
0.401004,0.017760,0.138948,0.584370,0.070018,0.797752,0.002752,0.001120,0.000480,1.245604
0.396140,0.017504,0.124804,0.583953,0.069122,0.781399,0.003296,0.001280,0.000480,1.205924
0.395659,0.017441,0.136164,0.585585,0.068130,0.793175,0.002624,0.001088,0.000448,1.216035
0.396268,0.017504,0.140069,0.598897,0.072931,0.815801,0.002848,0.001184,0.000512,1.240197
0.400268,0.017537,0.139012,0.585553,0.068290,0.796695,0.003296,0.001120,0.000480,1.225925
0.400876,0.017729,0.136964,0.585969,0.073154,0.799543,0.003328,0.000992,0.000481,1.228645
0.402508,0.034465,0.138020,0.594610,0.068130,0.803960,0.002368,0.000832,0.000480,1.250917
0.400236,0.017473,0.125379,0.584978,0.064866,0.778423,0.005312,0.001184,0.000512,1.208836
0.395787,0.017377,0.135364,0.584177,0.066754,0.789719,0.004384,0.001121,0.000448,1.214020
0.395596,0.017440,0.138308,0.592242,0.067810,0.801464,0.002656,0.001120,0.000544,1.224388
0.400940,0.017729,0.131780,0.586257,0.069282,0.790935,0.002528,0.001216,0.000416,1.220196
0.396268,0.017441,0.135140,0.601105,0.081955,0.821816,0.002816,0.001120,0.000416,1.245477
0.400523,0.017505,0.160165,0.585265,0.068706,0.817624,0.003456,0.001152,0.000416,1.246148
0.400236,0.017600,0.125380,0.582193,0.065922,0.776727,0.003457,0.001152,0.000448,1.205348
0.400780,0.017409,0.149892,0.600530,0.105411,0.859257,0.002464,0.001152,0.000480,1.286822
0.395564,0.017633,0.123939,0.593330,0.066850,0.787415,0.002656,0.001152,0.000480,1.210564
0.401612,0.017472,0.130116,0.594546,0.067138,0.795160,0.002944,0.001152,0.000352,1.223940
0.416556,0.017921,0.137796,0.591889,0.067266,0.802039,0.002624,0.001088,0.000480,1.246629
0.396812,0.017569,0.139556,0.586289,0.067938,0.797207,0.002592,0.001152,0.000512,1.221156
0.395596,0.017665,0.127395,0.583250,0.089762,0.806263,0.003008,0.001216,0.000448,1.231781
0.401324,0.017793,0.135620,0.581969,0.067970,0.788855,0.002880,0.001248,0.000416,1.218820
0.400620,0.017696,0.158789,0.584785,0.064642,0.811960,0.002528,0.001313,0.000416,1.240421
0.396588,0.017313,0.134148,0.600209,0.090530,0.831096,0.002880,0.001184,0.000576,1.257254
0.400204,0.017345,0.126563,0.585361,0.070082,0.785303,0.002784,0.001184,0.000384,1.212612
0.396300,0.017344,0.122820,0.585297,0.067842,0.779191,0.002624,0.001152,0.000384,1.202403
0.417581,0.017440,0.137668,0.593394,0.070786,0.805368,0.004192,0.001056,0.000384,1.251237
0.401740,0.017504,0.134564,0.584722,0.072642,0.795544,0.002336,0.001056,0.000448,1.225220
0.400332,0.017600,0.156965,0.579953,0.070818,0.813304,0.004384,0.001025,0.000416,1.242789
0.400844,0.017569,0.135748,0.583697,0.069986,0.793335,0.005376,0.001184,0.000544,1.225636
0.400268,0.017569,0.105475,0.597713,0.070979,0.778103,0.003360,0.001216,0.000352,1.206372
0.399308,0.017440,0.139204,0.623283,0.092227,0.858778,0.002880,0.001216,0.000352,1.286342
0.396811,0.017344,0.137540,0.584017,0.067010,0.792087,0.003233,0.001248,0.000384,1.216676
0.396748,0.017601,0.135940,0.582897,0.068642,0.792119,0.003360,0.001088,0.000384,1.218148
0.396075,0.017313,0.147396,0.598034,0.071138,0.822136,0.003424,0.001184,0.000480,1.247588
0.397196,0.017664,0.141861,0.584689,0.066882,0.796568,0.002784,0.001088,0.000480,1.221028
0.400492,0.017633,0.140644,0.582929,0.065282,0.792631,0.003840,0.001120,0.000384,1.222436
0.412396,0.017729,0.140292,0.593490,0.068002,0.805048,0.003456,0.001216,0.000480,1.246149
0.400587,0.017313,0.143236,0.586098,0.066690,0.799160,0.002656,0.001056,0.000320,1.226788
0.400684,0.017537,0.133732,0.605586,0.079074,0.822040,0.002976,0.001344,0.000480,1.250565
0.396236,0.020897,0.144740,0.585809,0.069250,0.803607,0.003360,0.001152,0.000384,1.231780
0.396108,0.017761,0.133284,0.585713,0.068194,0.790583,0.002752,0.001280,0.000416,1.214916
0.395916,0.017600,0.138629,0.605329,0.097122,0.844601,0.003361,0.001216,0.000384,1.268518
0.400588,0.017441,0.143684,0.585137,0.070050,0.802199,0.003329,0.001120,0.000384,1.230661
0.396236,0.017345,0.133092,0.582577,0.066210,0.785943,0.003168,0.001024,0.000320,1.209700
0.416044,0.017793,0.140388,0.595122,0.069122,0.808376,0.003296,0.001056,0.000416,1.252773
0.401387,0.017312,0.127876,0.582801,0.065666,0.779671,0.002560,0.001248,0.000416,1.207651
0.400076,0.017984,0.139332,0.583474,0.065506,0.791384,0.002496,0.001056,0.000352,1.218340
0.400108,0.017408,0.128484,0.583985,0.065793,0.781559,0.003169,0.001184,0.000384,1.209284
0.401388,0.017761,0.142660,0.582577,0.066690,0.795255,0.003296,0.001184,0.000416,1.225253
0.396812,0.017793,0.123875,0.601746,0.083779,0.812760,0.002944,0.001408,0.000448,1.238149
0.396364,0.017537,0.139012,0.584529,0.068354,0.795031,0.003072,0.001280,0.000384,1.219076
0.400844,0.017312,0.152421,0.597618,0.070498,0.824697,0.003264,0.001184,0.000448,1.253989
0.396395,0.038882,0.135140,0.592561,0.075586,0.807095,0.003041,0.001216,0.000416,1.253381
0.396460,0.017505,0.136900,0.584913,0.069634,0.794839,0.003168,0.001184,0.000416,1.218884
0.395532,0.017600,0.134340,0.583313,0.073122,0.794104,0.003072,0.001120,0.000320,1.216420
0.398476,0.017344,0.122756,0.591506,0.068098,0.785496,0.003008,0.001120,0.000480,1.211396
0.395947,0.017537,0.128964,0.583505,0.066370,0.782775,0.002816,0.001056,0.000448,1.206947
0.395307,0.017473,0.124036,0.597617,0.071042,0.795895,0.003489,0.001024,0.000448,1.218372
0.395692,0.017568,0.124292,0.578417,0.064706,0.770359,0.004704,0.001152,0.000384,1.194979
0.398220,0.017665,0.137828,0.584945,0.076962,0.803671,0.002752,0.001281,0.000448,1.230501
0.395532,0.017568,0.136868,0.620947,0.078114,0.839577,0.003040,0.001248,0.000480,1.263621
0.400588,0.017505,0.137732,0.582449,0.067842,0.791415,0.002592,0.001088,0.000384,1.218788
0.396332,0.018017,0.132835,0.583537,0.067074,0.786839,0.002720,0.001536,0.000416,1.211332
0.413708,0.017633,0.138404,0.592817,0.069475,0.804216,0.002432,0.001120,0.000384,1.245285
