Layer[0],Layer[1],IN[2],INFER[2-8],OUT[8],TEE[2-8],Layer[9],Layer[10],classifier
0.515280,0.018016,0.104995,7.996013,0.072130,8.177106,0.013568,0.000672,8.731106
0.399276,0.017665,0.140708,0.588849,0.066530,0.800439,0.002561,0.000640,1.226949
0.396780,0.017793,0.124963,0.605106,0.084323,0.818136,0.001952,0.000608,1.240165
0.396843,0.017697,0.123812,0.587505,0.067906,0.782967,0.001504,0.000384,1.204163
0.396747,0.017568,0.121316,0.596337,0.066274,0.787831,0.001920,0.000448,1.209891
0.414316,0.017473,0.132484,0.596946,0.069634,0.802168,0.001824,0.000416,1.241381
0.396396,0.017633,0.141508,0.597842,0.067266,0.810328,0.001664,0.000608,1.231781
0.396236,0.017472,0.130916,0.584177,0.071843,0.790616,0.001568,0.000448,1.211972
0.396140,0.017632,0.113508,0.594961,0.066626,0.780087,0.001344,0.000416,1.200868
0.396812,0.017441,0.143428,0.586033,0.068194,0.801239,0.001601,0.000448,1.223269
0.396908,0.017761,0.135844,0.608370,0.082978,0.831352,0.001664,0.000416,1.254501
0.396012,0.017633,0.132003,0.585298,0.066690,0.788151,0.001504,0.000480,1.209316
0.395884,0.017600,0.142340,0.586162,0.065474,0.797304,0.001504,0.000448,1.217892
0.397548,0.017568,0.162981,0.602834,0.065986,0.835033,0.001600,0.000480,1.257477
0.396204,0.017504,0.140708,0.583826,0.065602,0.794040,0.001504,0.000448,1.214916
0.396012,0.017440,0.134180,0.594226,0.065634,0.797368,0.001376,0.000448,1.216836
0.414860,0.017441,0.130660,0.593745,0.066369,0.794039,0.001536,0.000448,1.233381
0.395724,0.017408,0.132612,0.589170,0.067522,0.792792,0.001536,0.000448,1.213060
0.395915,0.017633,0.124292,0.584465,0.098275,0.810744,0.001536,0.000448,1.231844
0.396140,0.017632,0.139684,0.585362,0.069218,0.797848,0.001376,0.000384,1.218596
0.395756,0.017537,0.130147,0.584370,0.067714,0.786007,0.001440,0.000448,1.207364
0.395947,0.017537,0.139588,0.601010,0.075906,0.820088,0.001472,0.000448,1.240612
0.395820,0.017600,0.136068,0.596786,0.071490,0.807480,0.001376,0.000448,1.227492
0.396140,0.017345,0.136036,0.585041,0.066146,0.790359,0.001440,0.000480,1.210980
0.419564,0.017377,0.120483,0.599794,0.065890,0.789431,0.001216,0.000416,1.232964
0.396172,0.017473,0.135812,0.582833,0.069730,0.792407,0.001280,0.000480,1.212612
0.395915,0.017569,0.127684,0.584561,0.064866,0.780471,0.001280,0.000352,1.200675
0.395948,0.017568,0.127012,0.592818,0.067138,0.790232,0.001472,0.000480,1.210884
0.395692,0.017441,0.138980,0.582801,0.067682,0.792759,0.001344,0.000448,1.212804
0.395436,0.017409,0.134244,0.600081,0.081571,0.819416,0.001408,0.000416,1.238757
0.396428,0.017344,0.142148,0.592305,0.070178,0.808951,0.001632,0.000448,1.231109
0.396332,0.017441,0.128676,0.585137,0.067362,0.784951,0.001472,0.000384,1.205700
0.396139,0.017409,0.139140,0.613170,0.101187,0.858425,0.001312,0.000512,1.280261
0.396396,0.017568,0.121668,0.585137,0.064194,0.774167,0.001472,0.000416,1.195427
0.395660,0.017728,0.142949,0.585169,0.072322,0.803800,0.001472,0.000416,1.225028
0.413132,0.017473,0.144868,0.595858,0.071010,0.814776,0.001440,0.000480,1.252549
0.395884,0.017345,0.139748,0.587697,0.070178,0.800951,0.001472,0.000416,1.221540
0.396747,0.017537,0.139588,0.586673,0.065889,0.795415,0.001280,0.000416,1.216292
0.395756,0.017569,0.125283,0.583506,0.065506,0.777303,0.001344,0.000448,1.197572
0.395436,0.017409,0.135524,0.585905,0.064898,0.789879,0.001376,0.000416,1.210116
0.395947,0.017857,0.133092,0.618002,0.086435,0.841785,0.001664,0.000736,1.264101
0.396875,0.017761,0.136324,0.591026,0.069378,0.800152,0.001440,0.000416,1.222084
0.395948,0.017568,0.140932,0.587217,0.074690,0.806679,0.001536,0.000384,1.227108
0.396043,0.017441,0.161989,0.600593,0.066657,0.832825,0.001376,0.000416,1.253381
0.396524,0.017408,0.140068,0.586162,0.066178,0.795928,0.001536,0.000640,1.217540
0.396940,0.017537,0.141444,0.586705,0.066370,0.797943,0.001600,0.000416,1.219684
0.413708,0.017441,0.144228,0.598194,0.074594,0.820632,0.001472,0.000416,1.259269
0.397259,0.017408,0.126116,0.585201,0.071074,0.785719,0.001536,0.000448,1.207523
0.395915,0.017504,0.132132,0.607122,0.082434,0.825432,0.001536,0.000448,1.246149
0.395788,0.017376,0.129604,0.586769,0.067842,0.787671,0.001729,0.000448,1.207748
0.398348,0.017952,0.132452,0.586770,0.066978,0.789976,0.001664,0.000448,1.214180
0.396971,0.017793,0.141828,0.620114,0.081027,0.846393,0.001888,0.000384,1.269061
0.396555,0.017793,0.127908,0.584753,0.065890,0.781783,0.001728,0.000448,1.204483
0.397676,0.017696,0.128676,0.586801,0.063778,0.782647,0.001408,0.000448,1.205283
0.413516,0.017473,0.140676,0.596946,0.068450,0.809400,0.001856,0.000448,1.248165
0.395980,0.017504,0.135012,0.582770,0.074082,0.794968,0.001696,0.000320,1.215684
0.395180,0.017504,0.141445,0.583729,0.070050,0.798936,0.001504,0.000448,1.237125
0.395883,0.017664,0.137636,0.586321,0.065345,0.792823,0.001472,0.000416,1.212612
0.395564,0.017504,0.141732,0.585330,0.065634,0.796568,0.001376,0.000416,1.217060
