Layer[0],Layer[1],TEE[2-9],Layer[10],classifier
0.534485,0.017665,8.116159,0.001024,8.677365
0.420305,0.017473,0.744317,0.000768,1.189903
0.417809,0.017280,0.723357,0.000736,1.164846
0.417681,0.017441,0.748893,0.000768,1.189359
0.417040,0.017473,0.724540,0.000768,1.165038
0.417808,0.017312,0.771871,0.000736,1.212848
0.417489,0.017728,0.743966,0.000768,1.184655
0.417361,0.017632,0.748990,0.000800,1.193135
0.417105,0.017440,0.745278,0.000928,1.185935
0.414929,0.017568,0.751742,0.000640,1.190319
0.416081,0.017537,0.769950,0.000704,1.209904
0.416176,0.017441,0.777726,0.000704,1.218319
0.415984,0.017473,0.759614,0.000768,1.200143
0.416208,0.017281,0.755038,0.000704,1.195503
0.437105,0.017409,0.741629,0.000704,1.203119
0.416593,0.017376,0.749758,0.000608,1.189807
0.416432,0.017537,0.749341,0.000704,1.189582
0.415760,0.017441,0.737085,0.000704,1.177550
0.416112,0.017312,0.752862,0.000672,1.193423
0.416048,0.017441,0.780255,0.000864,1.220464
0.416241,0.017568,0.756669,0.000800,1.198095
0.415888,0.017344,0.755070,0.000736,1.194991
0.416528,0.017345,0.784831,0.000640,1.225456
0.417360,0.017633,0.747069,0.000704,1.189007
0.416977,0.017472,0.752477,0.000672,1.193999
0.433810,0.017312,0.752638,0.000768,1.210768
0.417297,0.017537,0.749149,0.000736,1.190319
0.417264,0.017601,0.756958,0.000672,1.199823
0.417361,0.017504,0.754686,0.000640,1.196367
0.416720,0.017312,0.745406,0.000736,1.186703
0.416689,0.017472,0.782175,0.000832,1.224048
0.415793,0.017537,0.752189,0.000800,1.192303
0.416624,0.017345,0.752126,0.000672,1.192687
0.416465,0.017377,0.771998,0.000800,1.213104
0.417361,0.017569,0.750237,0.000608,1.191375
0.416913,0.017345,0.742909,0.000672,1.183599
0.434417,0.017408,0.741661,0.000640,1.200208
0.415793,0.017377,0.754589,0.000736,1.195407
0.416081,0.017344,0.754494,0.000704,1.194607
0.416496,0.017409,0.757406,0.000704,1.198287
0.416753,0.017409,0.744477,0.000672,1.185583
0.416336,0.017473,0.765150,0.000736,1.205551
0.416945,0.017312,0.743326,0.000640,1.184079
0.415888,0.017569,0.748222,0.000672,1.188207
0.416848,0.017472,0.782143,0.000832,1.223984
0.416752,0.017504,0.753342,0.000672,1.194479
0.416945,0.017536,0.750621,0.000704,1.191439
0.433073,0.017569,0.741085,0.000800,1.199599
0.416976,0.017345,0.750365,0.000640,1.191119
0.416113,0.017344,0.746333,0.000672,1.187151
0.416241,0.017473,0.752893,0.000704,1.194063
0.415728,0.017377,0.753470,0.000608,1.193039
0.415889,0.017505,0.778814,0.000768,1.218256
0.416304,0.017537,0.750078,0.000672,1.190063
0.416721,0.017345,0.755357,0.000672,1.195599
0.416400,0.017537,0.772703,0.000704,1.213264
0.415984,0.017633,0.750974,0.000608,1.191087
0.416465,0.017537,0.761726,0.000704,1.202928
0.449938,0.017633,0.756702,0.000768,1.231025
0.418288,0.017441,0.754781,0.000672,1.198095
0.415345,0.017376,0.748638,0.000608,1.188367
0.417296,0.017472,0.755550,0.000736,1.196911
0.416433,0.017537,0.745245,0.000640,1.185551
0.416272,0.017376,0.817664,0.000832,1.257970
0.416656,0.017569,0.753854,0.000640,1.194127
0.416433,0.017377,0.755005,0.000672,1.195247
0.416112,0.017441,0.767870,0.000736,1.207567
0.416720,0.017313,0.757694,0.000672,1.199119
0.415888,0.017697,0.751773,0.000736,1.191951
0.435761,0.017793,0.749821,0.000672,1.210928
0.416400,0.017536,0.751358,0.000704,1.191471
0.417041,0.017568,0.747358,0.000640,1.187855
0.415632,0.017473,0.780767,0.000736,1.220944
0.416497,0.017633,0.747229,0.000640,1.187663
0.417232,0.017537,0.766270,0.000672,1.207407
0.417200,0.017569,0.755006,0.000736,1.196527
0.416561,0.017473,0.758397,0.000672,1.200239
0.417713,0.017793,0.793215,0.000768,1.235153
0.416849,0.017345,0.754621,0.000640,1.195791
0.416368,0.017632,0.756830,0.000704,1.198031
0.435889,0.017633,0.762686,0.000608,1.223184
0.416017,0.017537,0.754429,0.000640,1.194863
0.415856,0.017505,0.742365,0.000704,1.181934
0.415952,0.017377,0.753981,0.000705,1.193551
0.416177,0.017568,0.755805,0.000704,1.196015
0.415408,0.017409,0.795167,0.000736,1.233936
0.416881,0.017633,0.745789,0.000640,1.188111
0.416881,0.017473,0.764926,0.000768,1.206224
0.417041,0.017345,0.799583,0.000704,1.240945
0.416176,0.017633,0.766238,0.000736,1.207631
0.416304,0.017505,0.752062,0.000704,1.191983
0.434417,0.017473,0.744861,0.000640,1.203631
0.416625,0.017536,0.737981,0.000672,1.178607
0.416144,0.017472,0.752702,0.000704,1.192751
0.416720,0.017441,0.758206,0.000736,1.198831
0.416401,0.017312,0.743998,0.000704,1.184143
0.416657,0.017504,0.770847,0.000672,1.212624
0.416432,0.017313,0.753598,0.000800,1.193903
0.416689,0.017440,0.765439,0.000800,1.206384
0.416305,0.017313,0.797087,0.000800,1.237457
0.415344,0.017249,0.739997,0.000672,1.178414
0.415760,0.017345,0.728381,0.000608,1.167566
0.431025,0.017376,0.722077,0.000608,1.176110
0.415280,0.017473,0.740637,0.000608,1.178542
0.415920,0.017441,0.750013,0.000736,1.189359
0.416112,0.017249,0.747453,0.000672,1.186766
0.415440,0.017281,0.747581,0.000832,1.187278
0.418801,0.017889,0.854625,0.001344,1.304659
0.415760,0.017665,0.735773,0.000576,1.175566
0.420401,0.018017,0.827264,0.001184,1.276146
0.416496,0.017729,0.766526,0.000768,1.207183
0.416112,0.017505,0.740605,0.000704,1.179534
0.415728,0.017665,0.741821,0.000608,1.180686
0.434001,0.017377,0.738653,0.000704,1.195439
0.415761,0.017312,0.727165,0.000640,1.165742
0.415345,0.017600,0.739646,0.000704,1.177935
0.415920,0.017665,0.741277,0.000576,1.181678
0.415985,0.017664,0.741246,0.000736,1.180783
0.416241,0.017632,0.758397,0.000704,1.198991
0.417104,0.017313,0.736253,0.000672,1.177006
0.417297,0.017504,0.740381,0.000641,1.181039
0.415601,0.017280,0.760766,0.000640,1.199247
0.415024,0.017249,0.739485,0.000672,1.177294
0.415824,0.017537,0.733693,0.000736,1.173550
0.416400,0.017761,0.757502,0.000704,1.197487
0.415953,0.017376,0.738845,0.000608,1.177423
0.417616,0.017825,0.756830,0.000832,1.200303
0.447538,0.017793,0.742973,0.000928,1.215632
0.416016,0.017504,0.750878,0.000640,1.191663
0.415952,0.017729,0.755805,0.000800,1.197167
0.415984,0.017536,0.739069,0.000768,1.178766
0.415409,0.017312,0.742141,0.000640,1.180175
0.416304,0.017728,0.762974,0.000640,1.202607
0.416016,0.017473,0.737213,0.000672,1.175982
0.416369,0.017377,0.737821,0.000640,1.177039
0.415824,0.017761,0.771550,0.000800,1.210895
0.415088,0.017505,0.747453,0.000768,1.187151
0.415665,0.017696,0.751902,0.000608,1.190639
0.415696,0.017313,0.762974,0.000608,1.202767
0.416081,0.018145,0.742045,0.000576,1.181839
0.416528,0.017472,0.742301,0.000672,1.181455
0.434961,0.017601,0.741341,0.000672,1.199247
0.417104,0.017569,0.741501,0.000608,1.181294
0.415185,0.017760,0.743550,0.000576,1.181679
0.432913,0.017377,0.732348,0.000672,1.187598
0.417265,0.017313,0.745373,0.000544,1.184847
0.416816,0.017760,0.758014,0.000672,1.201167
0.415889,0.017888,0.755486,0.000704,1.197135
0.417008,0.017537,0.752253,0.000640,1.194158
0.416241,0.017376,0.751806,0.000832,1.190863
0.415952,0.017569,0.739005,0.000640,1.178446
0.415792,0.017472,0.734141,0.000608,1.173326
0.416240,0.017601,0.753853,0.000544,1.192943
0.416592,0.017601,0.752349,0.000769,1.193359
0.414993,0.018176,0.731869,0.000640,1.170382
0.437969,0.017889,0.746237,0.000736,1.209871
0.416560,0.017761,0.748574,0.000800,1.190031
0.416112,0.017633,0.741437,0.000576,1.181550
0.432113,0.017536,0.757534,0.000640,1.213679
0.416208,0.017472,0.736669,0.000576,1.175566
0.415825,0.017408,0.718909,0.000576,1.157294
0.415760,0.017857,0.763230,0.000800,1.203983
0.416081,0.017600,0.713884,0.000608,1.152365
0.415825,0.017889,0.757661,0.000832,1.196303
0.415664,0.017601,0.725885,0.000576,1.163918
0.416112,0.017313,0.745661,0.000672,1.185710
0.416272,0.017409,0.774014,0.000768,1.212943
0.415536,0.017217,0.743805,0.000576,1.181262
0.415728,0.017409,0.740701,0.000672,1.179182
0.416432,0.017665,0.762590,0.000704,1.201263
0.416209,0.017408,0.715197,0.000608,1.153518
0.416304,0.017825,0.726428,0.000640,1.166126
0.414992,0.017697,0.747869,0.000832,1.185519
0.415792,0.017569,0.723741,0.000544,1.162030
0.415472,0.017249,0.717660,0.000640,1.154701
0.431441,0.017793,0.740221,0.000608,1.196527
0.415920,0.018177,0.748094,0.000544,1.188623
0.416176,0.017696,0.723133,0.000512,1.162190
0.432113,0.017568,0.743037,0.000704,1.199216
0.415793,0.017408,0.737213,0.000672,1.176910
0.415856,0.017632,0.741725,0.000737,1.182575
0.417136,0.017505,0.746621,0.000864,1.188687
0.416240,0.017569,0.771838,0.000608,1.211216
0.415984,0.017312,0.726141,0.000608,1.164302
0.462162,0.017440,0.738974,0.000608,1.224016
0.415760,0.017473,0.748861,0.000928,1.189902
0.416528,0.017729,0.790687,0.000896,1.231408
0.415953,0.017536,0.748414,0.000736,1.187823
0.417392,0.017569,0.752509,0.000736,1.194126
0.436785,0.017633,0.735485,0.000736,1.195151
0.415472,0.017697,0.747389,0.000736,1.186095
0.417360,0.017889,0.747869,0.000736,1.188110
0.428977,0.017537,0.739261,0.000672,1.191183
0.417104,0.017633,0.752734,0.000672,1.192623
0.416656,0.017601,0.748253,0.000736,1.187534
0.416656,0.017729,0.741501,0.000832,1.183118
0.417073,0.017473,0.735965,0.000608,1.175951
0.415408,0.017825,0.783775,0.000768,1.222256
0.415953,0.017473,0.724924,0.000704,1.164238
0.415664,0.017633,0.764446,0.000672,1.202607
0.416144,0.017217,0.755997,0.000704,1.194287
0.426193,0.017505,0.818848,0.000736,1.267666
0.415952,0.017601,0.756317,0.000641,1.195791
0.415728,0.017505,0.739869,0.000704,1.178542
0.416048,0.017537,0.722588,0.000608,1.161517
0.415728,0.017665,0.736957,0.000800,1.177678
0.432817,0.017313,0.753405,0.000544,1.209487
0.415376,0.017697,0.741181,0.000736,1.179918
0.415825,0.017536,0.750142,0.000672,1.188975
0.434833,0.017601,0.739837,0.000672,1.198863
0.416272,0.017633,0.740669,0.000640,1.180782
0.416241,0.017824,0.757214,0.000736,1.197455
0.415889,0.017505,0.736125,0.000704,1.175791
0.416209,0.017600,0.747549,0.000736,1.187471
0.416049,0.017536,0.767199,0.000704,1.207344
0.417745,0.017729,0.754205,0.000672,1.197327
0.415920,0.017568,0.750398,0.000704,1.190223
0.416688,0.017537,0.769086,0.000704,1.210319
0.415793,0.017505,0.743101,0.000672,1.182031
0.416144,0.017793,0.738333,0.000672,1.177838
0.432689,0.017569,0.745853,0.000608,1.202160
0.417232,0.017505,0.737565,0.000736,1.178894
0.417136,0.017601,0.746973,0.000736,1.187694
0.432177,0.017601,0.743997,0.000928,1.199503
