Layer[0],Layer[1],IN[2],INFER[2-9],OUT[9],TEE[2-9],Layer[10],classifier
0.494958,0.018081,0.120451,8.004909,0.066978,8.197362,0.000960,8.716993
0.398315,0.017856,0.152933,0.593553,0.079491,0.830841,0.000736,1.254213
0.397388,0.017761,0.131843,0.594898,0.098595,0.829432,0.000800,1.250277
0.396171,0.017952,0.146724,0.590769,0.067554,0.809240,0.000704,1.229380
0.396332,0.017665,0.142020,0.590577,0.066305,0.802968,0.000736,1.222725
0.396204,0.017504,0.141733,0.608818,0.076866,0.832249,0.000768,1.251813
0.396492,0.017632,0.144100,0.590194,0.068770,0.807224,0.000800,1.227748
0.396620,0.017696,0.144005,0.605042,0.068322,0.822041,0.000704,1.242821
0.420077,0.017664,0.142309,0.606322,0.068226,0.821433,0.000768,1.265766
0.396556,0.017665,0.137636,0.590545,0.065666,0.797815,0.000736,1.218404
0.395884,0.017536,0.140037,0.603697,0.091811,0.840217,0.000704,1.260037
0.395723,0.017569,0.133892,0.601682,0.067874,0.807480,0.000704,1.226660
0.396299,0.017825,0.137316,0.591921,0.066273,0.799384,0.000672,1.219588
0.396972,0.017696,0.128900,0.621971,0.077026,0.833049,0.000608,1.253733
0.395692,0.017569,0.135044,0.587665,0.066530,0.793527,0.000704,1.212132
0.395339,0.017825,0.144740,0.590514,0.066306,0.805912,0.000704,1.225604
0.412748,0.017633,0.133988,0.604113,0.069346,0.811352,0.000736,1.247589
0.396043,0.017601,0.138052,0.590002,0.065922,0.798136,0.000672,1.217924
0.396108,0.017728,0.136516,0.600530,0.065058,0.806232,0.000672,1.225636
0.396652,0.017601,0.129188,0.589233,0.064482,0.786807,0.000640,1.207300
0.395436,0.017601,0.130275,0.587442,0.072098,0.793943,0.000640,1.212612
0.396428,0.017568,0.126884,0.600978,0.070178,0.802296,0.000640,1.221636
0.395532,0.017729,0.131876,0.586385,0.063298,0.785495,0.000640,1.204484
0.396588,0.017600,0.153157,0.586129,0.062786,0.805912,0.000640,1.225508
0.395884,0.017760,0.139109,0.608530,0.122627,0.874938,0.000704,1.294982
0.396747,0.017697,0.114435,0.600626,0.068738,0.788631,0.000864,1.208387
0.395500,0.017664,0.132644,0.592498,0.067394,0.796792,0.000704,1.215844
0.414316,0.017920,0.134180,0.602641,0.067842,0.810392,0.000736,1.249317
0.395756,0.017697,0.147620,0.601714,0.068098,0.823000,0.000768,1.242021
0.396044,0.017825,0.136964,0.606482,0.103171,0.851353,0.000800,1.272006
0.396300,0.017408,0.132387,0.591698,0.072834,0.801111,0.000736,1.220644
0.396172,0.017632,0.142532,0.589586,0.067490,0.804088,0.000704,1.224708
0.396524,0.017568,0.138660,0.606802,0.070978,0.820952,0.000736,1.241317
0.396460,0.017728,0.136901,0.589809,0.069122,0.799832,0.000736,1.220388
0.396332,0.017600,0.135684,0.589458,0.071138,0.800056,0.000608,1.218820
0.414636,0.017856,0.134628,0.599026,0.077282,0.814745,0.000640,1.252965
0.395979,0.017792,0.121700,0.590897,0.069794,0.786455,0.000672,1.206467
0.396075,0.017921,0.122148,0.600369,0.066178,0.792951,0.000704,1.212675
0.395979,0.017889,0.131300,0.604242,0.064994,0.804760,0.000608,1.224356
0.395980,0.017472,0.131460,0.589010,0.065730,0.790200,0.000704,1.209508
0.395916,0.017632,0.137380,0.605842,0.080195,0.827737,0.000640,1.246789
0.395660,0.017600,0.122723,0.586258,0.065922,0.779031,0.000704,1.198084
0.395947,0.017569,0.128900,0.586321,0.064482,0.783575,0.000672,1.202659
0.396236,0.017569,0.146660,0.615122,0.064610,0.830584,0.000736,1.249797
0.395692,0.017697,0.124355,0.586706,0.064578,0.779959,0.000672,1.198468
0.395435,0.017536,0.128612,0.588081,0.064386,0.785207,0.000672,1.203523
0.412652,0.017888,0.145988,0.599122,0.068738,0.818424,0.000736,1.255205
0.396395,0.017665,0.161253,0.586705,0.065538,0.817816,0.000704,1.237156
0.395788,0.017601,0.143492,0.586065,0.082051,0.815864,0.000704,1.235013
0.396300,0.017889,0.130820,0.593841,0.066690,0.795287,0.000672,1.215012
0.395371,0.017569,0.140100,0.588273,0.066050,0.798583,0.000640,1.216868
0.397164,0.017953,0.136548,0.610514,0.079170,0.831448,0.000704,1.252869
0.396428,0.017568,0.115204,0.603122,0.066274,0.788984,0.000672,1.208100
0.396620,0.017600,0.137988,0.604465,0.065730,0.812120,0.000736,1.232356
0.418796,0.017696,0.142692,0.604018,0.072610,0.823512,0.000672,1.266054
0.396076,0.017568,0.137348,0.591569,0.065922,0.798679,0.000704,1.217828
0.396908,0.017889,0.137060,0.593489,0.074211,0.809016,0.000704,1.230021
0.396107,0.017601,0.139204,0.593266,0.072866,0.810648,0.000704,1.229572
0.396203,0.017984,0.148997,0.593137,0.064546,0.811928,0.000704,1.231972
0.396012,0.017792,0.126884,0.611922,0.077474,0.820889,0.000768,1.240165
0.396364,0.017473,0.142468,0.602194,0.065090,0.815480,0.000672,1.234469
0.395980,0.017665,0.105891,0.597170,0.063873,0.771190,0.000704,1.190212
0.396972,0.017760,0.109860,0.622130,0.077826,0.814745,0.000704,1.234789
0.395436,0.017600,0.145413,0.604114,0.066050,0.819513,0.000704,1.237797
0.395692,0.018016,0.115492,0.596881,0.065921,0.782456,0.000672,1.201476
0.410540,0.017888,0.106019,0.584594,0.064674,0.759287,0.000576,1.192963
0.396395,0.017761,0.130820,0.592305,0.073251,0.800504,0.000672,1.220420
0.395819,0.017696,0.130788,0.589137,0.062818,0.787031,0.000704,1.205891
0.395948,0.017825,0.121123,0.593394,0.067586,0.786199,0.000736,1.205700
0.396428,0.017729,0.127876,0.587729,0.062146,0.781943,0.000704,1.201060
0.395499,0.017825,0.112451,0.613618,0.074691,0.804952,0.000736,1.223684
0.396076,0.017601,0.109251,0.585425,0.062178,0.760822,0.000704,1.179459
0.395883,0.017889,0.119107,0.596018,0.062658,0.782007,0.000800,1.200963
0.395916,0.017537,0.112195,0.612562,0.075554,0.804727,0.000864,1.223269
0.396652,0.017440,0.140613,0.587953,0.066178,0.798232,0.000768,1.217220
0.397548,0.017760,0.165125,0.604562,0.072802,0.846521,0.000704,1.267685
0.397132,0.017760,0.148773,0.602258,0.066370,0.821913,0.000704,1.242501
0.396619,0.017921,0.119011,0.597905,0.075394,0.796311,0.000704,1.216260
0.396588,0.017792,0.110660,0.586865,0.070210,0.771895,0.000704,1.191427
0.407692,0.017664,0.111940,0.584689,0.064098,0.765079,0.000640,1.195395
0.396876,0.017856,0.127140,0.601298,0.063234,0.795960,0.000736,1.216676
0.396875,0.017505,0.112291,0.597074,0.063074,0.776439,0.000672,1.196323
0.399019,0.017760,0.140356,0.597202,0.064130,0.805848,0.000704,1.227556
0.396428,0.017377,0.112195,0.597682,0.065250,0.779319,0.000672,1.198084
0.396044,0.017889,0.116355,0.599474,0.071458,0.791895,0.000704,1.211396
0.396780,0.017696,0.142469,0.589361,0.065858,0.801912,0.000640,1.222116
0.396236,0.017888,0.125668,0.598130,0.071202,0.799320,0.000704,1.219588
0.397324,0.017664,0.103171,0.620755,0.068194,0.796728,0.000640,1.217092
0.396876,0.017824,0.120131,0.596562,0.062690,0.783416,0.000704,1.203588
0.396844,0.017633,0.120771,0.595922,0.067394,0.788599,0.000640,1.208612
0.411500,0.017505,0.114051,0.597522,0.064194,0.780151,0.000640,1.214692
0.396140,0.017728,0.130179,0.594354,0.062882,0.791447,0.000672,1.210340
0.399532,0.017537,0.114179,0.595506,0.067490,0.781143,0.000640,1.203268
0.396076,0.017729,0.138404,0.594289,0.071107,0.807896,0.000704,1.227269
0.396428,0.017632,0.131076,0.586993,0.067778,0.789943,0.000640,1.209188
0.395755,0.017921,0.127908,0.610354,0.104707,0.847033,0.000704,1.266437
0.396492,0.017441,0.140516,0.591121,0.068834,0.805015,0.000672,1.225732
0.396844,0.017856,0.137380,0.588050,0.072386,0.802104,0.000800,1.222820
0.395691,0.017696,0.130084,0.608626,0.070338,0.814168,0.000800,1.234020
0.396204,0.017601,0.136868,0.589265,0.067170,0.797367,0.000800,1.216932
0.395724,0.017728,0.137572,0.588722,0.065826,0.795672,0.000704,1.214756
0.424844,0.017760,0.128996,0.599762,0.069218,0.802072,0.000640,1.250533
0.396748,0.017568,0.123460,0.587793,0.065026,0.780183,0.000704,1.199939
