Layer[0],Layer[1],Layer[2],IN[3],INFER[3-10],OUT[10],TEE[3-10],classifier
0.490351,0.017888,0.195494,0.108259,0.110531,0.063777,0.286728,0.996253
0.397099,0.018145,0.192902,0.122883,0.125476,0.068386,0.320265,0.933627
0.410636,0.017504,0.192262,0.109699,0.116708,0.067746,0.297257,0.921179
0.395628,0.017376,0.192582,0.128644,0.107043,0.062178,0.301001,0.910235
0.395788,0.017857,0.192165,0.124132,0.120036,0.069410,0.316810,0.926972
0.395243,0.017888,0.192422,0.103907,0.124996,0.066914,0.299721,0.909851
0.395052,0.017376,0.192102,0.131108,0.106179,0.061250,0.301961,0.910747
0.395500,0.017536,0.191718,0.133636,0.107139,0.064034,0.309833,0.919195
0.396428,0.018081,0.191749,0.131460,0.117220,0.069954,0.322666,0.933212
0.414157,0.017920,0.192294,0.135460,0.118051,0.068547,0.325770,0.954013
0.395083,0.017313,0.191782,0.127875,0.121060,0.066466,0.318569,0.926587
0.394828,0.017697,0.191973,0.125508,0.105219,0.065858,0.300297,0.909883
0.394635,0.017505,0.191814,0.131588,0.122211,0.073314,0.330985,0.938875
0.395660,0.017728,0.191654,0.132452,0.105347,0.063426,0.304553,0.914587
0.396076,0.017728,0.191654,0.127204,0.105891,0.066242,0.302953,0.912507
0.395436,0.017793,0.191973,0.121252,0.107075,0.064098,0.295945,0.905627
0.412524,0.017601,0.192005,0.133444,0.105251,0.067970,0.309801,0.935483
0.396651,0.017665,0.192134,0.151460,0.124836,0.065218,0.344970,0.955836
0.394860,0.017377,0.191813,0.124580,0.107395,0.063810,0.299593,0.908571
0.395308,0.017409,0.191813,0.119588,0.121123,0.068002,0.312201,0.921371
0.394732,0.017441,0.191525,0.122340,0.102883,0.065122,0.293961,0.901979
0.394827,0.017505,0.191750,0.103907,0.119779,0.060226,0.287048,0.895130
0.395180,0.017217,0.191685,0.107491,0.115332,0.062914,0.288937,0.896571
0.413069,0.017408,0.191974,0.136580,0.106307,0.070114,0.316233,0.942236
0.394923,0.017697,0.192037,0.129667,0.106084,0.063777,0.302504,0.912602
