Layer[0],Layer[1],Layer[2],IN[3],INFER[3-3],OUT[3],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.491727,0.018080,0.196774,0.107267,0.043553,0.061057,0.215398,0.049122,0.000896,0.013440,0.000416,0.001440,0.002592,0.000576,0.998493
0.397387,0.018081,0.194086,0.137284,0.038017,0.061090,0.239687,0.048033,0.001024,0.013921,0.000384,0.001408,0.001568,0.000576,0.924731
0.396267,0.017889,0.192070,0.144932,0.037921,0.064482,0.250695,0.049345,0.000833,0.013856,0.000384,0.001440,0.001600,0.000576,0.933467
0.396651,0.017729,0.191686,0.140036,0.035201,0.062434,0.240743,0.049217,0.000832,0.014273,0.000384,0.001504,0.001344,0.000576,0.922587
0.395883,0.018080,0.191686,0.140260,0.037377,0.061186,0.241927,0.050017,0.000832,0.014401,0.000416,0.001856,0.001184,0.000352,0.924699
0.412172,0.017761,0.192197,0.147492,0.036833,0.062338,0.250152,0.050401,0.000832,0.015041,0.000384,0.001856,0.001120,0.000352,0.951868
0.397420,0.017601,0.191493,0.131332,0.036129,0.065410,0.236199,0.050402,0.000864,0.014688,0.000352,0.001600,0.001248,0.000416,0.920859
0.396107,0.017697,0.191590,0.128739,0.036289,0.065153,0.234310,0.052801,0.000832,0.013985,0.000384,0.001440,0.001216,0.000384,0.919259
0.396460,0.017696,0.191622,0.159301,0.051265,0.064930,0.279368,0.048802,0.000832,0.013920,0.000352,0.001536,0.001152,0.000384,0.960444
0.395692,0.018145,0.191877,0.139364,0.037666,0.063553,0.243815,0.049986,0.000864,0.013632,0.000352,0.001536,0.001120,0.000416,0.925692
0.396395,0.017633,0.191750,0.128163,0.044610,0.065762,0.242599,0.049697,0.000896,0.013761,0.000384,0.001440,0.001120,0.000352,0.924507
0.397004,0.017568,0.191814,0.140900,0.036129,0.062306,0.242535,0.048130,0.000864,0.013632,0.000384,0.001504,0.001088,0.000320,0.923099
0.396492,0.017728,0.191750,0.143492,0.046754,0.063458,0.256648,0.049921,0.000832,0.013697,0.000384,0.001408,0.001120,0.000352,0.938172
0.395659,0.018017,0.191718,0.140260,0.036033,0.063202,0.242567,0.048769,0.001056,0.013601,0.000384,0.001440,0.001216,0.000320,0.922555
0.395340,0.017600,0.191686,0.138948,0.037377,0.062274,0.241799,0.047521,0.001088,0.013601,0.000384,0.001408,0.001120,0.000320,0.919547
0.395980,0.032801,0.192134,0.134308,0.045697,0.060546,0.243687,0.048737,0.000832,0.013729,0.000384,0.001536,0.001376,0.000384,0.940572
0.397132,0.018081,0.192005,0.130564,0.035265,0.064770,0.233991,0.049186,0.000864,0.013824,0.000832,0.001536,0.001504,0.000416,0.917371
0.395691,0.017793,0.191846,0.141188,0.036353,0.061890,0.242727,0.048929,0.000832,0.013761,0.000416,0.001536,0.001184,0.000416,0.923387
0.396268,0.017600,0.191686,0.129412,0.035777,0.066594,0.234727,0.066146,0.001088,0.013728,0.000384,0.001472,0.001153,0.000384,0.933372
0.395340,0.017761,0.191557,0.142564,0.036769,0.062849,0.245480,0.049025,0.001088,0.013664,0.000352,0.001441,0.001184,0.000416,0.924988
0.395531,0.017952,0.191622,0.128932,0.035105,0.061857,0.229159,0.048417,0.001056,0.013632,0.000384,0.001472,0.001600,0.000384,0.908859
0.396556,0.017600,0.191622,0.140004,0.036545,0.070050,0.249767,0.048322,0.001088,0.013504,0.000416,0.001536,0.001184,0.000352,0.929499
0.414797,0.017664,0.191654,0.141316,0.046498,0.064802,0.256200,0.048481,0.000832,0.013600,0.000416,0.001440,0.001152,0.000352,0.954941
0.395820,0.017632,0.191686,0.138468,0.036385,0.062274,0.240199,0.049633,0.001152,0.013601,0.000384,0.001504,0.001408,0.000384,0.922075
0.395500,0.017665,0.191845,0.140228,0.037602,0.061953,0.242887,0.049282,0.000832,0.013536,0.000352,0.001504,0.001216,0.000384,0.923163
