Layer[0],Layer[1],Layer[2],IN[3],INFER[3-4],OUT[4],TEE[3-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.504207,0.018112,0.195142,0.127620,0.109795,0.067010,0.310281,0.001344,0.015329,0.000384,0.001632,0.012256,0.000608,1.067359
0.397260,0.017824,0.194246,0.149157,0.087874,0.063490,0.303945,0.000768,0.015169,0.000384,0.001664,0.001312,0.000416,0.941084
0.401292,0.017377,0.194246,0.143524,0.089986,0.063745,0.300520,0.000768,0.015521,0.000384,0.001664,0.001312,0.000416,0.940476
0.397004,0.017408,0.193062,0.132452,0.089603,0.063970,0.289449,0.000768,0.016128,0.000352,0.001600,0.001184,0.000352,0.925083
0.398060,0.017472,0.192390,0.149732,0.090243,0.064674,0.308073,0.000864,0.015681,0.000384,0.001600,0.001152,0.000352,0.944188
0.397740,0.017664,0.193126,0.134244,0.085858,0.065089,0.288520,0.000769,0.015616,0.000416,0.001664,0.000992,0.000384,0.924987
0.396524,0.017536,0.191878,0.146052,0.087683,0.064802,0.301577,0.001024,0.015776,0.000416,0.001632,0.001024,0.000416,0.935772
0.414733,0.017728,0.192102,0.144164,0.096707,0.070562,0.314761,0.000768,0.014913,0.000384,0.001600,0.001184,0.000352,0.966397
0.396716,0.017376,0.192710,0.140164,0.088387,0.065730,0.297481,0.000704,0.015072,0.000448,0.001664,0.001088,0.000416,0.930971
0.396460,0.017376,0.191654,0.140868,0.088675,0.062082,0.294633,0.000704,0.014496,0.000384,0.001568,0.001056,0.000352,0.925979
0.395979,0.017569,0.216966,0.136772,0.095171,0.065794,0.301001,0.001056,0.014209,0.000416,0.001472,0.001216,0.000384,0.958396
0.397548,0.017600,0.192134,0.138692,0.087011,0.062882,0.292009,0.001056,0.014496,0.000384,0.001632,0.001024,0.000416,0.925883
0.396587,0.017601,0.192198,0.132260,0.088546,0.063202,0.287080,0.000640,0.014881,0.000416,0.001568,0.001120,0.000416,0.920187
0.397100,0.017376,0.191622,0.143748,0.088483,0.063650,0.298985,0.000736,0.014720,0.000352,0.001600,0.001408,0.000384,0.931644
0.396748,0.017600,0.192422,0.134564,0.091331,0.067266,0.297033,0.000736,0.014464,0.000384,0.001568,0.001184,0.000416,0.930171
0.396748,0.017665,0.191685,0.145605,0.088450,0.067362,0.305769,0.000833,0.014976,0.000640,0.001568,0.001216,0.000352,0.940156
0.396460,0.017665,0.192069,0.147173,0.086978,0.063490,0.300905,0.000768,0.015137,0.000384,0.001504,0.001568,0.000384,0.934460
0.415628,0.017601,0.192166,0.143748,0.094915,0.068706,0.310729,0.001024,0.014816,0.000384,0.001568,0.001120,0.000384,0.962940
0.396940,0.017600,0.191973,0.135908,0.087523,0.063810,0.290505,0.000704,0.014848,0.000384,0.001568,0.001344,0.000384,0.923643
0.396556,0.017313,0.192005,0.140388,0.086083,0.062114,0.291721,0.000768,0.014336,0.000416,0.001472,0.001184,0.000384,0.923803
0.396972,0.017601,0.191813,0.474991,0.112259,0.068642,0.659316,0.000736,0.014336,0.000416,0.001537,0.001024,0.000384,1.291879
0.395563,0.017409,0.191525,0.139845,0.087874,0.064834,0.295913,0.000736,0.014753,0.000416,0.001504,0.001280,0.000416,0.926908
