Layer[0],Layer[1],Layer[2],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.508852,0.017824,0.205224,0.241258,0.014337,0.000512,0.001472,0.002272,0.000608,1.001415
0.417265,0.017857,0.204424,0.253226,0.016288,0.000384,0.001568,0.001184,0.000448,0.922404
0.429809,0.021249,0.202344,0.237033,0.015297,0.000416,0.001440,0.000832,0.000352,0.916068
0.416016,0.017377,0.202888,0.235657,0.015713,0.000448,0.001536,0.000864,0.000384,0.899619
0.416496,0.017601,0.202408,0.241833,0.015457,0.000416,0.001696,0.000992,0.000352,0.906371
0.414801,0.017537,0.202504,0.261578,0.014976,0.000416,0.001568,0.001024,0.000352,0.924133
0.415920,0.017409,0.202088,0.249546,0.014848,0.000480,0.001473,0.000960,0.000384,0.910948
0.415760,0.017537,0.202760,0.241321,0.014817,0.000480,0.001472,0.000960,0.000352,0.903203
0.414960,0.017345,0.202408,0.267466,0.014593,0.000480,0.001536,0.000992,0.000320,0.927716
0.428145,0.017409,0.202376,0.240937,0.014401,0.000544,0.001536,0.000896,0.000384,0.914564
0.416144,0.017409,0.202152,0.223849,0.015680,0.000448,0.001440,0.000832,0.000352,0.884866
0.416048,0.017345,0.203240,0.221417,0.014912,0.000448,0.001504,0.000768,0.000352,0.883458
0.415825,0.017408,0.202056,0.233898,0.015424,0.000448,0.001440,0.000832,0.000352,0.894019
0.414865,0.017473,0.202280,0.223816,0.014049,0.000416,0.001440,0.000736,0.000352,0.883715
0.416017,0.017505,0.203560,0.233001,0.014048,0.000448,0.001504,0.000993,0.000352,0.895172
0.417072,0.017441,0.202568,0.230601,0.014273,0.000512,0.001472,0.001056,0.000352,0.894339
0.428945,0.017601,0.202376,0.239369,0.015904,0.000480,0.001408,0.000928,0.000352,0.915044
0.415249,0.017376,0.202152,0.239242,0.014304,0.000448,0.001569,0.000960,0.000320,0.897892
0.415024,0.017313,0.202088,0.243657,0.015809,0.000416,0.001472,0.000864,0.000320,0.904291
0.416304,0.017377,0.202152,0.234761,0.014561,0.000448,0.001472,0.000896,0.000320,0.895395
0.414896,0.017409,0.202120,0.224009,0.014112,0.000384,0.001472,0.000704,0.000385,0.881891
0.415696,0.017505,0.203016,0.224233,0.014752,0.000416,0.001536,0.000832,0.000352,0.885987
0.415824,0.017696,0.202664,0.228809,0.014849,0.000416,0.001472,0.000960,0.000352,0.891203
0.430545,0.017921,0.202280,0.236073,0.014017,0.000448,0.001472,0.000800,0.000384,0.911236
0.435569,0.017281,0.209416,0.241354,0.014080,0.000320,0.001536,0.000992,0.000352,0.929540
0.415440,0.017281,0.203112,0.209512,0.014113,0.000544,0.001408,0.000960,0.000352,0.870722
0.416945,0.017568,0.203048,0.248202,0.014113,0.000448,0.001408,0.000960,0.000352,0.909508
0.421425,0.017377,0.202568,0.223464,0.014337,0.000448,0.001440,0.000896,0.000384,0.889731
0.416176,0.017633,0.202600,0.235017,0.014689,0.000384,0.001408,0.000896,0.000352,0.895427
0.417681,0.017696,0.203688,0.239402,0.014400,0.000480,0.001441,0.000864,0.000384,0.903812
0.420816,0.017793,0.218568,0.234634,0.014656,0.000448,0.001408,0.000864,0.000320,0.917252
