Layer[0],Layer[1],Layer[2],IN[3],INFER[3-5],OUT[5],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.487854,0.018081,0.195686,0.119715,0.094659,0.070818,0.289256,0.015681,0.000736,0.001568,0.002720,0.000544,1.019646
0.396268,0.017952,0.193990,0.144388,0.089187,0.063554,0.300297,0.015584,0.000896,0.001536,0.001440,0.000544,0.936315
0.394988,0.017760,0.192518,0.109091,0.087171,0.060193,0.259816,0.014464,0.000704,0.001504,0.001024,0.000352,0.889530
0.394668,0.017569,0.192613,0.121540,0.088866,0.063425,0.277352,0.014849,0.000480,0.001408,0.000832,0.000352,0.906075
0.393932,0.017600,0.191782,0.137124,0.088387,0.064609,0.293480,0.014624,0.000448,0.001504,0.000960,0.000320,0.919739
0.395180,0.017824,0.209127,0.100963,0.091554,0.061058,0.257063,0.015329,0.000736,0.001472,0.000992,0.000352,0.905755
0.397260,0.017825,0.192677,0.122660,0.101091,0.065314,0.292361,0.015745,0.000544,0.001536,0.000992,0.000320,0.925980
0.394347,0.017505,0.191750,0.115587,0.101443,0.062466,0.282568,0.014913,0.000512,0.001472,0.000896,0.000352,0.909435
0.394924,0.017600,0.191974,0.136900,0.099715,0.060706,0.300297,0.014496,0.000736,0.001504,0.000800,0.000320,0.929147
0.394475,0.017537,0.192102,0.134404,0.088130,0.061346,0.287720,0.015425,0.000512,0.001440,0.000832,0.000416,0.916059
0.394604,0.017536,0.192678,0.132996,0.088034,0.059458,0.283720,0.015617,0.000544,0.001600,0.000832,0.000384,0.913915
0.394283,0.017249,0.191525,0.109988,0.084482,0.058082,0.255688,0.014176,0.000512,0.001440,0.000736,0.000385,0.880986
0.393868,0.017344,0.205894,0.116676,0.083746,0.058370,0.262152,0.017505,0.000480,0.001440,0.000832,0.000352,0.905851
0.393836,0.017729,0.191589,0.115044,0.098499,0.062306,0.278889,0.014624,0.000512,0.001504,0.000928,0.000384,0.905947
0.394060,0.017664,0.191622,0.111779,0.128676,0.060610,0.304457,0.017504,0.000512,0.001504,0.000833,0.000320,0.933852
0.393932,0.017793,0.192197,0.124260,0.101251,0.065890,0.296393,0.015073,0.000512,0.001472,0.000800,0.000320,0.926780
0.394764,0.017856,0.192006,0.127044,0.089186,0.061986,0.281960,0.016001,0.000512,0.001472,0.001152,0.000352,0.913723
0.394604,0.017408,0.191654,0.129188,0.099107,0.063906,0.295337,0.014944,0.000544,0.001504,0.000928,0.000352,0.923227
0.393964,0.017568,0.191846,0.116771,0.098915,0.069474,0.288456,0.014464,0.000512,0.001472,0.000864,0.000320,0.915099
0.393996,0.017632,0.208647,0.139140,0.104035,0.067234,0.314313,0.014528,0.000544,0.001472,0.000928,0.000352,0.959549
0.395788,0.017857,0.191461,0.119236,0.104355,0.060610,0.287881,0.014432,0.000928,0.001536,0.000960,0.000384,0.917051
0.393804,0.017408,0.191398,0.101283,0.099395,0.060994,0.265288,0.014592,0.000576,0.001536,0.000896,0.000352,0.892154
0.395756,0.017536,0.191430,0.129092,0.100355,0.071362,0.303881,0.014400,0.000928,0.001504,0.000833,0.000352,0.931740
0.393964,0.017728,0.191238,0.119299,0.086915,0.058562,0.268136,0.017472,0.000960,0.001472,0.000992,0.000352,0.897594
0.394379,0.017569,0.191334,0.115235,0.099971,0.060226,0.278248,0.014528,0.000672,0.001440,0.000896,0.000320,0.904667
0.394540,0.017440,0.191398,0.125988,0.100355,0.066402,0.295977,0.014400,0.000704,0.001504,0.000960,0.000352,0.923931
