Layer[0],Layer[1],Layer[2],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.535701,0.017921,0.206312,0.237001,0.000800,0.002656,0.002176,0.000832,1.012615
0.417872,0.017600,0.204168,0.252618,0.001056,0.002880,0.001153,0.000320,0.908036
0.416944,0.017760,0.206696,0.241386,0.001120,0.001984,0.001216,0.000416,0.894627
0.415921,0.020992,0.202312,0.254826,0.000833,0.002528,0.001280,0.000352,0.906500
0.416689,0.017472,0.203080,0.235850,0.000736,0.002592,0.001312,0.000384,0.885443
0.415697,0.017632,0.202888,0.247530,0.000736,0.002144,0.001568,0.000384,0.896163
0.416400,0.017601,0.214984,0.251882,0.000768,0.001984,0.000896,0.000384,0.911939
0.416625,0.017760,0.202600,0.272235,0.000704,0.002112,0.000928,0.000384,0.920676
0.417521,0.017984,0.202312,0.246218,0.000832,0.002176,0.001216,0.000384,0.897027
0.416176,0.017857,0.202696,0.249002,0.000768,0.002176,0.001088,0.000416,0.897987
0.420369,0.017761,0.202728,0.288139,0.000864,0.002144,0.001152,0.000320,0.942501
0.417456,0.017761,0.204200,0.266410,0.000768,0.002944,0.001281,0.000608,0.919812
0.420625,0.017761,0.202440,0.258858,0.000704,0.002112,0.001312,0.000384,0.912164
0.438706,0.017760,0.202568,0.259883,0.000832,0.002112,0.001216,0.000608,0.932261
0.420464,0.018049,0.202824,0.268138,0.000800,0.002561,0.001216,0.000448,0.923877
0.421169,0.017920,0.201992,0.265291,0.000736,0.002528,0.001248,0.000384,0.918276
0.420817,0.017729,0.202664,0.273098,0.000896,0.002400,0.001216,0.000416,0.927685
0.421360,0.017601,0.202408,0.251498,0.000928,0.002208,0.001152,0.000384,0.905923
0.417873,0.017889,0.207048,0.259690,0.000800,0.002560,0.001248,0.000384,0.916868
0.421360,0.017953,0.203688,0.253834,0.000832,0.002336,0.001120,0.000416,0.909667
0.456466,0.017537,0.202184,0.259818,0.000736,0.002208,0.001216,0.000416,0.948549
0.420753,0.017376,0.202376,0.260939,0.000768,0.002240,0.001152,0.000608,0.913892
0.420944,0.017889,0.202056,0.253898,0.000800,0.002048,0.001152,0.000640,0.907619
0.417937,0.018145,0.221416,0.258986,0.001121,0.002976,0.001216,0.000608,0.932197
0.420560,0.017664,0.202184,0.258986,0.000737,0.002208,0.001120,0.000416,0.911524
0.420464,0.017568,0.202184,0.260458,0.000768,0.002177,0.001216,0.000384,0.913764
0.421008,0.017889,0.202376,0.261130,0.000736,0.002176,0.001153,0.000576,0.914756
0.421457,0.017729,0.202376,0.253098,0.000768,0.002336,0.001120,0.000384,0.907716
0.417488,0.018113,0.204232,0.263178,0.000768,0.002976,0.001312,0.000384,0.918212
0.421328,0.017664,0.202312,0.261611,0.000768,0.002176,0.001184,0.000416,0.915812
0.458578,0.017729,0.202600,0.265354,0.000832,0.002240,0.001280,0.000384,0.957509
