Layer[0],Layer[1],Layer[2],IN[3],INFER[3-6],OUT[6],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.487406,0.017953,0.195014,0.109443,0.128740,0.062242,0.304169,0.000960,0.002752,0.012192,0.000640,1.028638
0.412204,0.017697,0.193510,0.144036,0.114115,0.065730,0.326985,0.000768,0.002657,0.001408,0.000864,0.964061
0.396172,0.017760,0.192646,0.128644,0.118435,0.063426,0.313737,0.000800,0.002144,0.001376,0.000608,0.932028
0.395083,0.017473,0.192198,0.132995,0.108995,0.063586,0.309065,0.000768,0.003072,0.001312,0.000640,0.926587
0.395052,0.017697,0.192229,0.149957,0.121187,0.061153,0.335594,0.000768,0.002016,0.001345,0.000576,0.952125
0.395916,0.018016,0.192518,0.138084,0.103459,0.062306,0.306985,0.000640,0.002432,0.001152,0.000608,0.925083
0.395020,0.017505,0.192741,0.132164,0.108035,0.064033,0.307401,0.000640,0.004993,0.000992,0.000576,0.926172
0.394636,0.017760,0.192422,0.129284,0.105987,0.060354,0.298729,0.000704,0.002112,0.001120,0.000352,0.914299
0.394636,0.017952,0.192134,0.135684,0.109091,0.062817,0.312201,0.000736,0.002209,0.000928,0.000608,0.927868
0.394795,0.017697,0.191878,0.126147,0.117668,0.060962,0.307817,0.000672,0.002144,0.001696,0.000576,0.923643
0.395052,0.017696,0.191974,0.146116,0.100963,0.061794,0.312521,0.000704,0.002400,0.001184,0.000320,0.929275
0.395052,0.017792,0.205830,0.144581,0.113411,0.063010,0.324554,0.000672,0.002240,0.001280,0.000416,0.955164
0.394796,0.017728,0.192198,0.164645,0.103555,0.062434,0.334058,0.000960,0.003264,0.001216,0.000384,0.951644
0.395340,0.017536,0.192454,0.136612,0.103587,0.063458,0.307209,0.000864,0.003104,0.001312,0.000576,0.925371
0.395820,0.017792,0.192198,0.135236,0.133924,0.076482,0.349418,0.000992,0.002496,0.001184,0.000704,0.967805
0.395596,0.017697,0.191909,0.126372,0.099395,0.060130,0.288841,0.000672,0.002080,0.001120,0.000576,0.904731
0.394827,0.017537,0.192165,0.123780,0.103779,0.061282,0.292073,0.000928,0.002304,0.001216,0.000608,0.907867
0.395627,0.017760,0.191974,0.127844,0.102691,0.061121,0.294920,0.000672,0.002689,0.001152,0.000608,0.911995
0.411917,0.017696,0.192134,0.133508,0.104387,0.063138,0.304617,0.000736,0.002240,0.001184,0.000576,0.937948
0.394700,0.017697,0.191653,0.135044,0.105539,0.064353,0.308137,0.001024,0.005185,0.001216,0.000608,0.927164
0.394988,0.017569,0.191845,0.132292,0.121476,0.062818,0.319786,0.000736,0.002624,0.001216,0.000576,0.935868
0.395692,0.017505,0.208070,0.136868,0.114435,0.064482,0.319081,0.000640,0.002304,0.001152,0.000416,0.952092
0.395595,0.017536,0.192038,0.136196,0.105891,0.063234,0.308713,0.000704,0.002208,0.001184,0.000416,0.925435
0.395244,0.017536,0.191910,0.135908,0.117379,0.063874,0.320393,0.000672,0.002400,0.001281,0.000384,0.936860
0.395052,0.017761,0.192005,0.132484,0.106787,0.064130,0.306473,0.000704,0.002401,0.001248,0.000608,0.923196
0.395116,0.017600,0.192294,0.131236,0.105251,0.063010,0.302569,0.000672,0.002144,0.001184,0.000384,0.918747
0.394539,0.017505,0.191878,0.161764,0.104356,0.062081,0.331337,0.000704,0.002209,0.001056,0.000384,0.946268
0.394796,0.017537,0.191909,0.141380,0.101475,0.062274,0.308329,0.000640,0.002144,0.001248,0.000385,0.923292
0.413772,0.017473,0.191654,0.119715,0.102531,0.060738,0.286184,0.000704,0.002272,0.001152,0.000416,0.919899
0.395083,0.017697,0.191750,0.138596,0.102627,0.062658,0.306825,0.000672,0.002240,0.001120,0.000448,0.922203
0.395307,0.017825,0.191750,0.129315,0.102051,0.063586,0.298152,0.000992,0.002176,0.001089,0.000320,0.914363
0.395660,0.017728,0.191654,0.163557,0.118755,0.065570,0.351018,0.000736,0.002208,0.001216,0.000384,0.967485
0.395947,0.017792,0.191974,0.127300,0.103395,0.062018,0.295785,0.000672,0.002144,0.001152,0.000448,0.912219
0.395788,0.017601,0.192069,0.130788,0.102083,0.063042,0.299113,0.000640,0.002240,0.001120,0.000352,0.916283
0.396268,0.017728,0.191878,0.134564,0.105635,0.065186,0.308521,0.000672,0.002272,0.001056,0.000384,0.925083
0.410956,0.017856,0.191910,0.162373,0.118787,0.063490,0.348010,0.000960,0.002400,0.001185,0.000416,0.980637
0.395660,0.017280,0.192166,0.125092,0.099587,0.061346,0.289193,0.000736,0.002272,0.001088,0.000384,0.905307
0.395180,0.017664,0.191814,0.137636,0.100835,0.061666,0.303369,0.000896,0.002592,0.001184,0.000352,0.919483
0.395468,0.036705,0.192134,0.132196,0.102595,0.061890,0.299881,0.000704,0.002688,0.001216,0.000608,0.935868
0.394892,0.017569,0.191973,0.129316,0.102915,0.061826,0.297417,0.000640,0.002112,0.001088,0.000320,0.912411
0.397580,0.017664,0.193222,0.130948,0.104099,0.063394,0.302025,0.000704,0.002336,0.001120,0.000384,0.921147
0.396492,0.017824,0.192005,0.145765,0.121571,0.125700,0.398028,0.000672,0.002304,0.001120,0.000640,1.017374
0.395787,0.017696,0.192166,0.142724,0.102243,0.062722,0.311241,0.000672,0.002464,0.001184,0.000352,0.928155
0.395500,0.017569,0.192069,0.134084,0.106147,0.063234,0.306921,0.000704,0.002240,0.001120,0.000640,0.923324
0.394604,0.017697,0.192133,0.135332,0.106020,0.064321,0.308970,0.000704,0.002176,0.001152,0.000384,0.924412
0.412557,0.017536,0.191846,0.133700,0.112451,0.063042,0.312393,0.000736,0.002240,0.001152,0.000416,0.945308
0.395052,0.017537,0.191877,0.119300,0.098915,0.060674,0.282025,0.000992,0.002624,0.001184,0.000384,0.898939
0.394507,0.017729,0.191494,0.134628,0.117827,0.064002,0.319369,0.000672,0.002144,0.001088,0.000608,0.933787
0.394987,0.017600,0.208774,0.135236,0.104771,0.063778,0.306985,0.000704,0.002176,0.001089,0.000608,0.939964
0.395180,0.017728,0.192166,0.131460,0.105475,0.063266,0.303401,0.000736,0.002176,0.001088,0.000384,0.919387
0.395627,0.017601,0.191750,0.129347,0.100323,0.060834,0.293736,0.000992,0.002208,0.001152,0.000416,0.910011
0.394828,0.021024,0.191878,0.144612,0.102851,0.069602,0.320490,0.001024,0.002944,0.001184,0.000416,0.940380
0.395084,0.017408,0.191526,0.133444,0.101411,0.065730,0.303433,0.000672,0.002240,0.001216,0.000320,0.918267
0.396651,0.017792,0.191750,0.135620,0.104835,0.063298,0.306889,0.000736,0.002208,0.001248,0.000576,0.925083
0.394476,0.017632,0.191590,0.133508,0.101539,0.061314,0.299433,0.000672,0.002016,0.001184,0.000352,0.913499
0.412557,0.017888,0.191622,0.129252,0.106371,0.061634,0.300137,0.000672,0.002112,0.001184,0.000352,0.932988
