Layer[0],Layer[1],Layer[2],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.511092,0.017601,0.206408,0.256906,0.002816,0.011520,0.000640,1.015655
0.422993,0.017793,0.206344,0.313196,0.004192,0.003392,0.000576,0.980678
0.422449,0.017728,0.205768,0.263019,0.002944,0.001536,0.000320,0.920388
0.419217,0.017537,0.204392,0.299084,0.003136,0.002848,0.000672,0.960294
0.421232,0.017729,0.204168,0.261642,0.002720,0.001312,0.000321,0.917124
0.416272,0.017633,0.203688,0.253002,0.003072,0.001216,0.000384,0.902339
0.432881,0.017665,0.202568,0.258410,0.002784,0.001249,0.000320,0.922981
0.416593,0.017697,0.203976,0.275530,0.002817,0.001312,0.000352,0.924933
0.416656,0.017601,0.202696,0.270922,0.002752,0.001248,0.000608,0.920164
0.416753,0.017472,0.220233,0.268075,0.002496,0.001216,0.000416,0.934117
0.421009,0.017857,0.203176,0.253962,0.002592,0.001216,0.000640,0.908644
0.416496,0.017729,0.202536,0.263850,0.002560,0.001184,0.000352,0.912963
0.416081,0.017537,0.202567,0.264234,0.002656,0.001152,0.000608,0.912772
0.416656,0.017569,0.203368,0.262154,0.002880,0.001216,0.000352,0.911811
0.420784,0.017889,0.203144,0.262154,0.002560,0.001216,0.000608,0.915779
0.416753,0.017729,0.202440,0.255658,0.003328,0.001248,0.000352,0.905380
0.434641,0.017536,0.202184,0.255242,0.002464,0.001121,0.000352,0.922149
0.420336,0.017665,0.202440,0.260746,0.002400,0.001152,0.000608,0.911651
0.415953,0.017792,0.203144,0.251434,0.002592,0.001217,0.000608,0.900164
0.415792,0.017665,0.202408,0.259690,0.002496,0.001120,0.000384,0.906403
0.417168,0.017729,0.202728,0.260106,0.002624,0.001344,0.000384,0.909635
0.417584,0.017985,0.202888,0.253546,0.003520,0.001216,0.000384,0.905475
0.416177,0.018273,0.202696,0.258090,0.002976,0.001152,0.000576,0.907556
0.432977,0.017825,0.203848,0.283467,0.002592,0.001248,0.000384,0.949573
0.416081,0.017729,0.203047,0.273930,0.002528,0.001344,0.000641,0.923397
0.420273,0.017761,0.202504,0.279050,0.002656,0.001184,0.000352,0.931269
0.420080,0.017569,0.202920,0.279563,0.002528,0.001376,0.000384,0.932836
0.419857,0.017537,0.202408,0.251882,0.003072,0.001312,0.000640,0.904196
0.416432,0.017537,0.202728,0.257098,0.002624,0.001280,0.000320,0.905027
0.417264,0.017664,0.202920,0.258090,0.002432,0.001313,0.000384,0.907108
0.433137,0.017441,0.203272,0.257002,0.003424,0.001344,0.000384,0.924068
0.418545,0.018049,0.202984,0.246953,0.002528,0.001313,0.000352,0.898276
0.417520,0.017633,0.204168,0.256458,0.002560,0.001344,0.000416,0.907812
0.420240,0.017505,0.225481,0.258762,0.002560,0.001344,0.000352,0.933956
0.416752,0.017504,0.202984,0.260522,0.002465,0.001248,0.000352,0.909636
0.415792,0.017729,0.202856,0.260458,0.002496,0.001248,0.000320,0.908995
0.420241,0.017729,0.202727,0.267307,0.002624,0.001120,0.000352,0.919748
0.416240,0.017664,0.202472,0.261418,0.002465,0.001184,0.000384,0.909572
0.416336,0.017569,0.202504,0.270058,0.002688,0.001248,0.000352,0.918468
0.416752,0.017505,0.202664,0.262090,0.002625,0.001184,0.000416,0.910820
0.433105,0.017665,0.203304,0.274058,0.002656,0.001152,0.000384,0.941061
0.416144,0.017665,0.202696,0.253322,0.002688,0.001472,0.000384,0.902755
0.420529,0.017344,0.202503,0.261355,0.002560,0.001440,0.000576,0.913348
0.420305,0.017504,0.202408,0.265867,0.003488,0.001216,0.000416,0.918276
0.420529,0.017504,0.202439,0.273739,0.002368,0.001152,0.000416,0.925060
0.416689,0.017664,0.202888,0.258603,0.002496,0.001120,0.000640,0.907108
0.416272,0.017505,0.202536,0.258346,0.002272,0.001056,0.000384,0.905059
0.433489,0.017409,0.202664,0.273642,0.002272,0.000992,0.000608,0.937893
0.415441,0.017312,0.202408,0.260139,0.002304,0.000992,0.000352,0.905508
0.420432,0.017697,0.202568,0.272394,0.002145,0.001024,0.000352,0.922628
0.416497,0.017504,0.201960,0.282795,0.003329,0.001152,0.000448,0.931237
0.417361,0.017825,0.203880,0.261034,0.002528,0.001152,0.000352,0.912484
0.420369,0.017633,0.203208,0.253641,0.002368,0.001088,0.000608,0.905828
0.415984,0.017792,0.202920,0.263755,0.002176,0.001216,0.000384,0.911012
0.440850,0.017792,0.202312,0.280619,0.002368,0.001120,0.000384,0.952038
0.420560,0.017472,0.202120,0.256202,0.002272,0.001088,0.000352,0.906435
0.415696,0.017504,0.202344,0.253642,0.002272,0.001216,0.000608,0.899907
0.415312,0.017377,0.221321,0.246153,0.002305,0.001056,0.000640,0.911396
0.416209,0.017440,0.202792,0.245194,0.002336,0.001056,0.000384,0.891907
0.415792,0.017729,0.202760,0.253930,0.002240,0.001184,0.000384,0.901187
0.421265,0.017505,0.203144,0.258346,0.002368,0.001088,0.000384,0.911716
0.419473,0.017729,0.204296,0.260970,0.004832,0.001312,0.000640,0.918244
0.416048,0.018017,0.202376,0.251626,0.002432,0.001088,0.000608,0.898915
0.420752,0.017760,0.202472,0.255530,0.002496,0.001120,0.000352,0.908004
0.433233,0.017537,0.202760,0.250154,0.002112,0.001056,0.000416,0.914276
0.415888,0.017441,0.203048,0.259722,0.002176,0.001056,0.000416,0.906660
0.421008,0.017536,0.202312,0.252106,0.002432,0.001056,0.000576,0.904195
0.420336,0.017472,0.202536,0.258282,0.002368,0.001121,0.000384,0.928964
0.415888,0.017473,0.202984,0.261546,0.002464,0.001056,0.000576,0.908227
0.416464,0.017696,0.202632,0.264235,0.002432,0.001056,0.000608,0.912708
0.420688,0.017601,0.202664,0.254378,0.002272,0.001056,0.000352,0.905379
0.450161,0.017697,0.203976,0.291691,0.002561,0.001184,0.000416,0.975719
0.420432,0.017505,0.203592,0.249834,0.002144,0.001248,0.000352,0.901827
0.419600,0.017537,0.202472,0.261418,0.002208,0.000992,0.000640,0.911171
0.415344,0.017537,0.203016,0.293868,0.002528,0.000960,0.000576,0.940645
0.420081,0.018080,0.203144,0.286572,0.002176,0.000960,0.000352,0.938373
0.415792,0.017729,0.202856,0.261226,0.002176,0.000928,0.000416,0.907875
0.420304,0.017569,0.202792,0.261322,0.002368,0.001025,0.000352,0.912644
0.431537,0.017857,0.202663,0.259754,0.002336,0.001152,0.000352,0.921924
0.416913,0.017536,0.202792,0.264427,0.002432,0.001184,0.000384,0.913092
0.415504,0.017537,0.202600,0.277099,0.002400,0.001088,0.000640,0.923588
0.418512,0.017601,0.224521,0.258954,0.002400,0.001216,0.000640,0.932420
0.416784,0.017793,0.203528,0.245802,0.002368,0.001216,0.000384,0.894659
0.416784,0.017601,0.203368,0.249162,0.003104,0.001088,0.000416,0.898019
0.416145,0.017600,0.203272,0.249066,0.002272,0.001088,0.000384,0.896963
0.420145,0.018177,0.203464,0.246473,0.002368,0.000993,0.000384,0.898852
0.416880,0.017409,0.204456,0.251882,0.002400,0.001024,0.000352,0.900611
0.415601,0.017216,0.203592,0.259755,0.002176,0.000960,0.000384,0.904836
