Layer[0],Layer[1],Layer[2],IN[3],INFER[3-7],OUT[7],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.815512,0.055682,0.314825,0.136420,0.144292,0.133956,0.420300,0.003745,0.012384,0.000928,1.669457
0.397835,0.017825,0.192646,0.134660,0.104739,0.067042,0.310729,0.003488,0.002304,0.000384,0.932795
0.400300,0.017697,0.191909,0.132676,0.109763,0.062914,0.309353,0.002592,0.001409,0.000384,0.930172
0.395212,0.017728,0.192518,0.136292,0.105795,0.064802,0.310921,0.002944,0.001120,0.000416,0.927355
0.395339,0.017697,0.192134,0.136100,0.106083,0.064706,0.310217,0.002656,0.001216,0.000384,0.926843
0.395243,0.017569,0.192102,0.138724,0.103651,0.068290,0.314409,0.002784,0.001248,0.000416,0.930139
0.394572,0.017729,0.191525,0.125828,0.102275,0.061890,0.293321,0.002368,0.001184,0.000384,0.907003
0.414924,0.017921,0.191557,0.138340,0.108708,0.064034,0.314570,0.002304,0.001120,0.000384,0.949020
0.395403,0.017697,0.192198,0.132484,0.101091,0.062145,0.299208,0.002561,0.001184,0.000384,0.915259
0.395180,0.017856,0.191750,0.144100,0.104675,0.064322,0.316713,0.002784,0.001152,0.000384,0.932155
0.395980,0.017856,0.191366,0.156517,0.109027,0.062466,0.331434,0.003328,0.001184,0.000416,0.947612
0.396492,0.017760,0.192134,0.135044,0.105635,0.064226,0.308681,0.003008,0.001248,0.000416,0.925851
0.396268,0.017984,0.191750,0.137764,0.104099,0.063874,0.309065,0.002688,0.001376,0.000384,0.926363
0.396107,0.017760,0.191750,0.136452,0.103523,0.062914,0.306057,0.002656,0.001216,0.000384,0.921851
0.395627,0.017824,0.191430,0.137636,0.110051,0.064418,0.317097,0.002912,0.001152,0.000384,0.933371
0.399276,0.017697,0.191365,0.131492,0.100611,0.061890,0.297065,0.003296,0.001184,0.000416,0.916219
0.395276,0.017793,0.191429,0.133124,0.101571,0.064226,0.301833,0.002560,0.001120,0.000416,0.916059
0.395948,0.017665,0.210086,0.137284,0.103875,0.064546,0.309513,0.002560,0.001056,0.000384,0.944156
0.395052,0.017760,0.191366,0.133156,0.101507,0.062658,0.300425,0.002432,0.001120,0.000384,0.913979
0.400940,0.017600,0.191301,0.131108,0.102403,0.065762,0.302601,0.002912,0.001088,0.000480,0.923931
0.396556,0.017633,0.191109,0.134340,0.100547,0.062306,0.300201,0.002848,0.001184,0.000384,0.915515
