Layer[0],Layer[1],Layer[2],TEE[3-8],Layer[9],Layer[10],classifier
0.531797,0.017920,0.206664,0.226024,0.021185,0.000896,1.013383
0.441041,0.017889,0.203976,0.271371,0.001472,0.000608,0.945477
0.421104,0.017665,0.203048,0.260202,0.001152,0.000352,0.909892
0.417232,0.017665,0.203848,0.263402,0.001504,0.000608,0.913476
0.417009,0.017536,0.203496,0.272011,0.001408,0.000608,0.920452
0.417520,0.017504,0.202056,0.255018,0.001248,0.000352,0.901891
0.420497,0.017600,0.202440,0.247274,0.001216,0.000352,0.896483
0.417137,0.017537,0.201960,0.261578,0.001248,0.000384,0.906724
0.437169,0.017601,0.202408,0.261962,0.001248,0.000352,0.928196
0.415120,0.017505,0.202056,0.268843,0.001248,0.000352,0.912132
0.420337,0.017793,0.202056,0.265066,0.001344,0.000352,0.913924
0.416657,0.017601,0.202344,0.285195,0.001376,0.000384,0.930917
0.419953,0.017505,0.202024,0.261706,0.001184,0.000416,0.909700
0.416528,0.017761,0.203144,0.260298,0.001664,0.000704,0.908131
0.417712,0.017665,0.202248,0.258314,0.001216,0.000384,0.904803
0.431537,0.017697,0.202056,0.261866,0.001376,0.000416,0.922596
0.421616,0.017505,0.202088,0.258154,0.001184,0.000384,0.907715
0.415696,0.017473,0.202440,0.253226,0.001248,0.000384,0.896163
0.421169,0.017345,0.222568,0.262923,0.001408,0.000384,0.932293
0.421200,0.017536,0.202120,0.249098,0.001312,0.000416,0.898691
0.421040,0.017665,0.202728,0.257290,0.001248,0.000416,0.907139
0.420209,0.017729,0.202024,0.250793,0.001313,0.000416,0.899044
0.433489,0.017601,0.202344,0.259530,0.001216,0.000352,0.921572
0.416592,0.017729,0.202088,0.268203,0.001440,0.000672,0.914084
0.421136,0.017697,0.202120,0.262090,0.001280,0.000609,0.911876
0.421968,0.017569,0.222729,0.269802,0.001440,0.000640,0.942149
0.421905,0.017761,0.202311,0.271851,0.001760,0.000640,0.923588
0.418000,0.017761,0.202024,0.268651,0.001248,0.000608,0.914500
0.417648,0.017729,0.201896,0.260362,0.001280,0.000576,0.906755
0.418192,0.017633,0.202344,0.268875,0.001184,0.000640,0.915556
0.418353,0.017377,0.201864,0.268586,0.001280,0.000576,0.914916
0.416912,0.017473,0.202504,0.256106,0.001184,0.000608,0.901379
0.417040,0.033697,0.203048,0.251498,0.001280,0.000608,0.913732
0.417136,0.017537,0.203208,0.248682,0.001280,0.000608,0.895779
0.418225,0.017632,0.202056,0.249898,0.001312,0.000608,0.897347
0.416593,0.017536,0.202184,0.256106,0.001280,0.000608,0.901219
0.421680,0.017696,0.201832,0.262154,0.001217,0.000384,0.911268
0.422000,0.017537,0.202056,0.263562,0.001440,0.000704,0.915427
0.421073,0.017664,0.201864,0.303884,0.001280,0.000352,0.952965
0.438705,0.017696,0.202184,0.259914,0.001153,0.000480,0.926853
0.421328,0.017665,0.202280,0.243209,0.001152,0.000352,0.892451
0.420849,0.017664,0.202120,0.262891,0.001216,0.000416,0.911460
0.415920,0.018209,0.202472,0.277515,0.001248,0.000384,0.922948
0.420657,0.017569,0.202216,0.257706,0.001184,0.000416,0.906596
0.416849,0.017504,0.202504,0.251274,0.001312,0.000416,0.897315
0.422320,0.017889,0.207656,0.283339,0.002529,0.000640,0.943717
0.443346,0.017793,0.203560,0.276938,0.001472,0.000352,0.951142
0.417168,0.017729,0.202760,0.264074,0.001568,0.000384,0.910723
0.421969,0.017344,0.202248,0.253322,0.001440,0.000352,0.903939
0.419120,0.017696,0.202248,0.271947,0.001408,0.000480,0.920228
0.420753,0.017505,0.202440,0.250793,0.001280,0.000352,0.900164
0.420881,0.017664,0.202536,0.249450,0.001216,0.000384,0.899235
0.416336,0.017473,0.202440,0.249546,0.001216,0.000384,0.894307
0.434161,0.017504,0.203016,0.254122,0.001216,0.000416,0.917572
0.417265,0.017248,0.202600,0.263915,0.001312,0.000416,0.910084
0.415952,0.017441,0.202376,0.260426,0.001184,0.000352,0.904291
0.467154,0.017441,0.218632,0.251498,0.001312,0.000736,0.963589
0.415984,0.017473,0.202408,0.254922,0.001248,0.000416,0.898979
0.420368,0.017760,0.202504,0.262314,0.001344,0.000384,0.912004
0.420944,0.017633,0.202568,0.263946,0.001248,0.000384,0.913316
0.416912,0.017729,0.202824,0.265194,0.001312,0.000352,0.911235
0.422288,0.017761,0.202312,0.258954,0.001376,0.000448,0.910147
0.421425,0.017536,0.202504,0.273515,0.001344,0.000416,0.924004
0.416593,0.017504,0.222473,0.258474,0.001312,0.000384,0.924101
0.416593,0.017697,0.202408,0.257354,0.001440,0.000384,0.903972
0.420465,0.017793,0.202312,0.255306,0.001472,0.000416,0.905316
0.420145,0.017568,0.202344,0.250538,0.001344,0.000384,0.899811
0.420528,0.017793,0.202472,0.248170,0.001408,0.000640,0.898179
0.415984,0.017537,0.202056,0.259146,0.001344,0.000416,0.903427
0.420209,0.017760,0.202184,0.256490,0.001345,0.000448,0.905604
0.434161,0.017761,0.202376,0.255850,0.001248,0.000416,0.918948
0.420496,0.017537,0.201992,0.253706,0.001344,0.000416,0.902691
0.416912,0.017537,0.202280,0.263914,0.001376,0.000448,0.909859
0.420689,0.017504,0.202920,0.265995,0.001216,0.000384,0.915140
0.420881,0.017665,0.203080,0.260010,0.001504,0.000640,0.911236
0.416784,0.017729,0.202376,0.257610,0.001216,0.000352,0.901827
0.415312,0.017377,0.202152,0.271882,0.001184,0.000352,0.914051
0.435601,0.017632,0.202568,0.269835,0.001344,0.000352,0.932900
0.416977,0.017728,0.202216,0.238634,0.001312,0.000352,0.883139
0.416208,0.017505,0.202056,0.263786,0.001216,0.000352,0.907235
0.415985,0.017792,0.202247,0.281547,0.001440,0.000448,0.926757
0.416656,0.017697,0.202728,0.264106,0.001216,0.000448,0.908835
0.418960,0.017505,0.202376,0.243465,0.001185,0.000416,0.890563
0.417328,0.017600,0.202568,0.253578,0.001248,0.000416,0.898851
0.440977,0.017537,0.202376,0.264586,0.001312,0.000384,0.935493
0.421073,0.017440,0.202152,0.264811,0.001184,0.000416,0.913316
0.415953,0.017632,0.201992,0.236490,0.001152,0.000416,0.879299
0.417552,0.017473,0.204008,0.265770,0.001280,0.000384,0.913123
