Layer[0],Layer[1],Layer[2],IN[3],INFER[3-8],OUT[8],TEE[3-8],Layer[9],Layer[10],classifier
0.511215,0.017920,0.196710,0.121316,0.120772,0.063041,0.309193,0.002753,0.000544,1.044767
0.398892,0.017920,0.193478,0.146724,0.127684,0.085923,0.364875,0.002176,0.000448,0.985213
0.397644,0.017472,0.193126,0.131716,0.112387,0.064002,0.311305,0.001184,0.000448,0.926171
0.398476,0.017472,0.191974,0.133188,0.108067,0.070498,0.315625,0.001728,0.000448,0.932315
0.396684,0.017536,0.192038,0.137380,0.106211,0.065570,0.313001,0.001472,0.000352,0.926907
0.411949,0.017568,0.191654,0.141924,0.106019,0.069058,0.321001,0.001376,0.000416,0.949725
0.397260,0.017408,0.191750,0.131524,0.109443,0.065250,0.309897,0.001408,0.000320,0.924123
0.396524,0.017408,0.192102,0.135812,0.108899,0.064514,0.312617,0.001376,0.000320,0.926331
0.396300,0.017824,0.209158,0.137860,0.119459,0.065218,0.326186,0.001312,0.000320,0.957692
0.396428,0.017472,0.192134,0.139012,0.107747,0.066754,0.317001,0.001536,0.000448,0.930651
0.397483,0.017601,0.193798,0.135140,0.110691,0.069058,0.318313,0.001408,0.000416,0.935195
0.398188,0.017504,0.192454,0.137316,0.155077,0.082434,0.379467,0.001536,0.000480,0.995837
0.397164,0.017600,0.192390,0.136004,0.110467,0.065570,0.316137,0.001408,0.000416,0.931035
0.396491,0.017376,0.192678,0.136004,0.105347,0.063938,0.308777,0.001472,0.000448,0.923419
0.397388,0.017569,0.191941,0.122692,0.104739,0.063170,0.293929,0.001472,0.000480,0.908443
0.413677,0.017504,0.191910,0.132132,0.109315,0.065186,0.310089,0.001472,0.000480,0.941052
0.397100,0.017441,0.191973,0.127332,0.106467,0.065314,0.303017,0.001536,0.000352,0.916956
0.397068,0.017632,0.192230,0.134340,0.108803,0.068450,0.315081,0.001472,0.000352,0.929659
0.396012,0.017568,0.208294,0.110372,0.108483,0.063298,0.285897,0.001344,0.000352,0.914459
0.398987,0.017312,0.191526,0.117315,0.105347,0.061602,0.287752,0.001376,0.000480,0.902554
0.396491,0.017505,0.191942,0.133091,0.112963,0.064418,0.313737,0.001344,0.000384,0.926747
0.395691,0.017505,0.191750,0.122243,0.108803,0.060898,0.295528,0.001152,0.000352,0.906490
0.397227,0.017569,0.192454,0.119939,0.113220,0.069314,0.307433,0.001280,0.000480,0.921883
0.396428,0.017281,0.191749,0.124644,0.110275,0.061634,0.299433,0.001184,0.000352,0.911003
0.395627,0.017537,0.192037,0.111044,0.111459,0.060962,0.288169,0.001120,0.000384,0.899707
0.396172,0.017377,0.205030,0.104611,0.108643,0.060194,0.278760,0.001184,0.000384,0.903803
0.396172,0.017376,0.191781,0.130692,0.111331,0.062658,0.307881,0.001344,0.000384,0.919803
0.399307,0.017217,0.192742,0.152708,0.102467,0.059682,0.318153,0.001440,0.000416,0.934043
0.396492,0.017440,0.192006,0.137764,0.117988,0.059490,0.318474,0.001408,0.000352,0.930780
0.409196,0.017568,0.192070,0.115811,0.102979,0.063618,0.285736,0.001408,0.000352,0.911258
0.395787,0.017408,0.191942,0.114787,0.118884,0.062242,0.299593,0.001248,0.000320,0.911451
0.396044,0.017344,0.192326,0.112931,0.102851,0.059586,0.278536,0.001280,0.000384,0.891162
0.397132,0.017409,0.193029,0.133763,0.101218,0.058817,0.297160,0.001248,0.000320,0.910747
0.395532,0.017440,0.191654,0.134116,0.100067,0.059586,0.297353,0.001120,0.000352,0.909019
0.396556,0.017632,0.192422,0.105155,0.099843,0.059234,0.267592,0.001120,0.000320,0.880154
0.396524,0.017377,0.191557,0.131300,0.104323,0.062882,0.301929,0.001216,0.000320,0.914427
0.410956,0.017472,0.191973,0.123460,0.103075,0.080034,0.310409,0.001312,0.000384,0.938395
0.399468,0.017632,0.192518,0.126852,0.130563,0.063170,0.323977,0.001312,0.000320,0.940251
0.398828,0.017632,0.192550,0.120132,0.104259,0.063970,0.291401,0.001248,0.000416,0.906683
0.396812,0.017472,0.191686,0.143812,0.130852,0.064258,0.342474,0.001152,0.000384,0.954652
0.396843,0.021057,0.192166,0.116387,0.103267,0.060546,0.283432,0.001184,0.000416,0.899674
0.397643,0.017536,0.192230,0.116003,0.116772,0.059809,0.295881,0.001120,0.000384,0.909435
0.399308,0.017440,0.192966,0.108771,0.118148,0.061281,0.291176,0.001088,0.000288,0.906299
0.409740,0.017504,0.192038,0.157477,0.107715,0.082946,0.351274,0.001185,0.000416,0.976957
0.396299,0.017729,0.191590,0.136676,0.101955,0.062690,0.304393,0.001088,0.000352,0.915835
