Layer[0],Layer[1],Layer[2],IN[3],INFER[3-9],OUT[9],TEE[3-9],Layer[10],classifier
0.501838,0.017824,0.196358,0.153092,0.110628,0.060354,0.328810,0.000864,1.052671
0.397132,0.017537,0.193253,0.147269,0.109155,0.062466,0.322954,0.000576,0.938716
0.395052,0.017312,0.192614,0.107587,0.104035,0.060386,0.275336,0.000608,0.885274
0.411725,0.017536,0.192262,0.120163,0.112452,0.061986,0.299177,0.000512,0.925180
0.394091,0.017409,0.191878,0.116579,0.117316,0.060193,0.299112,0.000576,0.907130
0.393964,0.017441,0.191589,0.112548,0.104067,0.060066,0.281289,0.000480,0.888219
0.395340,0.017537,0.192229,0.145637,0.109219,0.079362,0.338058,0.000640,0.949756
0.394188,0.017568,0.191622,0.131300,0.102499,0.070338,0.306889,0.000512,0.914459
0.395244,0.017408,0.191558,0.128676,0.106563,0.061602,0.299913,0.000544,0.908379
0.394220,0.017440,0.192102,0.136804,0.102691,0.059586,0.302153,0.000608,0.910267
0.416972,0.017601,0.192102,0.134244,0.102019,0.062081,0.302089,0.000608,0.933372
0.394347,0.017281,0.191941,0.101059,0.112932,0.060098,0.278665,0.000576,0.886362
0.395404,0.017280,0.192454,0.115108,0.103107,0.059745,0.281416,0.000544,0.892091
0.394475,0.017409,0.191525,0.114852,0.118979,0.059938,0.298281,0.000640,0.906202
0.394668,0.017313,0.191557,0.109380,0.101795,0.059009,0.274408,0.000640,0.882714
0.394667,0.017217,0.191557,0.112356,0.102179,0.059682,0.277353,0.000544,0.885242
0.395084,0.017440,0.191718,0.129444,0.102371,0.060162,0.295145,0.000544,0.904923
0.394252,0.017440,0.210599,0.120291,0.101923,0.059298,0.284936,0.000576,0.911899
0.394092,0.017248,0.191622,0.107651,0.102051,0.058882,0.271784,0.000544,0.878874
0.394060,0.017345,0.191557,0.120100,0.101059,0.061698,0.285929,0.000544,0.894011
0.394412,0.017920,0.191654,0.122467,0.109060,0.067490,0.302409,0.000672,0.911483
0.407564,0.017377,0.191558,0.137860,0.104739,0.061314,0.307209,0.000608,0.928828
0.394380,0.017440,0.191718,0.121155,0.103556,0.060417,0.288552,0.000608,0.897210
0.394668,0.017280,0.191622,0.111107,0.103427,0.061314,0.278888,0.000512,0.888186
0.394604,0.017344,0.191398,0.142276,0.116100,0.063330,0.326122,0.000608,0.933852
0.394156,0.017217,0.191237,0.127140,0.103523,0.062786,0.296713,0.000576,0.904123
0.395052,0.017696,0.191462,0.128260,0.105027,0.061762,0.298377,0.000768,0.907995
0.395083,0.017793,0.191173,0.106212,0.104451,0.062690,0.276585,0.000544,0.885946
0.408620,0.017344,0.191654,0.126564,0.102179,0.060162,0.293289,0.000704,0.915611
0.394155,0.017377,0.191206,0.131268,0.104259,0.065282,0.304297,0.000640,0.912155
0.394219,0.017473,0.191366,0.107203,0.103203,0.063106,0.277000,0.000544,0.884442
0.394028,0.017472,0.191142,0.124484,0.119299,0.073155,0.320906,0.000544,0.928540
0.393995,0.017248,0.191558,0.112931,0.102563,0.062722,0.281608,0.000576,0.888922
0.394123,0.017249,0.191654,0.143044,0.101219,0.064546,0.312585,0.000608,0.919899
0.393932,0.017504,0.191078,0.106723,0.102211,0.065634,0.279016,0.000576,0.885754
0.408204,0.017473,0.191397,0.105412,0.100835,0.059489,0.269576,0.000576,0.890970
0.394828,0.017504,0.191398,0.136900,0.107299,0.092771,0.340170,0.000608,0.949116
0.394764,0.017249,0.191461,0.127236,0.104515,0.062338,0.297385,0.000608,0.905339
0.395244,0.017505,0.191429,0.134116,0.102691,0.059970,0.299977,0.000640,0.909243
0.394027,0.017345,0.191398,0.150788,0.102435,0.060226,0.316617,0.000608,0.924187
0.394507,0.017409,0.191397,0.153572,0.102371,0.060066,0.319209,0.000640,0.927515
0.395019,0.017409,0.191686,0.103939,0.102435,0.058946,0.269288,0.000672,0.877722
0.413420,0.017601,0.191430,0.157252,0.104835,0.062818,0.328169,0.000608,0.956092
0.395915,0.017153,0.191653,0.127876,0.102435,0.060290,0.295177,0.000544,0.903962
0.394700,0.017504,0.191462,0.154917,0.102339,0.060161,0.320617,0.000672,0.929243
0.393964,0.017313,0.191493,0.147685,0.103875,0.059681,0.314506,0.000672,0.921692
0.394571,0.017409,0.191301,0.149541,0.102883,0.059554,0.315338,0.000608,0.923643
0.395532,0.017600,0.191174,0.123076,0.101251,0.059457,0.287048,0.000544,0.896091
0.394828,0.017313,0.191685,0.131652,0.102531,0.064770,0.302729,0.000576,0.911515
0.394156,0.030113,0.191845,0.102531,0.103779,0.059777,0.270632,0.000576,0.892026
0.394955,0.017537,0.191846,0.160516,0.103139,0.061538,0.328489,0.000544,0.939611
0.394507,0.017505,0.191877,0.104932,0.100547,0.059041,0.267688,0.000576,0.876025
0.394667,0.017473,0.191654,0.128356,0.102627,0.061825,0.296136,0.000576,0.905019
0.394187,0.017441,0.191462,0.137572,0.101763,0.061857,0.304329,0.000544,0.912283
0.395500,0.017408,0.191558,0.133572,0.102339,0.061538,0.300713,0.000576,0.910107
0.394284,0.017537,0.254407,0.132196,0.103459,0.062274,0.301769,0.000640,0.974877
0.423341,0.017441,0.192101,0.132132,0.112260,0.061345,0.309161,0.000640,0.947260
0.394700,0.017217,0.191493,0.123492,0.102691,0.060546,0.290025,0.000512,0.898139
0.394699,0.017377,0.191814,0.124675,0.103331,0.060130,0.291464,0.000512,0.899994
0.394668,0.017152,0.192006,0.135876,0.114948,0.064257,0.319753,0.000577,0.927900
