Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-10],classifier
0.522613,0.018112,0.207497,0.005280,0.204328,1.035497
0.418640,0.017696,0.204264,0.005217,0.177542,0.897219
0.416112,0.017793,0.202664,0.004896,0.163718,0.871650
0.415472,0.017793,0.203656,0.005248,0.184391,0.898179
0.420369,0.017696,0.202440,0.004865,0.174758,0.889603
0.417265,0.017504,0.202696,0.004864,0.185288,0.896163
0.415472,0.017473,0.202696,0.004960,0.180263,0.887170
0.429617,0.017600,0.202632,0.004865,0.174982,0.897507
0.416848,0.017505,0.202792,0.004896,0.173767,0.887523
0.415248,0.017440,0.202088,0.004992,0.215881,0.925348
0.415088,0.017217,0.202792,0.004800,0.168103,0.876834
0.415601,0.017408,0.202535,0.004897,0.171142,0.878787
0.415377,0.017793,0.202535,0.004801,0.178087,0.883875
0.415312,0.017761,0.202472,0.004864,0.177351,0.882658
0.419761,0.017665,0.216232,0.005312,0.189384,0.915908
0.415760,0.017633,0.202504,0.004768,0.183847,0.890979
0.414832,0.017249,0.202856,0.004800,0.193255,0.906275
0.415600,0.017377,0.202632,0.004832,0.220073,0.927332
0.426737,0.017569,0.202152,0.004768,0.178631,0.896259
0.415056,0.017729,0.202824,0.004800,0.163686,0.873314
0.419440,0.017601,0.204712,0.005088,0.236009,0.960453
0.416528,0.017408,0.220169,0.005152,0.210664,0.937797
0.421329,0.017825,0.206568,0.005056,0.269291,1.002152
0.417040,0.017632,0.203272,0.005376,0.186440,0.900515
0.415792,0.017728,0.203240,0.005216,0.184072,0.895331
0.415345,0.017248,0.202824,0.004961,0.191815,0.910116
0.415792,0.017537,0.202216,0.005504,0.179879,0.891555
0.415632,0.017728,0.202152,0.005216,0.173415,0.876835
0.415217,0.017568,0.215721,0.005120,0.174983,0.897859
0.414608,0.017441,0.202120,0.004768,0.165606,0.871298
0.419441,0.017601,0.202119,0.004801,0.202696,0.912228
0.414640,0.017665,0.202376,0.004768,0.190791,0.903747
0.427057,0.017632,0.204104,0.004769,0.198951,0.921028
0.415537,0.017664,0.203048,0.004801,0.180263,0.886627
0.415056,0.017505,0.203432,0.004832,0.183911,0.896099
0.415760,0.017537,0.202344,0.005216,0.189704,0.896483
0.415344,0.017505,0.202312,0.004832,0.174727,0.887779
0.414832,0.017632,0.202120,0.005024,0.173735,0.877059
0.415216,0.017441,0.202056,0.004800,0.173703,0.890691
0.427088,0.017473,0.202600,0.005280,0.194568,0.927524
0.414544,0.017409,0.202184,0.004800,0.201672,0.912484
0.414896,0.017473,0.202824,0.004800,0.165095,0.874274
0.415280,0.017633,0.202312,0.004768,0.167495,0.873090
0.414992,0.017601,0.202248,0.005024,0.169319,0.879426
0.414672,0.017537,0.202120,0.004768,0.169863,0.876418
0.415281,0.017376,0.202376,0.005056,0.205000,0.919364
0.415344,0.017440,0.218569,0.005088,0.170215,0.892611
0.414960,0.017409,0.202120,0.004800,0.166502,0.878338
0.414608,0.017281,0.202279,0.005057,0.157638,0.867329
0.414800,0.017665,0.202664,0.004800,0.190215,0.901443
0.438002,0.017280,0.202504,0.004736,0.176807,0.904420
0.416785,0.017696,0.202696,0.005185,0.182343,0.897732
0.415184,0.017441,0.201992,0.004768,0.198408,0.911619
0.414672,0.017473,0.202472,0.004800,0.163302,0.866690
0.419889,0.017601,0.202567,0.004833,0.173222,0.908452
0.415152,0.017441,0.203208,0.004768,0.177991,0.901347
0.415376,0.017729,0.202856,0.004800,0.182951,0.889059
0.419600,0.017633,0.219369,0.005120,0.208264,0.940933
0.415089,0.017376,0.202120,0.004800,0.202696,0.911652
0.414960,0.017409,0.202472,0.004800,0.165862,0.873250
0.414928,0.017377,0.202632,0.004800,0.164935,0.870306
0.428848,0.017569,0.202344,0.005280,0.166695,0.887746
