Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-10],OUT[10],TEE[4-10],classifier
0.512655,0.018049,0.195813,0.004865,0.082978,0.102435,0.067586,0.256935,0.995069
0.400588,0.017440,0.193158,0.004832,0.112323,0.106212,0.069794,0.291913,0.913467
0.397452,0.017281,0.193445,0.004961,0.107587,0.124803,0.085794,0.322857,0.941564
0.397772,0.017441,0.192229,0.004833,0.101219,0.124995,0.065346,0.295080,0.912251
0.398028,0.017505,0.192613,0.004832,0.142116,0.109091,0.072418,0.328201,0.947228
0.397132,0.017473,0.192805,0.004768,0.101731,0.107011,0.065250,0.277801,0.894715
0.411436,0.017505,0.192262,0.004896,0.107523,0.115139,0.065410,0.291720,0.922363
0.396012,0.017344,0.192550,0.004800,0.109283,0.123012,0.073378,0.309769,0.924859
0.396268,0.017472,0.192774,0.004864,0.110627,0.101859,0.061858,0.277672,0.893434
0.396940,0.017408,0.192742,0.004800,0.116932,0.114755,0.079074,0.314217,0.930395
0.397132,0.017505,0.192133,0.004833,0.115971,0.108803,0.071906,0.300552,0.917307
0.399180,0.018816,0.193670,0.005344,0.156229,0.112931,0.074146,0.347402,0.971740
0.401452,0.018241,0.193158,0.004832,0.117763,0.106564,0.073346,0.303017,0.926236
0.412684,0.017952,0.192742,0.005344,0.102691,0.108228,0.062754,0.278473,0.911803
0.397644,0.017857,0.192805,0.005056,0.115684,0.105475,0.066146,0.291081,0.910971
0.398092,0.017345,0.192678,0.005152,0.109635,0.119267,0.070658,0.303049,0.921020
0.397708,0.017408,0.211367,0.005248,0.105859,0.106211,0.068706,0.284360,0.921787
0.396908,0.017312,0.193030,0.004800,0.101667,0.113763,0.062626,0.281672,0.897978
0.397132,0.017568,0.191910,0.004832,0.105251,0.101379,0.060770,0.270952,0.886906
0.396716,0.017408,0.192870,0.004864,0.104195,0.099843,0.068386,0.275752,0.891546
0.413676,0.017601,0.192870,0.004832,0.140836,0.098371,0.069186,0.311593,0.945980
0.398508,0.017408,0.192198,0.004864,0.108899,0.102595,0.065505,0.280360,0.897434
0.397644,0.017568,0.192166,0.004928,0.111203,0.109956,0.063553,0.288328,0.905627
0.398540,0.017568,0.192582,0.004832,0.134532,0.102531,0.063682,0.304489,0.922331
0.398284,0.017761,0.193413,0.004769,0.121123,0.101091,0.065538,0.291784,0.911963
0.398699,0.017761,0.192486,0.004800,0.135172,0.116995,0.064450,0.320329,0.938843
0.397643,0.017633,0.192422,0.004832,0.111555,0.104195,0.065122,0.284392,0.901978
0.416269,0.017568,0.192134,0.004896,0.113411,0.101668,0.064033,0.282376,0.918075
0.396812,0.017504,0.192646,0.004832,0.109763,0.102339,0.063746,0.279112,0.895770
0.397547,0.017632,0.192998,0.004960,0.112675,0.119236,0.066082,0.301417,0.919451
0.396876,0.017536,0.209383,0.005152,0.111363,0.111747,0.064930,0.291752,0.926075
0.397003,0.017857,0.192646,0.005184,0.109571,0.105635,0.065826,0.284584,0.902554
0.397931,0.017473,0.193510,0.004896,0.113059,0.102531,0.064194,0.283624,0.902298
0.396748,0.017377,0.192773,0.004961,0.119139,0.112964,0.068482,0.303945,0.920668
0.397452,0.017633,0.192645,0.004864,0.118468,0.109955,0.068034,0.300361,0.919131
0.396907,0.017825,0.192230,0.004864,0.113123,0.103779,0.065154,0.285256,0.901530
0.399724,0.017793,0.193317,0.005249,0.115619,0.100835,0.062018,0.281704,0.902683
0.399724,0.017536,0.211527,0.005280,0.108259,0.102307,0.062978,0.277320,0.916571
0.399884,0.017697,0.192229,0.004832,0.110115,0.111427,0.067170,0.292168,0.911707
0.400844,0.017537,0.192517,0.004929,0.110499,0.099171,0.063682,0.276584,0.897019
0.398444,0.017568,0.192294,0.004864,0.112835,0.109924,0.065378,0.291465,0.909467
0.398476,0.017793,0.192933,0.004897,0.110979,0.100515,0.067554,0.282568,0.901211
0.399692,0.017761,0.192517,0.004832,0.104771,0.100291,0.063329,0.272137,0.892123
0.396620,0.017760,0.192134,0.004896,0.117860,0.103971,0.067202,0.292233,0.908731
0.397164,0.017760,0.210918,0.005217,0.116003,0.109507,0.070210,0.300329,0.937404
0.397131,0.017473,0.192134,0.004832,0.108931,0.102659,0.064514,0.279656,0.895674
0.396076,0.017536,0.192422,0.004960,0.115716,0.110115,0.065666,0.295145,0.911291
0.396332,0.017569,0.191909,0.005217,0.113443,0.111811,0.063042,0.291592,0.907163
0.396460,0.017504,0.192102,0.005280,0.107491,0.111651,0.065569,0.288104,0.904443
0.397708,0.017536,0.192006,0.005024,0.107939,0.100323,0.067618,0.279400,0.896538
0.396588,0.017537,0.192005,0.004832,0.117156,0.124580,0.070594,0.315722,0.931900
0.396236,0.017312,0.210471,0.005472,0.117571,0.115140,0.068802,0.304777,0.939964
0.395884,0.017600,0.192550,0.004896,0.114468,0.109859,0.065026,0.292457,0.908539
0.397004,0.017408,0.192294,0.004832,0.115555,0.105732,0.064514,0.289129,0.905947
0.396204,0.017696,0.192262,0.005056,0.118884,0.103939,0.065154,0.291209,0.908379
0.398380,0.017568,0.192006,0.005408,0.106723,0.104259,0.064193,0.279336,0.897754
0.396108,0.017568,0.192870,0.004896,0.102915,0.102659,0.066498,0.276008,0.892922
0.396364,0.017313,0.192453,0.005056,0.108004,0.100931,0.063138,0.275337,0.890971
0.415180,0.017440,0.192326,0.005120,0.100547,0.101155,0.069826,0.274920,0.909946
0.396427,0.017569,0.191686,0.004960,0.109251,0.106499,0.068098,0.287112,0.902458
0.397067,0.017376,0.192006,0.004928,0.104963,0.103203,0.063778,0.275464,0.892026
0.396524,0.017632,0.192293,0.004960,0.112548,0.104931,0.064930,0.286025,0.902427
0.395787,0.017601,0.191781,0.004865,0.103747,0.100227,0.068930,0.276712,0.891963
0.396908,0.017728,0.191974,0.004896,0.111651,0.105379,0.066241,0.287272,0.904059
0.397644,0.017856,0.191942,0.005344,0.116644,0.104803,0.063010,0.288233,0.906523
0.422764,0.017473,0.192677,0.004993,0.110691,0.104675,0.065346,0.284520,0.927931
0.397835,0.017568,0.193030,0.005120,0.120612,0.107523,0.069474,0.301353,0.924699
0.397195,0.017600,0.192198,0.004928,0.112675,0.109892,0.065985,0.292105,0.908923
0.396491,0.017313,0.191398,0.004864,0.108611,0.102531,0.104707,0.319529,0.934587
0.396780,0.017600,0.191654,0.004800,0.110179,0.103235,0.065314,0.281896,0.897242
0.396907,0.017537,0.191686,0.004832,0.110115,0.103779,0.063618,0.280744,0.896250
0.397036,0.017568,0.191654,0.004864,0.112356,0.104835,0.063202,0.283977,0.902203
0.421644,0.017537,0.192550,0.005216,0.127876,0.108515,0.066722,0.306505,0.948636
0.397356,0.017568,0.193190,0.004832,0.115140,0.101603,0.064674,0.284969,0.904219
0.397292,0.017440,0.192550,0.005248,0.111427,0.102947,0.065122,0.282921,0.900507
0.397259,0.017409,0.192166,0.005088,0.106947,0.102915,0.085827,0.299241,0.915707
0.396492,0.017536,0.192166,0.004864,0.112452,0.103363,0.065410,0.284521,0.901275
0.397483,0.017537,0.191654,0.004896,0.108707,0.102467,0.065442,0.280104,0.896154
0.396172,0.017729,0.193606,0.004864,0.127300,0.103491,0.065698,0.299977,0.919100
0.415437,0.017600,0.192262,0.005184,0.114148,0.109635,0.065410,0.292681,0.928284
0.396844,0.017376,0.192998,0.005152,0.116675,0.107299,0.065154,0.292681,0.910171
0.397323,0.017504,0.192390,0.005152,0.118403,0.106884,0.065378,0.294473,0.912315
0.395660,0.017537,0.191813,0.005313,0.113571,0.123364,0.069250,0.310505,0.925468
0.396491,0.017729,0.193094,0.005248,0.113987,0.105219,0.065666,0.288296,0.906746
0.396556,0.017856,0.192294,0.005216,0.105987,0.112067,0.069474,0.290793,0.907451
0.397227,0.017313,0.192454,0.004960,0.108547,0.103171,0.062978,0.278120,0.894746
0.414988,0.017409,0.192806,0.004832,0.118179,0.104579,0.065217,0.291368,0.926140
0.395980,0.017569,0.192293,0.004865,0.108579,0.101667,0.064514,0.278088,0.893499
