Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.513012,0.017793,0.205352,0.004832,0.199720,0.000960,0.014081,0.000416,0.001472,0.002656,0.000576,0.970822
0.417296,0.017889,0.203656,0.005216,0.248170,0.000736,0.014976,0.000416,0.001536,0.001825,0.000352,0.921892
0.415920,0.017569,0.203080,0.004960,0.216265,0.000704,0.015104,0.000416,0.001601,0.001184,0.000608,0.885539
0.420560,0.020897,0.202440,0.005280,0.253738,0.000736,0.014849,0.000448,0.001472,0.001216,0.000352,0.930916
0.415888,0.017729,0.202472,0.005312,0.235657,0.000768,0.014593,0.000448,0.001536,0.001120,0.000384,0.905315
0.416273,0.017728,0.202760,0.005345,0.233385,0.000672,0.014464,0.000352,0.001441,0.001248,0.000416,0.902788
0.441649,0.017857,0.202696,0.004864,0.232777,0.000640,0.014209,0.000384,0.001568,0.001216,0.000416,0.927716
0.420592,0.017793,0.203464,0.005024,0.230953,0.000736,0.014817,0.000384,0.001536,0.001152,0.000384,0.905123
0.421617,0.017792,0.202439,0.004929,0.236297,0.000672,0.014209,0.000384,0.001600,0.001120,0.000384,0.911812
0.415057,0.017824,0.202696,0.004800,0.253577,0.000705,0.014112,0.000448,0.001568,0.001120,0.000352,0.921028
0.416241,0.017696,0.202184,0.004865,0.235817,0.000704,0.014112,0.000416,0.001441,0.001152,0.000384,0.905060
0.420784,0.017537,0.202376,0.005344,0.239305,0.000704,0.014208,0.000416,0.001472,0.001664,0.000576,0.914243
0.421072,0.017729,0.202536,0.005248,0.235145,0.000704,0.014369,0.000384,0.001504,0.001664,0.000384,0.909539
0.434801,0.017601,0.202856,0.004928,0.236233,0.000704,0.014496,0.000384,0.001504,0.001120,0.000800,0.924388
0.417649,0.017664,0.202664,0.005313,0.229256,0.000800,0.014080,0.000384,0.001664,0.001120,0.000416,0.899523
0.416433,0.017664,0.202472,0.005313,0.231305,0.000672,0.014048,0.000384,0.001600,0.001153,0.000352,0.899716
0.417840,0.017601,0.202568,0.004896,0.253386,0.000768,0.014337,0.000640,0.001536,0.000992,0.000384,0.924452
0.420657,0.017537,0.202696,0.005280,0.236937,0.000704,0.014497,0.000352,0.001472,0.001568,0.000416,0.911556
0.418353,0.017793,0.204584,0.004928,0.234441,0.000800,0.014209,0.000416,0.001600,0.001184,0.000352,0.907876
0.416624,0.017569,0.203176,0.004896,0.236586,0.000768,0.016096,0.000416,0.001600,0.001120,0.000385,0.908164
0.431473,0.017665,0.203592,0.004928,0.243786,0.000896,0.014433,0.000384,0.001568,0.000992,0.000832,0.930949
0.416848,0.017728,0.202856,0.005057,0.233929,0.000736,0.014592,0.000416,0.001600,0.001024,0.000416,0.905508
0.420273,0.017569,0.203464,0.005312,0.234985,0.000928,0.014497,0.000608,0.001568,0.001056,0.000384,0.909700
0.420209,0.017729,0.219880,0.005344,0.223273,0.000704,0.013985,0.000448,0.001568,0.000992,0.000640,0.913828
0.416016,0.017665,0.202440,0.004800,0.235625,0.000672,0.014081,0.000384,0.001600,0.000992,0.000384,0.902979
0.415664,0.017505,0.202952,0.004800,0.228617,0.000672,0.014433,0.000480,0.001504,0.000992,0.000352,0.896899
0.420273,0.017824,0.202535,0.004897,0.225288,0.000736,0.014368,0.000448,0.001472,0.000992,0.000384,0.898243
0.415505,0.017633,0.202536,0.005152,0.245961,0.000801,0.014368,0.000416,0.001664,0.001024,0.000384,0.916644
0.416144,0.017793,0.201992,0.005216,0.224585,0.000768,0.014176,0.000672,0.001568,0.000961,0.000352,0.893219
0.420496,0.017728,0.202536,0.005312,0.231754,0.000704,0.014144,0.000416,0.001568,0.001216,0.000416,0.906083
0.420784,0.031298,0.203240,0.004864,0.234921,0.000768,0.014113,0.000832,0.001504,0.001024,0.000352,0.922820
0.415824,0.018176,0.202280,0.004864,0.231017,0.000705,0.014560,0.000448,0.001568,0.000960,0.000512,0.899587
0.416144,0.017633,0.202728,0.004800,0.227145,0.000640,0.014561,0.000416,0.001504,0.001056,0.000384,0.895107
0.415504,0.017569,0.202312,0.004768,0.217576,0.000768,0.014721,0.000384,0.001472,0.000992,0.000320,0.884066
0.415888,0.017921,0.201672,0.005248,0.249482,0.000800,0.014401,0.000448,0.001440,0.000928,0.000416,0.916516
0.416689,0.017632,0.202216,0.004993,0.234121,0.000736,0.014240,0.000416,0.001441,0.000928,0.000384,0.901860
0.415441,0.017728,0.202408,0.004801,0.223560,0.001184,0.016864,0.000384,0.001472,0.000896,0.000384,0.893891
0.415440,0.018305,0.217160,0.005056,0.233642,0.000800,0.014240,0.000448,0.001472,0.000896,0.000320,0.917347
0.415729,0.017536,0.202184,0.004865,0.211624,0.000704,0.014464,0.000417,0.001536,0.001056,0.000384,0.878563
0.415408,0.017537,0.202312,0.004896,0.244522,0.001280,0.014785,0.000416,0.001472,0.000896,0.000832,0.914628
0.420369,0.017569,0.202568,0.004832,0.232457,0.000800,0.014145,0.000384,0.002144,0.001120,0.000352,0.905924
0.421616,0.017537,0.202824,0.004832,0.227337,0.000800,0.014753,0.000384,0.001504,0.001120,0.000352,0.902147
0.415120,0.017473,0.202088,0.004800,0.224457,0.000864,0.013985,0.000384,0.001504,0.000864,0.000384,0.889923
0.420080,0.017632,0.201928,0.004864,0.210985,0.000800,0.014592,0.000384,0.001440,0.000992,0.000352,0.882210
0.415312,0.017505,0.215689,0.005248,0.225161,0.000800,0.014560,0.000416,0.001600,0.000864,0.000288,0.906820
0.415537,0.017505,0.201895,0.004897,0.221992,0.000864,0.014305,0.000384,0.001504,0.000832,0.000352,0.888035
0.415632,0.017632,0.202280,0.004832,0.244938,0.000832,0.014369,0.000480,0.001440,0.000736,0.000608,0.913092
0.415344,0.017665,0.202376,0.004800,0.220073,0.000800,0.014368,0.000384,0.001440,0.000897,0.000320,0.886787
0.429105,0.017601,0.201864,0.004864,0.244426,0.000768,0.014048,0.000416,0.001440,0.000928,0.000352,0.923524
0.414960,0.017921,0.202632,0.004864,0.223497,0.000736,0.014305,0.000384,0.001504,0.000960,0.000288,0.890051
0.415248,0.017857,0.203944,0.004800,0.223017,0.000832,0.014272,0.000416,0.001472,0.000928,0.000384,0.891683
0.415408,0.017633,0.202408,0.004832,0.252298,0.000864,0.014560,0.000640,0.001472,0.000928,0.000385,0.919364
0.415153,0.017440,0.201992,0.004833,0.226280,0.000672,0.014049,0.000384,0.001472,0.000992,0.000384,0.891939
0.416016,0.017633,0.202184,0.004800,0.224521,0.000736,0.014113,0.000416,0.001536,0.000960,0.000384,0.891747
0.416784,0.017857,0.204488,0.005248,0.237001,0.000896,0.014593,0.000384,0.001440,0.001120,0.000800,0.909891
0.434385,0.017697,0.202824,0.004960,0.238345,0.000736,0.014656,0.000416,0.001600,0.000992,0.000576,0.926948
0.421105,0.017697,0.202632,0.005344,0.242057,0.000736,0.014273,0.000448,0.001504,0.001216,0.000608,0.917028
0.420304,0.017761,0.202664,0.004864,0.236170,0.000736,0.014240,0.000352,0.001568,0.001088,0.000384,0.909827
0.415472,0.017505,0.202248,0.004832,0.246506,0.001184,0.014689,0.000416,0.001472,0.000896,0.000320,0.916100
0.415952,0.017537,0.202472,0.005280,0.224713,0.001216,0.014625,0.000416,0.001472,0.000928,0.000320,0.895427
0.416528,0.017472,0.201800,0.005312,0.232842,0.000864,0.014400,0.000384,0.001472,0.000960,0.000384,0.901667
0.414992,0.017505,0.202344,0.004800,0.219465,0.000768,0.014304,0.000416,0.001536,0.000864,0.000384,0.886946
0.427089,0.017505,0.202184,0.005056,0.229513,0.000704,0.013921,0.000416,0.001568,0.000896,0.000384,0.907204
0.415856,0.017729,0.201576,0.004864,0.225737,0.000736,0.014241,0.000384,0.001536,0.000896,0.000384,0.892035
0.415473,0.017665,0.201831,0.004897,0.226057,0.000864,0.013920,0.000384,0.001536,0.000992,0.000384,0.891907
0.415984,0.017473,0.201960,0.004896,0.242250,0.000800,0.026849,0.000416,0.001600,0.000864,0.000352,0.922148
0.415536,0.017473,0.202248,0.004800,0.221289,0.000864,0.014464,0.000384,0.001472,0.000768,0.000384,0.888643
0.416273,0.017761,0.202631,0.004769,0.256362,0.000832,0.014208,0.000448,0.001504,0.001025,0.000384,0.924421
0.415601,0.017792,0.201608,0.004801,0.241417,0.000704,0.014433,0.000448,0.001472,0.000896,0.000352,0.907492
0.429457,0.017728,0.201992,0.004897,0.236041,0.000800,0.014528,0.000384,0.001472,0.001024,0.000384,0.918596
0.416305,0.017472,0.202151,0.004833,0.235337,0.000960,0.014561,0.000384,0.001504,0.000992,0.000416,0.904036
0.415696,0.017729,0.202600,0.004864,0.228105,0.000832,0.013953,0.000384,0.001536,0.000864,0.000416,0.895779
0.415888,0.017761,0.202056,0.004864,0.241673,0.000896,0.014145,0.000416,0.001504,0.000960,0.000544,0.908995
0.420209,0.017760,0.202535,0.004929,0.236873,0.000768,0.014049,0.000384,0.001440,0.001152,0.000384,0.909796
0.416432,0.017793,0.202152,0.005248,0.241802,0.000768,0.014176,0.000704,0.001440,0.001088,0.000385,0.910756
0.420624,0.017824,0.202504,0.004864,0.229065,0.000704,0.014529,0.000608,0.001536,0.001184,0.000384,0.903171
0.436945,0.018145,0.202248,0.005376,0.248202,0.000768,0.014177,0.000416,0.001440,0.001152,0.000384,0.938341
0.420464,0.017537,0.202248,0.005280,0.231529,0.000640,0.014081,0.000384,0.001408,0.001184,0.000640,0.904739
0.420497,0.017665,0.202920,0.004992,0.231401,0.000736,0.014336,0.000449,0.001536,0.001216,0.000352,0.905028
0.416273,0.017601,0.202504,0.004928,0.287851,0.001024,0.014369,0.000384,0.001536,0.001056,0.000576,0.957574
0.420720,0.017825,0.202504,0.004928,0.236778,0.000704,0.014624,0.000352,0.001536,0.001216,0.000576,0.911555
0.420977,0.017697,0.202184,0.004896,0.234889,0.000704,0.014209,0.000416,0.001504,0.001024,0.000800,0.908644
0.421073,0.017568,0.202088,0.004897,0.231369,0.000672,0.014784,0.000608,0.001536,0.001025,0.000608,0.905444
0.436657,0.017665,0.202344,0.005312,0.234057,0.000768,0.014145,0.000384,0.001536,0.001120,0.000416,0.923076
0.415377,0.017633,0.202023,0.004865,0.224648,0.000672,0.014272,0.000480,0.001600,0.001120,0.000640,0.891971
0.416625,0.017633,0.202087,0.004801,0.235561,0.000736,0.014593,0.000416,0.001504,0.001024,0.000352,0.905252
0.416720,0.017729,0.201864,0.004864,0.246154,0.000768,0.014208,0.000384,0.001408,0.000961,0.000320,0.914532
0.420465,0.017536,0.202120,0.004865,0.232105,0.000736,0.014112,0.000608,0.001472,0.000961,0.000320,0.903940
0.420272,0.017985,0.202152,0.004832,0.229609,0.000704,0.014209,0.000416,0.001472,0.000896,0.000352,0.901699
0.420688,0.017569,0.202408,0.004832,0.225513,0.000704,0.014561,0.000384,0.001504,0.001088,0.000416,0.898499
0.438034,0.017697,0.202183,0.004865,0.241705,0.000768,0.014433,0.000416,0.001440,0.001056,0.000352,0.933221
0.416848,0.017729,0.201768,0.004896,0.231881,0.000704,0.014337,0.000416,0.001472,0.001152,0.000384,0.900515
0.420049,0.017505,0.202280,0.004800,0.233833,0.000672,0.014401,0.000384,0.001440,0.001024,0.000320,0.905636
0.420464,0.017729,0.220521,0.005120,0.236937,0.000672,0.013953,0.000448,0.001504,0.001024,0.000384,0.928644
0.416048,0.017505,0.201928,0.004800,0.221929,0.000704,0.014112,0.000416,0.001472,0.001120,0.000384,0.888995
0.415664,0.018017,0.202408,0.004960,0.228233,0.000768,0.014145,0.000416,0.001472,0.001152,0.000384,0.896899
0.420497,0.017600,0.202216,0.004865,0.228713,0.000704,0.014176,0.000608,0.001440,0.001088,0.000352,0.901699
0.440146,0.017985,0.201927,0.004897,0.228937,0.000704,0.014400,0.000608,0.001440,0.001120,0.000544,0.921765
0.420273,0.017536,0.202536,0.004833,0.229545,0.000704,0.014112,0.000384,0.001536,0.000960,0.000384,0.902083
0.420401,0.017825,0.202312,0.005312,0.248137,0.000672,0.014080,0.000672,0.001504,0.001056,0.000384,0.921348
0.416657,0.017760,0.219913,0.005120,0.238666,0.000672,0.014272,0.000384,0.001536,0.001121,0.000800,0.927525
0.420176,0.017568,0.201928,0.004864,0.232297,0.000704,0.014464,0.000352,0.001408,0.001024,0.000352,0.903907
0.416368,0.017601,0.202120,0.005344,0.229129,0.000640,0.014273,0.000384,0.001440,0.000928,0.000384,0.897475
0.415440,0.017633,0.202120,0.004928,0.230185,0.000672,0.014145,0.000384,0.001472,0.001056,0.000384,0.897187
0.420465,0.017601,0.202056,0.005120,0.231945,0.000704,0.014048,0.000416,0.001408,0.000960,0.000384,0.903812
0.419793,0.017921,0.201640,0.004896,0.235529,0.000704,0.014497,0.000352,0.001472,0.001024,0.000416,0.907524
0.420048,0.017569,0.202280,0.004832,0.230921,0.000768,0.014049,0.000384,0.001440,0.001664,0.000384,0.903427
0.416785,0.043938,0.202632,0.005248,0.237001,0.001152,0.014689,0.000416,0.001472,0.001472,0.000576,0.935141
0.415952,0.017729,0.201864,0.004832,0.236201,0.000704,0.014209,0.000416,0.001504,0.001568,0.000352,0.904515
0.416112,0.017761,0.202728,0.005248,0.234601,0.000736,0.014273,0.000384,0.001376,0.001120,0.000576,0.905123
0.417873,0.017665,0.202696,0.004832,0.229417,0.000736,0.014016,0.000448,0.001505,0.001120,0.000608,0.900740
0.416112,0.017729,0.201928,0.004864,0.228649,0.000704,0.014433,0.000416,0.001568,0.001120,0.000384,0.897411
0.417616,0.017569,0.203752,0.005312,0.239050,0.000704,0.014464,0.000384,0.001472,0.001121,0.000352,0.909796
0.416720,0.018017,0.202952,0.004864,0.228105,0.000736,0.014944,0.000448,0.001472,0.001248,0.000640,0.899107
0.438321,0.017825,0.203016,0.004896,0.237865,0.000672,0.014016,0.000640,0.001536,0.001152,0.000384,0.929284
0.417424,0.017729,0.202728,0.004832,0.236842,0.000768,0.014752,0.000640,0.001568,0.001120,0.000384,0.908420
