Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-4],OUT[4],TEE[4-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.527919,0.017729,0.195302,0.005216,0.121699,0.086019,0.064802,0.276360,0.001024,0.014880,0.000448,0.001504,0.012288,0.000576,1.062559
0.397420,0.017633,0.194053,0.005121,0.121763,0.082083,0.063842,0.271240,0.000960,0.014368,0.000416,0.001472,0.001824,0.000576,0.913627
0.396427,0.017473,0.193062,0.005056,0.117123,0.080835,0.063266,0.264584,0.000928,0.014592,0.000704,0.001504,0.001440,0.000544,0.904218
0.415372,0.017633,0.192805,0.004928,0.123556,0.088291,0.066882,0.282217,0.001248,0.015712,0.000640,0.001504,0.001632,0.000544,0.942715
0.396267,0.017345,0.192550,0.005056,0.115107,0.084643,0.065634,0.268744,0.000960,0.015136,0.000608,0.001472,0.001472,0.000640,0.907834
0.395948,0.017697,0.192485,0.004993,0.116483,0.080450,0.067106,0.267367,0.000865,0.015168,0.000448,0.001536,0.001344,0.000608,0.906363
0.397324,0.017633,0.192453,0.005121,0.136036,0.086242,0.062498,0.288232,0.000736,0.014561,0.000416,0.001504,0.001408,0.000384,0.927484
0.397995,0.017440,0.192390,0.005088,0.119556,0.083010,0.066914,0.272712,0.000704,0.014945,0.000416,0.001504,0.001312,0.000448,0.912987
0.397132,0.017568,0.192262,0.005120,0.118276,0.082530,0.063458,0.267368,0.000704,0.014400,0.000608,0.001472,0.001376,0.000384,0.905915
0.396843,0.017377,0.192134,0.005120,0.117731,0.082691,0.061474,0.264968,0.000768,0.014208,0.000640,0.001472,0.001184,0.000352,0.902362
0.413037,0.017440,0.192166,0.005120,0.122532,0.093122,0.065218,0.284168,0.000672,0.014209,0.000416,0.001504,0.001184,0.000416,0.937820
0.396172,0.017568,0.192198,0.004928,0.117636,0.081794,0.066210,0.268872,0.000640,0.014433,0.000448,0.001440,0.001216,0.000384,0.905627
0.396459,0.017441,0.192358,0.004832,0.121507,0.081955,0.066818,0.273672,0.000640,0.014496,0.000416,0.001472,0.001152,0.000385,0.911163
0.398508,0.017537,0.209286,0.005344,0.119428,0.089922,0.067650,0.280264,0.000928,0.014561,0.000416,0.001440,0.001184,0.000384,0.938716
0.396876,0.017408,0.191910,0.005184,0.121284,0.081474,0.064002,0.269928,0.000928,0.014497,0.000576,0.001504,0.001120,0.000384,0.908955
0.397035,0.017600,0.191558,0.005120,0.123076,0.084162,0.063970,0.274280,0.000928,0.014720,0.000417,0.001504,0.001184,0.000352,0.913019
0.395596,0.017536,0.192390,0.005216,0.128100,0.083075,0.065602,0.280137,0.000928,0.014752,0.000640,0.001696,0.001312,0.000384,0.917755
0.396076,0.017376,0.191654,0.005120,0.122052,0.083042,0.064930,0.273448,0.000928,0.014881,0.000448,0.001568,0.001376,0.000384,0.911323
0.396076,0.017568,0.191942,0.005056,0.121540,0.085410,0.077411,0.287657,0.000832,0.014784,0.000416,0.001504,0.001312,0.000448,0.925531
0.399467,0.017600,0.191846,0.005024,0.117219,0.083427,0.062946,0.266984,0.000864,0.014336,0.000384,0.001504,0.001184,0.000416,0.907194
0.413484,0.017696,0.192038,0.005344,0.113316,0.094018,0.065698,0.276232,0.000928,0.014977,0.000384,0.001440,0.001248,0.000384,0.932219
0.395820,0.017408,0.191782,0.005088,0.114564,0.083458,0.064930,0.266216,0.000736,0.014785,0.000640,0.001472,0.001216,0.000384,0.903419
0.396076,0.017600,0.191942,0.004928,0.118372,0.083042,0.062818,0.267688,0.000736,0.014561,0.000672,0.001472,0.001344,0.000416,0.904891
0.396940,0.017632,0.192486,0.005184,0.156709,0.089410,0.067010,0.316617,0.001345,0.015552,0.000672,0.001440,0.001216,0.000416,0.958876
0.396715,0.017665,0.192294,0.005120,0.115363,0.084451,0.066210,0.269544,0.000896,0.015168,0.000608,0.001504,0.001664,0.000384,0.910138
0.399051,0.017377,0.191878,0.005088,0.114851,0.083811,0.064866,0.266792,0.000928,0.014624,0.000640,0.001440,0.001184,0.000352,0.907162
0.397644,0.017505,0.191781,0.005185,0.114691,0.083714,0.064354,0.265863,0.000896,0.014561,0.000608,0.001568,0.001184,0.000416,0.904539
0.413196,0.017568,0.191846,0.005024,0.124292,0.085666,0.067874,0.281512,0.000864,0.014753,0.000384,0.001472,0.001856,0.000352,0.937692
0.398124,0.017568,0.191910,0.005280,0.115011,0.085698,0.064994,0.269096,0.000864,0.014529,0.000608,0.001440,0.001152,0.000384,0.908955
0.395531,0.017312,0.192230,0.004960,0.115299,0.084355,0.066178,0.269384,0.001120,0.014304,0.000640,0.001568,0.001248,0.000384,0.906779
0.395468,0.017377,0.209958,0.005184,0.122724,0.090210,0.066337,0.282473,0.001120,0.014528,0.000640,0.001472,0.001280,0.000384,0.938236
0.397548,0.017536,0.191622,0.005120,0.122724,0.082946,0.070274,0.279240,0.000672,0.014529,0.000384,0.001504,0.001216,0.000384,0.918011
0.395916,0.017632,0.192070,0.005056,0.126084,0.084451,0.067746,0.281385,0.000896,0.014944,0.000384,0.001600,0.001184,0.000416,0.920059
0.395596,0.017473,0.191877,0.005088,0.116772,0.085698,0.065090,0.270984,0.000672,0.014337,0.000608,0.001408,0.001216,0.000384,0.907675
0.396172,0.017472,0.191942,0.004832,0.114916,0.084578,0.070114,0.272936,0.000672,0.014529,0.000672,0.001568,0.001152,0.000416,0.910459
0.397356,0.017600,0.192326,0.004992,0.115300,0.084130,0.066530,0.269192,0.000672,0.014817,0.000608,0.001440,0.001184,0.000480,0.908635
0.396523,0.017472,0.191686,0.004832,0.115331,0.082755,0.063490,0.264616,0.000672,0.014240,0.000416,0.001504,0.001152,0.000384,0.901178
0.416236,0.017792,0.192069,0.005184,0.127332,0.087075,0.067714,0.286985,0.000672,0.014400,0.000640,0.001440,0.001344,0.000416,0.945627
0.397388,0.017601,0.191717,0.005153,0.115203,0.083267,0.062817,0.264775,0.000704,0.014337,0.000672,0.001440,0.001184,0.000416,0.903003
0.395948,0.017376,0.191334,0.005056,0.121188,0.083106,0.063394,0.271048,0.000704,0.014273,0.000672,0.001504,0.001152,0.000384,0.907035
0.396460,0.017376,0.191526,0.004800,0.120548,0.099683,0.071970,0.295433,0.001056,0.014976,0.000416,0.001472,0.001152,0.000416,0.933660
0.398028,0.017440,0.191430,0.005184,0.123076,0.083106,0.065154,0.274600,0.000800,0.015105,0.000672,0.001536,0.001120,0.000384,0.915067
0.397644,0.017568,0.191526,0.005120,0.125508,0.085571,0.074018,0.288521,0.000672,0.014944,0.000704,0.001504,0.001184,0.000384,0.928347
0.395852,0.017569,0.191845,0.005025,0.121891,0.083619,0.063970,0.273000,0.000736,0.014816,0.000448,0.001536,0.001216,0.000384,0.910619
0.414924,0.017857,0.191366,0.004800,0.119299,0.090819,0.067234,0.280616,0.000736,0.014560,0.000640,0.001505,0.001184,0.000480,0.937468
0.396780,0.017601,0.191621,0.005088,0.114180,0.086370,0.066658,0.270632,0.000641,0.014848,0.000704,0.001536,0.001184,0.000384,0.909755
0.397964,0.017536,0.191718,0.005088,0.115940,0.084802,0.066882,0.270920,0.000800,0.014785,0.000352,0.001504,0.001184,0.000352,0.910651
0.397100,0.017472,0.210886,0.005504,0.116419,0.093699,0.064098,0.277512,0.000768,0.014240,0.000384,0.001472,0.001088,0.000384,0.935228
0.396588,0.017344,0.191622,0.004800,0.118148,0.083586,0.064066,0.269064,0.000736,0.014337,0.000416,0.001472,0.001056,0.000384,0.905883
0.397995,0.017665,0.191718,0.005088,0.115619,0.086147,0.063458,0.268328,0.000768,0.014464,0.000416,0.001440,0.001120,0.000352,0.907290
0.395980,0.017536,0.191398,0.005120,0.119076,0.083362,0.065986,0.271880,0.000672,0.014529,0.000448,0.001568,0.001184,0.000448,0.908635
0.398187,0.017600,0.191270,0.004832,0.114083,0.087331,0.063554,0.268296,0.000800,0.014400,0.000704,0.001504,0.001120,0.000352,0.907002
0.395948,0.017601,0.191493,0.005120,0.129700,0.082659,0.067874,0.284073,0.000832,0.014848,0.000448,0.001568,0.001152,0.000384,0.922075
0.396299,0.017408,0.191398,0.005056,0.124804,0.084546,0.064450,0.276968,0.000768,0.014401,0.000352,0.001536,0.001280,0.000416,0.913627
0.410252,0.017665,0.192421,0.004864,0.122148,0.090659,0.067010,0.283369,0.001024,0.014528,0.000448,0.001536,0.001184,0.000384,0.948444
0.396235,0.017537,0.191782,0.005344,0.122435,0.083747,0.079714,0.289032,0.000672,0.014721,0.000704,0.001472,0.001120,0.000352,0.926907
0.395659,0.017600,0.192006,0.005088,0.120132,0.081794,0.063906,0.268936,0.000960,0.014784,0.000640,0.001504,0.001152,0.000416,0.907291
0.396683,0.017665,0.191814,0.004960,0.117347,0.083555,0.082658,0.287240,0.000800,0.014721,0.000384,0.001472,0.001152,0.000352,0.925051
0.395371,0.017569,0.191782,0.005120,0.115651,0.082819,0.062690,0.264296,0.000736,0.014208,0.000384,0.001440,0.001056,0.000384,0.899738
