Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.535061,0.017601,0.207336,0.005152,0.210504,0.016385,0.000544,0.001728,0.002304,0.000608,1.007655
0.418065,0.017344,0.204616,0.004801,0.250793,0.015809,0.000480,0.001952,0.001152,0.000352,0.924868
0.416912,0.017377,0.203752,0.005024,0.252074,0.018433,0.000480,0.001536,0.001088,0.000352,0.924836
0.416272,0.017281,0.204904,0.004800,0.243274,0.015552,0.000737,0.001504,0.000960,0.000384,0.915716
0.416528,0.017697,0.203272,0.004864,0.239178,0.016640,0.000480,0.001504,0.001025,0.000352,0.910852
0.429553,0.017313,0.202824,0.005088,0.245066,0.015520,0.000512,0.001440,0.001056,0.000608,0.928197
0.415952,0.017473,0.202920,0.004832,0.225577,0.014561,0.000448,0.001408,0.001024,0.000352,0.893571
0.420688,0.017505,0.203848,0.005024,0.239978,0.015776,0.000512,0.001632,0.001472,0.000352,0.917028
0.416720,0.017441,0.216105,0.004896,0.227401,0.015968,0.000512,0.001504,0.001120,0.000352,0.911652
0.420305,0.017569,0.203624,0.004896,0.229001,0.014433,0.000512,0.001632,0.001216,0.000608,0.903300
0.415985,0.017537,0.202536,0.004896,0.234281,0.014625,0.000512,0.001632,0.001120,0.000384,0.903140
0.416656,0.017601,0.205416,0.004800,0.239977,0.014656,0.000512,0.001440,0.001024,0.000416,0.911875
0.419793,0.017537,0.202696,0.004832,0.237449,0.015393,0.000480,0.001568,0.001280,0.000384,0.910500
0.420688,0.017344,0.202504,0.004832,0.230985,0.014304,0.000448,0.001536,0.001280,0.000832,0.904387
0.420272,0.017313,0.202344,0.004992,0.230185,0.014337,0.000448,0.001504,0.001152,0.000384,0.901283
0.436529,0.017632,0.202695,0.004833,0.241993,0.017185,0.000512,0.001536,0.001120,0.000352,0.935268
0.420272,0.017409,0.202024,0.004928,0.223625,0.014657,0.000512,0.001568,0.001248,0.000352,0.895075
0.420336,0.017409,0.202312,0.004896,0.229225,0.014369,0.000480,0.001504,0.001152,0.000352,0.901251
0.420080,0.017569,0.202088,0.004800,0.231753,0.014432,0.000544,0.001504,0.001153,0.000352,0.919684
0.420496,0.017473,0.202216,0.004800,0.231593,0.014433,0.000512,0.001504,0.001152,0.000352,0.903587
0.420465,0.017312,0.202248,0.004897,0.231113,0.014464,0.000512,0.001632,0.001152,0.000320,0.903651
0.419920,0.018049,0.202280,0.004896,0.232393,0.014337,0.000576,0.001568,0.001056,0.000352,0.904355
0.452434,0.017344,0.202216,0.004833,0.258826,0.014240,0.000512,0.001601,0.001184,0.000384,0.963622
0.420496,0.018017,0.204072,0.004896,0.228009,0.014241,0.000512,0.001568,0.001216,0.000320,0.902723
0.420464,0.017344,0.202408,0.004832,0.230921,0.014464,0.000480,0.001504,0.001056,0.000320,0.903107
0.421008,0.017344,0.202152,0.004864,0.256938,0.016032,0.000512,0.001504,0.001184,0.000384,0.930116
0.416625,0.017440,0.202376,0.005152,0.229704,0.014528,0.000544,0.001632,0.001184,0.000320,0.898755
0.420177,0.017536,0.202087,0.004801,0.223656,0.014241,0.000544,0.001536,0.001088,0.000320,0.894723
0.420400,0.017473,0.202696,0.004832,0.244362,0.014497,0.000480,0.001536,0.001088,0.000384,0.917700
0.435505,0.017504,0.202280,0.004897,0.233065,0.014528,0.000512,0.001536,0.001057,0.000352,0.920324
0.419857,0.017504,0.201992,0.005217,0.236585,0.014337,0.000480,0.001600,0.001216,0.000416,0.908932
0.419921,0.017536,0.202216,0.005248,0.230217,0.015104,0.000512,0.001536,0.001152,0.000352,0.902851
0.419856,0.017377,0.233161,0.005089,0.232105,0.015232,0.000544,0.001568,0.001056,0.000352,0.935397
0.419537,0.017409,0.202375,0.004833,0.233033,0.014176,0.000512,0.001536,0.000992,0.000352,0.903108
0.420625,0.017473,0.202696,0.004832,0.225321,0.014208,0.000480,0.001600,0.001120,0.000320,0.897316
0.420785,0.017568,0.204072,0.004897,0.229449,0.014336,0.000480,0.001600,0.001024,0.000352,0.904676
0.415984,0.017409,0.202568,0.004896,0.223561,0.014240,0.000544,0.001568,0.001089,0.000384,0.891523
0.419984,0.017568,0.202120,0.004832,0.225193,0.014113,0.000512,0.001472,0.001184,0.000832,0.896771
0.419856,0.017248,0.202600,0.004800,0.219625,0.014177,0.000544,0.001536,0.001248,0.000352,0.890147
0.419633,0.017473,0.220648,0.005025,0.220552,0.014177,0.000480,0.001568,0.001088,0.000384,0.909252
0.420177,0.017473,0.202696,0.004928,0.217512,0.014305,0.000512,0.001600,0.001024,0.000384,0.891491
0.415569,0.017504,0.202568,0.004832,0.226056,0.015457,0.000480,0.001536,0.001152,0.000416,0.894307
0.419729,0.017345,0.202248,0.004864,0.251562,0.014240,0.000512,0.001568,0.001281,0.000352,0.921989
0.415760,0.017377,0.202440,0.004896,0.234153,0.015137,0.000480,0.001472,0.001120,0.000352,0.902371
0.420112,0.017313,0.202312,0.004800,0.225417,0.014337,0.000480,0.001600,0.001152,0.000320,0.896195
0.420368,0.017505,0.202440,0.004768,0.232361,0.015169,0.000544,0.001536,0.001088,0.000320,0.905987
0.435985,0.017601,0.203432,0.004768,0.237321,0.014529,0.000480,0.001472,0.001280,0.000320,0.927012
0.415664,0.017313,0.201992,0.005120,0.235113,0.015072,0.000448,0.001536,0.001184,0.000352,0.903107
0.420465,0.017504,0.202152,0.004801,0.237289,0.014336,0.000513,0.001536,0.001056,0.000352,0.908964
0.415665,0.017472,0.202184,0.004833,0.255946,0.014336,0.000544,0.001536,0.001120,0.000352,0.923076
0.420688,0.017249,0.202536,0.004896,0.237802,0.014528,0.000480,0.001536,0.001056,0.000384,0.910756
0.420337,0.017345,0.202120,0.004928,0.248042,0.016608,0.000544,0.001632,0.001120,0.000352,0.923205
0.420240,0.017569,0.202184,0.004800,0.234057,0.014465,0.000576,0.001568,0.001152,0.000384,0.906051
0.436049,0.017537,0.202728,0.004832,0.229225,0.014305,0.000512,0.001536,0.001120,0.000352,0.917860
0.420496,0.017568,0.202664,0.004928,0.233802,0.014400,0.000512,0.001536,0.001152,0.000352,0.906531
0.415793,0.017376,0.202184,0.004928,0.236233,0.014368,0.000512,0.001568,0.000992,0.000320,0.903236
0.420497,0.017376,0.220297,0.004960,0.259338,0.016609,0.000480,0.001504,0.001152,0.000320,0.951621
0.420432,0.017473,0.202856,0.004896,0.229289,0.014369,0.000480,0.001568,0.001152,0.000352,0.901092
0.415600,0.017505,0.202120,0.004800,0.235817,0.015553,0.000512,0.001472,0.001056,0.000384,0.904355
0.415792,0.017249,0.202248,0.004864,0.228105,0.014337,0.000448,0.001504,0.001056,0.000320,0.894339
0.420529,0.017536,0.202280,0.004865,0.223048,0.014337,0.000448,0.001568,0.001120,0.000384,0.895587
0.420240,0.017504,0.202280,0.004896,0.232458,0.015840,0.000480,0.001536,0.001088,0.000352,0.906179
0.420144,0.017408,0.202440,0.004928,0.234122,0.014560,0.000512,0.001536,0.001152,0.000320,0.906435
0.421713,0.017761,0.221896,0.005089,0.236809,0.014241,0.000544,0.001536,0.001152,0.000320,0.929957
0.420337,0.017505,0.202504,0.004928,0.236777,0.014433,0.000544,0.001600,0.001152,0.000352,0.909156
0.416304,0.017441,0.202216,0.004832,0.241066,0.014560,0.000512,0.001600,0.001152,0.000384,0.910244
0.415888,0.017504,0.202056,0.004896,0.229801,0.014240,0.000448,0.001472,0.001120,0.000352,0.896259
0.420240,0.017377,0.202344,0.004928,0.231369,0.016353,0.000544,0.001600,0.001152,0.000352,0.906083
0.420337,0.017344,0.203304,0.004800,0.227752,0.015520,0.000480,0.001504,0.001152,0.000384,0.901667
0.420049,0.017376,0.202472,0.004929,0.233161,0.014272,0.000480,0.001632,0.001185,0.000320,0.904036
0.434929,0.017377,0.202184,0.004864,0.234121,0.014721,0.000480,0.001536,0.001184,0.000320,0.921988
0.417232,0.017313,0.202568,0.004832,0.231689,0.014689,0.000512,0.001536,0.001248,0.000384,0.901091
0.420304,0.017377,0.201832,0.004864,0.236874,0.014496,0.000576,0.001536,0.001120,0.000384,0.908739
0.421008,0.017377,0.202184,0.004864,0.253834,0.014177,0.000480,0.001600,0.001184,0.000352,0.926436
0.420177,0.017376,0.202312,0.004865,0.223016,0.014433,0.000512,0.001504,0.001120,0.000352,0.895427
0.420720,0.017569,0.202216,0.004864,0.233417,0.014369,0.000544,0.001600,0.001280,0.000384,0.905891
0.420368,0.017313,0.202280,0.004800,0.223593,0.014433,0.000480,0.001536,0.001056,0.000384,0.895011
0.437073,0.017505,0.202504,0.005312,0.228841,0.014432,0.000512,0.001632,0.001217,0.000384,0.919076
0.421169,0.017313,0.202248,0.004832,0.235593,0.016321,0.000512,0.001440,0.001088,0.000352,0.910372
0.420208,0.017313,0.202568,0.004832,0.234761,0.015873,0.000512,0.001568,0.001056,0.000384,0.907491
0.420144,0.017569,0.202472,0.004896,0.247882,0.015681,0.000512,0.001536,0.001152,0.000416,0.922948
0.420977,0.017473,0.202760,0.004928,0.234633,0.015745,0.000512,0.001568,0.001120,0.000800,0.909092
0.420945,0.017633,0.202824,0.004800,0.231785,0.014433,0.000480,0.001472,0.001120,0.000384,0.904388
0.420113,0.017313,0.202312,0.004928,0.235625,0.014337,0.000512,0.001632,0.001216,0.000832,0.908484
0.435057,0.017345,0.202440,0.004832,0.257802,0.014593,0.000480,0.001632,0.001216,0.000384,0.946405
0.420560,0.017441,0.202952,0.005088,0.232809,0.014305,0.000544,0.001504,0.001056,0.000352,0.905667
0.420881,0.017536,0.202408,0.005281,0.230281,0.014336,0.000512,0.001440,0.001120,0.000384,0.903427
0.416113,0.017441,0.220616,0.004992,0.229545,0.014240,0.000480,0.001472,0.001024,0.000352,0.914980
