Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-5],OUT[5],TEE[4-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.511684,0.017792,0.206977,0.005312,0.125504,0.084641,0.064160,0.279009,0.014272,0.000544,0.001504,0.013408,0.000416,1.060072
0.418531,0.017440,0.204033,0.005248,0.123137,0.083745,0.062816,0.272834,0.015584,0.000544,0.001696,0.001504,0.000384,0.946182
0.416131,0.017248,0.203202,0.005024,0.108641,0.099360,0.066721,0.278114,0.014976,0.000512,0.001440,0.001536,0.000288,0.945127
0.416195,0.017408,0.203169,0.004896,0.115649,0.080193,0.061632,0.260706,0.014688,0.000608,0.001696,0.001248,0.000352,0.929478
0.417091,0.017313,0.203073,0.004832,0.121313,0.082209,0.066432,0.273282,0.017056,0.000576,0.001600,0.001728,0.000384,0.945031
0.416771,0.017472,0.202978,0.004928,0.123489,0.083808,0.069473,0.279906,0.014816,0.000736,0.001568,0.001248,0.000416,0.949447
0.430915,0.017664,0.203202,0.004832,0.118080,0.082977,0.066624,0.271009,0.014497,0.000512,0.001376,0.001216,0.000416,0.953319
0.415395,0.017409,0.202785,0.004864,0.122977,0.082465,0.066336,0.275170,0.014624,0.000544,0.001472,0.001056,0.000416,0.941511
0.415363,0.017344,0.202562,0.004928,0.118144,0.091457,0.064001,0.276866,0.014080,0.000352,0.001920,0.001152,0.000384,0.941607
0.414979,0.033184,0.202913,0.005088,0.117217,0.083713,0.062848,0.266978,0.015808,0.000512,0.001344,0.001152,0.000384,0.949926
0.415971,0.017696,0.202626,0.004864,0.123457,0.083712,0.064545,0.275458,0.014496,0.000768,0.001632,0.001184,0.000416,0.942279
0.415363,0.017664,0.202881,0.005280,0.133120,0.083808,0.065985,0.286722,0.014848,0.000416,0.001344,0.001184,0.000576,0.955271
0.420131,0.018048,0.205985,0.005281,0.179841,0.084800,0.065889,0.334978,0.015744,0.000768,0.001664,0.001824,0.000576,1.013927
0.416931,0.017472,0.203650,0.005312,0.111777,0.084352,0.064193,0.263586,0.014720,0.000512,0.001504,0.001312,0.000608,0.932551
0.416515,0.017312,0.203329,0.005312,0.120193,0.086529,0.067296,0.277442,0.014528,0.000448,0.001536,0.001152,0.000384,0.945382
0.415875,0.017344,0.203138,0.005024,0.115649,0.085888,0.067681,0.272706,0.014752,0.000480,0.001600,0.001376,0.000384,0.940519
0.416163,0.017344,0.203010,0.004864,0.112768,0.086593,0.066144,0.268961,0.014848,0.000416,0.001568,0.001376,0.000384,0.935399
0.416387,0.017409,0.203009,0.005024,0.112065,0.081888,0.065089,0.262242,0.015136,0.000448,0.001472,0.001440,0.000832,0.930887
0.415843,0.017472,0.203394,0.005280,0.138817,0.087200,0.066593,0.295554,0.014624,0.000544,0.001376,0.001504,0.000352,0.962439
0.433027,0.017376,0.202913,0.005216,0.113473,0.084833,0.064192,0.265858,0.014720,0.000544,0.001504,0.001248,0.000352,0.949543
0.416259,0.017568,0.203106,0.004960,0.121857,0.083072,0.063457,0.272066,0.014816,0.000512,0.001696,0.001504,0.000384,0.940327
