Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-6],OUT[6],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.493871,0.017824,0.195206,0.005280,0.095875,0.095683,0.075490,0.271112,0.001120,0.002816,0.003040,0.000576,1.000798
0.397516,0.017569,0.192485,0.005089,0.142916,0.098723,0.077058,0.322953,0.001120,0.003584,0.001728,0.000416,0.950588
0.396268,0.017664,0.192358,0.005344,0.111940,0.096866,0.063681,0.276040,0.000960,0.003297,0.002080,0.000416,0.902427
0.395467,0.017249,0.192294,0.004832,0.111299,0.101539,0.063394,0.279496,0.000896,0.002848,0.001152,0.000352,0.901082
0.394924,0.017760,0.192870,0.005344,0.119620,0.099811,0.066114,0.289673,0.000928,0.002976,0.001152,0.000416,0.912891
0.395564,0.017825,0.192293,0.004833,0.095202,0.096099,0.062978,0.257703,0.000928,0.002752,0.000832,0.000384,0.878938
0.394859,0.017569,0.211302,0.005504,0.116804,0.104387,0.076130,0.300553,0.000704,0.002880,0.001248,0.000416,0.942300
0.395435,0.017729,0.192198,0.004864,0.116515,0.097091,0.067394,0.284072,0.000640,0.005120,0.001216,0.000384,0.908219
0.395244,0.017600,0.192326,0.004864,0.117476,0.109219,0.065634,0.295529,0.000768,0.002720,0.001152,0.000352,0.917659
0.394955,0.018081,0.191813,0.005409,0.119043,0.095971,0.063426,0.281352,0.000704,0.003168,0.001344,0.000288,0.903738
0.394572,0.017825,0.191813,0.005280,0.118500,0.097827,0.067650,0.287273,0.000800,0.002528,0.001152,0.000352,0.908059
0.394827,0.017505,0.191717,0.005281,0.115139,0.104515,0.064866,0.287912,0.000768,0.003040,0.001216,0.000416,0.909082
0.395628,0.017536,0.191366,0.004896,0.113955,0.097603,0.063618,0.278440,0.000704,0.002464,0.001248,0.000416,0.899514
0.409740,0.020321,0.192326,0.005312,0.118851,0.103395,0.064833,0.290632,0.000769,0.002400,0.001152,0.000384,0.930108
0.394892,0.017472,0.191686,0.004928,0.115908,0.096771,0.065538,0.281481,0.000768,0.002944,0.001184,0.000384,0.902971
0.394636,0.017601,0.191269,0.004992,0.117475,0.098627,0.065442,0.284936,0.000736,0.004768,0.001280,0.000352,0.908155
0.394827,0.017472,0.191462,0.005088,0.120227,0.102467,0.065025,0.290920,0.000769,0.005216,0.001248,0.000416,0.913659
0.394891,0.017313,0.191142,0.004832,0.118755,0.096675,0.064002,0.282536,0.000768,0.005344,0.001216,0.000448,0.904986
0.395148,0.017472,0.191430,0.004864,0.116932,0.097347,0.072322,0.290409,0.000768,0.002592,0.001216,0.000416,0.911195
0.394860,0.017409,0.191621,0.004832,0.118820,0.101635,0.068514,0.292297,0.000704,0.002720,0.001280,0.000384,0.913179
0.410604,0.017729,0.191653,0.005312,0.122980,0.104387,0.072354,0.303465,0.000864,0.003424,0.001121,0.000480,0.942780
0.395276,0.017409,0.191621,0.004961,0.116483,0.095875,0.063458,0.279080,0.000736,0.002944,0.001152,0.000384,0.900667
0.395660,0.017728,0.191654,0.004960,0.121348,0.100323,0.066146,0.291433,0.000672,0.002720,0.001408,0.000448,0.913979
0.395115,0.017601,0.191525,0.005376,0.118723,0.117188,0.082882,0.322505,0.000832,0.005152,0.001312,0.000384,0.946876
0.395051,0.018016,0.191686,0.004864,0.116387,0.099971,0.063394,0.283144,0.000704,0.005377,0.001248,0.000416,0.907131
0.394668,0.017568,0.191846,0.004864,0.115843,0.101795,0.065377,0.285992,0.000672,0.002496,0.001184,0.000384,0.905947
0.394604,0.017632,0.191366,0.004928,0.105891,0.093923,0.069954,0.272712,0.000640,0.002592,0.001184,0.000384,0.892410
0.410476,0.017569,0.191717,0.004896,0.116388,0.100707,0.066946,0.288553,0.000768,0.002400,0.001248,0.000448,0.925435
0.395051,0.017601,0.191622,0.004928,0.117123,0.098307,0.064258,0.282728,0.000736,0.002208,0.001344,0.000384,0.903770
0.395948,0.017568,0.191494,0.004864,0.120164,0.100131,0.068194,0.292137,0.000736,0.002656,0.001344,0.000352,0.914715
0.395435,0.017409,0.191365,0.004897,0.116995,0.115140,0.077474,0.313769,0.000672,0.002720,0.001280,0.000448,0.935195
0.395275,0.017377,0.191174,0.005120,0.120835,0.099491,0.067490,0.291048,0.000672,0.002560,0.001376,0.000417,0.912059
0.395628,0.017537,0.191397,0.005280,0.117796,0.101443,0.069474,0.292265,0.000768,0.002528,0.001312,0.000416,0.913883
0.395051,0.017729,0.191558,0.005248,0.116515,0.097635,0.065186,0.282568,0.000672,0.003264,0.001184,0.000384,0.904666
0.412748,0.017313,0.191333,0.005281,0.120035,0.104003,0.067586,0.294984,0.000768,0.002880,0.001217,0.000416,0.933884
0.395660,0.017536,0.191334,0.005056,0.118756,0.098755,0.064417,0.285096,0.000832,0.003072,0.001152,0.000416,0.906715
0.395724,0.017345,0.191397,0.004960,0.114852,0.097731,0.062818,0.278633,0.000704,0.002720,0.001248,0.000448,0.899547
0.395243,0.017665,0.211046,0.005376,0.115812,0.100995,0.063842,0.283753,0.000768,0.002272,0.001248,0.000384,0.924795
0.394571,0.017505,0.191430,0.004832,0.115459,0.096931,0.064290,0.280168,0.000672,0.002528,0.001152,0.000384,0.900250
0.395467,0.017569,0.191654,0.004832,0.115555,0.093955,0.063394,0.276232,0.000800,0.002400,0.001344,0.000352,0.897754
0.395276,0.017600,0.191270,0.005248,0.119780,0.097923,0.065314,0.286761,0.000864,0.004544,0.001248,0.000384,0.910299
0.395340,0.017408,0.191398,0.004896,0.120132,0.099586,0.065857,0.288968,0.000800,0.002688,0.001408,0.000384,0.910139
0.395244,0.017633,0.191397,0.004896,0.117124,0.098755,0.065954,0.285193,0.000800,0.003168,0.001248,0.000384,0.906939
0.394988,0.017601,0.191333,0.004896,0.114916,0.103939,0.068130,0.290473,0.000768,0.003200,0.001248,0.000416,0.911515
0.395915,0.017537,0.208870,0.005568,0.112964,0.101315,0.068418,0.286057,0.000704,0.005184,0.001312,0.000416,0.928507
0.394668,0.017505,0.191333,0.004864,0.114724,0.101507,0.066178,0.285545,0.000800,0.005088,0.001184,0.000448,0.908123
0.394443,0.017505,0.191206,0.004864,0.114019,0.097667,0.063362,0.278184,0.000768,0.003200,0.001184,0.000352,0.897946
0.395051,0.017377,0.191334,0.004864,0.112931,0.098467,0.061954,0.276808,0.000736,0.002464,0.001184,0.000480,0.897338
0.397868,0.017632,0.194949,0.004800,0.113924,0.101443,0.066530,0.285353,0.000768,0.002528,0.001216,0.000384,0.913243
0.395660,0.017536,0.192102,0.005536,0.115523,0.097539,0.066626,0.282792,0.000736,0.002304,0.001249,0.000352,0.904443
0.395404,0.017824,0.191910,0.005376,0.117380,0.097667,0.063042,0.281737,0.000768,0.002496,0.001184,0.000384,0.903515
0.395820,0.017569,0.208518,0.005408,0.121668,0.103459,0.077570,0.305897,0.000736,0.002432,0.001248,0.000352,0.945372
0.396651,0.017569,0.192102,0.004896,0.116771,0.104643,0.064866,0.289576,0.000768,0.002721,0.001312,0.000416,0.913051
0.395180,0.017377,0.192421,0.004864,0.121796,0.103331,0.067138,0.296169,0.000832,0.002688,0.001408,0.000352,0.918971
0.394700,0.017505,0.191973,0.004865,0.145092,0.096739,0.065666,0.311017,0.000704,0.002304,0.001184,0.000416,0.931132
0.395468,0.017408,0.192038,0.004832,0.115844,0.099555,0.064449,0.283048,0.000737,0.002400,0.001216,0.000384,0.903739
0.395532,0.017344,0.191398,0.004896,0.113316,0.094818,0.064386,0.275688,0.000768,0.002369,0.001152,0.000416,0.895835
0.395116,0.017537,0.191589,0.004832,0.107300,0.100579,0.066338,0.277417,0.000768,0.002560,0.001120,0.000448,0.897883
0.416268,0.017505,0.191590,0.005024,0.104867,0.098787,0.066306,0.273512,0.000704,0.002528,0.001376,0.000416,0.916443
0.395755,0.017408,0.191334,0.005024,0.114371,0.097763,0.064866,0.280488,0.000992,0.002656,0.001312,0.000416,0.901082
0.395308,0.017504,0.191366,0.004896,0.111555,0.097411,0.065506,0.278248,0.000768,0.002752,0.001345,0.000384,0.899899
0.395660,0.017409,0.191493,0.005248,0.105924,0.094338,0.072739,0.276265,0.000768,0.018560,0.001568,0.000544,0.914203
0.395243,0.017440,0.191334,0.005312,0.111587,0.095939,0.063970,0.274696,0.000800,0.002464,0.001312,0.000352,0.895258
0.394891,0.017537,0.191558,0.004896,0.109475,0.098211,0.062242,0.272808,0.000704,0.002400,0.001248,0.000416,0.892570
