Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-7],Layer[8],Layer[9],Layer[10],classifier
0.511156,0.017889,0.208872,0.004928,0.213896,0.002304,0.010912,0.000576,0.979111
0.418544,0.017921,0.203592,0.005024,0.260490,0.002848,0.001537,0.000608,0.919588
0.417041,0.017536,0.203432,0.005313,0.240713,0.002496,0.001408,0.000352,0.897123
0.416112,0.017505,0.203176,0.005120,0.238121,0.002400,0.001088,0.000353,0.890915
0.416785,0.017665,0.221640,0.005248,0.262826,0.002272,0.001088,0.000384,0.935237
0.416241,0.017632,0.202664,0.005313,0.257610,0.002304,0.001024,0.000384,0.910628
0.420528,0.018305,0.202920,0.005152,0.262347,0.002464,0.001024,0.000384,0.922148
0.416497,0.017280,0.202760,0.005089,0.259626,0.002400,0.001088,0.000416,0.912868
0.421777,0.017313,0.202344,0.004928,0.255114,0.002304,0.001024,0.000352,0.912708
0.415952,0.017472,0.202728,0.005312,0.248202,0.002560,0.001088,0.000416,0.901603
0.415857,0.017408,0.203111,0.005057,0.246825,0.002593,0.000960,0.000416,0.899204
0.433937,0.017664,0.203016,0.005249,0.278955,0.002240,0.000992,0.000384,0.950053
0.416432,0.017633,0.203432,0.005216,0.258570,0.002496,0.001184,0.000384,0.914147
0.416304,0.017793,0.202536,0.004864,0.236457,0.002368,0.000992,0.000352,0.888610
0.416464,0.017569,0.202600,0.004928,0.270347,0.002272,0.001152,0.000416,0.923300
0.416401,0.017281,0.202119,0.005249,0.233833,0.002304,0.001024,0.000384,0.886051
0.420816,0.017249,0.202312,0.004832,0.248586,0.002336,0.001056,0.000384,0.905699
0.415568,0.017441,0.202664,0.005056,0.239786,0.002304,0.000992,0.000416,0.891363
0.434001,0.017569,0.202600,0.004832,0.234442,0.002240,0.000992,0.000416,0.904932
0.415856,0.017472,0.202152,0.005248,0.241450,0.002112,0.001024,0.000384,0.893379
0.416528,0.017313,0.203624,0.005120,0.240234,0.002272,0.001056,0.000384,0.894819
0.415408,0.017217,0.202504,0.004896,0.256618,0.002304,0.001024,0.000416,0.908420
0.417393,0.017569,0.204200,0.005248,0.252458,0.002656,0.001280,0.000352,0.910116
0.416176,0.017761,0.202568,0.005248,0.250218,0.002272,0.001024,0.000352,0.903395
0.416592,0.017345,0.202472,0.004832,0.244650,0.002336,0.001024,0.000384,0.897315
0.431409,0.017344,0.202888,0.005153,0.265930,0.002400,0.001024,0.000384,0.934852
0.415888,0.017217,0.202120,0.004896,0.240169,0.002977,0.001120,0.000416,0.893283
0.421105,0.017472,0.202951,0.004801,0.258410,0.002432,0.001056,0.000352,0.916740
0.416272,0.017505,0.202248,0.005376,0.254666,0.002336,0.001088,0.000384,0.907427
0.416400,0.018305,0.202376,0.004800,0.249194,0.002080,0.001248,0.000384,0.902019
0.415728,0.017729,0.201992,0.005056,0.261386,0.002240,0.001056,0.000384,0.913476
0.420177,0.019680,0.202248,0.005281,0.239721,0.002176,0.001120,0.000416,0.897571
0.430641,0.017601,0.203304,0.004832,0.243497,0.002496,0.001184,0.000384,0.913188
0.421841,0.017569,0.202888,0.004864,0.254282,0.002304,0.001088,0.000352,0.912996
0.416400,0.017473,0.203080,0.004832,0.250186,0.002432,0.000992,0.000384,0.903619
0.420561,0.017601,0.202536,0.005056,0.279051,0.002240,0.001120,0.000416,0.937381
0.416496,0.017537,0.202312,0.005184,0.265994,0.002496,0.001024,0.000416,0.920164
0.421072,0.017569,0.202376,0.004768,0.261802,0.002273,0.001056,0.000416,0.918500
0.415664,0.017696,0.202600,0.004800,0.260235,0.002592,0.001056,0.000384,0.912708
0.433617,0.017409,0.202504,0.005216,0.261546,0.002369,0.000960,0.000416,0.932037
0.416049,0.017504,0.202536,0.005248,0.252362,0.002433,0.001024,0.000352,0.904644
0.416080,0.017345,0.202664,0.004896,0.257450,0.002240,0.001024,0.000352,0.909795
0.417872,0.017632,0.223273,0.005152,0.246250,0.002656,0.001216,0.000384,0.924196
0.421201,0.017569,0.202375,0.005313,0.285515,0.002624,0.001120,0.000352,0.943685
0.417200,0.017441,0.202344,0.004800,0.250954,0.002336,0.001088,0.000384,0.904291
0.420720,0.017441,0.203592,0.004896,0.251786,0.002368,0.001152,0.000384,0.910339
0.416336,0.017505,0.202664,0.005344,0.288139,0.002336,0.001152,0.000384,0.941668
0.416785,0.017505,0.202663,0.004801,0.262890,0.002208,0.001024,0.000416,0.916452
