Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-7],OUT[7],TEE[4-7],Layer[8],Layer[9],Layer[10],classifier
0.514852,0.017632,0.205505,0.005312,0.108033,0.095649,0.060896,0.269506,0.002976,0.002496,0.000576,1.025927
0.431747,0.017600,0.203522,0.005216,0.124609,0.100256,0.065953,0.295746,0.003360,0.001856,0.000576,0.966311
0.417347,0.017504,0.203425,0.004864,0.112737,0.100289,0.064384,0.281058,0.002848,0.001248,0.000384,0.934246
0.417123,0.017376,0.202978,0.004928,0.110592,0.097569,0.062401,0.274498,0.003328,0.001344,0.000640,0.928007
0.417475,0.017313,0.216705,0.004992,0.108161,0.099841,0.066720,0.278082,0.003104,0.001056,0.000640,0.945511
0.415843,0.017696,0.203362,0.005120,0.113216,0.101249,0.065281,0.283458,0.002592,0.000928,0.000384,0.935719
0.420003,0.017440,0.203105,0.004992,0.113569,0.106561,0.064864,0.288834,0.002432,0.000992,0.000416,0.943526
0.415651,0.017856,0.202978,0.005024,0.108384,0.097249,0.062208,0.270850,0.002432,0.001120,0.000384,0.921479
0.416195,0.017697,0.203809,0.005216,0.113985,0.097953,0.066048,0.280834,0.002464,0.001024,0.000384,0.933031
0.416035,0.017472,0.203745,0.005120,0.114337,0.100097,0.064768,0.282786,0.002720,0.001120,0.000352,0.935110
0.416803,0.017664,0.202754,0.005184,0.110241,0.104352,0.064033,0.282434,0.002656,0.001056,0.000576,0.934663
0.429603,0.017472,0.203841,0.005024,0.111425,0.099425,0.065120,0.279938,0.002528,0.001152,0.000608,0.945798
0.420355,0.017632,0.203074,0.005024,0.121025,0.097920,0.066913,0.289378,0.003072,0.001408,0.000384,0.946535
0.421251,0.017568,0.202593,0.005312,0.113377,0.097217,0.064064,0.278050,0.002720,0.001216,0.000385,0.934823
0.420739,0.017248,0.202530,0.005248,0.139105,0.097377,0.064192,0.304642,0.002816,0.001248,0.000416,0.961255
0.420259,0.017376,0.202914,0.005056,0.119713,0.102240,0.070113,0.295618,0.002752,0.001216,0.000416,0.951783
0.421699,0.017344,0.202977,0.005216,0.113953,0.097697,0.065376,0.280194,0.002784,0.001216,0.000384,0.937798
0.421187,0.017409,0.204289,0.005280,0.115873,0.098529,0.065728,0.283490,0.002784,0.001184,0.000384,0.942503
0.420675,0.017408,0.202914,0.005024,0.122241,0.097280,0.066305,0.289346,0.002784,0.001120,0.000384,0.945831
0.417475,0.017664,0.202721,0.005280,0.123617,0.099169,0.066624,0.293250,0.002688,0.001184,0.000352,0.947750
0.415747,0.017472,0.202562,0.005280,0.118817,0.100192,0.066081,0.288674,0.002688,0.001312,0.000416,0.940679
0.433539,0.017664,0.203361,0.005089,0.128000,0.099137,0.066177,0.297218,0.002816,0.001280,0.000608,0.968231
0.416131,0.017377,0.202721,0.005344,0.113153,0.097729,0.067968,0.282242,0.002624,0.001248,0.000384,0.934343
0.416163,0.017600,0.202850,0.005088,0.116481,0.101152,0.063713,0.285186,0.002656,0.001312,0.000608,0.937959
0.415715,0.017280,0.202657,0.005216,0.135329,0.097473,0.063616,0.300098,0.002688,0.001248,0.000352,0.951302
0.415811,0.017312,0.202594,0.005280,0.115681,0.096192,0.063841,0.279394,0.002688,0.001248,0.000416,0.930791
0.415971,0.017472,0.202785,0.005056,0.116897,0.099649,0.065568,0.285218,0.002720,0.001280,0.000608,0.936966
0.415971,0.017536,0.202498,0.005088,0.120481,0.098017,0.065664,0.287522,0.002688,0.001344,0.000352,0.939463
0.415683,0.017312,0.202818,0.005024,0.117793,0.098112,0.066657,0.287842,0.002752,0.001120,0.000640,0.939367
