Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-8],OUT[8],TEE[4-8],Layer[9],Layer[10],classifier
0.496078,0.018049,0.195494,0.005088,0.093219,0.096867,0.059361,0.253287,0.003072,0.000608,0.978333
0.397580,0.017632,0.193190,0.005088,0.116260,0.098786,0.061729,0.280520,0.002560,0.000416,0.903003
0.415116,0.017537,0.192454,0.005472,0.107395,0.100835,0.063746,0.275368,0.001280,0.000384,0.913755
0.396811,0.017409,0.192486,0.005312,0.114531,0.100547,0.063170,0.281832,0.001280,0.000448,0.901211
0.397996,0.017632,0.192646,0.005312,0.115139,0.102595,0.064929,0.286217,0.001344,0.000448,0.907675
0.396716,0.017505,0.192357,0.005185,0.119491,0.117988,0.081186,0.322505,0.001760,0.000448,0.942044
0.398027,0.017697,0.192070,0.005344,0.113827,0.104547,0.065794,0.288104,0.001376,0.000416,0.909402
0.395947,0.017697,0.192037,0.005409,0.114851,0.100995,0.063170,0.282536,0.001472,0.000416,0.901114
0.397484,0.017601,0.191653,0.005281,0.113603,0.102947,0.066274,0.286536,0.001504,0.000384,0.906267
0.411245,0.017856,0.192102,0.005312,0.117604,0.104227,0.065794,0.291177,0.001600,0.000480,0.926364
0.396940,0.018048,0.191462,0.005312,0.109923,0.101891,0.064866,0.279944,0.001376,0.000448,0.899034
0.395883,0.017632,0.191590,0.005312,0.106851,0.100035,0.063490,0.273416,0.001344,0.000384,0.890682
0.398124,0.017664,0.191398,0.005216,0.117763,0.115427,0.067714,0.304521,0.001408,0.000416,0.924411
0.396140,0.017825,0.192101,0.005153,0.146820,0.098371,0.061634,0.310057,0.001376,0.000416,0.928636
0.397676,0.017441,0.191333,0.005248,0.107940,0.098147,0.061697,0.271016,0.001281,0.000416,0.890139
0.395755,0.017409,0.192006,0.005280,0.111171,0.096195,0.060226,0.270760,0.001440,0.000448,0.888410
0.411596,0.017697,0.191974,0.005440,0.119139,0.110372,0.066242,0.299401,0.001280,0.000416,0.933788
0.396940,0.017856,0.192070,0.005408,0.116580,0.103235,0.066530,0.290121,0.001536,0.000480,0.910331
0.397388,0.017376,0.191494,0.005440,0.113892,0.098723,0.063234,0.278985,0.001600,0.000384,0.898203
0.398283,0.017537,0.191814,0.005280,0.137028,0.105347,0.073090,0.319017,0.001472,0.000448,0.939803
0.396715,0.017760,0.191878,0.005312,0.114019,0.113220,0.063266,0.293865,0.001440,0.000480,0.913115
0.400748,0.017792,0.191622,0.005248,0.111843,0.100291,0.061698,0.277064,0.001376,0.000448,0.899738
0.397196,0.017760,0.191878,0.005088,0.110468,0.101763,0.062754,0.278281,0.001376,0.000480,0.897883
0.415244,0.017824,0.191750,0.005344,0.111812,0.114083,0.064706,0.293929,0.001376,0.000416,0.931483
0.398604,0.017600,0.191974,0.005312,0.113028,0.108195,0.065186,0.289833,0.001344,0.000512,0.910875
0.396140,0.017600,0.192294,0.005312,0.112803,0.101027,0.064929,0.282184,0.001281,0.000416,0.900699
0.397068,0.017856,0.191750,0.005248,0.132996,0.122084,0.066850,0.326282,0.001376,0.000512,0.946812
