Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-9],OUT[9],TEE[4-9],Layer[10],classifier
0.512687,0.018209,0.195333,0.004929,0.083458,0.109251,0.068930,0.265895,0.000928,1.004765
0.398348,0.018017,0.192869,0.004897,0.103715,0.103811,0.067106,0.278248,0.000896,0.898971
0.397644,0.017985,0.191941,0.004896,0.111140,0.115683,0.064674,0.295273,0.000736,0.914267
0.396556,0.017953,0.191941,0.004865,0.125283,0.104707,0.062306,0.296040,0.000704,0.913595
0.396012,0.017473,0.191717,0.004961,0.115555,0.118148,0.066498,0.304617,0.000768,0.921436
0.395660,0.017440,0.191430,0.004864,0.114820,0.104739,0.062754,0.285801,0.000640,0.900955
0.395948,0.017696,0.191846,0.004864,0.114244,0.115491,0.065794,0.299561,0.000704,0.916379
0.415180,0.018112,0.191558,0.004832,0.115172,0.111875,0.064514,0.295305,0.000704,0.931195
0.396300,0.017760,0.191334,0.004864,0.111556,0.105539,0.062146,0.282697,0.000640,0.899099
0.395724,0.017888,0.192166,0.004992,0.110627,0.106307,0.063618,0.284200,0.000736,0.900762
0.396107,0.017793,0.208678,0.005120,0.112420,0.115107,0.065378,0.296329,0.000768,0.930523
0.397132,0.017952,0.192070,0.004832,0.113540,0.099843,0.061441,0.278056,0.000704,0.895706
0.396011,0.017505,0.191590,0.004800,0.105859,0.100003,0.062114,0.271496,0.000704,0.887642
0.395531,0.017600,0.191558,0.004864,0.111107,0.103683,0.061826,0.280424,0.000704,0.895898
0.414764,0.017440,0.191558,0.004864,0.116356,0.106723,0.065378,0.292201,0.000672,0.927259
0.397004,0.018048,0.191558,0.004864,0.123428,0.103555,0.063234,0.293737,0.000640,0.910683
0.396492,0.017792,0.191494,0.004832,0.112003,0.101123,0.063106,0.280232,0.000736,0.897370
0.396651,0.017313,0.191494,0.004864,0.134180,0.108323,0.068802,0.314921,0.000672,0.931259
0.396300,0.017761,0.191205,0.004897,0.115011,0.104835,0.064098,0.287688,0.000800,0.904507
0.395756,0.017473,0.191525,0.004864,0.114916,0.098755,0.061602,0.278889,0.000704,0.894523
0.395820,0.017984,0.191366,0.004864,0.108195,0.121476,0.062530,0.295529,0.000704,0.911131
0.412492,0.017825,0.191429,0.004897,0.109571,0.118019,0.062850,0.293864,0.000768,0.926267
0.396108,0.017473,0.191653,0.004832,0.114691,0.104835,0.063906,0.286505,0.000672,0.902523
0.395884,0.018144,0.191558,0.004864,0.113635,0.103107,0.064834,0.285192,0.000704,0.901466
0.396108,0.017888,0.191462,0.021953,0.114819,0.109187,0.066786,0.294632,0.000704,0.929723
0.396012,0.017889,0.191109,0.004897,0.105763,0.105699,0.062722,0.277800,0.000704,0.893531
0.396076,0.017888,0.192166,0.004832,0.116900,0.104227,0.063874,0.288329,0.000768,0.906235
0.396908,0.017568,0.191334,0.004832,0.112195,0.108548,0.062818,0.286857,0.000928,0.903515
0.414316,0.018017,0.191046,0.004960,0.110307,0.113827,0.062754,0.290504,0.000736,0.925371
0.396396,0.017473,0.191205,0.004865,0.113155,0.103875,0.062530,0.282856,0.000768,0.898491
0.396076,0.017345,0.191173,0.004992,0.116164,0.104803,0.063810,0.288297,0.000672,0.904059
0.395628,0.017312,0.204902,0.004993,0.106883,0.117059,0.062562,0.289672,0.000800,0.918843
0.395723,0.017857,0.191205,0.004865,0.114019,0.109027,0.063746,0.290120,0.000832,0.905754
0.396428,0.017568,0.191526,0.004896,0.113539,0.102051,0.063330,0.282440,0.000896,0.898778
0.396267,0.018017,0.191078,0.004864,0.113667,0.105379,0.065026,0.287816,0.000768,0.904218
0.409996,0.017504,0.191366,0.004864,0.116931,0.109508,0.064226,0.294409,0.000800,0.924380
0.396012,0.017376,0.191622,0.005024,0.113859,0.101603,0.060994,0.279912,0.000800,0.896122
0.396043,0.017377,0.191430,0.004896,0.113411,0.106019,0.064290,0.287272,0.000704,0.902714
0.396108,0.017472,0.208295,0.004960,0.113443,0.110755,0.064450,0.291976,0.000672,0.925499
0.395596,0.017921,0.191333,0.004896,0.112964,0.103299,0.063010,0.282729,0.001056,0.898427
0.395948,0.017504,0.191366,0.004896,0.112548,0.105155,0.064322,0.285545,0.000672,0.901595
0.396204,0.017344,0.191398,0.004832,0.115427,0.105028,0.065698,0.289769,0.000992,0.906235
