Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-10],classifier
0.510676,0.017824,0.205864,0.004865,0.047105,0.110885,0.961126
0.417776,0.017921,0.204936,0.004864,0.047938,0.138406,0.902243
0.416625,0.017696,0.203304,0.004801,0.048033,0.132070,0.888515
0.430001,0.017921,0.202856,0.004832,0.049026,0.132229,0.901700
0.416049,0.017632,0.202888,0.004769,0.048065,0.125189,0.878435
0.417681,0.017408,0.202152,0.004864,0.049409,0.133638,0.889827
0.416816,0.017601,0.203432,0.004864,0.048002,0.134245,0.891715
0.415665,0.017440,0.202536,0.004833,0.048961,0.123460,0.875395
0.416305,0.017472,0.202791,0.004865,0.048386,0.123076,0.878019
0.416496,0.017409,0.202536,0.004896,0.049442,0.147334,0.905955
0.444337,0.017600,0.203016,0.004928,0.048994,0.134438,0.924196
0.415953,0.017473,0.202375,0.004929,0.048002,0.139589,0.894371
0.415440,0.017473,0.202952,0.004896,0.049026,0.137189,0.890595
0.415537,0.017664,0.203080,0.005024,0.048705,0.126981,0.880835
0.415568,0.017729,0.203720,0.004864,0.049122,0.136517,0.891235
0.415984,0.017473,0.202664,0.004928,0.048226,0.158118,0.914564
0.415889,0.017472,0.202440,0.004769,0.048001,0.134374,0.891267
0.416305,0.017665,0.217192,0.004896,0.048962,0.139302,0.912964
0.415632,0.017761,0.201864,0.004800,0.048290,0.127237,0.881442
0.415312,0.017441,0.202120,0.004768,0.049506,0.132293,0.887139
0.415568,0.017473,0.202440,0.005024,0.048002,0.125989,0.887043
0.426929,0.017601,0.201768,0.004832,0.049378,0.126597,0.891203
0.416017,0.017696,0.202280,0.004864,0.048770,0.119237,0.874306
0.415088,0.017601,0.202088,0.004832,0.049538,0.123525,0.878690
0.415376,0.017505,0.202120,0.004800,0.047362,0.133573,0.887267
0.415696,0.017473,0.202184,0.004896,0.047330,0.134309,0.892099
0.415537,0.017632,0.201767,0.004833,0.049634,0.126277,0.879139
0.415537,0.017536,0.201960,0.005248,0.049026,0.120645,0.873314
0.434417,0.017537,0.202984,0.004832,0.047746,0.132581,0.907587
0.415248,0.017568,0.202312,0.004832,0.047170,0.135238,0.892611
0.416017,0.017664,0.201960,0.004993,0.047297,0.133318,0.890339
0.416464,0.017441,0.201672,0.004800,0.050082,0.127557,0.884642
0.416176,0.017697,0.201960,0.004864,0.047490,0.126021,0.880418
0.415568,0.017537,0.202440,0.004800,0.047490,0.144581,0.897539
0.416368,0.017441,0.202408,0.004800,0.047170,0.149606,0.905155
0.416272,0.017601,0.218536,0.004961,0.048962,0.133445,0.907235
0.416048,0.017633,0.202344,0.004896,0.050018,0.144614,0.899171
0.417040,0.017345,0.202120,0.004832,0.048770,0.144773,0.911491
0.416113,0.017473,0.202407,0.004865,0.048738,0.135525,0.892931
0.448658,0.017537,0.202344,0.004864,0.049186,0.139749,0.930085
0.415952,0.017633,0.202216,0.004736,0.048994,0.129349,0.883459
0.416561,0.017472,0.202056,0.004993,0.048770,0.135909,0.891139
0.415824,0.017665,0.202152,0.004800,0.049506,0.144133,0.901731
0.416080,0.017505,0.202440,0.004832,0.048162,0.190760,0.949957
0.415953,0.017568,0.202311,0.004897,0.048802,0.140389,0.900868
0.415664,0.017505,0.202280,0.004800,0.048962,0.140101,0.896035
0.429681,0.017857,0.202664,0.004768,0.049026,0.141830,0.911652
0.416144,0.017761,0.202088,0.004768,0.049250,0.137893,0.893795
0.415760,0.017505,0.202408,0.004896,0.049474,0.136581,0.900867
0.415697,0.017728,0.202696,0.004769,0.048674,0.136453,0.929477
0.416049,0.017824,0.202312,0.005249,0.048929,0.148198,0.908772
0.417137,0.017569,0.204264,0.004896,0.049250,0.141989,0.907268
0.416944,0.017537,0.202664,0.004896,0.048962,0.158662,0.921860
0.428145,0.017761,0.202376,0.004736,0.049858,0.130341,0.899587
0.416401,0.017632,0.202504,0.004864,0.050210,0.136326,0.903652
0.415600,0.017697,0.202344,0.004800,0.048802,0.138245,0.895459
0.415537,0.017536,0.201768,0.004769,0.049026,0.131717,0.888643
0.415504,0.017665,0.202376,0.004992,0.049122,0.138309,0.898755
0.417104,0.017505,0.202248,0.004864,0.049506,0.131781,0.889283
0.416048,0.017697,0.202184,0.004832,0.049762,0.133925,0.894627
0.415888,0.031713,0.202920,0.005216,0.048066,0.140645,0.913892
0.415920,0.017633,0.202344,0.004864,0.049890,0.138629,0.897539
0.415856,0.017697,0.202280,0.004832,0.048642,0.133605,0.891394
0.415793,0.017344,0.202152,0.004929,0.049730,0.139557,0.897796
0.415665,0.017377,0.202855,0.004801,0.048226,0.148581,0.907524
0.415568,0.017665,0.202024,0.004864,0.049282,0.140549,0.901187
0.415600,0.017409,0.203368,0.004832,0.049186,0.163174,0.922628
0.415952,0.017505,0.216456,0.005249,0.049058,0.147301,0.920548
0.416177,0.017504,0.203016,0.004897,0.049218,0.145829,0.902500
0.416273,0.017600,0.202408,0.004800,0.048962,0.134982,0.895971
0.416177,0.018304,0.202536,0.005025,0.048161,0.142342,0.902724
0.416177,0.017696,0.202728,0.004897,0.048705,0.136005,0.894051
0.415856,0.017409,0.202120,0.004864,0.048898,0.140390,0.901763
0.415664,0.017537,0.201960,0.004832,0.050626,0.141606,0.904836
0.415920,0.017568,0.219625,0.005056,0.048738,0.181191,0.961606
0.416080,0.017665,0.202024,0.004864,0.048610,0.146054,0.904867
0.415696,0.017473,0.202120,0.004864,0.049954,0.132261,0.889443
0.415856,0.017568,0.202536,0.004832,0.049634,0.141414,0.904772
0.432400,0.017504,0.202792,0.004928,0.048450,0.138406,0.919427
0.416049,0.017696,0.202344,0.004833,0.048257,0.141605,0.904900
0.415600,0.017601,0.202408,0.004800,0.049058,0.145605,0.909635
0.416432,0.017505,0.217673,0.005056,0.048706,0.140453,0.914756
0.415664,0.017697,0.202280,0.004832,0.049250,0.131685,0.889571
0.416561,0.017697,0.202760,0.004864,0.048642,0.139557,0.899556
0.415408,0.017633,0.202120,0.004768,0.048354,0.136773,0.895523
0.429105,0.017504,0.202824,0.004833,0.049314,0.137733,0.911075
0.415857,0.017440,0.202088,0.004961,0.048545,0.136006,0.892579
0.416208,0.017632,0.202568,0.004768,0.049154,0.132774,0.889731
0.417008,0.017697,0.203208,0.004768,0.048738,0.153222,0.911908
0.415697,0.017504,0.202407,0.004833,0.048738,0.135301,0.899620
0.416336,0.017569,0.202216,0.004896,0.049442,0.139429,0.901763
0.416336,0.017633,0.202312,0.004864,0.048834,0.138566,0.899843
0.433265,0.017664,0.203240,0.004833,0.048802,0.141285,0.923140
0.415600,0.017729,0.202280,0.004992,0.048162,0.135429,0.895203
0.417392,0.017569,0.202248,0.004800,0.048258,0.137509,0.897603
0.415825,0.017473,0.201959,0.004865,0.048290,0.155494,0.911908
0.415952,0.017537,0.202056,0.004992,0.048578,0.134597,0.892675
0.416240,0.017409,0.201896,0.004992,0.048226,0.136645,0.892451
0.416657,0.017697,0.202472,0.004800,0.049346,0.138469,0.900356
0.449554,0.017921,0.202280,0.004768,0.048578,0.138053,0.930693
