Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-10],OUT[10],TEE[5-10],classifier
0.490031,0.017888,0.195142,0.004832,0.047874,0.079778,0.055042,0.059970,0.198342,0.960285
0.397260,0.017601,0.193157,0.004929,0.048161,0.101091,0.066754,0.063426,0.234887,0.900955
0.434764,0.017760,0.193478,0.004864,0.048865,0.115716,0.066018,0.067490,0.252552,0.958652
0.396491,0.017313,0.192678,0.004832,0.049633,0.101219,0.058690,0.060290,0.223751,0.889658
0.396076,0.017344,0.192134,0.005056,0.048578,0.106243,0.055521,0.063713,0.229350,0.894234
0.398315,0.017569,0.192038,0.004832,0.048609,0.109604,0.069314,0.071682,0.254600,0.921627
0.395692,0.017441,0.192165,0.004800,0.047810,0.111107,0.065506,0.063330,0.243335,0.906811
0.396076,0.017601,0.191973,0.004897,0.048737,0.103491,0.052546,0.061890,0.222215,0.887515
0.396396,0.017536,0.192294,0.004896,0.048642,0.112419,0.054178,0.066722,0.237159,0.903483
0.412492,0.017697,0.192037,0.004961,0.048257,0.110659,0.063106,0.063010,0.240615,0.921563
0.395948,0.017409,0.191813,0.004864,0.047426,0.113123,0.053634,0.062946,0.233287,0.896251
0.396204,0.017568,0.192486,0.004896,0.047618,0.112035,0.062946,0.066274,0.244935,0.908763
0.396044,0.017664,0.191942,0.004800,0.047298,0.149764,0.055362,0.064034,0.273256,0.937372
0.396652,0.017536,0.191494,0.004832,0.047457,0.109188,0.053921,0.063522,0.230279,0.893338
0.397068,0.017441,0.191525,0.004864,0.047426,0.111491,0.061954,0.063394,0.240263,0.904347
0.395916,0.017344,0.191494,0.004832,0.047074,0.106051,0.052673,0.062754,0.225254,0.887194
0.414348,0.017440,0.192390,0.004832,0.047137,0.111076,0.053857,0.063010,0.231527,0.913403
0.396588,0.017409,0.192453,0.004864,0.047874,0.114947,0.055490,0.064898,0.239815,0.905851
0.396108,0.017345,0.191909,0.004833,0.048097,0.101411,0.051074,0.060833,0.217318,0.882234
0.396172,0.017409,0.191589,0.004865,0.047649,0.130884,0.064066,0.062658,0.261512,0.924956
0.400876,0.018304,0.194406,0.005056,0.049153,0.163653,0.060610,0.068066,0.296969,0.975773
