Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.526036,0.017953,0.206696,0.004832,0.047138,0.184615,0.014017,0.000704,0.001408,0.002784,0.000608,1.015879
0.417744,0.017697,0.204168,0.004896,0.046946,0.157926,0.014017,0.000672,0.001536,0.000960,0.000384,0.876610
0.416273,0.017633,0.203399,0.004865,0.048354,0.167750,0.014721,0.000480,0.001536,0.000896,0.000352,0.885347
0.418160,0.017761,0.204008,0.004832,0.048642,0.167046,0.015041,0.000480,0.001824,0.001024,0.000384,0.889475
0.415984,0.017697,0.202952,0.004928,0.048802,0.156294,0.014721,0.000480,0.001504,0.000864,0.000320,0.872738
0.416752,0.018145,0.202920,0.005280,0.048834,0.182087,0.015361,0.000480,0.001504,0.001536,0.000352,0.904323
0.429841,0.017601,0.202664,0.005280,0.047938,0.169958,0.015104,0.000448,0.001472,0.001088,0.000352,0.900579
0.416080,0.017377,0.202280,0.004800,0.047362,0.201000,0.014145,0.000448,0.001440,0.000832,0.000384,0.914084
0.416688,0.017409,0.202920,0.005024,0.047362,0.173223,0.014112,0.000480,0.001504,0.001280,0.000320,0.890914
0.417073,0.017441,0.202312,0.005248,0.047266,0.196519,0.013921,0.000416,0.001504,0.001024,0.000384,0.912644
0.415408,0.017665,0.202408,0.005088,0.047458,0.174470,0.014048,0.000416,0.001504,0.000896,0.000384,0.888098
0.420753,0.017281,0.202600,0.005248,0.047074,0.172166,0.014145,0.000576,0.001504,0.001184,0.000352,0.891395
0.415889,0.017377,0.202055,0.005313,0.047778,0.176326,0.014176,0.000480,0.001504,0.001216,0.000352,0.891235
0.432017,0.017601,0.202056,0.005120,0.048514,0.172295,0.014593,0.000512,0.001504,0.000960,0.000320,0.904964
0.416240,0.017409,0.202120,0.005440,0.047298,0.167718,0.014369,0.000448,0.001536,0.001376,0.000352,0.882754
0.416784,0.017633,0.203368,0.005280,0.047746,0.177159,0.015264,0.000481,0.001504,0.001056,0.000416,0.897219
0.415536,0.017409,0.203464,0.004864,0.047074,0.199272,0.014241,0.000480,0.001600,0.000992,0.000384,0.913796
0.420496,0.017729,0.202536,0.004864,0.047202,0.161766,0.014433,0.000512,0.001536,0.000992,0.000320,0.880802
0.420112,0.017569,0.202248,0.005280,0.047010,0.166983,0.013984,0.000512,0.001536,0.000992,0.000320,0.884899
0.415089,0.017536,0.202856,0.004833,0.046913,0.171495,0.014337,0.000416,0.001472,0.000960,0.000352,0.884835
0.446770,0.017344,0.202568,0.005312,0.046913,0.168455,0.014273,0.000480,0.001472,0.000896,0.000416,0.913668
0.415152,0.017313,0.202344,0.004832,0.046882,0.203176,0.016673,0.000480,0.001504,0.000832,0.000320,0.918116
0.415440,0.017505,0.202376,0.004768,0.046786,0.153926,0.013921,0.000384,0.001472,0.000864,0.000352,0.866178
0.415376,0.017569,0.202408,0.004896,0.047810,0.164838,0.014113,0.000448,0.001472,0.001024,0.000320,0.879266
0.414993,0.017504,0.202024,0.004897,0.047073,0.189160,0.013984,0.000384,0.001409,0.001152,0.000416,0.900964
0.417232,0.017664,0.202920,0.005024,0.048482,0.179015,0.014817,0.000512,0.001760,0.001056,0.000320,0.897507
0.420113,0.017569,0.202408,0.004832,0.046946,0.164230,0.014497,0.000480,0.001472,0.000896,0.000256,0.881187
0.415120,0.017377,0.217161,0.005312,0.047042,0.165158,0.014145,0.000512,0.001440,0.000928,0.000416,0.892899
0.415248,0.017217,0.202696,0.004800,0.046978,0.155078,0.014016,0.000480,0.001568,0.000833,0.000448,0.867042
0.420688,0.017217,0.202184,0.005312,0.046850,0.169159,0.013984,0.000448,0.001408,0.000960,0.000320,0.887042
0.415152,0.018016,0.202312,0.004864,0.046818,0.167271,0.014176,0.000448,0.001505,0.000960,0.000416,0.879523
0.426192,0.017537,0.203144,0.004864,0.047106,0.186759,0.013921,0.000384,0.001408,0.000896,0.000416,0.909891
0.416016,0.017345,0.202152,0.004800,0.046978,0.144742,0.013888,0.000448,0.001440,0.001088,0.000416,0.857665
0.414640,0.017376,0.202472,0.004800,0.046882,0.169543,0.014112,0.000480,0.001377,0.000864,0.000416,0.880899
