Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-5],OUT[5],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.490606,0.017729,0.193893,0.004833,0.048545,0.165957,0.038017,0.061378,0.269096,0.015680,0.000736,0.001505,0.013024,0.000608,1.063263
0.396876,0.018080,0.194277,0.004864,0.049058,0.104451,0.031073,0.060226,0.199014,0.014688,0.000800,0.001536,0.001728,0.000608,0.888666
0.399980,0.017793,0.195046,0.004832,0.048641,0.122916,0.036385,0.067554,0.230631,0.015617,0.000544,0.001632,0.001664,0.000576,0.925500
0.397676,0.017568,0.192710,0.004928,0.049282,0.117443,0.033249,0.062978,0.217062,0.015553,0.000544,0.001600,0.001568,0.000608,0.906203
0.401483,0.018176,0.195430,0.004832,0.049922,0.131971,0.035266,0.065794,0.236359,0.014816,0.000736,0.001600,0.001376,0.000352,0.933403
0.397900,0.017665,0.192485,0.004865,0.048129,0.124516,0.033505,0.067746,0.228935,0.014912,0.000736,0.001856,0.001376,0.000352,0.917051
0.395788,0.017569,0.192229,0.004864,0.047650,0.115939,0.038049,0.069250,0.226790,0.014752,0.000544,0.001792,0.001184,0.000640,0.911195
0.418924,0.017761,0.191910,0.004960,0.047617,0.119268,0.038881,0.065826,0.227015,0.021344,0.000480,0.001601,0.001056,0.000608,0.940572
0.395212,0.017440,0.192037,0.005024,0.048450,0.118083,0.039009,0.063585,0.224774,0.015169,0.000480,0.001600,0.001248,0.000576,0.910843
0.395659,0.017792,0.192166,0.004864,0.047969,0.114180,0.036737,0.068034,0.221991,0.014560,0.000512,0.001568,0.001120,0.000641,0.906267
0.395564,0.017505,0.191717,0.004864,0.048098,0.134468,0.039265,0.066274,0.243527,0.015520,0.000768,0.001537,0.001152,0.000576,0.928476
0.394444,0.017536,0.191750,0.004896,0.048514,0.110595,0.037889,0.072514,0.224070,0.014369,0.000480,0.001440,0.001248,0.000352,0.906331
0.395947,0.017729,0.192134,0.004992,0.048449,0.113316,0.038369,0.066274,0.221863,0.015040,0.000480,0.001504,0.001216,0.000416,0.907162
0.395244,0.017632,0.191622,0.004832,0.048001,0.116516,0.041313,0.068418,0.229607,0.015265,0.000736,0.001536,0.001056,0.000608,0.913531
0.412045,0.017504,0.192326,0.004832,0.048770,0.117539,0.037441,0.069698,0.227782,0.014337,0.000768,0.001536,0.001184,0.000576,0.929500
0.396268,0.017760,0.192134,0.004832,0.048417,0.121188,0.033697,0.067362,0.225639,0.016705,0.000704,0.001568,0.001184,0.000608,0.913755
0.397740,0.017665,0.192485,0.004929,0.048577,0.116324,0.038497,0.068130,0.226215,0.014784,0.000736,0.001536,0.001312,0.000608,0.914523
0.397356,0.017760,0.208390,0.004992,0.048130,0.113667,0.032481,0.068258,0.217382,0.014945,0.000736,0.001536,0.001152,0.000480,0.920443
0.396748,0.017760,0.192325,0.004960,0.048226,0.121251,0.031425,0.059842,0.216646,0.015009,0.000704,0.001504,0.001152,0.000480,0.903675
0.395435,0.017761,0.191974,0.004928,0.048001,0.112868,0.038721,0.061570,0.216359,0.015264,0.000736,0.001568,0.001152,0.000448,0.900858
0.395403,0.017632,0.191782,0.004928,0.048353,0.113444,0.039585,0.064642,0.220999,0.014304,0.000736,0.001504,0.001120,0.000576,0.905403
0.395372,0.017728,0.191814,0.004960,0.048386,0.112387,0.032993,0.063202,0.211718,0.015104,0.000512,0.001504,0.000992,0.000384,0.895706
0.399276,0.017537,0.191685,0.004896,0.047778,0.117379,0.032897,0.059906,0.213702,0.014593,0.000480,0.001536,0.001088,0.000672,0.901787
0.399372,0.017728,0.192038,0.004864,0.048258,0.112835,0.040065,0.067746,0.223718,0.014913,0.000768,0.001504,0.001408,0.000672,0.912635
0.395883,0.017793,0.211494,0.005120,0.047714,0.115139,0.038049,0.060290,0.216806,0.014497,0.000512,0.001568,0.001120,0.000480,0.921275
0.396364,0.017728,0.191878,0.004896,0.048129,0.117124,0.039297,0.061154,0.221319,0.014464,0.000736,0.001472,0.000960,0.000416,0.906203
0.396172,0.017568,0.192486,0.004928,0.048034,0.114403,0.038337,0.068994,0.225510,0.014369,0.000704,0.001472,0.001088,0.000448,0.911003
0.395212,0.017440,0.191718,0.004864,0.048642,0.109315,0.037345,0.067138,0.216870,0.014336,0.000480,0.001536,0.000992,0.000449,0.899483
0.395500,0.017505,0.191589,0.004960,0.048770,0.114723,0.039553,0.061986,0.219782,0.014465,0.000480,0.001504,0.001088,0.000448,0.904219
0.396652,0.017665,0.191685,0.004928,0.048514,0.113539,0.033473,0.059554,0.209638,0.014688,0.000544,0.001504,0.001152,0.000416,0.895163
0.394668,0.017664,0.192646,0.004896,0.048322,0.104547,0.032225,0.060162,0.200070,0.014368,0.000736,0.001472,0.000992,0.000352,0.883738
0.417069,0.017792,0.192166,0.004800,0.048290,0.111779,0.039329,0.062274,0.216678,0.014272,0.000512,0.001505,0.000960,0.000384,0.921788
0.395563,0.017697,0.191910,0.004832,0.048001,0.115588,0.039233,0.071938,0.229895,0.014880,0.000704,0.001537,0.001024,0.000352,0.913979
0.399691,0.017473,0.192678,0.004992,0.048289,0.112516,0.033633,0.065090,0.214279,0.014720,0.000736,0.001440,0.000896,0.000384,0.902714
0.400395,0.017601,0.191462,0.004896,0.047425,0.113956,0.034273,0.060481,0.211942,0.014944,0.000704,0.001472,0.000992,0.000352,0.900090
0.400172,0.017760,0.192166,0.004992,0.047554,0.116579,0.032513,0.061666,0.214182,0.015680,0.000704,0.001440,0.000960,0.000384,0.903643
0.396011,0.017569,0.191878,0.004992,0.048225,0.113219,0.034018,0.062049,0.212262,0.014849,0.000768,0.001440,0.000960,0.000384,0.896570
0.399212,0.017537,0.191749,0.004832,0.047746,0.117155,0.033441,0.063426,0.217382,0.014433,0.000480,0.001408,0.001088,0.000448,0.903707
0.420108,0.017728,0.191814,0.004864,0.048385,0.109956,0.035073,0.062850,0.211719,0.014816,0.000704,0.001504,0.001024,0.000448,0.920859
0.395244,0.017697,0.191557,0.004929,0.048353,0.115875,0.033409,0.063010,0.215366,0.014273,0.000704,0.001504,0.000960,0.000416,0.897947
0.394572,0.017536,0.191910,0.004928,0.048866,0.114883,0.038977,0.065826,0.222886,0.014785,0.000480,0.001536,0.000960,0.000448,0.906331
0.394444,0.017536,0.191398,0.004864,0.048481,0.112292,0.033217,0.062914,0.211175,0.014528,0.000960,0.001472,0.000928,0.000384,0.893178
0.399403,0.017504,0.191494,0.004928,0.048673,0.110852,0.032449,0.060257,0.206758,0.014401,0.000960,0.001504,0.000960,0.000352,0.894394
0.394444,0.017664,0.191046,0.004896,0.048802,0.112003,0.039457,0.063010,0.217606,0.014465,0.000960,0.001472,0.000928,0.000384,0.899867
0.395020,0.017568,0.191942,0.005024,0.048514,0.106403,0.029057,0.057953,0.196645,0.014593,0.000512,0.001472,0.000960,0.000384,0.879898
0.419597,0.017664,0.191782,0.004832,0.048193,0.113156,0.030273,0.060386,0.207111,0.015104,0.000736,0.001536,0.001056,0.000352,0.915547
0.399372,0.017697,0.191494,0.004896,0.048033,0.111747,0.032641,0.058850,0.206502,0.014593,0.000544,0.001472,0.000928,0.000384,0.893371
0.396012,0.017600,0.191782,0.004928,0.048258,0.124323,0.041218,0.068642,0.237927,0.015392,0.000512,0.001824,0.001120,0.000416,0.923643
0.395147,0.017600,0.191654,0.004896,0.048961,0.117700,0.033313,0.059810,0.214631,0.015616,0.000832,0.001472,0.001280,0.000384,0.900250
0.395468,0.017600,0.191622,0.004896,0.048610,0.113123,0.032385,0.065250,0.214118,0.015200,0.000768,0.001536,0.001152,0.000576,0.898715
0.395948,0.017664,0.191526,0.004800,0.048673,0.113124,0.039809,0.075554,0.231879,0.015617,0.000736,0.001600,0.001024,0.000608,0.917563
0.395468,0.017472,0.191494,0.004896,0.049025,0.110020,0.033249,0.065026,0.211495,0.014624,0.000704,0.001440,0.001056,0.000576,0.895226
0.416908,0.017792,0.192134,0.004896,0.048130,0.112515,0.039841,0.067810,0.223430,0.014497,0.000512,0.001440,0.001024,0.000352,0.928347
0.394956,0.017568,0.191526,0.004864,0.048290,0.106371,0.029473,0.064258,0.203014,0.015488,0.000448,0.001440,0.001152,0.000384,0.886042
0.400172,0.017504,0.191590,0.004864,0.051394,0.136676,0.031905,0.077634,0.249895,0.015936,0.000545,0.001856,0.000992,0.000544,0.942748
0.396780,0.017568,0.191942,0.004928,0.048738,0.118563,0.037761,0.090051,0.249863,0.014720,0.000768,0.001536,0.001345,0.000576,0.936412
0.400716,0.017792,0.191238,0.004928,0.048001,0.113956,0.032417,0.062978,0.212391,0.015520,0.000704,0.001536,0.001152,0.000416,0.902170
0.400236,0.021057,0.191686,0.004896,0.048577,0.116516,0.040385,0.072482,0.232455,0.014433,0.000480,0.001536,0.001184,0.000384,0.924092
0.396972,0.017600,0.192070,0.004800,0.048673,0.114852,0.038657,0.067042,0.223975,0.014721,0.000480,0.001504,0.001216,0.000384,0.909883
0.413741,0.017536,0.191590,0.004896,0.048641,0.114372,0.039681,0.067970,0.225191,0.015201,0.000544,0.001568,0.001152,0.000448,0.927932
0.398092,0.017664,0.196198,0.004864,0.047810,0.120387,0.039682,0.072418,0.235719,0.015040,0.000704,0.001632,0.001376,0.000608,0.929563
0.396939,0.017569,0.192742,0.004896,0.047937,0.118724,0.040193,0.070146,0.232327,0.014593,0.000768,0.001536,0.001088,0.000640,0.918939
0.402284,0.017729,0.192005,0.004960,0.063586,0.116324,0.039937,0.071042,0.230439,0.014241,0.000672,0.001568,0.001088,0.000416,0.939324
