Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.531413,0.017793,0.206408,0.005280,0.048674,0.192007,0.001056,0.002144,0.011328,0.000576,1.025224
0.433649,0.017792,0.203752,0.004992,0.048354,0.179431,0.001088,0.002241,0.001536,0.000352,0.902404
0.416656,0.017953,0.203496,0.005216,0.047810,0.183239,0.001088,0.001920,0.001152,0.000416,0.886979
0.417137,0.017952,0.203368,0.005313,0.047553,0.197512,0.000864,0.001920,0.001408,0.000384,0.902820
0.420848,0.017537,0.202920,0.005248,0.048482,0.220009,0.000992,0.001984,0.001088,0.000352,0.927428
0.415408,0.017633,0.202696,0.005312,0.048130,0.190760,0.000704,0.002016,0.001312,0.000320,0.892707
0.416048,0.017921,0.202376,0.005248,0.047746,0.193800,0.000800,0.001984,0.001120,0.000320,0.895011
0.416049,0.017664,0.202600,0.005217,0.048193,0.200711,0.000736,0.001921,0.001152,0.000352,0.902660
0.436305,0.017569,0.203624,0.005312,0.049154,0.198472,0.000736,0.001856,0.001280,0.000416,0.922404
0.419953,0.017505,0.202664,0.005248,0.048482,0.197319,0.000672,0.001920,0.001344,0.000320,0.903140
0.416272,0.017697,0.202984,0.005376,0.048066,0.200104,0.000640,0.001888,0.001184,0.000352,0.902083
0.420849,0.017664,0.220521,0.005376,0.048610,0.199368,0.000736,0.001984,0.001056,0.000352,0.924612
0.415952,0.017601,0.202632,0.005344,0.048002,0.190087,0.000672,0.001824,0.001120,0.000288,0.891106
0.420177,0.017728,0.203112,0.005313,0.048706,0.200039,0.000704,0.002017,0.001088,0.000352,0.907332
0.415984,0.017633,0.203080,0.005312,0.048354,0.195496,0.000704,0.001824,0.001152,0.000352,0.897475
0.417040,0.017633,0.202920,0.005280,0.047938,0.188744,0.000672,0.001824,0.001120,0.000352,0.891651
0.415696,0.017601,0.202888,0.005248,0.047714,0.199144,0.000832,0.001728,0.001088,0.000384,0.899811
0.419921,0.017697,0.202728,0.005280,0.048290,0.197896,0.000640,0.001824,0.001120,0.000352,0.903204
0.416432,0.017633,0.221353,0.005120,0.048322,0.196392,0.000672,0.001792,0.001056,0.000352,0.917124
0.420049,0.017633,0.202728,0.005280,0.049186,0.200936,0.000672,0.001696,0.001088,0.000352,0.907172
0.415344,0.017665,0.202856,0.005280,0.048962,0.194600,0.000672,0.001760,0.001152,0.000352,0.895971
0.420177,0.017665,0.202664,0.005312,0.048386,0.189063,0.000608,0.001792,0.001152,0.000352,0.895459
0.416017,0.017792,0.202984,0.005217,0.048289,0.191975,0.000672,0.001920,0.000992,0.000352,0.893923
0.420689,0.017761,0.202728,0.005248,0.048066,0.199271,0.000672,0.001856,0.001152,0.000352,0.906084
0.415728,0.017505,0.202856,0.005312,0.047362,0.197896,0.000768,0.001920,0.001120,0.000320,0.898339
0.416016,0.017601,0.220553,0.005408,0.048994,0.195336,0.000736,0.001792,0.001120,0.000352,0.915684
0.420592,0.017761,0.202984,0.005312,0.048258,0.195272,0.000736,0.001920,0.001184,0.000384,0.902211
0.420497,0.017569,0.202408,0.005312,0.048418,0.190791,0.000672,0.001792,0.001184,0.000384,0.896163
0.415985,0.017728,0.203048,0.005313,0.048770,0.196167,0.000640,0.001856,0.001088,0.000384,0.898467
0.419697,0.017793,0.202439,0.005249,0.049026,0.185095,0.000704,0.001824,0.001120,0.000352,0.891011
0.416817,0.017600,0.202376,0.005185,0.048193,0.192936,0.000704,0.001920,0.001056,0.000320,0.894819
0.420753,0.017345,0.202440,0.005344,0.048802,0.197223,0.000704,0.001761,0.001056,0.000352,0.903620
0.416176,0.017601,0.220264,0.005377,0.048098,0.191591,0.000768,0.001792,0.001024,0.000384,0.910851
0.419793,0.017856,0.202824,0.005217,0.048353,0.197544,0.000736,0.001856,0.001120,0.000352,0.903779
0.416816,0.017697,0.202696,0.005280,0.048162,0.204808,0.000800,0.002016,0.001120,0.000352,0.907715
0.420337,0.017632,0.202408,0.005248,0.048834,0.190984,0.000704,0.001824,0.001088,0.000320,0.897443
0.419985,0.017696,0.202536,0.005281,0.048065,0.200487,0.000704,0.001857,0.001120,0.000320,0.905668
0.415536,0.017985,0.202792,0.005312,0.049026,0.190151,0.000704,0.001792,0.001152,0.000352,0.892163
0.419344,0.017665,0.202216,0.005248,0.049346,0.194535,0.000704,0.001824,0.001152,0.000352,0.899716
0.437458,0.017760,0.202632,0.005313,0.048706,0.196807,0.000736,0.001888,0.001184,0.000352,0.921701
0.419600,0.017600,0.202312,0.005248,0.048450,0.195432,0.000704,0.001792,0.001248,0.000352,0.900963
0.419313,0.017665,0.202408,0.005312,0.047906,0.196199,0.000640,0.001825,0.001216,0.000320,0.901284
0.420176,0.017633,0.202344,0.005280,0.047778,0.222569,0.000704,0.001984,0.001120,0.000352,0.927652
0.420080,0.017537,0.201960,0.005248,0.047810,0.189575,0.000705,0.001952,0.001088,0.000288,0.896707
0.416433,0.017505,0.202119,0.005249,0.047298,0.184295,0.000704,0.001632,0.001056,0.000320,0.883555
0.420304,0.017441,0.202088,0.005248,0.047074,0.180615,0.000608,0.001696,0.001024,0.000352,0.883618
0.434065,0.017440,0.202344,0.005312,0.047458,0.190088,0.000672,0.001664,0.001216,0.000384,0.907747
0.419857,0.017440,0.202120,0.005313,0.046945,0.187432,0.000704,0.001664,0.001088,0.000352,0.890051
0.415216,0.017473,0.202088,0.005312,0.046946,0.185031,0.000608,0.001760,0.000992,0.000320,0.882050
0.414704,0.017473,0.202088,0.005472,0.047010,0.195656,0.000704,0.001696,0.000992,0.000288,0.892899
0.419440,0.017185,0.202152,0.005312,0.047202,0.191464,0.000736,0.001696,0.000896,0.000320,0.893443
0.414896,0.017472,0.202984,0.005344,0.047042,0.180551,0.000704,0.001729,0.000896,0.000352,0.879619
0.415440,0.017633,0.202216,0.005344,0.046978,0.195208,0.000640,0.001728,0.000960,0.000320,0.893475
0.420304,0.017345,0.220808,0.005377,0.047170,0.186439,0.000672,0.001696,0.001024,0.000384,0.909475
0.419952,0.017601,0.202664,0.005344,0.047106,0.188583,0.000640,0.001697,0.000992,0.000352,0.892131
0.415184,0.017569,0.202504,0.005248,0.046978,0.189544,0.000608,0.001632,0.000832,0.000320,0.887875
0.420144,0.017537,0.202056,0.005376,0.046818,0.182951,0.000672,0.001664,0.000960,0.000320,0.885474
0.415408,0.017633,0.202120,0.005216,0.046978,0.182407,0.000640,0.001600,0.000992,0.000352,0.881026
0.415377,0.017312,0.202216,0.005280,0.046882,0.179239,0.000704,0.001664,0.000960,0.000320,0.877187
0.415664,0.017696,0.202056,0.005280,0.047138,0.176391,0.000704,0.001760,0.001056,0.000288,0.874466
0.418576,0.017409,0.217577,0.005408,0.047298,0.184391,0.000704,0.001792,0.000960,0.000288,0.901923
0.420017,0.017409,0.202504,0.005312,0.047170,0.185447,0.000640,0.001664,0.000992,0.000320,0.889379
0.415760,0.017505,0.202408,0.005312,0.047106,0.179719,0.000704,0.001760,0.001024,0.000320,0.880546
0.415377,0.017440,0.202792,0.005376,0.047106,0.199528,0.000640,0.001760,0.001056,0.000384,0.898947
0.446737,0.017665,0.202248,0.005056,0.047138,0.192104,0.000672,0.001792,0.001024,0.000320,0.921700
0.420113,0.017440,0.201864,0.005280,0.046882,0.199048,0.000672,0.001856,0.000960,0.000352,0.901731
0.415952,0.017601,0.202248,0.005280,0.046946,0.186439,0.000672,0.001728,0.001056,0.000384,0.885155
0.414992,0.017409,0.202984,0.005376,0.062818,0.207849,0.000640,0.001824,0.000992,0.000320,0.921956
0.415728,0.017569,0.202408,0.005280,0.047106,0.200712,0.000640,0.001760,0.001088,0.000288,0.899843
0.415377,0.017376,0.201960,0.005344,0.047106,0.184424,0.000672,0.001792,0.001088,0.000352,0.882947
0.416016,0.017441,0.203144,0.005280,0.046914,0.187719,0.000704,0.001760,0.001248,0.000384,0.889091
0.431217,0.017217,0.202568,0.005312,0.046882,0.200424,0.000672,0.001792,0.001056,0.000384,0.913892
0.416209,0.017504,0.202664,0.005312,0.047201,0.200168,0.000672,0.001760,0.001024,0.000352,0.901155
0.415377,0.017696,0.202568,0.005281,0.047073,0.191496,0.000672,0.001792,0.000992,0.000352,0.890659
0.419504,0.017281,0.202984,0.005280,0.046978,0.226217,0.000672,0.002112,0.001024,0.000320,0.928900
0.419920,0.017377,0.202184,0.005280,0.046850,0.182215,0.000640,0.001696,0.000960,0.000320,0.884738
0.415376,0.017377,0.202184,0.005312,0.047138,0.198920,0.000672,0.001792,0.000960,0.000288,0.897059
0.415504,0.017153,0.202152,0.005344,0.046882,0.200135,0.000673,0.001792,0.000992,0.000320,0.897763
0.435025,0.017473,0.202024,0.005344,0.046946,0.180263,0.000736,0.001728,0.000960,0.000320,0.898115
0.419952,0.017472,0.202152,0.005248,0.047010,0.198664,0.000704,0.001760,0.001184,0.000384,0.902243
0.415665,0.017408,0.202536,0.005281,0.047137,0.190152,0.000704,0.001600,0.001184,0.000352,0.890499
0.415184,0.017473,0.202408,0.005216,0.046850,0.220648,0.000672,0.001824,0.001056,0.000352,0.918660
0.415760,0.017473,0.202856,0.005344,0.047138,0.193672,0.000736,0.001888,0.001088,0.000384,0.894307
0.415632,0.017633,0.202568,0.005280,0.047426,0.185991,0.000704,0.001696,0.001120,0.000352,0.885090
0.415728,0.017665,0.201704,0.005312,0.047234,0.196455,0.000640,0.001984,0.001216,0.000352,0.895139
0.431441,0.017633,0.201864,0.005312,0.046882,0.204200,0.000672,0.001632,0.001152,0.000320,0.918980
0.419728,0.017569,0.202408,0.005280,0.047266,0.198696,0.000608,0.001696,0.001248,0.000384,0.902691
0.420049,0.018144,0.201896,0.005376,0.047138,0.184872,0.000672,0.001664,0.001152,0.000352,0.887875
0.419921,0.017440,0.201832,0.005312,0.047234,0.223401,0.000672,0.001952,0.001184,0.000352,0.926596
0.420304,0.017665,0.202376,0.005344,0.047138,0.195560,0.000640,0.001792,0.001120,0.000320,0.899139
0.415568,0.017633,0.202952,0.005376,0.047202,0.196072,0.000704,0.001696,0.001184,0.000320,0.896803
0.419920,0.017729,0.202184,0.005344,0.047138,0.188903,0.000704,0.001793,0.001184,0.000352,0.893795
0.437425,0.017505,0.202504,0.005280,0.047490,0.199144,0.000704,0.001920,0.001120,0.000320,0.922308
0.416944,0.017473,0.202280,0.005280,0.047906,0.207624,0.000704,0.001728,0.001408,0.000352,0.909571
0.420625,0.017440,0.202407,0.005281,0.048418,0.195111,0.000672,0.001728,0.001216,0.000352,0.901316
0.420081,0.017472,0.202216,0.005313,0.048577,0.205352,0.000704,0.001792,0.001088,0.000320,0.910820
0.416208,0.017569,0.202760,0.005280,0.048258,0.194984,0.000704,0.001824,0.001152,0.000352,0.896995
0.416080,0.017697,0.202600,0.005312,0.047490,0.199784,0.000704,0.001696,0.001152,0.000224,0.899907
0.419729,0.017473,0.202727,0.005217,0.048066,0.207656,0.000672,0.001760,0.001312,0.000384,0.913636
0.435409,0.017761,0.202536,0.005312,0.048226,0.209160,0.000672,0.001760,0.001216,0.000352,0.930020
0.415984,0.017505,0.202952,0.005248,0.049090,0.203048,0.000640,0.001760,0.001184,0.000352,0.905379
0.420016,0.017793,0.202024,0.005312,0.048066,0.192327,0.000608,0.001889,0.001120,0.000320,0.896611
0.420337,0.017728,0.202567,0.005313,0.048258,0.212776,0.000672,0.001856,0.001088,0.000320,0.919748
0.419984,0.017441,0.202920,0.005440,0.048514,0.186567,0.000704,0.001824,0.001120,0.000320,0.891395
0.420720,0.017537,0.202536,0.005504,0.048066,0.188328,0.000736,0.001760,0.001120,0.000320,0.893923
0.415505,0.017504,0.202632,0.005377,0.047714,0.191591,0.000736,0.001792,0.001216,0.000320,0.891587
0.430801,0.017696,0.201832,0.005281,0.049057,0.193032,0.000704,0.001760,0.001184,0.000416,0.909059
0.419569,0.017441,0.201927,0.005441,0.047266,0.192199,0.000672,0.001728,0.001088,0.000352,0.894755
0.420720,0.017409,0.201960,0.005280,0.049026,0.181383,0.000640,0.001793,0.001120,0.000352,0.886883
0.420241,0.017440,0.201800,0.005089,0.048354,0.223048,0.000704,0.001888,0.001056,0.000353,0.926469
0.416336,0.017665,0.202792,0.005312,0.048066,0.189191,0.000640,0.001664,0.000992,0.000352,0.890115
0.416464,0.017664,0.202568,0.005312,0.048546,0.204808,0.000704,0.001761,0.001056,0.000384,0.905700
0.416177,0.017601,0.202248,0.005344,0.048546,0.206888,0.000704,0.001760,0.001088,0.000320,0.909284
0.452209,0.017568,0.202696,0.005056,0.048578,0.211849,0.000736,0.002016,0.001056,0.000320,0.949317
0.416241,0.017568,0.202728,0.005313,0.048641,0.204199,0.000672,0.001792,0.000992,0.000352,0.905732
0.415760,0.017600,0.202856,0.005216,0.048130,0.193800,0.000736,0.001824,0.001056,0.000352,0.894307
0.415824,0.017441,0.204200,0.005248,0.047842,0.229865,0.000704,0.001792,0.001056,0.000352,0.932004
0.415793,0.017696,0.202568,0.004993,0.048577,0.197928,0.000704,0.001856,0.001280,0.000352,0.899139
0.415440,0.017600,0.202024,0.005344,0.048450,0.191752,0.000672,0.001728,0.001216,0.000384,0.892419
