Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-6],OUT[6],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.488910,0.017825,0.201222,0.004864,0.048930,0.088898,0.051042,0.065090,0.208198,0.000896,0.001952,0.003072,0.000576,0.984285
0.397356,0.017344,0.193830,0.004864,0.048674,0.136516,0.051393,0.066882,0.258535,0.001152,0.002560,0.001088,0.000352,0.933244
0.396236,0.017568,0.192006,0.005248,0.049570,0.108579,0.049473,0.062338,0.224326,0.000864,0.002176,0.001536,0.000416,0.896987
0.409356,0.017632,0.191462,0.005056,0.048866,0.092002,0.053601,0.061090,0.211206,0.000768,0.001984,0.000832,0.000352,0.893338
0.395211,0.017472,0.191430,0.005280,0.048545,0.108452,0.049057,0.059330,0.220039,0.000672,0.001792,0.000800,0.000640,0.887962
0.395307,0.017376,0.191302,0.004832,0.048289,0.133412,0.044674,0.057121,0.238599,0.000640,0.001984,0.001025,0.000320,0.905979
0.394156,0.017537,0.191461,0.005152,0.048098,0.123012,0.060609,0.060162,0.247335,0.000672,0.001920,0.000864,0.000352,0.913723
0.394252,0.017441,0.191749,0.004960,0.047586,0.102947,0.045537,0.057314,0.208710,0.000736,0.001856,0.000992,0.000352,0.874362
0.394411,0.017409,0.191718,0.004864,0.048097,0.108643,0.047682,0.060418,0.220135,0.000672,0.002048,0.000992,0.000320,0.886522
0.395084,0.017569,0.191781,0.004768,0.048226,0.109603,0.054594,0.060706,0.229255,0.000704,0.001888,0.000864,0.000768,0.896987
0.409036,0.017505,0.191526,0.004800,0.048449,0.112867,0.049217,0.058754,0.224519,0.000768,0.002624,0.001120,0.000352,0.907035
0.395115,0.017505,0.191493,0.004801,0.048097,0.106883,0.058978,0.057986,0.227207,0.000640,0.001952,0.000928,0.000672,0.893818
0.394059,0.017505,0.191365,0.004801,0.047521,0.121348,0.047393,0.063490,0.236135,0.000736,0.004928,0.001024,0.000288,0.905370
0.399564,0.017632,0.191654,0.004832,0.047746,0.113091,0.048225,0.083874,0.249927,0.000768,0.002656,0.001440,0.000352,0.925947
0.394124,0.017312,0.191526,0.004832,0.047393,0.099459,0.050914,0.061250,0.214951,0.000736,0.001920,0.001056,0.000416,0.881146
0.394347,0.017569,0.191589,0.004865,0.047489,0.107523,0.058434,0.065794,0.235559,0.000736,0.001984,0.001056,0.000704,0.901946
0.398732,0.017569,0.191781,0.004992,0.047234,0.110499,0.048418,0.063361,0.224998,0.000672,0.001889,0.000960,0.000320,0.895675
0.409869,0.017536,0.191590,0.004864,0.047361,0.105412,0.048257,0.059746,0.218023,0.000768,0.002016,0.000992,0.000384,0.899579
0.394316,0.017377,0.192261,0.004833,0.047777,0.103395,0.046913,0.058178,0.211622,0.000704,0.001760,0.000960,0.000320,0.878138
0.394444,0.017312,0.191654,0.004896,0.047778,0.117667,0.045474,0.057537,0.223750,0.000704,0.001920,0.000960,0.000353,0.889435
0.395628,0.017537,0.191109,0.004832,0.049122,0.105475,0.054562,0.057889,0.221158,0.000608,0.002048,0.000896,0.000448,0.889947
0.395052,0.017504,0.192006,0.005056,0.048674,0.109635,0.057794,0.069090,0.239911,0.000672,0.001952,0.001088,0.000352,0.909339
0.394380,0.017632,0.191494,0.005152,0.048610,0.110499,0.046529,0.059170,0.219334,0.001024,0.001856,0.001056,0.000352,0.887354
0.396812,0.017408,0.191366,0.005056,0.047266,0.107203,0.046369,0.060322,0.217350,0.000704,0.002176,0.001184,0.000416,0.887386
0.394635,0.017665,0.211782,0.004992,0.047618,0.110627,0.055106,0.064482,0.233447,0.000672,0.001728,0.001120,0.000416,0.921115
0.394348,0.017344,0.191462,0.004864,0.047233,0.108324,0.047297,0.071842,0.230599,0.000672,0.001856,0.001248,0.000384,0.896858
0.394411,0.017441,0.191494,0.004832,0.047585,0.108387,0.047329,0.059330,0.218599,0.000704,0.001760,0.001056,0.000384,0.884730
0.394603,0.017409,0.191589,0.004897,0.047265,0.112867,0.048450,0.076162,0.241351,0.000800,0.001920,0.001312,0.000416,0.911226
0.394252,0.017536,0.191590,0.004800,0.047009,0.112548,0.047713,0.060706,0.224327,0.000704,0.001888,0.001120,0.000416,0.890394
0.394795,0.017537,0.192230,0.004800,0.047009,0.108003,0.048226,0.060226,0.219527,0.000704,0.001888,0.001088,0.000352,0.886650
0.394508,0.017408,0.191462,0.004960,0.047106,0.107459,0.047745,0.062946,0.221350,0.000768,0.001824,0.001184,0.000352,0.887898
0.394475,0.017345,0.209990,0.005056,0.046850,0.109667,0.051682,0.060417,0.224998,0.000640,0.001920,0.001248,0.000352,0.910203
0.394283,0.017345,0.191718,0.004896,0.047265,0.113187,0.049409,0.063042,0.228903,0.000704,0.001984,0.001184,0.000352,0.895226
0.394572,0.017505,0.191589,0.004864,0.047746,0.107875,0.047426,0.066818,0.225127,0.000672,0.001856,0.001184,0.000288,0.891739
0.394220,0.017408,0.191430,0.004832,0.046978,0.131203,0.045249,0.060386,0.239751,0.000672,0.001952,0.001152,0.000320,0.905595
0.394700,0.017409,0.191109,0.004800,0.047554,0.108067,0.047201,0.059777,0.218470,0.000640,0.001856,0.001056,0.000288,0.885114
0.394892,0.017600,0.192070,0.004864,0.047009,0.108995,0.048385,0.083747,0.244488,0.000640,0.002016,0.001120,0.000320,0.911643
0.394668,0.017568,0.191942,0.004832,0.047393,0.115203,0.048385,0.061474,0.229574,0.000736,0.002336,0.001248,0.000384,0.900251
0.416652,0.017440,0.191942,0.004832,0.047106,0.114563,0.055938,0.063938,0.238919,0.000640,0.002592,0.001280,0.000352,0.928540
0.395692,0.017504,0.191878,0.005056,0.047074,0.109539,0.048257,0.065122,0.226598,0.000736,0.002144,0.001153,0.000352,0.895163
0.394956,0.017632,0.191494,0.005088,0.047553,0.111908,0.048065,0.060514,0.223847,0.000704,0.002048,0.001248,0.000288,0.891642
0.395115,0.017568,0.192006,0.004896,0.047489,0.111300,0.047361,0.082563,0.246056,0.000768,0.002144,0.001312,0.000352,0.917403
0.394860,0.017440,0.192646,0.004864,0.047330,0.111363,0.045633,0.058754,0.219430,0.000736,0.002048,0.001248,0.000384,0.888602
0.394923,0.017536,0.191878,0.004896,0.047105,0.110276,0.047585,0.060706,0.222055,0.000672,0.002080,0.001216,0.000352,0.889434
0.394731,0.017313,0.192037,0.004897,0.047105,0.106595,0.048002,0.068994,0.227559,0.000672,0.001920,0.001216,0.000352,0.896218
0.413196,0.017441,0.191750,0.004928,0.047073,0.110179,0.045762,0.059138,0.218631,0.000704,0.002528,0.001056,0.000416,0.905435
0.394348,0.017408,0.191910,0.004864,0.047042,0.110243,0.048577,0.062434,0.224262,0.000736,0.001888,0.001312,0.000384,0.890682
0.394316,0.017440,0.191590,0.004896,0.047457,0.112451,0.048321,0.068706,0.233095,0.000640,0.001952,0.001313,0.000416,0.900155
0.395467,0.017376,0.191942,0.004896,0.047521,0.111940,0.047777,0.086243,0.250568,0.000800,0.002400,0.001184,0.000448,0.921787
0.395020,0.017376,0.191814,0.004832,0.047073,0.109539,0.048097,0.066178,0.227302,0.000768,0.002176,0.001152,0.000384,0.894810
0.394795,0.017568,0.192262,0.004800,0.047137,0.112036,0.047969,0.061026,0.224391,0.000704,0.001920,0.001184,0.000352,0.892026
0.395211,0.017857,0.192070,0.004864,0.046977,0.112451,0.046849,0.060642,0.223207,0.000704,0.002080,0.001088,0.000416,0.891354
0.412429,0.017792,0.192294,0.005312,0.047265,0.111332,0.057505,0.066178,0.239271,0.000736,0.001952,0.001088,0.000352,0.926140
0.395116,0.017760,0.191590,0.004864,0.047106,0.108739,0.048193,0.063234,0.223942,0.000736,0.002176,0.001184,0.000384,0.891770
0.394795,0.017889,0.192006,0.004768,0.047137,0.112196,0.048641,0.063394,0.227431,0.000640,0.001984,0.001216,0.000352,0.894906
0.395052,0.017953,0.191493,0.004832,0.047234,0.109347,0.045057,0.084803,0.244039,0.000800,0.002208,0.001120,0.000384,0.914523
0.394700,0.017569,0.191621,0.004897,0.047617,0.109795,0.048578,0.063330,0.225127,0.000768,0.002912,0.001312,0.000352,0.894555
0.394955,0.017633,0.192389,0.004801,0.047137,0.113219,0.047618,0.060770,0.225255,0.000672,0.002144,0.001280,0.000384,0.894139
0.394924,0.017664,0.192678,0.004864,0.047586,0.113187,0.049250,0.062465,0.228359,0.000640,0.002080,0.001536,0.000448,0.897883
0.414572,0.017856,0.191653,0.005024,0.047618,0.112163,0.056674,0.062114,0.234439,0.000736,0.002528,0.001280,0.000416,0.923323
0.394700,0.017760,0.192262,0.004832,0.047297,0.112836,0.049185,0.063746,0.229831,0.000768,0.002144,0.001184,0.000480,0.899642
0.394828,0.017472,0.192198,0.004832,0.047137,0.109892,0.048769,0.062594,0.224551,0.000768,0.002304,0.001184,0.000448,0.892986
0.395627,0.017472,0.192454,0.004832,0.047009,0.112964,0.071810,0.075234,0.265544,0.000768,0.002112,0.001248,0.000448,0.935931
0.394635,0.017568,0.191942,0.004928,0.047201,0.107748,0.048609,0.061122,0.220711,0.000704,0.001856,0.001152,0.000352,0.887674
0.395051,0.017505,0.192005,0.004865,0.047009,0.114147,0.045730,0.060162,0.223239,0.000832,0.002240,0.001312,0.000384,0.891514
0.394636,0.017633,0.192133,0.004832,0.046946,0.110467,0.048930,0.061089,0.223750,0.000864,0.002049,0.001280,0.000416,0.891579
0.417517,0.017728,0.192102,0.004896,0.047265,0.109444,0.057121,0.064226,0.234055,0.000736,0.002080,0.001217,0.000384,0.924988
0.395724,0.017472,0.191750,0.004864,0.047041,0.110980,0.046145,0.060290,0.222119,0.000640,0.002336,0.001120,0.000416,0.892314
0.395852,0.017664,0.191942,0.005216,0.049346,0.109347,0.057986,0.064930,0.236391,0.000704,0.002048,0.001184,0.000416,0.907771
0.394220,0.017504,0.192166,0.004896,0.067266,0.112932,0.049057,0.061474,0.227175,0.000768,0.002528,0.001248,0.000384,0.916219
0.395659,0.017537,0.194342,0.004800,0.047393,0.111204,0.046753,0.059682,0.221415,0.001088,0.002304,0.001280,0.000448,0.894074
0.395019,0.017377,0.192614,0.004832,0.047169,0.110627,0.048609,0.062018,0.225479,0.000672,0.002080,0.001184,0.000352,0.895034
0.394155,0.017569,0.192358,0.004800,0.047521,0.113220,0.048673,0.064610,0.229767,0.000768,0.002336,0.001120,0.000352,0.897754
0.410924,0.017633,0.192005,0.004800,0.047554,0.113795,0.056450,0.061762,0.235527,0.000608,0.002080,0.001216,0.000352,0.920027
0.394572,0.017537,0.191717,0.004801,0.047041,0.111139,0.048194,0.061570,0.223975,0.000672,0.002016,0.001280,0.000352,0.890619
0.394572,0.017633,0.192037,0.004896,0.047010,0.134788,0.049761,0.065922,0.254023,0.000768,0.002080,0.001152,0.000416,0.921372
0.395340,0.017409,0.212294,0.004960,0.047265,0.111524,0.057025,0.061058,0.232743,0.000800,0.001760,0.001152,0.000320,0.921051
0.394667,0.017409,0.191398,0.004864,0.047265,0.113316,0.047137,0.063394,0.227751,0.000768,0.002112,0.001184,0.000384,0.895290
0.394636,0.017569,0.191813,0.004833,0.047393,0.112803,0.048674,0.063586,0.228487,0.000832,0.002976,0.001472,0.000384,0.897467
0.394380,0.017345,0.191653,0.004864,0.046946,0.109699,0.047938,0.063201,0.224390,0.000672,0.002081,0.001280,0.000320,0.890939
0.394412,0.017473,0.191717,0.004864,0.047810,0.108099,0.046402,0.059841,0.217798,0.000768,0.002336,0.001505,0.000352,0.886971
0.394412,0.017664,0.191334,0.004800,0.047362,0.113219,0.049249,0.064481,0.231046,0.000801,0.002272,0.001216,0.000352,0.899451
0.394092,0.017504,0.191814,0.004832,0.047490,0.110467,0.048833,0.061154,0.223814,0.000736,0.002112,0.001056,0.000352,0.890522
0.394892,0.017472,0.211334,0.004993,0.047361,0.110371,0.057474,0.061250,0.232487,0.000736,0.002496,0.001248,0.000384,0.920443
0.394284,0.017377,0.191685,0.004992,0.047010,0.107779,0.048737,0.060545,0.220518,0.000768,0.002080,0.001249,0.000352,0.887675
0.395212,0.017632,0.191366,0.004896,0.047138,0.111427,0.048833,0.060834,0.224454,0.000640,0.002048,0.001152,0.000384,0.891770
0.394411,0.017377,0.192038,0.004832,0.047105,0.107907,0.048706,0.063682,0.224231,0.000736,0.002144,0.001120,0.000352,0.891610
0.394636,0.017632,0.191942,0.004864,0.047041,0.118212,0.055202,0.067458,0.244584,0.000832,0.005216,0.001216,0.000416,0.916283
0.394347,0.017665,0.191717,0.004993,0.047265,0.110915,0.048450,0.068418,0.231751,0.000704,0.001952,0.001152,0.000288,0.899322
0.395947,0.017633,0.192038,0.004896,0.047361,0.115876,0.048577,0.065506,0.234119,0.000704,0.002240,0.001280,0.000352,0.905274
0.395819,0.017344,0.211590,0.005025,0.047393,0.111971,0.048962,0.063234,0.227271,0.000704,0.002016,0.001536,0.000416,0.917211
0.394540,0.017504,0.191334,0.004864,0.047362,0.109251,0.048257,0.068354,0.229670,0.000672,0.002145,0.001440,0.000416,0.898235
0.395115,0.017313,0.191942,0.004832,0.047105,0.109924,0.048225,0.060258,0.221991,0.000640,0.001952,0.001472,0.000384,0.889274
0.393867,0.017249,0.191782,0.004864,0.047105,0.110083,0.048130,0.060162,0.221511,0.000672,0.001888,0.001184,0.000416,0.886938
0.395340,0.017280,0.191814,0.004800,0.047266,0.117667,0.046658,0.061761,0.230118,0.000640,0.001953,0.001152,0.000352,0.897659
0.395755,0.017793,0.192422,0.004864,0.049569,0.123460,0.050785,0.064610,0.242375,0.001088,0.002336,0.001376,0.000416,0.915195
0.395820,0.017504,0.191590,0.004832,0.049217,0.108995,0.049409,0.062370,0.224838,0.000928,0.002080,0.001376,0.000384,0.895674
0.411116,0.017761,0.191942,0.005248,0.049217,0.115076,0.047329,0.060130,0.226759,0.000704,0.002176,0.001088,0.000352,0.914171
0.394763,0.017473,0.191750,0.005440,0.049537,0.109635,0.049249,0.063234,0.226087,0.001056,0.002400,0.001216,0.000416,0.898330
