Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-7],Layer[8],Layer[9],Layer[10],classifier
0.504083,0.017536,0.206056,0.004864,0.046977,0.159943,0.003424,0.009472,0.000608,0.960837
0.418736,0.017633,0.204520,0.005024,0.049442,0.197896,0.002464,0.001408,0.000544,0.904995
0.416624,0.017281,0.203432,0.005280,0.049410,0.200040,0.002336,0.001248,0.000352,0.903939
0.436081,0.017313,0.203784,0.004992,0.049346,0.190599,0.002272,0.001248,0.000576,0.913988
0.416496,0.017473,0.203368,0.005216,0.048866,0.200264,0.002336,0.001088,0.000416,0.902755
0.415504,0.017473,0.202504,0.004832,0.050050,0.197736,0.002112,0.001216,0.000576,0.900291
0.415696,0.017537,0.202184,0.005056,0.048738,0.218504,0.002145,0.000960,0.000576,0.918276
0.416656,0.017281,0.202696,0.005248,0.049154,0.185127,0.001984,0.001120,0.000384,0.887042
0.415665,0.017440,0.202280,0.005217,0.048257,0.196776,0.002496,0.001152,0.000608,0.897155
0.416144,0.017313,0.202120,0.005248,0.049218,0.200008,0.002112,0.001024,0.000576,0.901507
0.431985,0.017345,0.202088,0.005280,0.049730,0.196040,0.002112,0.001248,0.000544,0.913508
0.415984,0.017569,0.202056,0.004992,0.048610,0.191591,0.002304,0.001056,0.000608,0.892387
0.417072,0.017345,0.202920,0.005248,0.049890,0.193512,0.002112,0.001088,0.000576,0.896899
0.415600,0.017409,0.201928,0.005312,0.048834,0.207112,0.002144,0.001056,0.000608,0.907363
0.416432,0.017537,0.202408,0.005280,0.048098,0.193256,0.002176,0.000992,0.000608,0.893923
0.416369,0.017440,0.202120,0.004864,0.047362,0.196264,0.002144,0.000960,0.000384,0.895203
0.415472,0.017281,0.203624,0.004800,0.047618,0.199208,0.002176,0.001088,0.000384,0.898563
0.431697,0.017345,0.202120,0.004800,0.047618,0.193863,0.002176,0.001088,0.000416,0.908579
0.416209,0.017313,0.202087,0.004865,0.048610,0.198247,0.002240,0.001121,0.000352,0.898436
0.416304,0.017249,0.202312,0.004832,0.048194,0.204136,0.002048,0.001056,0.000384,0.903811
0.416848,0.017313,0.223113,0.005120,0.048546,0.205608,0.002272,0.001408,0.000576,0.928836
0.416016,0.017345,0.203560,0.005248,0.048546,0.207880,0.002145,0.001088,0.000352,0.910308
0.417232,0.017377,0.201800,0.005280,0.049218,0.196776,0.002560,0.001120,0.000352,0.899011
0.415920,0.017313,0.202024,0.005216,0.049218,0.193127,0.002176,0.001056,0.000640,0.894179
0.416496,0.017505,0.202376,0.004832,0.049346,0.187912,0.002240,0.000992,0.000608,0.888707
0.415920,0.017377,0.202183,0.004864,0.048354,0.194471,0.002080,0.001184,0.000416,0.894179
0.416081,0.017281,0.202503,0.004769,0.048450,0.190855,0.002272,0.001056,0.000352,0.890595
0.416080,0.017281,0.221192,0.004961,0.047649,0.196168,0.002048,0.001120,0.000384,0.914179
0.415792,0.017473,0.201960,0.004832,0.048514,0.201128,0.002272,0.000896,0.000640,0.900291
0.416240,0.017697,0.202536,0.004832,0.048322,0.179367,0.001984,0.000960,0.000384,0.879331
0.416304,0.017473,0.202312,0.004896,0.048290,0.195015,0.002177,0.000864,0.000608,0.894723
0.433841,0.017312,0.202504,0.004832,0.048546,0.186696,0.002208,0.000928,0.000352,0.906052
0.416560,0.017345,0.202888,0.004800,0.049122,0.191975,0.002145,0.000928,0.000384,0.892867
0.415761,0.017280,0.202536,0.004800,0.048962,0.181544,0.002112,0.000960,0.000352,0.880931
0.415760,0.017408,0.202024,0.004832,0.064035,0.200104,0.001984,0.000864,0.000352,0.914212
