Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-7],OUT[7],TEE[5-7],Layer[8],Layer[9],Layer[10],classifier
0.541444,0.017664,0.207010,0.004800,0.047264,0.131585,0.063136,0.061537,0.259746,0.002144,0.002496,0.000544,1.090504
0.417315,0.017376,0.203649,0.004864,0.048193,0.105504,0.049089,0.065056,0.222849,0.002048,0.001600,0.000576,0.925190
0.415459,0.017824,0.205314,0.004896,0.048320,0.109921,0.048352,0.061025,0.222690,0.002048,0.001152,0.000352,0.925031
0.440196,0.017632,0.203617,0.004864,0.048353,0.102432,0.048193,0.060352,0.214145,0.002048,0.001120,0.000384,0.939367
0.415427,0.017536,0.202914,0.004864,0.048704,0.111649,0.047968,0.062017,0.224674,0.002368,0.001024,0.000384,0.924583
0.419651,0.017728,0.203138,0.004832,0.048320,0.109473,0.048160,0.061537,0.222146,0.002144,0.001056,0.000384,0.926407
0.420739,0.017376,0.203873,0.004832,0.048513,0.108512,0.045729,0.091968,0.249121,0.002241,0.000992,0.000320,0.954727
0.415779,0.017760,0.203842,0.004832,0.048768,0.110241,0.046208,0.059297,0.219618,0.002464,0.001216,0.000352,0.921287
0.415747,0.017568,0.203041,0.004832,0.047969,0.108384,0.045729,0.065760,0.223041,0.002496,0.001120,0.000384,0.922726
0.420163,0.017728,0.202978,0.004928,0.047904,0.110497,0.049184,0.060289,0.223170,0.002112,0.000992,0.000320,0.926503
0.437027,0.017697,0.202497,0.004800,0.048032,0.108801,0.047137,0.060192,0.219298,0.002016,0.000864,0.000352,0.939143
0.419075,0.017632,0.202497,0.004800,0.047521,0.100736,0.044161,0.059104,0.207201,0.002112,0.001056,0.000352,0.908390
0.416323,0.017568,0.202722,0.004896,0.048064,0.115329,0.048352,0.061441,0.228162,0.002112,0.001056,0.000384,0.927687
0.415043,0.017313,0.202817,0.004800,0.048096,0.134817,0.046561,0.060288,0.244866,0.002240,0.000992,0.000320,0.942407
0.414563,0.017536,0.202658,0.004768,0.047552,0.106561,0.047456,0.058944,0.216034,0.002016,0.000992,0.000352,0.912615
0.419843,0.017760,0.202786,0.004960,0.047136,0.110177,0.048832,0.059873,0.222018,0.001984,0.000960,0.000352,0.924103
0.415907,0.017248,0.203105,0.004832,0.047521,0.105664,0.044289,0.061728,0.214721,0.001984,0.000928,0.000352,0.912838
0.432483,0.017504,0.202818,0.004864,0.048032,0.117761,0.048032,0.060385,0.229762,0.002016,0.001216,0.000416,0.946087
0.419907,0.017472,0.202433,0.004896,0.047073,0.106464,0.046113,0.061344,0.217345,0.002112,0.001024,0.000384,0.919334
0.419523,0.017696,0.202497,0.004896,0.047969,0.103329,0.045152,0.059040,0.210785,0.002016,0.000896,0.000384,0.912966
0.419267,0.017600,0.221314,0.004928,0.047360,0.112225,0.047968,0.062753,0.225890,0.002112,0.000992,0.000384,0.946695
0.419363,0.017248,0.202689,0.004864,0.047265,0.105952,0.045377,0.058400,0.212833,0.001984,0.000960,0.000352,0.913894
0.420067,0.017216,0.202658,0.004992,0.047264,0.115745,0.057920,0.060673,0.237282,0.002400,0.001024,0.000384,0.939367
0.415586,0.017377,0.202369,0.004800,0.046880,0.105377,0.043393,0.059648,0.211330,0.002144,0.001056,0.000352,0.908070
0.420291,0.017696,0.202401,0.004800,0.047329,0.114689,0.047072,0.059488,0.224193,0.002208,0.001024,0.000384,0.926694
0.420099,0.017376,0.203202,0.004896,0.047104,0.112673,0.047072,0.060257,0.223074,0.002496,0.000864,0.000352,0.925351
0.414755,0.017248,0.202657,0.004896,0.047777,0.111744,0.045729,0.061056,0.221601,0.002272,0.000992,0.000352,0.918566
0.438211,0.017536,0.203714,0.004896,0.047712,0.114049,0.049600,0.062497,0.229570,0.002144,0.001184,0.000384,0.952231
0.420867,0.017760,0.203361,0.004896,0.049985,0.110880,0.048577,0.062048,0.224577,0.001984,0.001120,0.000352,0.931558
