Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-8],OUT[8],TEE[5-8],Layer[9],Layer[10],classifier
0.505572,0.017824,0.206337,0.004896,0.047105,0.103489,0.067776,0.059360,0.233857,0.010433,0.000640,1.033224
0.415843,0.017408,0.203714,0.004864,0.047712,0.125761,0.051040,0.060993,0.241218,0.001408,0.000384,0.938503
0.415587,0.017280,0.203233,0.004928,0.048065,0.103776,0.053441,0.064416,0.224673,0.001408,0.000384,0.921958
0.416067,0.017472,0.202594,0.004928,0.047776,0.104449,0.051200,0.062049,0.221154,0.001376,0.000416,0.917191
0.416515,0.017633,0.202625,0.004960,0.049440,0.118657,0.054913,0.060384,0.237602,0.001344,0.000640,0.937223
0.432643,0.017376,0.202530,0.004896,0.048928,0.108129,0.061184,0.068577,0.241058,0.001408,0.000352,0.955559
0.415779,0.017280,0.202625,0.004928,0.049377,0.109665,0.054784,0.062848,0.231169,0.001408,0.000416,0.928806
0.415811,0.017280,0.202626,0.004928,0.048192,0.106977,0.054656,0.063777,0.228962,0.001472,0.000416,0.926055
0.415555,0.017344,0.222817,0.005120,0.048865,0.107776,0.051969,0.061184,0.224225,0.001280,0.000352,0.941478
0.415235,0.017408,0.202850,0.004960,0.047808,0.101729,0.051520,0.061249,0.217858,0.001248,0.000352,0.913511
0.415107,0.017248,0.203074,0.004928,0.047616,0.107489,0.056992,0.061473,0.229602,0.001184,0.000416,0.924903
0.415235,0.017248,0.203393,0.004960,0.047169,0.125280,0.049345,0.061376,0.239297,0.001376,0.000320,0.934758
0.415587,0.017440,0.203170,0.004896,0.047136,0.105057,0.049888,0.060641,0.218850,0.001312,0.000352,0.914279
0.415363,0.017376,0.202946,0.005152,0.046976,0.132161,0.053953,0.060896,0.250114,0.001152,0.000384,0.945191
0.416707,0.017440,0.202977,0.005024,0.047841,0.105185,0.053024,0.059936,0.221953,0.001248,0.000384,0.919846
0.439523,0.017473,0.203201,0.004928,0.049760,0.106625,0.052353,0.060768,0.223362,0.001216,0.000448,0.946087
0.415843,0.017344,0.203169,0.004896,0.047841,0.122049,0.060512,0.065793,0.251330,0.001280,0.000288,0.947559
0.414947,0.017248,0.203106,0.004928,0.047360,0.120929,0.056961,0.061472,0.242146,0.001056,0.000288,0.936551
0.415203,0.017312,0.205985,0.004864,0.047457,0.106144,0.060001,0.081632,0.251425,0.001216,0.000320,0.950214
0.415331,0.017440,0.202658,0.004896,0.047200,0.102945,0.049792,0.061153,0.217410,0.001280,0.000320,0.912999
0.415747,0.017216,0.206497,0.004928,0.047201,0.104960,0.051169,0.061440,0.220737,0.001152,0.000288,0.919398
0.415203,0.017504,0.202593,0.004864,0.047105,0.106849,0.057216,0.061952,0.229217,0.001152,0.000256,0.924102
0.430595,0.017248,0.202786,0.005024,0.047200,0.124545,0.049664,0.061249,0.238338,0.001056,0.000320,0.948231
0.415459,0.017472,0.202657,0.004864,0.046913,0.107808,0.050945,0.069280,0.230913,0.001152,0.000416,0.925798
0.416195,0.017504,0.202594,0.004928,0.047552,0.111457,0.053056,0.061697,0.229730,0.001280,0.000448,0.926919
0.416066,0.017473,0.202849,0.004896,0.049184,0.152098,0.059456,0.065376,0.280322,0.001312,0.000384,0.977926
0.415267,0.017280,0.202242,0.004896,0.049376,0.108417,0.051200,0.062337,0.225058,0.001280,0.000352,0.921063
0.415331,0.017440,0.202849,0.004928,0.047456,0.108193,0.051425,0.061984,0.224770,0.001248,0.000384,0.919814
0.414723,0.017440,0.202305,0.004896,0.046977,0.104480,0.064065,0.062240,0.233921,0.001184,0.000416,0.927654
0.426947,0.017472,0.202786,0.004896,0.046944,0.135233,0.066913,0.060064,0.265282,0.001184,0.000448,0.971655
