Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-9],OUT[9],TEE[5-9],Layer[10],classifier
0.490223,0.017984,0.196102,0.004928,0.047618,0.092002,0.072643,0.113539,0.281960,0.000896,1.046591
0.398348,0.017376,0.192742,0.004928,0.048641,0.109764,0.064194,0.063170,0.240488,0.000832,0.909403
0.398091,0.017537,0.193222,0.004864,0.049121,0.109796,0.054657,0.060770,0.228903,0.000736,0.898202
0.401708,0.017441,0.192197,0.004928,0.048546,0.110595,0.054722,0.061570,0.230087,0.000576,0.901179
0.417165,0.017440,0.192614,0.004928,0.048290,0.104355,0.063874,0.061409,0.232839,0.000576,0.919452
0.396908,0.017601,0.191973,0.004897,0.048801,0.112259,0.054082,0.061058,0.230663,0.000768,0.897819
0.397708,0.017632,0.192518,0.004896,0.048001,0.107459,0.052513,0.060930,0.223847,0.000576,0.890554
0.396556,0.017664,0.192454,0.004896,0.064706,0.112899,0.058402,0.065474,0.239495,0.000640,0.922363
0.397292,0.017633,0.192453,0.004832,0.047810,0.111427,0.051746,0.060610,0.227271,0.000640,0.893499
0.395787,0.017537,0.192358,0.004768,0.048193,0.109827,0.052834,0.061730,0.227975,0.000640,0.892442
0.395787,0.017345,0.192358,0.004864,0.047617,0.105603,0.062850,0.065058,0.236519,0.000640,0.899546
0.410412,0.017313,0.191877,0.004800,0.047202,0.107459,0.065378,0.060642,0.236583,0.000576,0.914267
0.395724,0.017728,0.192198,0.004832,0.047489,0.105540,0.052609,0.061570,0.222855,0.000608,0.886810
0.395596,0.017537,0.192101,0.004864,0.047618,0.140068,0.065250,0.063074,0.271688,0.000608,0.935996
0.395595,0.017409,0.191974,0.004928,0.063618,0.109059,0.053154,0.059457,0.224774,0.000608,0.904698
0.395723,0.017633,0.192390,0.004832,0.048801,0.113956,0.052993,0.059810,0.230247,0.000704,0.898682
0.395724,0.017345,0.192261,0.004897,0.048161,0.112387,0.052706,0.058402,0.226759,0.000832,0.891739
0.396108,0.017473,0.192389,0.004832,0.049154,0.109699,0.052930,0.062946,0.228679,0.000672,0.895291
0.416876,0.017633,0.192070,0.004896,0.049089,0.112484,0.053729,0.063138,0.232839,0.000704,0.920539
0.395788,0.017728,0.192102,0.004928,0.049090,0.111011,0.051234,0.063425,0.228998,0.000704,0.895834
0.395819,0.017537,0.192325,0.004833,0.049825,0.110723,0.050402,0.065378,0.229735,0.000704,0.896187
0.395212,0.017856,0.192198,0.004864,0.065890,0.111427,0.063778,0.060418,0.238759,0.000768,0.922491
0.396908,0.017664,0.192006,0.004864,0.048834,0.108675,0.052769,0.062754,0.227430,0.000672,0.893626
0.396140,0.017664,0.192326,0.005056,0.047810,0.110371,0.082562,0.072291,0.269800,0.000800,0.936380
0.395947,0.017441,0.191781,0.004896,0.048321,0.103971,0.051138,0.057441,0.215782,0.000577,0.880250
0.414284,0.017504,0.191846,0.004864,0.048450,0.113443,0.053058,0.060545,0.230182,0.000672,0.914971
0.395979,0.017441,0.192390,0.004896,0.048865,0.106851,0.049954,0.058946,0.218855,0.000672,0.884954
0.395723,0.017376,0.191910,0.004896,0.049793,0.107044,0.051713,0.061602,0.223367,0.000672,0.889914
0.397324,0.017728,0.192294,0.004832,0.048482,0.133636,0.066978,0.066466,0.271048,0.000768,0.939388
0.395948,0.017376,0.192390,0.004832,0.049538,0.112451,0.050913,0.058274,0.224966,0.000640,0.891770
0.396107,0.017281,0.191910,0.004896,0.048833,0.110083,0.053025,0.060386,0.226503,0.000640,0.891258
0.395852,0.017377,0.191845,0.004896,0.049346,0.106499,0.052034,0.061025,0.222726,0.000640,0.887738
0.422508,0.017665,0.193030,0.005024,0.049025,0.134308,0.068034,0.060994,0.266984,0.000768,0.963772
0.396395,0.017665,0.192102,0.004896,0.047809,0.103427,0.061730,0.061570,0.230055,0.000512,0.894426
0.395755,0.017441,0.192326,0.004896,0.048289,0.117444,0.053313,0.060258,0.234407,0.000704,0.899642
0.395595,0.017633,0.211782,0.005088,0.048226,0.111395,0.064546,0.061186,0.240231,0.000672,0.926235
0.395980,0.017568,0.191910,0.004896,0.048162,0.111427,0.050402,0.060321,0.225126,0.000672,0.889850
0.396651,0.017665,0.191558,0.004864,0.048673,0.112260,0.053057,0.059586,0.227943,0.000736,0.893946
0.396620,0.017441,0.191813,0.004896,0.048450,0.113475,0.053090,0.061730,0.231623,0.000704,0.897531
0.396300,0.017440,0.192358,0.004928,0.048033,0.110148,0.054945,0.066434,0.234983,0.000864,0.901146
0.396299,0.017504,0.192102,0.004832,0.047937,0.115428,0.053313,0.065794,0.238343,0.000832,0.903802
0.397772,0.017344,0.192358,0.004928,0.047777,0.112196,0.052641,0.064322,0.232679,0.000736,0.899674
0.397964,0.017408,0.211270,0.004929,0.047905,0.113923,0.053538,0.060290,0.231079,0.000704,0.917499
0.396108,0.017600,0.192838,0.004864,0.048546,0.111811,0.053314,0.064482,0.232807,0.000736,0.899451
