Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-10],OUT[10],TEE[6-10],classifier
0.510095,0.018529,0.196070,0.005344,0.048193,0.000608,0.074274,0.053826,0.078178,0.209734,0.995453
0.399115,0.018305,0.192422,0.005056,0.048673,0.000608,0.097731,0.055778,0.064706,0.221479,0.891802
0.398060,0.017344,0.192390,0.005024,0.049761,0.000576,0.115332,0.053858,0.071362,0.243272,0.912379
0.397292,0.017664,0.193030,0.004832,0.050017,0.000480,0.100963,0.051841,0.067458,0.223366,0.893850
0.414189,0.017536,0.192646,0.004896,0.049986,0.000608,0.100675,0.051937,0.061986,0.218342,0.903483
0.396139,0.017345,0.192582,0.004960,0.048737,0.000576,0.091363,0.053729,0.062081,0.210598,0.876537
0.402060,0.017505,0.191877,0.004896,0.048738,0.000576,0.110659,0.054434,0.062562,0.230663,0.902555
0.397388,0.017312,0.192038,0.004864,0.047906,0.000480,0.098147,0.050401,0.085090,0.251911,0.917147
0.401548,0.017344,0.191910,0.004864,0.047777,0.000576,0.105924,0.051745,0.062946,0.223335,0.892346
0.397003,0.017505,0.191718,0.004832,0.048385,0.000640,0.110660,0.066050,0.061441,0.241159,0.908058
0.401132,0.017377,0.192517,0.004896,0.048322,0.000576,0.104739,0.052034,0.065026,0.224519,0.894875
0.417741,0.017568,0.192646,0.004768,0.047970,0.000608,0.100707,0.052705,0.063618,0.219750,0.907323
0.395627,0.017281,0.192166,0.004864,0.047329,0.000608,0.104291,0.052066,0.063042,0.222471,0.885626
0.400812,0.017569,0.192134,0.004800,0.047745,0.000576,0.109603,0.051873,0.064450,0.228839,0.899771
0.401260,0.017441,0.191589,0.004800,0.047842,0.000576,0.103299,0.052802,0.081506,0.242183,0.911675
0.401740,0.017473,0.191622,0.004928,0.047265,0.000608,0.134308,0.054146,0.069154,0.260584,0.929756
0.401195,0.017344,0.191750,0.004800,0.047681,0.000576,0.103555,0.051650,0.065922,0.224391,0.893210
0.400524,0.017344,0.191974,0.004960,0.047169,0.000608,0.104163,0.052577,0.063650,0.223175,0.891194
0.421612,0.017473,0.191750,0.005024,0.047553,0.000608,0.106435,0.066690,0.064098,0.241095,0.930907
0.401164,0.017377,0.192325,0.004897,0.047617,0.000608,0.111907,0.063266,0.069250,0.247815,0.918971
0.401420,0.017281,0.191429,0.004896,0.047586,0.000608,0.103587,0.049889,0.064450,0.220838,0.889530
0.395180,0.017600,0.192326,0.004864,0.047490,0.001024,0.110083,0.052385,0.082371,0.248775,0.913211
0.400235,0.017600,0.192326,0.004832,0.047489,0.000608,0.106563,0.052129,0.062690,0.224263,0.892666
0.395244,0.017312,0.192582,0.004832,0.047362,0.000608,0.109827,0.048929,0.062466,0.224262,0.888954
0.399180,0.017377,0.191813,0.004833,0.047137,0.000576,0.138436,0.052482,0.062626,0.256488,0.922844
0.416685,0.017312,0.192262,0.004992,0.047266,0.000608,0.099555,0.051937,0.068802,0.223910,0.909051
0.394700,0.017536,0.192134,0.005152,0.047714,0.000608,0.108995,0.051041,0.064226,0.227334,0.890234
0.400620,0.017569,0.192229,0.004929,0.046977,0.000576,0.100355,0.051905,0.062689,0.217766,0.886042
0.399468,0.017473,0.192197,0.004865,0.047393,0.000608,0.107939,0.052066,0.064546,0.227943,0.895931
0.399820,0.017537,0.191749,0.004832,0.047010,0.000576,0.129956,0.052833,0.063170,0.250023,0.917147
0.399244,0.017568,0.192038,0.004896,0.047234,0.000544,0.103683,0.052065,0.063618,0.222438,0.889274
0.399596,0.017312,0.191910,0.004928,0.047137,0.000576,0.099778,0.052897,0.060418,0.216326,0.883194
0.415693,0.017440,0.191558,0.005024,0.046978,0.000608,0.105987,0.051393,0.064514,0.224614,0.907227
0.395788,0.017408,0.192070,0.004896,0.047042,0.000576,0.103715,0.062658,0.062561,0.231782,0.896154
0.399948,0.017472,0.192902,0.004832,0.047169,0.000577,0.106467,0.053441,0.070434,0.232870,0.901050
0.399948,0.017569,0.192133,0.004960,0.047137,0.000576,0.109891,0.050658,0.062146,0.225447,0.893243
0.395052,0.017376,0.191750,0.004896,0.047201,0.000577,0.108867,0.052481,0.062178,0.226566,0.888794
0.399116,0.017344,0.191846,0.004928,0.047106,0.000576,0.095746,0.049442,0.061186,0.209702,0.876058
0.400108,0.017537,0.192262,0.004832,0.047521,0.000608,0.105539,0.049698,0.061922,0.219911,0.888475
0.399148,0.017377,0.210534,0.005184,0.047041,0.001024,0.106179,0.063458,0.066914,0.239527,0.925820
