Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-6],OUT[6],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.505455,0.018145,0.195717,0.005089,0.048481,0.000800,0.112131,0.047650,0.060802,0.224231,0.001120,0.002720,0.002688,0.000608,1.013118
0.397292,0.017857,0.192805,0.005025,0.048545,0.001024,0.106595,0.047426,0.071362,0.228711,0.000800,0.002176,0.001792,0.000352,0.903995
0.396971,0.017633,0.191910,0.005056,0.048993,0.000800,0.108900,0.047137,0.063714,0.222919,0.000768,0.003168,0.001856,0.000384,0.898490
0.411469,0.017568,0.192486,0.005248,0.048738,0.000736,0.106787,0.050081,0.065378,0.225318,0.000800,0.002272,0.001504,0.000384,0.915003
0.396139,0.017536,0.192358,0.004800,0.048769,0.000608,0.108484,0.049185,0.068802,0.229543,0.000992,0.002432,0.001216,0.000896,0.903162
0.397515,0.017345,0.192902,0.004832,0.049217,0.000800,0.111396,0.051745,0.070946,0.237319,0.001088,0.002848,0.001121,0.000704,0.913659
0.395788,0.017536,0.212839,0.005216,0.050305,0.000608,0.109540,0.046497,0.063554,0.222663,0.000992,0.002592,0.001280,0.000640,0.919291
0.396011,0.017408,0.191622,0.005312,0.049793,0.000800,0.106500,0.047265,0.063490,0.220583,0.000672,0.002272,0.001152,0.000640,0.893754
0.396812,0.017537,0.192005,0.005057,0.049857,0.000608,0.108387,0.049730,0.069794,0.231431,0.000576,0.004960,0.001088,0.000416,0.907931
0.395980,0.017568,0.191910,0.005056,0.049890,0.000832,0.108643,0.056322,0.065250,0.233447,0.000672,0.002368,0.001184,0.000448,0.907323
0.396267,0.017601,0.191878,0.004992,0.049729,0.000800,0.110340,0.046721,0.062466,0.222919,0.000736,0.002368,0.001184,0.000672,0.898266
0.395820,0.017665,0.192453,0.005312,0.049730,0.000576,0.107523,0.050850,0.066914,0.228519,0.000768,0.002080,0.001248,0.000448,0.901659
0.395788,0.017440,0.192678,0.005440,0.048418,0.000800,0.103715,0.050945,0.062402,0.219974,0.000736,0.001952,0.001248,0.000352,0.892314
0.396843,0.017601,0.212518,0.005633,0.048929,0.000576,0.112995,0.049954,0.061794,0.227751,0.000864,0.002400,0.001152,0.000608,0.924123
0.395723,0.017569,0.192166,0.005312,0.050401,0.000832,0.107267,0.049922,0.062146,0.222183,0.000704,0.001984,0.001120,0.000352,0.895866
0.398284,0.017472,0.192390,0.004864,0.050466,0.000832,0.107235,0.052610,0.060673,0.224070,0.000800,0.002304,0.001216,0.000512,0.901499
0.395628,0.017473,0.191589,0.004864,0.050210,0.000576,0.108739,0.048642,0.068738,0.229095,0.000800,0.002176,0.001376,0.000416,0.902523
0.395724,0.017600,0.191814,0.004832,0.050690,0.000640,0.105539,0.046401,0.058914,0.213830,0.000736,0.002336,0.001312,0.000416,0.887290
0.396267,0.017600,0.191974,0.005216,0.050465,0.000800,0.111108,0.048929,0.059746,0.223047,0.000736,0.002208,0.001344,0.000480,0.898522
0.395948,0.018081,0.192037,0.005249,0.049633,0.000608,0.111779,0.049186,0.065058,0.229223,0.000736,0.002528,0.001184,0.000448,0.903771
0.395659,0.017633,0.215302,0.005312,0.050274,0.000576,0.116867,0.049570,0.060898,0.230823,0.000544,0.002208,0.001184,0.000416,0.928859
0.396524,0.017600,0.191557,0.005024,0.050114,0.000800,0.109635,0.048226,0.064609,0.225479,0.000672,0.002080,0.001248,0.000640,0.898971
0.395788,0.017568,0.191782,0.004832,0.050562,0.000800,0.108899,0.048033,0.062082,0.222086,0.000960,0.002464,0.001248,0.000480,0.896506
0.395692,0.017633,0.192677,0.004833,0.048609,0.000768,0.108099,0.048802,0.064258,0.224295,0.000704,0.001984,0.001248,0.000832,0.896635
0.396108,0.017472,0.191590,0.004864,0.049346,0.000800,0.110723,0.056610,0.061090,0.231527,0.000672,0.002272,0.001408,0.000416,0.904187
