Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-7],OUT[7],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.490863,0.017984,0.195494,0.004896,0.048546,0.000800,0.114627,0.055522,0.064738,0.239111,0.003200,0.002624,0.000608,1.013022
0.411148,0.018017,0.193798,0.005408,0.047553,0.001024,0.103747,0.063330,0.062082,0.233671,0.002304,0.001248,0.000320,0.922267
0.396108,0.018016,0.192070,0.005152,0.047841,0.000801,0.115267,0.050145,0.067362,0.236102,0.002592,0.001216,0.000608,0.907547
0.395372,0.017697,0.192613,0.005312,0.048514,0.000832,0.112195,0.050850,0.062370,0.228903,0.002848,0.001280,0.000640,0.902907
0.395180,0.017504,0.192582,0.005056,0.050626,0.000608,0.102851,0.060482,0.076546,0.245799,0.002912,0.001152,0.000704,0.920379
0.395020,0.017537,0.192645,0.004928,0.048994,0.000992,0.097859,0.051233,0.060706,0.212838,0.002400,0.001024,0.000640,0.883898
0.395371,0.017857,0.192070,0.004864,0.049441,0.000864,0.117700,0.050465,0.062050,0.234503,0.002528,0.001248,0.000480,0.906874
0.400299,0.017888,0.191974,0.005344,0.049217,0.000832,0.108548,0.049665,0.060994,0.222503,0.002400,0.001120,0.000352,0.899066
0.410060,0.017889,0.192005,0.005088,0.048546,0.000832,0.110211,0.059746,0.061634,0.234887,0.002592,0.001248,0.000416,0.921083
0.395532,0.017409,0.191909,0.004833,0.049313,0.000800,0.110147,0.049314,0.064002,0.226407,0.005376,0.001120,0.000416,0.901019
0.395564,0.017888,0.192390,0.005280,0.048162,0.000992,0.106979,0.048385,0.060514,0.219078,0.002336,0.001120,0.000384,0.889690
0.398924,0.017793,0.191941,0.004896,0.048321,0.000832,0.132004,0.081155,0.060769,0.279528,0.005409,0.001216,0.000480,0.958557
0.399180,0.017504,0.191590,0.005088,0.048418,0.000832,0.108131,0.048321,0.060450,0.220038,0.002304,0.001216,0.000416,0.893786
0.400012,0.017697,0.191877,0.005473,0.047393,0.000800,0.107651,0.047330,0.060033,0.218086,0.002433,0.001088,0.000352,0.892571
0.395435,0.017600,0.191910,0.004864,0.047329,0.000832,0.106467,0.049825,0.061858,0.221191,0.002400,0.001280,0.000448,0.890650
0.410988,0.017825,0.191846,0.004832,0.047393,0.000992,0.109347,0.049473,0.065762,0.228199,0.005408,0.001344,0.000640,0.918203
0.395372,0.017696,0.191942,0.004864,0.047330,0.000800,0.108099,0.046081,0.061122,0.218598,0.002464,0.001216,0.000384,0.888122
0.395404,0.017760,0.191622,0.005312,0.048866,0.000800,0.112387,0.046593,0.059746,0.221766,0.002432,0.001184,0.000384,0.893434
0.399819,0.017601,0.192230,0.004832,0.048801,0.000800,0.134116,0.045666,0.059681,0.242791,0.002561,0.001184,0.000512,0.918235
0.399308,0.017793,0.191685,0.005344,0.048706,0.000800,0.112611,0.047266,0.063106,0.226823,0.002432,0.001184,0.000416,0.903611
0.399308,0.017600,0.191590,0.005312,0.049153,0.000833,0.107043,0.047745,0.063682,0.221702,0.002368,0.001216,0.000416,0.896634
0.399851,0.017697,0.191814,0.005248,0.048641,0.000800,0.121444,0.054754,0.060769,0.240647,0.003585,0.001056,0.000352,0.917915
0.413932,0.017729,0.192422,0.005376,0.048737,0.000768,0.113924,0.058177,0.069314,0.244455,0.002304,0.001249,0.000800,0.935484
0.399724,0.017536,0.192326,0.004800,0.048673,0.000832,0.108228,0.045729,0.061090,0.218087,0.002624,0.001248,0.000416,0.893914
