Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-8],Layer[9],Layer[10],classifier
0.508436,0.017825,0.205544,0.004864,0.047522,0.000800,0.193416,0.002304,0.000320,0.988967
0.417712,0.017889,0.204328,0.004864,0.048482,0.000832,0.200552,0.002080,0.000480,0.904675
0.421200,0.017569,0.203528,0.005024,0.047554,0.000544,0.198696,0.001760,0.000352,0.904387
0.421233,0.017825,0.202792,0.004928,0.047810,0.000800,0.209992,0.001824,0.000416,0.915716
0.421169,0.017729,0.203144,0.004928,0.048194,0.000576,0.190023,0.001536,0.000416,0.895748
0.420880,0.017825,0.222473,0.005024,0.048034,0.000576,0.192871,0.001344,0.000416,0.917028
0.416240,0.017665,0.202760,0.004896,0.047522,0.000608,0.192744,0.001312,0.000352,0.891843
0.420592,0.017664,0.203592,0.005280,0.048578,0.000640,0.200136,0.001376,0.000416,0.905379
0.416689,0.017633,0.203079,0.005056,0.049474,0.000608,0.196551,0.001281,0.000384,0.898724
0.420849,0.017761,0.205256,0.004992,0.048226,0.000544,0.207912,0.001472,0.000384,0.916004
0.420529,0.017889,0.202536,0.005280,0.048130,0.000576,0.200584,0.001344,0.000448,0.904804
0.420752,0.017889,0.202376,0.005152,0.048706,0.000608,0.217192,0.001505,0.000384,0.922469
0.440753,0.017569,0.203336,0.005280,0.048610,0.000608,0.198567,0.001472,0.000384,0.924933
0.416080,0.017761,0.203112,0.005120,0.047874,0.000576,0.202568,0.001536,0.000384,0.902915
0.420561,0.017505,0.202568,0.005120,0.048738,0.000576,0.190247,0.001312,0.000352,0.894563
0.417073,0.017921,0.202792,0.005056,0.049090,0.000544,0.220040,0.001440,0.000384,0.921509
0.421777,0.017697,0.202120,0.005088,0.048418,0.000544,0.190247,0.001408,0.000448,0.895171
0.420401,0.017697,0.202920,0.005280,0.048610,0.000576,0.216392,0.001504,0.000448,0.921604
0.416177,0.017536,0.202920,0.005056,0.047905,0.000576,0.193672,0.001440,0.000416,0.893763
0.436177,0.017793,0.202152,0.005152,0.048194,0.000576,0.191944,0.001376,0.000384,0.911364
