Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-8],OUT[8],TEE[6-8],Layer[9],Layer[10],classifier
0.490767,0.018400,0.197318,0.004896,0.048610,0.000800,0.090498,0.051425,0.059746,0.205190,0.017024,0.000640,0.991261
0.411404,0.017793,0.194118,0.005344,0.047841,0.000992,0.118052,0.051841,0.063330,0.236327,0.002560,0.000384,0.923707
0.396652,0.017953,0.193317,0.004865,0.048705,0.000800,0.114211,0.051522,0.060578,0.229511,0.002176,0.000384,0.900219
0.400396,0.017408,0.192614,0.004928,0.049601,0.000768,0.129924,0.054690,0.063458,0.251624,0.001312,0.000352,0.924795
0.401420,0.017504,0.192422,0.005376,0.048642,0.000800,0.126339,0.056834,0.057794,0.244231,0.001568,0.000416,0.918907
0.396428,0.017505,0.191749,0.005057,0.048161,0.000576,0.102755,0.047586,0.057793,0.211174,0.001440,0.000416,0.878330
0.395435,0.017376,0.191974,0.004896,0.048353,0.000608,0.105604,0.059457,0.060034,0.228167,0.001472,0.000416,0.896794
0.395755,0.017345,0.191685,0.004896,0.047489,0.000544,0.116836,0.047009,0.062882,0.229671,0.001888,0.000448,0.895482
0.409516,0.017537,0.192102,0.004896,0.048161,0.000576,0.104035,0.051906,0.061410,0.220839,0.001696,0.000384,0.903259
0.396396,0.017473,0.191973,0.004865,0.047969,0.000608,0.097667,0.051809,0.064194,0.216966,0.001600,0.000417,0.884123
0.395436,0.017537,0.191973,0.004864,0.048130,0.000608,0.102211,0.047681,0.059106,0.212070,0.001408,0.000416,0.878682
0.396012,0.017568,0.191878,0.005024,0.048225,0.000576,0.091747,0.048706,0.057185,0.201158,0.001440,0.000416,0.868441
0.396075,0.017441,0.191782,0.005280,0.048193,0.000672,0.104675,0.049762,0.057538,0.215431,0.001504,0.000384,0.882234
0.395276,0.017312,0.191622,0.005024,0.047618,0.000576,0.102691,0.050305,0.058018,0.214374,0.001152,0.000352,0.878682
0.396524,0.017248,0.191398,0.005280,0.046977,0.000800,0.103076,0.050337,0.058978,0.215655,0.001568,0.000384,0.883674
0.395948,0.017568,0.207430,0.005184,0.047265,0.000768,0.102307,0.049569,0.060066,0.214982,0.001504,0.000416,0.897690
0.395436,0.017248,0.191622,0.005280,0.047521,0.000832,0.114308,0.058178,0.059873,0.235399,0.001152,0.000352,0.900090
0.395563,0.017216,0.191494,0.005312,0.047105,0.000896,0.104355,0.050274,0.060034,0.217895,0.001376,0.000352,0.882970
0.396236,0.017472,0.191654,0.004896,0.047362,0.000608,0.105603,0.047841,0.059234,0.215718,0.001344,0.000416,0.883130
0.411852,0.017472,0.191462,0.005248,0.047234,0.000800,0.098307,0.046721,0.057090,0.205094,0.001280,0.000416,0.886010
0.401099,0.017664,0.191494,0.005376,0.048449,0.000768,0.112996,0.048033,0.058946,0.223431,0.001376,0.000416,0.899546
0.396203,0.017377,0.191717,0.005249,0.048065,0.000800,0.115876,0.051201,0.061890,0.232359,0.001280,0.000480,0.899931
0.396620,0.017345,0.191621,0.005248,0.064994,0.000768,0.107204,0.058369,0.061250,0.230055,0.001344,0.000352,0.916283
0.397132,0.017408,0.191654,0.005280,0.048354,0.000800,0.107971,0.046945,0.058210,0.216326,0.001504,0.000416,0.885018
0.395852,0.017537,0.191461,0.004833,0.048289,0.000800,0.104355,0.048130,0.059169,0.215142,0.001472,0.000416,0.883386
0.397164,0.017409,0.191749,0.005249,0.048865,0.001024,0.104003,0.046882,0.060929,0.215302,0.001280,0.000384,0.884762
0.418413,0.017408,0.191558,0.005280,0.048578,0.001024,0.110691,0.059298,0.061890,0.235239,0.001312,0.000416,0.925788
0.396332,0.017344,0.191558,0.004832,0.048385,0.000800,0.108612,0.048769,0.059938,0.220423,0.001376,0.000416,0.887834
0.401548,0.017601,0.191526,0.005280,0.048065,0.000800,0.136132,0.053506,0.059938,0.253096,0.001472,0.000448,0.927132
0.400460,0.017536,0.191526,0.004832,0.068962,0.000800,0.106243,0.052386,0.061314,0.222663,0.001376,0.000384,0.915579
0.401292,0.017344,0.191717,0.004864,0.048578,0.000800,0.110851,0.049890,0.062913,0.227303,0.001408,0.000384,0.900571
0.396940,0.017505,0.191845,0.004833,0.048769,0.000800,0.109123,0.051330,0.060258,0.223783,0.001440,0.000448,0.892795
0.400620,0.017600,0.191750,0.004928,0.048001,0.000864,0.107844,0.050081,0.062338,0.223591,0.001504,0.000448,0.895962
0.420877,0.017408,0.191558,0.005344,0.048705,0.000801,0.106531,0.049889,0.061026,0.220422,0.001376,0.000416,0.913115
0.396556,0.017441,0.191973,0.004864,0.048834,0.000832,0.109347,0.046786,0.061121,0.220966,0.001408,0.000384,0.890235
0.400747,0.017472,0.191334,0.004896,0.048577,0.000800,0.108036,0.050721,0.063682,0.225543,0.001568,0.000384,0.898074
0.396459,0.017504,0.191334,0.005248,0.063906,0.000832,0.100419,0.050433,0.058722,0.212870,0.001216,0.000416,0.896378
0.395660,0.017312,0.191686,0.005280,0.048322,0.000576,0.105475,0.052609,0.059810,0.220934,0.001312,0.000416,0.887610
0.395660,0.017505,0.192069,0.005089,0.048289,0.000768,0.102915,0.053058,0.060257,0.219463,0.001280,0.000384,0.886395
0.395756,0.017440,0.191366,0.005312,0.048481,0.000576,0.097763,0.047042,0.058113,0.206215,0.001280,0.000416,0.873114
0.409036,0.017377,0.192165,0.005056,0.048386,0.000576,0.102115,0.046593,0.058114,0.210086,0.001184,0.000384,0.890298
0.395596,0.017312,0.191366,0.004864,0.048737,0.000576,0.102883,0.051010,0.064354,0.221703,0.001376,0.000544,0.888346
0.395403,0.017281,0.191333,0.004929,0.048417,0.000800,0.132260,0.066690,0.062114,0.264264,0.001152,0.000384,0.929723
0.395692,0.017344,0.191142,0.005312,0.048482,0.000608,0.102019,0.055137,0.078691,0.239719,0.001664,0.000384,0.907131
0.400556,0.017345,0.191782,0.005312,0.047873,0.000800,0.103875,0.047170,0.063074,0.217383,0.001472,0.000416,0.889787
0.396108,0.017441,0.191205,0.005057,0.047841,0.000768,0.110979,0.049730,0.062594,0.226791,0.001344,0.000352,0.893787
0.396140,0.017537,0.191365,0.005089,0.048833,0.000576,0.106147,0.060130,0.061602,0.230919,0.001184,0.000352,0.897659
0.414796,0.017601,0.191590,0.004896,0.048417,0.000608,0.109539,0.059170,0.065122,0.237543,0.001248,0.000384,0.923387
0.396427,0.017409,0.191238,0.004992,0.048481,0.000736,0.110180,0.050049,0.061794,0.225415,0.001376,0.000384,0.892346
0.399787,0.017344,0.191590,0.004960,0.048513,0.000640,0.107620,0.049473,0.063618,0.224327,0.001536,0.000416,0.896154
0.396076,0.018080,0.191910,0.004864,0.048161,0.000608,0.101795,0.046850,0.065730,0.217575,0.001408,0.000384,0.884890
0.401068,0.017344,0.191942,0.004800,0.048290,0.000768,0.109635,0.047425,0.064386,0.224646,0.001344,0.000448,0.897722
0.396587,0.017313,0.191654,0.005280,0.048449,0.000800,0.112740,0.048801,0.064482,0.229383,0.001568,0.000416,0.897818
0.400939,0.017345,0.191686,0.005280,0.048641,0.000640,0.110724,0.049857,0.064834,0.228775,0.001440,0.000384,0.902426
0.413101,0.017632,0.193062,0.005120,0.048674,0.000768,0.116803,0.049314,0.062433,0.231878,0.001600,0.000448,0.919708
0.401132,0.017505,0.191589,0.004864,0.048226,0.000576,0.107619,0.049793,0.062017,0.222854,0.001440,0.000384,0.895642
0.396075,0.017569,0.192102,0.004832,0.047617,0.000832,0.109443,0.050690,0.062562,0.226119,0.001440,0.000384,0.893434
0.396492,0.017409,0.191717,0.005057,0.048161,0.000768,0.111075,0.050434,0.062498,0.227431,0.001504,0.000384,0.895739
0.397356,0.017601,0.191941,0.005281,0.047553,0.000800,0.114467,0.050305,0.064610,0.232871,0.001504,0.000384,0.902203
0.397483,0.017568,0.191462,0.005440,0.049089,0.000832,0.106244,0.047425,0.060578,0.217863,0.001536,0.000448,0.888410
0.396908,0.017441,0.191717,0.005280,0.047746,0.001024,0.111267,0.048322,0.061249,0.224198,0.001440,0.000416,0.893211
0.419116,0.017697,0.191910,0.005280,0.048257,0.000576,0.111075,0.059361,0.068706,0.242631,0.001504,0.000384,0.934523
0.396908,0.017377,0.191749,0.004929,0.049441,0.000800,0.108867,0.049666,0.059490,0.221351,0.001472,0.000416,0.891067
0.396684,0.017377,0.191781,0.005088,0.048258,0.000800,0.105059,0.052258,0.060673,0.221350,0.001473,0.000352,0.890235
0.396812,0.017472,0.191814,0.005344,0.047554,0.000768,0.111395,0.049090,0.099394,0.264776,0.001632,0.000480,0.935644
0.397484,0.017633,0.193189,0.004897,0.047873,0.000768,0.115779,0.049762,0.062594,0.231623,0.001408,0.000480,0.902587
0.396235,0.017377,0.192006,0.005280,0.048449,0.000800,0.112164,0.051553,0.063778,0.230791,0.001472,0.000416,0.899898
0.396011,0.017633,0.192294,0.004832,0.048385,0.000608,0.111108,0.050113,0.062690,0.227431,0.001472,0.000416,0.896218
0.410924,0.017536,0.192486,0.004928,0.048001,0.000608,0.114500,0.050785,0.062306,0.230855,0.001504,0.000416,0.914171
0.396747,0.017505,0.191878,0.004896,0.048961,0.000576,0.112644,0.050529,0.065058,0.231495,0.001408,0.000352,0.900666
0.395980,0.017409,0.192133,0.004865,0.048353,0.000576,0.110563,0.048514,0.061154,0.223559,0.001568,0.000512,0.891643
0.395948,0.017504,0.191686,0.004832,0.048354,0.000640,0.133540,0.054881,0.064290,0.256295,0.001344,0.000352,0.923547
0.400172,0.017537,0.191589,0.005249,0.049121,0.000800,0.108355,0.049954,0.060546,0.221927,0.001472,0.000352,0.894331
0.401900,0.017440,0.191750,0.005056,0.048193,0.000800,0.112516,0.050369,0.062018,0.228359,0.001376,0.000320,0.902490
0.395788,0.017568,0.191878,0.005344,0.048098,0.000800,0.104739,0.047713,0.060258,0.216102,0.001472,0.000384,0.883546
0.418861,0.017440,0.191686,0.005056,0.047745,0.000832,0.112420,0.058402,0.062081,0.236359,0.001312,0.000385,0.926588
0.396940,0.017441,0.191653,0.005312,0.048386,0.000832,0.118051,0.048610,0.064322,0.234151,0.001440,0.000416,0.902651
0.401036,0.017568,0.191366,0.004896,0.048674,0.000544,0.112611,0.048961,0.062658,0.227590,0.001312,0.000384,0.899802
0.396140,0.017633,0.191365,0.005056,0.048450,0.000672,0.135716,0.056482,0.064258,0.259752,0.001472,0.000448,0.927100
0.400428,0.017600,0.191782,0.005280,0.047554,0.000608,0.110947,0.049985,0.062306,0.226310,0.001312,0.000416,0.898170
0.396364,0.017792,0.191590,0.004864,0.048802,0.000800,0.110915,0.052610,0.059713,0.226470,0.001472,0.000384,0.894779
0.400235,0.017696,0.191942,0.005280,0.048417,0.000768,0.111236,0.049057,0.063266,0.226759,0.001344,0.000448,0.899482
0.417868,0.017633,0.191877,0.005249,0.047905,0.000832,0.107107,0.056578,0.062370,0.229095,0.001408,0.000352,0.918523
0.400940,0.017504,0.191750,0.005312,0.048866,0.000800,0.113123,0.049761,0.063745,0.230342,0.001664,0.000384,0.904667
0.395595,0.017345,0.191333,0.005120,0.048033,0.000800,0.103523,0.048130,0.061730,0.216711,0.001376,0.000416,0.883034
0.400652,0.017377,0.191301,0.005088,0.048481,0.000832,0.129412,0.053538,0.062945,0.249192,0.001344,0.000512,0.921084
0.396139,0.017537,0.191365,0.005281,0.048001,0.000608,0.107331,0.049570,0.062146,0.221959,0.001376,0.000384,0.888570
0.395499,0.017313,0.191174,0.005248,0.048833,0.000576,0.110820,0.050081,0.062274,0.226599,0.001440,0.000384,0.893626
0.400204,0.017408,0.191462,0.005088,0.048386,0.000608,0.106115,0.048801,0.059330,0.217478,0.001344,0.000416,0.888442
0.415980,0.017569,0.191621,0.005153,0.048897,0.000736,0.108835,0.049474,0.062082,0.223751,0.001440,0.000416,0.912219
0.400716,0.017281,0.191365,0.005313,0.048129,0.000832,0.107235,0.050658,0.063394,0.224295,0.001280,0.000416,0.895899
0.400108,0.017280,0.191238,0.005248,0.048417,0.000736,0.107588,0.049441,0.060802,0.220967,0.001344,0.000448,0.892730
0.400140,0.017408,0.191270,0.005312,0.048034,0.000576,0.105731,0.075394,0.068354,0.252935,0.001376,0.000384,0.924283
0.396172,0.017504,0.191046,0.004992,0.049058,0.000832,0.090946,0.044450,0.057345,0.196197,0.001376,0.000384,0.863866
0.399819,0.017345,0.191878,0.004800,0.048225,0.000768,0.109444,0.047297,0.060994,0.221095,0.001312,0.000416,0.891962
0.399948,0.017409,0.191622,0.005056,0.048833,0.000832,0.109827,0.047458,0.059938,0.220327,0.001344,0.000480,0.892091
0.416300,0.017472,0.191270,0.005344,0.048226,0.000768,0.109315,0.059586,0.062146,0.233927,0.001376,0.000384,0.921211
0.400204,0.017441,0.191174,0.005408,0.048545,0.000800,0.111652,0.050049,0.062018,0.227047,0.001376,0.000352,0.898811
0.400364,0.017344,0.191686,0.005120,0.048129,0.000576,0.110596,0.049697,0.062722,0.225895,0.001632,0.000448,0.897242
0.397164,0.017473,0.191525,0.005248,0.048450,0.000800,0.108643,0.049634,0.111523,0.273288,0.001472,0.000384,0.942396
0.400171,0.017536,0.191558,0.005216,0.048481,0.000608,0.115780,0.048065,0.061250,0.228327,0.001600,0.000384,0.900410
0.401324,0.017569,0.191877,0.005249,0.048449,0.000640,0.110147,0.052578,0.066338,0.232199,0.001568,0.000384,0.906107
0.400748,0.017504,0.191910,0.005024,0.049090,0.000576,0.108227,0.048033,0.061378,0.220710,0.001600,0.000384,0.893690
0.413516,0.017601,0.191910,0.005056,0.048545,0.000832,0.103267,0.047426,0.058818,0.212839,0.001472,0.000416,0.899227
0.400684,0.017441,0.191493,0.005056,0.047714,0.000576,0.104259,0.048129,0.059330,0.215014,0.001344,0.000448,0.886042
0.396396,0.017569,0.191717,0.005057,0.049569,0.000800,0.106915,0.050466,0.060962,0.221767,0.001440,0.000384,0.891771
0.397131,0.017537,0.191270,0.005088,0.049665,0.000768,0.107651,0.072419,0.099907,0.285129,0.001536,0.000416,0.956284
0.400620,0.017537,0.191397,0.004832,0.048513,0.000608,0.111779,0.049218,0.060674,0.225191,0.001600,0.000384,0.897627
0.397483,0.017536,0.191782,0.005024,0.049473,0.000864,0.117732,0.050593,0.064898,0.236679,0.001408,0.000480,0.907130
0.398507,0.018049,0.194054,0.005088,0.048705,0.000768,0.110660,0.051713,0.066146,0.231911,0.001632,0.000384,0.906586
0.417901,0.017760,0.192486,0.005088,0.049698,0.000800,0.109411,0.056674,0.060322,0.229863,0.001536,0.000384,0.922620
0.397228,0.017760,0.192070,0.005024,0.048898,0.000800,0.123331,0.049922,0.061026,0.237831,0.001504,0.000448,0.908891
0.401228,0.017280,0.191494,0.005024,0.047905,0.000800,0.107780,0.053121,0.058754,0.222823,0.001376,0.000416,0.894906
0.396044,0.017600,0.191750,0.005344,0.048034,0.000608,0.140836,0.071074,0.079234,0.295176,0.001344,0.000384,0.963517
0.401163,0.017568,0.192198,0.005280,0.048161,0.000768,0.114276,0.049825,0.063266,0.230695,0.001344,0.000384,0.904282
0.402700,0.017568,0.191974,0.005376,0.048321,0.000800,0.109860,0.047937,0.060418,0.221575,0.001376,0.000480,0.896922
0.396940,0.017697,0.191589,0.005344,0.048610,0.000576,0.112067,0.052930,0.062114,0.230439,0.001440,0.000416,0.899419
0.420140,0.017473,0.192038,0.005312,0.048641,0.000800,0.116068,0.061858,0.062401,0.243751,0.001376,0.000384,0.937212
0.396939,0.017344,0.191782,0.004928,0.048385,0.000608,0.106243,0.053633,0.060226,0.223527,0.001344,0.000416,0.891194
