Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-9],Layer[10],classifier
0.529588,0.017697,0.207880,0.004864,0.048386,0.001024,0.203560,0.000800,1.022696
0.418353,0.017697,0.204648,0.004832,0.049922,0.000832,0.198184,0.000544,0.904004
0.421424,0.017729,0.204168,0.005120,0.048130,0.000832,0.218697,0.000640,0.924228
0.417840,0.017473,0.202888,0.004800,0.049506,0.000768,0.223113,0.000704,0.925380
0.422833,0.017472,0.202792,0.004833,0.048865,0.000832,0.193319,0.000640,0.899971
0.437009,0.017888,0.203656,0.004800,0.048706,0.000800,0.199912,0.000640,0.922468
0.417297,0.017504,0.204232,0.004833,0.047617,0.000800,0.216745,0.000704,0.918276
0.416913,0.017985,0.202823,0.004769,0.047906,0.000800,0.203208,0.000576,0.903396
0.417233,0.017569,0.204488,0.004864,0.048098,0.000800,0.229897,0.000704,0.931333
0.416752,0.017601,0.203624,0.004832,0.047618,0.000800,0.187783,0.000608,0.887426
0.417201,0.017664,0.202568,0.004800,0.047777,0.000768,0.203784,0.000640,0.902820
0.415696,0.017473,0.202760,0.004832,0.048994,0.000896,0.189127,0.000640,0.888610
0.432561,0.017729,0.203528,0.005088,0.048642,0.000800,0.205032,0.000736,0.920740
0.417232,0.017761,0.202984,0.004992,0.048002,0.000800,0.204040,0.000640,0.904515
0.417360,0.017505,0.203240,0.004800,0.048834,0.000800,0.194152,0.000736,0.895203
0.416848,0.017505,0.203400,0.004960,0.048066,0.000832,0.198440,0.000672,0.898275
0.416305,0.017505,0.202759,0.004801,0.048322,0.000800,0.211336,0.000768,0.910276
0.417264,0.017345,0.202760,0.004832,0.047458,0.000800,0.206024,0.000512,0.905347
0.417200,0.017793,0.203624,0.004800,0.047906,0.000832,0.218792,0.000608,0.918212
0.431121,0.017633,0.202664,0.004800,0.048834,0.000832,0.203272,0.000576,0.916772
0.417521,0.017760,0.203240,0.004833,0.047809,0.000833,0.214824,0.000736,0.914084
0.417296,0.017505,0.202824,0.004800,0.049186,0.000768,0.230089,0.000704,0.930692
0.416913,0.017792,0.202408,0.004801,0.048193,0.000801,0.190151,0.000704,0.888195
0.420848,0.017569,0.203176,0.004832,0.047810,0.000832,0.219753,0.000704,0.923876
0.416177,0.017472,0.202856,0.004832,0.048417,0.000800,0.202440,0.000640,0.900323
0.416528,0.017632,0.203912,0.004833,0.047585,0.000800,0.209801,0.000576,0.909860
0.432081,0.017697,0.203208,0.004832,0.047458,0.000800,0.212232,0.000576,0.926756
0.420336,0.017632,0.202888,0.005248,0.048610,0.000768,0.184840,0.000768,0.888707
0.418896,0.017825,0.205352,0.005088,0.048578,0.000832,0.226441,0.001312,0.933220
0.421201,0.017696,0.203592,0.005057,0.048066,0.000800,0.233673,0.000896,0.941221
0.421137,0.017473,0.204200,0.004800,0.048130,0.000800,0.207560,0.000704,0.911460
0.415760,0.017345,0.202568,0.005056,0.048450,0.000768,0.187847,0.000640,0.886050
0.415537,0.017249,0.203367,0.004832,0.047906,0.000768,0.186855,0.000672,0.884003
0.437106,0.017536,0.202984,0.004769,0.048258,0.000832,0.206024,0.000544,0.927909
0.416208,0.017441,0.202792,0.004832,0.048098,0.000832,0.230249,0.000736,0.928196
0.420689,0.017473,0.202376,0.004864,0.047714,0.000768,0.195495,0.000576,0.896515
0.415344,0.017697,0.203080,0.004864,0.048290,0.000800,0.224489,0.000832,0.925412
0.421073,0.017697,0.202663,0.004800,0.047490,0.000800,0.184359,0.000640,0.887363
0.420336,0.017665,0.203304,0.004800,0.047714,0.000768,0.197544,0.000640,0.899395
0.416240,0.017441,0.202664,0.004832,0.048034,0.000800,0.192808,0.000544,0.890339
0.436146,0.017600,0.203080,0.005025,0.049409,0.000801,0.207208,0.001024,0.928869
0.417873,0.017601,0.203239,0.005024,0.048194,0.000832,0.199815,0.000928,0.900868
0.420528,0.017569,0.203016,0.004800,0.047810,0.000800,0.227721,0.000672,0.929988
0.422352,0.017441,0.203112,0.004832,0.067811,0.000800,0.203848,0.000992,0.928932
0.417937,0.017313,0.202952,0.005248,0.047618,0.000768,0.221032,0.000672,0.920965
0.422353,0.017537,0.203048,0.005248,0.047714,0.000800,0.199176,0.000928,0.905700
0.415760,0.017632,0.203112,0.004864,0.048770,0.000800,0.201576,0.000640,0.902051
0.433265,0.017600,0.203400,0.005248,0.047874,0.000800,0.202344,0.000736,0.918916
0.416784,0.017793,0.202568,0.004832,0.048194,0.000800,0.201672,0.000736,0.900163
