Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-9],OUT[9],TEE[6-9],Layer[10],classifier
0.512132,0.017792,0.206082,0.004832,0.048224,0.000800,0.084577,0.054336,0.058240,0.200417,0.000928,0.997735
0.417763,0.017313,0.204641,0.004832,0.047040,0.000768,0.108449,0.051553,0.060000,0.223458,0.000640,0.922823
0.416547,0.017216,0.203713,0.004832,0.047297,0.000608,0.108961,0.049312,0.061472,0.223169,0.000608,0.920614
0.416931,0.017312,0.202754,0.004864,0.050080,0.000608,0.108961,0.052032,0.062529,0.226818,0.000768,0.926663
0.415779,0.017536,0.222081,0.005057,0.048640,0.000608,0.110273,0.052352,0.060128,0.226209,0.000736,0.943655
0.416163,0.017505,0.203361,0.004832,0.049888,0.000608,0.108929,0.052353,0.061568,0.226370,0.000608,0.925223
0.415555,0.017216,0.203329,0.005056,0.048801,0.000576,0.107809,0.049984,0.060800,0.221601,0.000608,0.918534
0.415395,0.017280,0.203426,0.005056,0.048736,0.000576,0.108737,0.051360,0.060193,0.223426,0.000736,0.938343
0.415587,0.017440,0.203009,0.005056,0.048065,0.000608,0.104928,0.051105,0.061088,0.220097,0.000608,0.916166
0.416003,0.017312,0.203106,0.005280,0.048064,0.000608,0.109217,0.051648,0.061729,0.225442,0.000608,0.922343
0.415779,0.017217,0.203617,0.004864,0.047648,0.000608,0.110049,0.050657,0.060736,0.224418,0.000672,0.920807
0.434627,0.018048,0.202818,0.004800,0.047168,0.000576,0.108417,0.051040,0.060993,0.224130,0.000608,0.939079
0.415619,0.017473,0.203041,0.005056,0.047072,0.000576,0.107681,0.050881,0.060544,0.222274,0.000640,0.917671
0.416195,0.017184,0.202722,0.004832,0.047296,0.000608,0.110721,0.048032,0.062113,0.224962,0.000640,0.921063
0.416003,0.017664,0.202882,0.004864,0.047776,0.000544,0.135681,0.051201,0.058880,0.249314,0.000896,0.945927
0.416451,0.017504,0.202945,0.004864,0.048769,0.000576,0.108225,0.054048,0.061952,0.227681,0.000704,0.925446
0.416227,0.017472,0.202850,0.004864,0.048672,0.000576,0.104417,0.051904,0.061345,0.220674,0.000672,0.917767
0.420259,0.017473,0.202753,0.004832,0.048160,0.000608,0.138785,0.050689,0.060096,0.252610,0.000768,0.953159
0.435363,0.017504,0.202946,0.004864,0.047392,0.000608,0.108801,0.050624,0.060609,0.223458,0.000800,0.938951
0.415331,0.017312,0.202754,0.004864,0.048608,0.000576,0.103841,0.050496,0.063873,0.221282,0.000640,0.917223
0.415139,0.017408,0.203009,0.005024,0.049665,0.000608,0.109728,0.050817,0.060768,0.224193,0.000672,0.921318
0.419651,0.017600,0.228834,0.005440,0.048416,0.000992,0.123904,0.056129,0.065920,0.249825,0.000704,0.979655
0.416803,0.018208,0.204674,0.004992,0.048096,0.000768,0.106401,0.050112,0.060705,0.220674,0.000704,0.921223
0.417283,0.017504,0.203810,0.004800,0.048000,0.000832,0.111713,0.066464,0.060545,0.242370,0.000672,0.941511
0.418051,0.017568,0.203553,0.005280,0.048097,0.000800,0.111168,0.051617,0.079776,0.246593,0.000800,0.947878
0.416611,0.017664,0.202690,0.004992,0.048736,0.000800,0.140897,0.054209,0.061792,0.260002,0.000672,0.958439
0.415971,0.017376,0.203970,0.004800,0.049024,0.000800,0.104673,0.053184,0.061377,0.222466,0.000640,0.920935
0.416419,0.017248,0.203074,0.004864,0.048256,0.000768,0.109121,0.048928,0.061665,0.222658,0.000640,0.920167
0.433155,0.017408,0.203873,0.004800,0.049089,0.000576,0.110913,0.051776,0.060608,0.226305,0.000672,0.942726
0.415459,0.017376,0.202594,0.004800,0.047776,0.000608,0.111201,0.051328,0.060417,0.226274,0.000544,0.922247
0.415395,0.017249,0.203073,0.004832,0.047648,0.000608,0.109153,0.051617,0.059552,0.223266,0.000704,0.918311
0.415747,0.017344,0.204513,0.004832,0.064225,0.000640,0.107905,0.050944,0.058528,0.220481,0.000800,0.936102
0.415171,0.017248,0.202882,0.004896,0.047264,0.000576,0.106081,0.051424,0.061441,0.221954,0.000704,0.916199
0.415427,0.017344,0.204610,0.004864,0.047936,0.000576,0.110561,0.050624,0.060001,0.224322,0.000704,0.923111
0.415523,0.018016,0.203393,0.005184,0.048033,0.000576,0.110689,0.051296,0.059264,0.224417,0.000640,0.922342
0.431907,0.017280,0.202626,0.004800,0.047136,0.000640,0.110593,0.050432,0.059489,0.223394,0.000704,0.934919
0.415554,0.017473,0.204001,0.004800,0.047072,0.000576,0.107329,0.050497,0.063392,0.224098,0.000608,0.919814
0.416099,0.018016,0.202658,0.004800,0.047072,0.000576,0.105825,0.051040,0.059713,0.219554,0.000640,0.915367
0.416067,0.017248,0.221506,0.005152,0.047200,0.000608,0.110881,0.050753,0.062048,0.226722,0.000608,0.941895
0.415203,0.017280,0.203393,0.004896,0.047009,0.000800,0.106176,0.050880,0.060160,0.220225,0.000576,0.915046
0.415459,0.017504,0.203426,0.004832,0.047008,0.000576,0.102081,0.051264,0.059104,0.215490,0.000608,0.910791
0.414723,0.017248,0.202498,0.004800,0.047040,0.000608,0.101825,0.050304,0.061345,0.216610,0.000608,0.909703
0.415107,0.017313,0.203137,0.004832,0.046976,0.000608,0.104801,0.051169,0.060160,0.219202,0.000672,0.913447
0.415075,0.017472,0.202977,0.004768,0.047041,0.000608,0.104000,0.050593,0.062048,0.219649,0.000704,0.914822
0.415267,0.017280,0.202722,0.004800,0.047456,0.000576,0.108481,0.050624,0.060128,0.222241,0.000608,0.916902
0.415363,0.017472,0.217122,0.005088,0.047040,0.000640,0.121761,0.050721,0.059168,0.234466,0.000608,0.943591
0.414819,0.017248,0.202465,0.004800,0.046977,0.000608,0.123297,0.048576,0.058560,0.233249,0.000576,0.925958
0.415011,0.017184,0.202850,0.004864,0.047040,0.000576,0.102817,0.064224,0.057697,0.227682,0.000576,0.921159
0.415267,0.017216,0.203106,0.004800,0.047072,0.000576,0.107873,0.047968,0.058305,0.216770,0.000608,0.911431
0.415107,0.017377,0.203617,0.004864,0.047232,0.000576,0.105697,0.050080,0.060257,0.218818,0.000608,0.913735
0.415523,0.017216,0.203105,0.004832,0.046849,0.000576,0.106336,0.050593,0.066400,0.226273,0.000576,0.920486
0.414595,0.017344,0.202657,0.004865,0.046848,0.000608,0.102305,0.060800,0.061984,0.228097,0.000673,0.921703
0.415651,0.017184,0.220514,0.005056,0.046912,0.000576,0.122657,0.050913,0.058848,0.235330,0.000640,0.947591
0.415075,0.017312,0.202465,0.004800,0.046913,0.000576,0.104320,0.051841,0.059360,0.218305,0.000608,0.912582
0.415395,0.017472,0.202145,0.004832,0.046977,0.000608,0.104129,0.048288,0.060192,0.215489,0.000576,0.908870
0.414691,0.017344,0.203842,0.004800,0.047040,0.000576,0.100353,0.061408,0.057985,0.222530,0.000544,0.916871
0.414723,0.017536,0.202946,0.004864,0.046912,0.000576,0.099809,0.047488,0.057377,0.207490,0.000608,0.901159
0.414883,0.017121,0.202401,0.004864,0.046944,0.000544,0.103713,0.049984,0.059201,0.215842,0.000672,0.908871
0.414563,0.017216,0.203361,0.004800,0.046817,0.000576,0.099808,0.052225,0.059776,0.214465,0.000544,0.907718
0.414627,0.017280,0.239170,0.005056,0.046912,0.000608,0.118081,0.048480,0.057953,0.227778,0.000672,0.958087
0.414659,0.017248,0.202658,0.004800,0.046848,0.000608,0.102305,0.049792,0.059329,0.214114,0.000480,0.906727
0.415459,0.018016,0.203169,0.004800,0.046881,0.000576,0.112672,0.050113,0.061408,0.227361,0.000576,0.922726
0.414595,0.017280,0.203105,0.004864,0.046848,0.000800,0.132961,0.060992,0.060801,0.257442,0.000672,0.950983
0.419683,0.017472,0.203041,0.004864,0.046912,0.000640,0.138209,0.050657,0.062688,0.254274,0.000608,0.952967
0.415715,0.017280,0.202242,0.004896,0.047040,0.000576,0.108929,0.048096,0.058337,0.218274,0.000672,0.912583
0.416387,0.017152,0.202562,0.004832,0.046848,0.000576,0.100385,0.050496,0.060129,0.215362,0.000640,0.909735
0.432611,0.017312,0.202977,0.004832,0.046881,0.000576,0.107040,0.049089,0.060640,0.219649,0.000640,0.931014
0.414883,0.017280,0.203137,0.004800,0.046977,0.000576,0.106656,0.049921,0.060480,0.219745,0.000608,0.912806
0.419843,0.017440,0.202594,0.004800,0.047008,0.000576,0.105889,0.049696,0.058848,0.217153,0.000609,0.916359
0.415011,0.017312,0.203970,0.004864,0.047136,0.000544,0.103457,0.049792,0.101729,0.258082,0.000768,0.953895
0.415427,0.017312,0.203201,0.005024,0.047553,0.000576,0.107105,0.050880,0.061632,0.222689,0.000544,0.918438
0.415939,0.017248,0.203074,0.004864,0.046912,0.000576,0.104353,0.049952,0.060129,0.217186,0.000640,0.912807
0.419075,0.017216,0.203458,0.004864,0.047200,0.000576,0.104449,0.050304,0.057697,0.215234,0.000608,0.913927
0.438403,0.017344,0.202817,0.004896,0.047521,0.000608,0.107648,0.050816,0.059424,0.220801,0.000672,0.940422
0.414947,0.017312,0.202562,0.004832,0.047424,0.000768,0.108225,0.050912,0.059265,0.221250,0.000640,0.916135
0.419715,0.017472,0.202401,0.004800,0.046945,0.000608,0.106528,0.050081,0.062496,0.222017,0.000704,0.920134
0.419427,0.017504,0.202561,0.004992,0.046945,0.000576,0.135489,0.049536,0.062817,0.250626,0.000608,0.948967
0.416643,0.017504,0.203266,0.004800,0.047008,0.000576,0.105665,0.049568,0.059617,0.217698,0.000576,0.913575
0.419587,0.017377,0.202529,0.004800,0.046976,0.000576,0.106049,0.049889,0.061888,0.220674,0.000608,0.918759
0.419715,0.017120,0.202881,0.004864,0.047073,0.000544,0.102656,0.050433,0.062464,0.218369,0.000704,0.916934
0.437059,0.017280,0.203106,0.004768,0.046880,0.000576,0.105665,0.050112,0.063649,0.222402,0.000544,0.938663
0.419619,0.017280,0.203906,0.004928,0.046848,0.000576,0.109697,0.050368,0.062529,0.225410,0.000608,0.924903
0.416195,0.017344,0.203841,0.004800,0.046881,0.000576,0.109504,0.052001,0.062080,0.226497,0.000640,0.923558
0.420003,0.017664,0.202818,0.005088,0.065376,0.000672,0.109089,0.065088,0.059169,0.236674,0.000672,0.956423
0.419619,0.017472,0.202433,0.004960,0.047233,0.000576,0.104800,0.051169,0.060544,0.219457,0.000640,0.918086
0.419907,0.017472,0.202882,0.004832,0.047040,0.000608,0.104289,0.062336,0.060609,0.230338,0.000704,0.929351
0.415427,0.017473,0.202945,0.004832,0.047168,0.000544,0.106913,0.050944,0.059873,0.220706,0.000640,0.916199
0.435939,0.017536,0.203425,0.004800,0.048001,0.000576,0.115649,0.062752,0.060480,0.241953,0.000736,0.958470
0.415459,0.017280,0.203010,0.004896,0.047424,0.000576,0.106401,0.050944,0.060225,0.220834,0.000672,0.915815
0.415491,0.017472,0.202529,0.004864,0.047361,0.000576,0.109152,0.050433,0.060384,0.223169,0.000640,0.917606
0.415011,0.017312,0.222210,0.005056,0.047296,0.000608,0.135105,0.052192,0.059777,0.249730,0.000640,0.964487
0.415235,0.017504,0.203201,0.004896,0.047169,0.000608,0.104641,0.050432,0.060928,0.219169,0.000608,0.914054
0.415747,0.017472,0.203874,0.005088,0.046944,0.000608,0.113089,0.050624,0.059521,0.226754,0.000736,0.924007
0.420067,0.017312,0.203137,0.005056,0.047008,0.000801,0.106752,0.047809,0.059872,0.217665,0.000640,0.917926
0.415491,0.017696,0.203202,0.004992,0.047776,0.000768,0.108705,0.049696,0.059905,0.221506,0.000736,0.918151
0.415715,0.017440,0.202498,0.004896,0.048960,0.000576,0.109057,0.050368,0.059745,0.222018,0.000704,0.918471
0.415586,0.017312,0.203617,0.004800,0.048128,0.000576,0.105985,0.050753,0.060320,0.220226,0.000800,0.916934
0.432995,0.017440,0.203681,0.004864,0.047489,0.000576,0.104769,0.049568,0.058272,0.215617,0.000640,0.929094
0.415651,0.017472,0.203298,0.004800,0.046848,0.000576,0.104161,0.051712,0.059969,0.218370,0.000544,0.913383
0.417123,0.017633,0.202977,0.004896,0.047168,0.000608,0.105345,0.051328,0.061728,0.221730,0.000576,0.918631
