Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-10],classifier
0.511028,0.017665,0.206120,0.004832,0.047618,0.000800,0.013696,0.118533,0.990214
0.418096,0.017761,0.203496,0.004832,0.048194,0.000736,0.013697,0.124516,0.902563
0.437073,0.017985,0.203272,0.004768,0.048834,0.000832,0.013697,0.123780,0.919396
0.420529,0.017824,0.202792,0.004865,0.048033,0.000576,0.014881,0.113028,0.892579
0.420944,0.017569,0.203432,0.004832,0.049666,0.000544,0.013985,0.115332,0.895971
0.420560,0.017473,0.202664,0.004800,0.048674,0.000576,0.013857,0.134213,0.917508
0.420400,0.017665,0.202632,0.004928,0.048130,0.000608,0.013665,0.114020,0.891939
0.420817,0.017696,0.203016,0.004801,0.047585,0.000801,0.013728,0.119973,0.900035
0.420945,0.017600,0.203080,0.004928,0.047713,0.000800,0.014017,0.114981,0.893891
0.434257,0.017953,0.202920,0.004768,0.047522,0.000576,0.013633,0.116804,0.906404
0.420689,0.017568,0.202792,0.005217,0.047553,0.000576,0.013440,0.118757,0.896355
0.420304,0.017697,0.202280,0.005344,0.048130,0.000800,0.013697,0.119556,0.897187
0.417136,0.017729,0.202120,0.005056,0.047874,0.000832,0.030497,0.119429,0.910980
0.422289,0.017728,0.202568,0.005249,0.048129,0.000832,0.013729,0.117893,0.897123
0.421040,0.017441,0.202632,0.005024,0.047970,0.000608,0.013761,0.112196,0.891715
0.417520,0.017569,0.202408,0.005056,0.048290,0.000544,0.013473,0.116900,0.893155
0.437106,0.017792,0.202408,0.005344,0.048065,0.000608,0.013441,0.117925,0.910116
0.420465,0.017697,0.202632,0.004768,0.047778,0.000576,0.013536,0.118949,0.897604
0.420464,0.017697,0.202696,0.005056,0.048450,0.000544,0.013409,0.117828,0.902531
0.421840,0.017504,0.202536,0.004800,0.067491,0.000640,0.013473,0.119236,0.918020
0.415729,0.017568,0.202664,0.004801,0.048065,0.000576,0.013569,0.114821,0.891395
0.420945,0.017409,0.202535,0.005280,0.048066,0.000832,0.013664,0.120005,0.905412
0.420560,0.017697,0.203688,0.005152,0.048354,0.000768,0.013473,0.119813,0.900419
0.434897,0.017697,0.203207,0.005184,0.048322,0.000768,0.013504,0.119909,0.914883
0.420304,0.017441,0.202760,0.004800,0.048546,0.000800,0.013409,0.116356,0.892931
0.420689,0.017697,0.202248,0.004864,0.048578,0.000832,0.013376,0.115973,0.900356
0.420528,0.017568,0.202440,0.004832,0.064195,0.000832,0.013409,0.114276,0.914436
0.421264,0.017633,0.202664,0.004800,0.048610,0.000864,0.013409,0.112964,0.903843
0.420272,0.017568,0.202248,0.004896,0.048578,0.000832,0.013345,0.114660,0.891843
0.415760,0.017505,0.201960,0.004896,0.048098,0.000608,0.013312,0.116517,0.889571
0.437425,0.017505,0.202856,0.004768,0.048162,0.000800,0.013568,0.114533,0.909731
0.416400,0.017632,0.202984,0.004832,0.047650,0.000768,0.013441,0.126469,0.901571
0.420272,0.017665,0.202536,0.004864,0.048034,0.000800,0.013921,0.116196,0.891619
0.421553,0.017729,0.202599,0.005217,0.067618,0.000736,0.013505,0.115940,0.912580
0.420369,0.017344,0.202280,0.005217,0.048321,0.000480,0.013569,0.115461,0.889443
0.420656,0.017633,0.202856,0.005216,0.047906,0.000608,0.013632,0.114085,0.894915
0.420208,0.017600,0.202472,0.005248,0.047970,0.000576,0.013409,0.109636,0.890915
0.434769,0.017665,0.202344,0.004960,0.047842,0.000576,0.013377,0.119172,0.911908
0.420624,0.017729,0.201992,0.004800,0.049026,0.000608,0.013377,0.109156,0.881858
0.420369,0.017504,0.201991,0.004865,0.048418,0.000576,0.013600,0.114853,0.889315
0.415921,0.017792,0.202247,0.004769,0.048290,0.000608,0.013664,0.134949,0.913156
0.415921,0.017696,0.202120,0.004897,0.048898,0.000800,0.013728,0.118501,0.897091
0.420400,0.017697,0.202664,0.004928,0.047778,0.000608,0.013440,0.120261,0.895011
0.419920,0.017792,0.202056,0.005248,0.048162,0.000544,0.013633,0.116772,0.891331
0.438641,0.017441,0.202600,0.005248,0.048578,0.000576,0.013440,0.116965,0.913412
0.420817,0.017537,0.204392,0.005088,0.047586,0.000576,0.013472,0.116997,0.896547
0.420113,0.017728,0.202696,0.004801,0.048001,0.000608,0.013504,0.115845,0.892387
0.420817,0.017505,0.202088,0.004800,0.047682,0.000576,0.013664,0.136262,0.914372
0.416144,0.017537,0.202632,0.005088,0.047906,0.000608,0.013473,0.115460,0.885283
0.421552,0.017825,0.202536,0.005056,0.048098,0.000608,0.013761,0.122852,0.903875
0.416528,0.017377,0.205352,0.004896,0.048322,0.000608,0.013505,0.115044,0.891363
