Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-10],OUT[10],TEE[7-10],classifier
0.509551,0.017984,0.195686,0.004864,0.060514,0.000608,0.013536,0.112996,0.047393,0.060514,0.225479,1.034846
0.398155,0.017408,0.191942,0.004832,0.048033,0.000608,0.014017,0.102595,0.037473,0.059874,0.202854,0.884474
0.396236,0.017536,0.191718,0.004800,0.048322,0.000576,0.014240,0.107299,0.038018,0.061185,0.209702,0.889658
0.397068,0.017952,0.191558,0.005312,0.048482,0.000832,0.014176,0.128996,0.041985,0.064706,0.238951,0.921115
0.397003,0.017696,0.191814,0.005152,0.047649,0.000576,0.014817,0.111011,0.041345,0.067682,0.223174,0.904186
0.396908,0.017536,0.191558,0.005280,0.048961,0.000576,0.014305,0.109571,0.035873,0.062466,0.211142,0.892346
0.396492,0.017824,0.192166,0.005344,0.048930,0.000608,0.013920,0.103459,0.037889,0.063074,0.207366,0.888538
0.396268,0.017665,0.213510,0.005376,0.048354,0.000576,0.014016,0.112387,0.038721,0.062466,0.216807,0.919324
0.397387,0.017697,0.191430,0.005312,0.048097,0.000608,0.013857,0.105027,0.039105,0.061474,0.208806,0.889178
0.396268,0.017728,0.191814,0.005024,0.047873,0.000640,0.013953,0.107587,0.046625,0.100739,0.258216,0.938012
0.396236,0.017632,0.191494,0.005216,0.047681,0.000640,0.013665,0.108387,0.038721,0.067490,0.217606,0.896058
0.395947,0.017441,0.191334,0.004864,0.047425,0.000640,0.013601,0.104995,0.040769,0.061186,0.209894,0.887322
0.395564,0.017568,0.191750,0.004896,0.047170,0.000608,0.013568,0.106755,0.038817,0.064290,0.212870,0.890010
0.413132,0.017985,0.197957,0.005121,0.048481,0.000640,0.013824,0.118692,0.046689,0.073411,0.242824,0.949020
0.421549,0.017728,0.193222,0.004864,0.048386,0.000608,0.013632,0.112451,0.039778,0.062881,0.218087,0.924540
0.394988,0.017184,0.191974,0.004864,0.048418,0.000576,0.013440,0.094691,0.041761,0.058626,0.198406,0.874842
0.396140,0.017409,0.191973,0.005345,0.048033,0.000576,0.013472,0.108836,0.038689,0.062946,0.213351,0.892187
0.400044,0.017568,0.192134,0.004864,0.047681,0.000608,0.013472,0.113379,0.039073,0.061793,0.217478,0.900602
0.400268,0.017792,0.192326,0.004800,0.047426,0.000608,0.013472,0.106947,0.041634,0.061153,0.212774,0.895418
0.398539,0.017377,0.191910,0.004832,0.047873,0.000704,0.013473,0.125763,0.036226,0.059073,0.224198,0.904634
0.395083,0.017696,0.191910,0.004864,0.047361,0.000800,0.013441,0.107235,0.045441,0.063202,0.218918,0.895674
0.407468,0.017408,0.191942,0.004832,0.047266,0.000544,0.013440,0.118595,0.040577,0.057985,0.220646,0.908507
0.399500,0.017729,0.192133,0.004832,0.047138,0.000608,0.013536,0.107491,0.039106,0.062049,0.211591,0.892955
0.395980,0.017857,0.192422,0.004928,0.047905,0.000608,0.013665,0.115267,0.037281,0.062306,0.218278,0.899387
0.395851,0.017761,0.192198,0.004832,0.047137,0.000640,0.013505,0.108163,0.039233,0.062082,0.212486,0.890650
0.394860,0.017665,0.191557,0.004865,0.047169,0.000608,0.013600,0.109028,0.038817,0.065602,0.216487,0.893179
0.395852,0.017728,0.191750,0.004896,0.047137,0.000576,0.013537,0.106115,0.036001,0.059778,0.205030,0.883194
0.395244,0.017440,0.191526,0.004832,0.047201,0.000576,0.013473,0.110051,0.039329,0.072738,0.225702,0.902971
0.427341,0.017824,0.191654,0.004896,0.047137,0.000608,0.013472,0.110691,0.038785,0.061826,0.214310,0.923323
0.394796,0.017568,0.191526,0.004928,0.047329,0.000576,0.013505,0.107811,0.039649,0.065346,0.215878,0.892026
0.395276,0.017536,0.191622,0.004896,0.047361,0.000672,0.013504,0.107459,0.038977,0.063010,0.212518,0.889274
0.395052,0.017505,0.191429,0.004896,0.047266,0.000608,0.013472,0.109795,0.038466,0.061217,0.212422,0.888538
0.400428,0.017600,0.192486,0.004928,0.047202,0.000576,0.013664,0.111331,0.041090,0.061089,0.216646,0.900570
0.397451,0.017888,0.192006,0.004896,0.047425,0.000832,0.013537,0.115299,0.037601,0.063842,0.220006,0.900826
0.396012,0.017793,0.191621,0.004865,0.047361,0.000608,0.013568,0.110020,0.046049,0.065922,0.225159,0.903099
0.418157,0.017888,0.191590,0.004864,0.047394,0.000576,0.013472,0.109443,0.039073,0.071075,0.222535,0.922556
0.394476,0.017377,0.191685,0.004800,0.047202,0.000576,0.013472,0.106019,0.041634,0.064418,0.214855,0.890811
0.395180,0.017825,0.191429,0.004832,0.047298,0.000608,0.013472,0.106307,0.039586,0.062210,0.211047,0.887867
0.394860,0.017569,0.191557,0.004865,0.047105,0.000576,0.013536,0.106724,0.035521,0.060449,0.205638,0.881850
0.394988,0.017664,0.196070,0.004992,0.047042,0.000608,0.013472,0.104771,0.039074,0.061281,0.208006,0.888698
0.394732,0.017633,0.199557,0.004800,0.047425,0.000608,0.013472,0.104451,0.038209,0.061762,0.207526,0.892123
0.394315,0.017793,0.200358,0.004896,0.047201,0.000576,0.013697,0.111875,0.038241,0.061890,0.215110,0.900026
0.427629,0.017568,0.192102,0.004832,0.047106,0.000640,0.013728,0.111139,0.038465,0.062210,0.215047,0.925340
0.395531,0.017857,0.191366,0.004832,0.047425,0.000608,0.013601,0.115107,0.038209,0.069954,0.226534,0.904218
0.394667,0.017697,0.191462,0.004896,0.047681,0.000544,0.013505,0.109315,0.039489,0.062882,0.214566,0.890938
0.394988,0.017632,0.191526,0.004832,0.047042,0.000640,0.013504,0.136324,0.041313,0.082403,0.263272,0.939388
0.395115,0.017665,0.191142,0.004864,0.047041,0.000608,0.013537,0.105987,0.038817,0.065154,0.213030,0.889338
0.396683,0.017633,0.191430,0.004928,0.047201,0.000608,0.013505,0.107171,0.038817,0.068610,0.217798,0.895898
0.395020,0.017632,0.191526,0.004832,0.047138,0.000608,0.013568,0.108963,0.038562,0.065537,0.216071,0.892187
0.424364,0.017505,0.191749,0.004865,0.047073,0.000576,0.013568,0.108676,0.047745,0.065090,0.224423,0.930203
0.394763,0.017568,0.191334,0.004832,0.047073,0.000576,0.013505,0.103203,0.035553,0.058850,0.200582,0.876122
0.395115,0.017633,0.191333,0.004865,0.047073,0.000768,0.013472,0.107268,0.038081,0.063298,0.211591,0.887834
0.399723,0.017440,0.191654,0.004864,0.047169,0.000608,0.013505,0.108643,0.039201,0.063298,0.214278,0.912571
0.395308,0.017793,0.191109,0.004864,0.047458,0.000800,0.013600,0.112260,0.038753,0.062754,0.216775,0.894075
0.395084,0.017376,0.191430,0.004864,0.047586,0.000576,0.013472,0.108355,0.039617,0.061826,0.212710,0.889210
0.395052,0.017472,0.191398,0.004832,0.047137,0.000576,0.013440,0.113923,0.038657,0.065570,0.221062,0.897178
0.419788,0.017633,0.191525,0.004864,0.047042,0.000640,0.013536,0.102659,0.044130,0.060513,0.210598,0.912091
0.394859,0.017537,0.191333,0.004897,0.047041,0.000576,0.013472,0.108324,0.038561,0.061954,0.211495,0.887162
0.394475,0.017409,0.191718,0.004832,0.047649,0.000576,0.013537,0.109283,0.039073,0.062178,0.213478,0.889850
0.395116,0.017440,0.191654,0.004896,0.047042,0.000608,0.013504,0.106083,0.042433,0.060418,0.211750,0.887898
0.394284,0.017601,0.191301,0.004865,0.047265,0.000576,0.013504,0.106468,0.039137,0.064898,0.213319,0.888411
0.394347,0.017569,0.191429,0.004865,0.047297,0.000640,0.013440,0.109508,0.037729,0.062722,0.213031,0.888410
0.394635,0.017889,0.191558,0.004864,0.047009,0.000576,0.013569,0.108931,0.038721,0.062850,0.213606,0.890202
0.414572,0.017537,0.191846,0.004864,0.047457,0.000640,0.013505,0.111427,0.048929,0.063714,0.227142,0.924283
0.394764,0.017440,0.191366,0.004832,0.047361,0.000608,0.013440,0.105443,0.038945,0.061858,0.209222,0.884730
0.394187,0.017601,0.191302,0.004896,0.047489,0.000608,0.013505,0.106787,0.040321,0.061314,0.211462,0.886906
0.398444,0.017696,0.202342,0.004896,0.047426,0.000608,0.013664,0.113924,0.039841,0.071714,0.228967,0.921307
0.397068,0.017665,0.193733,0.004865,0.047297,0.000800,0.013568,0.111044,0.039009,0.063138,0.216327,0.897627
0.396396,0.017568,0.191750,0.005312,0.047297,0.000576,0.013505,0.107363,0.040609,0.064642,0.215590,0.894106
0.395724,0.017569,0.191973,0.004864,0.047042,0.000608,0.013536,0.104803,0.040354,0.061825,0.209863,0.887003
0.413101,0.017472,0.191750,0.004832,0.047329,0.000800,0.013505,0.104355,0.038369,0.061538,0.207174,0.902267
0.395179,0.017344,0.191686,0.004864,0.047073,0.000640,0.013601,0.106499,0.037185,0.061570,0.208262,0.884826
0.401356,0.017696,0.192294,0.004896,0.047041,0.000640,0.013601,0.111619,0.037185,0.061538,0.213638,0.898394
0.396300,0.017665,0.191877,0.005313,0.047745,0.000576,0.013600,0.114180,0.035873,0.069410,0.222599,0.902075
0.396236,0.017728,0.192134,0.004864,0.050498,0.000608,0.015104,0.108323,0.043618,0.063393,0.218278,0.901690
0.396524,0.017537,0.191973,0.004833,0.048545,0.000576,0.014432,0.108964,0.038849,0.062466,0.213447,0.894107
0.396427,0.017345,0.191622,0.004800,0.047873,0.000608,0.013793,0.107939,0.039649,0.061858,0.212678,0.892442
0.417932,0.017569,0.191813,0.004897,0.047681,0.000576,0.013568,0.110852,0.046017,0.065218,0.225255,0.925563
0.395628,0.017633,0.191525,0.004864,0.047554,0.000576,0.013536,0.106979,0.035682,0.061761,0.207462,0.884666
0.396460,0.017568,0.191366,0.004896,0.047201,0.000608,0.013504,0.108547,0.038689,0.065506,0.215686,0.893338
0.395884,0.017568,0.192326,0.004864,0.046978,0.000608,0.013440,0.106659,0.039617,0.062274,0.211558,0.889434
0.395692,0.017568,0.191686,0.004800,0.047361,0.000608,0.013505,0.106691,0.039297,0.062658,0.211654,0.888986
0.400684,0.017440,0.191750,0.004928,0.047298,0.000576,0.013568,0.114051,0.038850,0.061857,0.218246,0.901370
0.396331,0.017536,0.191622,0.004896,0.047361,0.000576,0.013569,0.108515,0.039425,0.062818,0.213734,0.891674
0.411916,0.017632,0.192262,0.004832,0.047106,0.000608,0.013440,0.108963,0.038786,0.062881,0.213446,0.907515
0.396748,0.017537,0.191685,0.004864,0.047170,0.000608,0.013504,0.106563,0.039298,0.061665,0.210726,0.888794
0.396076,0.017345,0.191653,0.004896,0.047298,0.000608,0.013472,0.107331,0.040386,0.061250,0.211879,0.889403
0.395500,0.017537,0.191365,0.004833,0.047425,0.000608,0.013472,0.108004,0.039425,0.063362,0.213639,0.890491
0.394987,0.017761,0.191590,0.004800,0.047393,0.000544,0.013537,0.092162,0.040066,0.059297,0.194661,0.870521
0.395852,0.017536,0.191494,0.004800,0.047074,0.000576,0.013472,0.105955,0.045762,0.062913,0.217702,0.894971
0.399788,0.017632,0.191718,0.004896,0.047138,0.000576,0.013504,0.101539,0.039745,0.061250,0.205478,0.886490
0.397068,0.017728,0.208486,0.005089,0.047297,0.000640,0.013632,0.112580,0.038433,0.062722,0.217223,0.913947
0.400523,0.017568,0.191878,0.004896,0.047233,0.000608,0.013569,0.114019,0.039425,0.062242,0.218886,0.902170
0.396652,0.017345,0.191781,0.005281,0.050017,0.000608,0.014432,0.102627,0.038945,0.060258,0.204966,0.887099
0.395339,0.017504,0.191558,0.004832,0.048513,0.000576,0.013921,0.101059,0.045729,0.065218,0.215238,0.892378
0.418924,0.017633,0.191653,0.005248,0.047842,0.000640,0.013536,0.103331,0.042530,0.063330,0.212231,0.913787
0.395212,0.017472,0.192006,0.004800,0.047617,0.000608,0.013569,0.102723,0.037505,0.059458,0.203206,0.879578
0.401035,0.017441,0.191814,0.005248,0.047393,0.000576,0.013473,0.107075,0.045537,0.063458,0.218854,0.902330
0.395404,0.017633,0.191589,0.005248,0.047682,0.000512,0.013536,0.117892,0.039585,0.059426,0.219751,0.896507
0.396108,0.017537,0.191749,0.004833,0.047041,0.000608,0.013440,0.105796,0.038241,0.064418,0.211399,0.888635
0.396108,0.017505,0.191685,0.005280,0.047106,0.000576,0.013472,0.103043,0.040481,0.065153,0.211430,0.889370
0.400459,0.017569,0.191622,0.005440,0.047329,0.000672,0.013633,0.110659,0.038689,0.062882,0.215270,0.898906
0.416300,0.017665,0.191909,0.004896,0.047682,0.000640,0.013664,0.114148,0.049601,0.064130,0.231079,0.931227
0.395820,0.017760,0.191813,0.004896,0.047458,0.000544,0.013600,0.108963,0.049378,0.064258,0.225543,0.903259
0.395308,0.017505,0.191909,0.004833,0.047777,0.000640,0.013824,0.108068,0.049473,0.062082,0.223239,0.902171
0.400044,0.017633,0.191781,0.005312,0.047714,0.000576,0.013568,0.132100,0.047874,0.065634,0.249224,0.932508
0.396396,0.017441,0.191365,0.004832,0.047330,0.000576,0.013504,0.109860,0.039841,0.060834,0.213927,0.891931
0.395947,0.017857,0.191717,0.004897,0.046977,0.000576,0.013568,0.107172,0.046049,0.063074,0.219015,0.896475
0.400140,0.017504,0.191974,0.004864,0.047202,0.000608,0.013600,0.100675,0.037857,0.059074,0.200582,0.883002
0.411116,0.017440,0.191590,0.004992,0.047106,0.000576,0.013440,0.107427,0.045602,0.064513,0.220647,0.912731
0.395915,0.017537,0.191590,0.004864,0.047137,0.000512,0.013441,0.102051,0.046049,0.065602,0.216326,0.891962
0.395691,0.017601,0.191558,0.004896,0.047073,0.000608,0.013504,0.106371,0.038273,0.064994,0.212518,0.889658
0.400396,0.017824,0.191558,0.004896,0.047202,0.000576,0.013504,0.114083,0.056962,0.080834,0.256104,0.940188
0.400364,0.017601,0.191462,0.004896,0.047073,0.000608,0.013569,0.105251,0.039521,0.063426,0.211142,0.892731
0.400684,0.017377,0.191653,0.005024,0.047170,0.000864,0.019776,0.106916,0.047073,0.085507,0.242664,0.930140
0.395756,0.017824,0.192198,0.005312,0.047554,0.000608,0.013504,0.112356,0.038561,0.062946,0.216967,0.896155
0.411916,0.017985,0.192198,0.004896,0.047585,0.000608,0.013697,0.116515,0.038721,0.071298,0.230022,0.927227
0.395980,0.017888,0.191846,0.004800,0.049121,0.000640,0.014112,0.117763,0.039234,0.064034,0.224327,0.904827
0.395788,0.017792,0.191334,0.005248,0.050242,0.000576,0.014400,0.108867,0.039490,0.064897,0.216582,0.898491
0.395820,0.017472,0.191430,0.004832,0.066306,0.000896,0.014592,0.111396,0.046113,0.065634,0.226503,0.924699
0.395596,0.017697,0.191333,0.004800,0.049250,0.000608,0.013888,0.108099,0.038081,0.065282,0.214535,0.894363
0.395563,0.017600,0.191078,0.004832,0.049569,0.000576,0.014305,0.108067,0.040097,0.062498,0.213574,0.893082
0.396204,0.017793,0.191717,0.004897,0.048673,0.000640,0.014368,0.114948,0.036897,0.061634,0.216775,0.897947
0.410764,0.017665,0.191557,0.005441,0.048257,0.000544,0.013504,0.108356,0.039937,0.063010,0.214599,0.908443
0.395628,0.017473,0.191685,0.005377,0.048961,0.000576,0.013536,0.105828,0.039713,0.064738,0.213159,0.892475
0.396491,0.017345,0.191750,0.004832,0.048417,0.000608,0.013569,0.107619,0.036225,0.059906,0.206726,0.885690
0.396300,0.017632,0.192358,0.004896,0.066658,0.000672,0.013793,0.106691,0.040001,0.060770,0.210854,0.911099
0.396204,0.017441,0.191909,0.004928,0.047618,0.000608,0.013568,0.110948,0.036033,0.060354,0.210599,0.889307
0.396172,0.017376,0.191558,0.005248,0.047234,0.000576,0.013568,0.113123,0.039138,0.066722,0.222599,0.901019
0.395884,0.017536,0.191462,0.004896,0.047105,0.000832,0.013568,0.109059,0.040161,0.064418,0.216838,0.894234
0.410572,0.017536,0.191590,0.004864,0.047233,0.000608,0.013536,0.110691,0.038977,0.062562,0.215494,0.907738
0.397164,0.017537,0.191109,0.004833,0.047265,0.000608,0.013632,0.107428,0.036385,0.061858,0.209159,0.887707
0.396076,0.017760,0.191366,0.005344,0.048066,0.000640,0.013536,0.113859,0.038913,0.062626,0.218727,0.898299
0.396172,0.017504,0.211046,0.005185,0.048225,0.000928,0.013504,0.113987,0.046433,0.063970,0.227718,0.927195
0.395948,0.017473,0.191557,0.005472,0.048258,0.000800,0.013536,0.115684,0.041857,0.061378,0.222215,0.901883
0.396300,0.017760,0.191590,0.004800,0.048482,0.000608,0.013504,0.111331,0.039010,0.062529,0.216390,0.895931
0.395979,0.017825,0.191366,0.004832,0.048961,0.000800,0.014785,0.107011,0.035745,0.060354,0.206278,0.887354
0.395628,0.017569,0.191845,0.005217,0.050401,0.000704,0.013856,0.115587,0.040353,0.063010,0.222470,0.904571
0.395916,0.017857,0.191397,0.005313,0.049153,0.000640,0.013825,0.109091,0.039457,0.062370,0.213926,0.894235
0.395788,0.017408,0.191238,0.004800,0.049058,0.000608,0.014496,0.106723,0.036769,0.060546,0.207366,0.887258
0.396364,0.017825,0.202662,0.004896,0.049857,0.000800,0.014209,0.113123,0.043009,0.066850,0.226182,0.919228
0.396172,0.017857,0.191557,0.005376,0.048162,0.000608,0.014400,0.113476,0.039041,0.065410,0.221703,0.902875
0.395724,0.017601,0.191365,0.004896,0.048002,0.000608,0.014752,0.113188,0.039841,0.062786,0.219175,0.898715
0.396012,0.017633,0.191525,0.005152,0.048290,0.000640,0.014560,0.112964,0.039393,0.062434,0.217927,0.898587
0.396140,0.017824,0.191334,0.005088,0.048001,0.000640,0.014625,0.109795,0.039617,0.061570,0.214022,0.893626
0.395884,0.017505,0.191717,0.005345,0.047873,0.000608,0.014112,0.111524,0.039169,0.062914,0.216647,0.895995
0.396012,0.017568,0.191654,0.005248,0.048418,0.000576,0.013728,0.109091,0.039649,0.062306,0.214214,0.893658
0.396171,0.017633,0.210790,0.005472,0.047938,0.000608,0.014112,0.102723,0.039041,0.060929,0.205990,0.905754
0.397868,0.017985,0.191461,0.005345,0.048833,0.000576,0.014081,0.107011,0.037089,0.062370,0.209670,0.891963
0.395340,0.017824,0.192262,0.004832,0.048002,0.000608,0.014432,0.110627,0.039554,0.062945,0.216166,0.895451
0.395468,0.017537,0.191141,0.004769,0.047905,0.000608,0.013728,0.110212,0.039521,0.070306,0.222919,0.900059
0.398092,0.017825,0.193990,0.004832,0.048385,0.000608,0.013793,0.111491,0.039841,0.064098,0.219238,0.903867
0.396395,0.017633,0.192230,0.004864,0.047553,0.000832,0.013953,0.116099,0.039777,0.063714,0.222950,0.903002
0.395691,0.017569,0.191718,0.005280,0.047969,0.000800,0.013569,0.114691,0.039489,0.062786,0.220198,0.900026
0.412716,0.017504,0.192166,0.005248,0.048962,0.000608,0.013728,0.109443,0.040706,0.062721,0.216007,0.913243
0.395723,0.017313,0.191910,0.005376,0.047937,0.000576,0.014881,0.112675,0.038337,0.065058,0.219174,0.899194
0.395884,0.017600,0.192038,0.004928,0.047682,0.000608,0.014048,0.111939,0.038498,0.062369,0.215878,0.894586
0.399915,0.017569,0.191974,0.005312,0.048481,0.000800,0.014177,0.109507,0.039681,0.116388,0.270280,0.956380
0.395468,0.017665,0.191813,0.005025,0.047937,0.000864,0.014112,0.103043,0.038209,0.060513,0.204934,0.884059
0.395788,0.017792,0.191750,0.005280,0.047394,0.000608,0.013856,0.119204,0.040321,0.064034,0.226759,0.908187
0.397708,0.017793,0.192037,0.005216,0.047970,0.000576,0.013728,0.109636,0.040833,0.062498,0.215911,0.897307
0.413388,0.017665,0.192006,0.005088,0.048161,0.000608,0.013665,0.112931,0.050625,0.063810,0.230438,0.928571
0.396491,0.017377,0.192390,0.005024,0.048353,0.000608,0.014273,0.110051,0.041569,0.062306,0.217190,0.898202
0.396684,0.017889,0.191941,0.005281,0.047905,0.000576,0.014240,0.110916,0.045697,0.063074,0.222887,0.903867
0.395916,0.017313,0.191493,0.005248,0.047970,0.000800,0.033953,0.114115,0.047714,0.064834,0.229991,0.929404
0.398604,0.017600,0.191494,0.004896,0.048482,0.000608,0.013984,0.115619,0.039105,0.062978,0.220807,0.903067
0.400076,0.017440,0.191622,0.004864,0.048033,0.000640,0.013921,0.106563,0.040705,0.062178,0.212486,0.895034
0.400140,0.017601,0.192037,0.005312,0.048706,0.000640,0.013824,0.101987,0.036161,0.060450,0.201926,0.886746
0.415948,0.017345,0.191398,0.005440,0.047745,0.000672,0.013601,0.106691,0.046465,0.063842,0.220070,0.918491
0.395916,0.017632,0.191430,0.004864,0.048289,0.000608,0.013505,0.108931,0.037217,0.060418,0.209638,0.888410
0.396811,0.017568,0.191398,0.005024,0.048449,0.000576,0.013537,0.104419,0.034849,0.058882,0.201254,0.880730
0.400300,0.017569,0.191461,0.004896,0.047778,0.000608,0.032897,0.115843,0.045026,0.064738,0.229095,0.932476
0.400364,0.017761,0.191910,0.004832,0.047585,0.000800,0.013505,0.105763,0.036193,0.059554,0.204550,0.887131
0.399564,0.017665,0.192357,0.005281,0.047713,0.000608,0.013440,0.106340,0.042145,0.060514,0.212167,0.895579
0.400203,0.017697,0.191398,0.005280,0.049665,0.000608,0.013857,0.106531,0.040097,0.062626,0.212294,0.896890
0.415436,0.017793,0.191525,0.004833,0.049537,0.000640,0.014081,0.107715,0.039105,0.061730,0.211814,0.913211
0.400363,0.017632,0.191750,0.004832,0.049217,0.000576,0.013761,0.113283,0.036929,0.069442,0.222790,0.906874
0.400108,0.017601,0.192390,0.004896,0.048257,0.000640,0.013793,0.109123,0.036129,0.068322,0.216774,0.901467
0.401260,0.017408,0.191430,0.004864,0.047938,0.000640,0.034721,0.105411,0.045409,0.063874,0.218182,0.923739
0.395596,0.017536,0.191494,0.004864,0.047650,0.000576,0.013664,0.106787,0.039073,0.063746,0.213094,0.890682
0.400012,0.017729,0.191973,0.005344,0.047042,0.000640,0.013632,0.105699,0.039586,0.061857,0.210438,0.892634
0.400492,0.017761,0.191717,0.004929,0.047457,0.000608,0.013696,0.113604,0.039745,0.064834,0.221735,0.905115
0.417516,0.017537,0.191717,0.005217,0.047937,0.000608,0.014465,0.108195,0.046145,0.064194,0.221926,0.923291
0.400364,0.017376,0.191654,0.005248,0.047362,0.000576,0.014080,0.106115,0.035777,0.059714,0.204902,0.888474
0.400907,0.017409,0.191462,0.005280,0.047681,0.000640,0.014401,0.106275,0.037217,0.061730,0.208294,0.892250
0.396331,0.017601,0.191334,0.005280,0.047745,0.000576,0.014273,0.125155,0.040770,0.064226,0.233959,0.913403
0.395820,0.017824,0.191846,0.004928,0.049602,0.000608,0.014752,0.104099,0.040066,0.061441,0.208742,0.890106
0.395724,0.017504,0.191622,0.005248,0.048642,0.000640,0.014336,0.105795,0.035169,0.059714,0.203718,0.883514
0.400459,0.017824,0.191878,0.004864,0.048001,0.000640,0.013665,0.101795,0.042945,0.063074,0.211078,0.894170
0.412748,0.017568,0.191654,0.004928,0.048098,0.000640,0.013504,0.101603,0.037665,0.059938,0.202278,0.897914
0.395788,0.017664,0.191430,0.005312,0.048321,0.000608,0.013601,0.108259,0.038913,0.062658,0.213126,0.892090
0.400204,0.017600,0.191174,0.005248,0.048770,0.000576,0.013568,0.114628,0.038145,0.063842,0.219943,0.904443
0.400428,0.017632,0.191622,0.005312,0.048546,0.000608,0.013632,0.129988,0.049537,0.068130,0.250695,0.934395
0.399948,0.017536,0.192198,0.004864,0.047458,0.000608,0.013952,0.104867,0.037953,0.064610,0.210342,0.893018
0.402380,0.017505,0.191749,0.004800,0.047938,0.000800,0.013792,0.112228,0.043905,0.062786,0.221927,0.906939
0.397260,0.017761,0.192421,0.004832,0.047970,0.000992,0.013472,0.115332,0.041505,0.061698,0.221991,0.904155
0.417388,0.017857,0.192326,0.004896,0.049153,0.000576,0.014177,0.103779,0.043169,0.060898,0.210854,0.913275
0.395468,0.017600,0.192262,0.004864,0.047969,0.000641,0.013920,0.104323,0.038433,0.059586,0.205510,0.885530
0.395180,0.017792,0.191622,0.004864,0.048097,0.000576,0.013537,0.103939,0.038369,0.062178,0.207622,0.885338
0.401548,0.017568,0.191558,0.004800,0.047490,0.000576,0.013600,0.126852,0.039681,0.064258,0.234183,0.917499
0.400139,0.017473,0.191782,0.004800,0.047297,0.000640,0.013569,0.105283,0.038913,0.062178,0.209638,0.891066
0.400396,0.017600,0.191590,0.004864,0.047265,0.000736,0.013505,0.113187,0.035425,0.060290,0.212230,0.895898
0.395468,0.017504,0.191942,0.005248,0.047521,0.000576,0.013408,0.101187,0.038369,0.061026,0.203462,0.881114
0.418188,0.017601,0.192357,0.005408,0.048354,0.000576,0.013472,0.102691,0.041250,0.060289,0.207238,0.909018
0.396204,0.017728,0.191878,0.005216,0.047617,0.000640,0.013440,0.105059,0.039137,0.061794,0.208870,0.887322
0.399979,0.017697,0.191846,0.004864,0.047361,0.000608,0.013505,0.101859,0.038049,0.061922,0.204838,0.886074
0.400300,0.017633,0.191269,0.004832,0.047298,0.000544,0.013440,0.099779,0.037761,0.063330,0.203622,0.884762
0.396428,0.017601,0.192005,0.004832,0.047170,0.000576,0.013536,0.105347,0.040162,0.061537,0.210022,0.888154
0.395820,0.017377,0.191717,0.004865,0.047105,0.000608,0.013440,0.102723,0.044514,0.061186,0.211335,0.887963
0.395628,0.017504,0.191942,0.004832,0.047074,0.000576,0.013472,0.103043,0.038497,0.064450,0.208646,0.885242
0.395724,0.038273,0.192294,0.005248,0.047266,0.000640,0.013504,0.102435,0.045121,0.067521,0.217959,0.916764
0.396652,0.017440,0.191494,0.004832,0.047297,0.000608,0.013537,0.111363,0.038145,0.062594,0.215462,0.894138
0.395915,0.017536,0.191366,0.005120,0.047105,0.000576,0.013441,0.107107,0.036449,0.060866,0.208166,0.885114
