Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-7],OUT[7],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.486927,0.017664,0.194950,0.004832,0.047266,0.000608,0.013472,0.093251,0.035073,0.058530,0.189798,0.002176,0.011968,0.000640,0.978813
0.396588,0.017600,0.192614,0.004832,0.048226,0.000608,0.014112,0.104323,0.034241,0.061698,0.203430,0.001984,0.001856,0.000416,0.890874
0.396363,0.017569,0.192454,0.004864,0.049025,0.000576,0.013569,0.114147,0.032641,0.059970,0.209670,0.002112,0.001600,0.000352,0.896346
0.394699,0.017505,0.192390,0.004864,0.048993,0.000608,0.013857,0.107011,0.033185,0.059074,0.202246,0.001952,0.001408,0.000352,0.886938
0.394540,0.017280,0.209863,0.004960,0.048033,0.000576,0.013889,0.110531,0.039105,0.061954,0.214470,0.001984,0.001408,0.000416,0.915003
0.394540,0.017313,0.191493,0.004864,0.047842,0.000576,0.013568,0.105603,0.033569,0.059490,0.201542,0.001952,0.001120,0.000320,0.882074
0.394284,0.017345,0.192005,0.004865,0.047425,0.000640,0.013536,0.106500,0.033089,0.059809,0.202246,0.001888,0.001120,0.000352,0.882683
0.394667,0.017409,0.192390,0.004800,0.048289,0.000608,0.014369,0.112483,0.032641,0.060738,0.209478,0.001984,0.001280,0.000416,0.894426
0.394571,0.017345,0.191654,0.004896,0.047553,0.000576,0.013473,0.104131,0.033665,0.059937,0.200677,0.002017,0.001152,0.000384,0.881754
0.394860,0.017504,0.191558,0.004864,0.047745,0.000608,0.013505,0.109667,0.032513,0.060674,0.205702,0.001920,0.001088,0.000384,0.886938
0.394860,0.017376,0.191814,0.004896,0.048290,0.000608,0.013568,0.106819,0.032929,0.059938,0.202502,0.002208,0.001280,0.000384,0.885882
0.394412,0.017569,0.211878,0.004960,0.047970,0.000640,0.013504,0.109571,0.038849,0.064642,0.215846,0.001952,0.001153,0.000384,0.918300
0.394955,0.017537,0.193574,0.004800,0.049057,0.000608,0.013729,0.114243,0.032705,0.060098,0.210342,0.002272,0.001280,0.000384,0.895706
