Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-8],OUT[8],TEE[7-8],Layer[9],Layer[10],classifier
0.510051,0.017921,0.205217,0.004864,0.047424,0.000800,0.013408,0.127745,0.037729,0.058976,0.228322,0.002624,0.000608,1.038535
0.420227,0.017472,0.203425,0.004865,0.047488,0.000768,0.013376,0.111713,0.038080,0.060224,0.213569,0.001409,0.000448,0.930407
0.435684,0.017536,0.203265,0.004800,0.049345,0.000544,0.014304,0.137089,0.042272,0.064640,0.247329,0.001760,0.000448,0.982407
0.416963,0.017376,0.203554,0.005056,0.049152,0.000608,0.014176,0.106081,0.037216,0.060193,0.206818,0.001344,0.000640,0.922599
0.417667,0.017216,0.203201,0.004896,0.049025,0.000608,0.014400,0.109473,0.043776,0.061024,0.217441,0.001408,0.000640,0.933574
0.416163,0.017440,0.226530,0.005056,0.049216,0.000576,0.014977,0.112576,0.042433,0.065312,0.223617,0.001504,0.000608,0.963527
0.415843,0.017760,0.203202,0.004736,0.049632,0.000608,0.015264,0.113473,0.042976,0.062785,0.222722,0.001632,0.000416,0.939591
0.415939,0.017696,0.203649,0.004864,0.048705,0.000576,0.014848,0.114305,0.041952,0.063008,0.222977,0.001504,0.000448,0.938406
0.416227,0.017664,0.202658,0.004832,0.048864,0.000576,0.014624,0.111169,0.041376,0.085409,0.241794,0.001568,0.000480,0.956711
0.416131,0.017344,0.202850,0.004896,0.048352,0.000672,0.014048,0.104673,0.035968,0.061633,0.205538,0.001344,0.000576,0.918663
0.416995,0.017889,0.202817,0.004800,0.048000,0.000608,0.013952,0.110369,0.036257,0.060352,0.210562,0.001408,0.000416,0.924263
0.415907,0.017664,0.202657,0.004736,0.049025,0.000576,0.013760,0.112737,0.043744,0.061152,0.221089,0.001472,0.000384,0.934694
0.436995,0.017473,0.203105,0.004800,0.048512,0.000576,0.013729,0.112288,0.042529,0.065024,0.223169,0.001440,0.000384,0.957383
0.417443,0.017440,0.202594,0.004768,0.050848,0.000608,0.013536,0.110273,0.042464,0.060833,0.217122,0.001504,0.000448,0.932967
0.416130,0.017665,0.202881,0.004832,0.048480,0.000576,0.013569,0.116544,0.036929,0.061024,0.218049,0.001536,0.000448,0.931655
0.417539,0.017664,0.221698,0.005312,0.049024,0.000608,0.013504,0.112801,0.036512,0.059393,0.212162,0.001472,0.000416,0.946855
0.417123,0.017600,0.202433,0.005216,0.050881,0.000640,0.013408,0.115681,0.036480,0.059552,0.215009,0.001536,0.000480,0.931366
0.418499,0.017856,0.203010,0.005024,0.049216,0.000736,0.013664,0.112961,0.035264,0.059745,0.211810,0.001504,0.000416,0.929159
0.417251,0.017536,0.203361,0.005376,0.049313,0.000608,0.014208,0.117857,0.043200,0.063648,0.228546,0.001600,0.000416,0.945895
0.416963,0.017472,0.202977,0.004832,0.049505,0.000576,0.013824,0.116257,0.042560,0.063392,0.226049,0.001376,0.000384,0.941094
0.416931,0.017504,0.206498,0.004832,0.049440,0.000768,0.013664,0.111489,0.043616,0.064737,0.223682,0.001536,0.000384,0.942375
