Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-9],Layer[10],classifier
0.506612,0.017761,0.205224,0.004768,0.046882,0.000608,0.013281,0.185575,0.000768,0.989991
0.420944,0.017568,0.203688,0.004800,0.048770,0.000576,0.014017,0.187207,0.000544,0.905603
0.417392,0.017665,0.202920,0.004864,0.047938,0.000576,0.013984,0.186151,0.000896,0.900291
0.417168,0.017281,0.203368,0.004864,0.048450,0.000576,0.013856,0.184712,0.000768,0.898659
0.417264,0.017345,0.202632,0.004832,0.048002,0.000576,0.013985,0.189159,0.000768,0.902243
0.417265,0.017472,0.221193,0.005024,0.048962,0.000480,0.013697,0.184519,0.000672,0.917188
0.420656,0.017249,0.203048,0.004864,0.047682,0.000544,0.013473,0.180199,0.000704,0.895491
0.420657,0.017344,0.202888,0.004801,0.047649,0.000544,0.013473,0.171623,0.000672,0.886627
0.415312,0.017537,0.203080,0.004864,0.047042,0.000608,0.013472,0.168807,0.000640,0.877634
0.415824,0.017505,0.202792,0.004992,0.046978,0.000576,0.014017,0.179815,0.000640,0.889859
0.416112,0.017409,0.202760,0.004800,0.046850,0.000608,0.013472,0.174727,0.000640,0.884386
0.420977,0.017376,0.202024,0.004769,0.046785,0.000544,0.013505,0.174247,0.000608,0.887619
0.416176,0.017345,0.223529,0.005088,0.047586,0.000576,0.013472,0.168039,0.000640,0.900131
0.415760,0.017409,0.203048,0.004832,0.047106,0.000576,0.013569,0.187207,0.000576,0.897411
0.420497,0.017376,0.202152,0.004833,0.048001,0.000576,0.013473,0.174727,0.000640,0.888931
0.420337,0.017472,0.201992,0.004833,0.047073,0.000576,0.013441,0.172551,0.000928,0.885731
0.439537,0.021121,0.202088,0.004864,0.047106,0.000576,0.013409,0.181607,0.000576,0.917220
0.419920,0.017313,0.202920,0.004800,0.047586,0.000576,0.013504,0.174695,0.000576,0.887522
0.416113,0.020833,0.202664,0.004864,0.047010,0.000544,0.013472,0.185863,0.000769,0.898308
0.415825,0.017184,0.202440,0.004929,0.047457,0.000576,0.013377,0.190343,0.000608,0.899684
0.416944,0.017248,0.202792,0.004832,0.047234,0.000576,0.013377,0.185095,0.000608,0.895651
0.417489,0.017376,0.202440,0.004769,0.047009,0.000576,0.013409,0.169479,0.000576,0.879651
0.416176,0.017249,0.203336,0.004864,0.046978,0.000608,0.013409,0.176071,0.000640,0.886691
0.436337,0.017633,0.202696,0.004864,0.047042,0.000544,0.013632,0.183656,0.000704,0.914884
0.416273,0.017600,0.201992,0.004832,0.048418,0.000608,0.013569,0.181351,0.000672,0.892067
0.421169,0.017441,0.202184,0.004832,0.047938,0.000576,0.013504,0.176423,0.000672,0.891395
0.420977,0.017248,0.202568,0.004801,0.047265,0.000608,0.013409,0.206248,0.000736,0.920644
0.422961,0.017697,0.202312,0.004768,0.047330,0.000544,0.013536,0.173863,0.000672,0.891843
0.416144,0.017409,0.202984,0.004768,0.047554,0.000576,0.013409,0.188391,0.000672,0.899747
0.416464,0.017313,0.202408,0.004864,0.047042,0.000576,0.013601,0.188519,0.000576,0.898467
0.437809,0.017313,0.203080,0.004832,0.047234,0.000576,0.013472,0.180328,0.000704,0.913092
0.416913,0.017377,0.202503,0.004801,0.047298,0.000576,0.013472,0.182855,0.000608,0.893443
0.420881,0.017473,0.202088,0.004768,0.047970,0.000608,0.013536,0.187752,0.000736,0.903748
0.415985,0.017505,0.201991,0.004833,0.047906,0.000544,0.013472,0.196552,0.000768,0.907556
0.420369,0.017537,0.202632,0.004896,0.049154,0.000576,0.013984,0.182152,0.000736,0.899812
0.420784,0.017473,0.202792,0.004800,0.048802,0.000608,0.013825,0.182631,0.000672,0.899619
