Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-9],OUT[9],TEE[7-9],Layer[10],classifier
0.488494,0.017889,0.195590,0.005024,0.047585,0.000832,0.013537,0.105155,0.036641,0.063938,0.209670,0.000864,0.986461
0.415820,0.017696,0.193894,0.004896,0.048353,0.000960,0.014177,0.109699,0.044225,0.062562,0.219878,0.000704,0.924507
0.396972,0.017632,0.193062,0.004928,0.048098,0.000832,0.013984,0.106019,0.040161,0.060450,0.209990,0.000736,0.893178
0.396876,0.017440,0.192486,0.004992,0.048642,0.000832,0.014336,0.107843,0.038785,0.062498,0.212806,0.000704,0.897466
0.396396,0.017728,0.192230,0.004960,0.048386,0.000800,0.014080,0.135908,0.049346,0.074050,0.263144,0.000704,0.946812
0.397387,0.017568,0.192326,0.005088,0.048961,0.000800,0.014561,0.110051,0.038561,0.061058,0.212934,0.000640,0.897914
0.396620,0.017632,0.192070,0.004896,0.049314,0.000608,0.014496,0.108803,0.039042,0.062945,0.215079,0.000768,0.898939
0.395948,0.017665,0.191717,0.004800,0.048930,0.000608,0.014304,0.108516,0.037025,0.061090,0.209831,0.000768,0.891515
0.414636,0.017537,0.192102,0.004896,0.048609,0.000800,0.014209,0.109475,0.040769,0.057986,0.211494,0.000672,0.911547
0.395660,0.017825,0.191973,0.004833,0.048417,0.000832,0.014112,0.108484,0.041121,0.062306,0.215175,0.000608,0.897947
0.396268,0.017793,0.192069,0.004896,0.048834,0.000832,0.013888,0.110724,0.039553,0.062370,0.216775,0.000704,0.899867
0.395980,0.017696,0.210919,0.005184,0.048769,0.000576,0.013825,0.109699,0.046081,0.061538,0.220358,0.000672,0.921723
0.395724,0.017761,0.191781,0.004800,0.048962,0.000960,0.013760,0.107908,0.039425,0.059170,0.209703,0.000736,0.890747
0.395595,0.017472,0.192166,0.004896,0.048513,0.000768,0.013569,0.105859,0.038337,0.060930,0.208294,0.000896,0.889370
0.395756,0.017760,0.193158,0.004864,0.048738,0.000608,0.013696,0.105859,0.039521,0.059554,0.207974,0.000672,0.890074
0.413069,0.017696,0.191910,0.004896,0.048417,0.000608,0.013601,0.107619,0.040257,0.060226,0.211302,0.000704,0.910043
0.396555,0.017633,0.191718,0.004896,0.048481,0.000928,0.013601,0.105443,0.037057,0.059202,0.204774,0.000672,0.886010
0.395339,0.017345,0.192230,0.004864,0.047393,0.000992,0.013569,0.105667,0.037857,0.062050,0.208742,0.000960,0.888314
0.395596,0.017568,0.210790,0.005217,0.047809,0.000640,0.013600,0.103844,0.039713,0.058401,0.204934,0.000705,0.904283
0.395787,0.017761,0.191974,0.004832,0.047969,0.000832,0.013857,0.116675,0.037729,0.059042,0.217254,0.000736,0.898842
0.396651,0.017729,0.192262,0.004832,0.048257,0.000800,0.013569,0.107939,0.038913,0.059298,0.209702,0.000736,0.891162
0.395660,0.017633,0.192965,0.004832,0.049090,0.000768,0.014176,0.107012,0.039873,0.065218,0.214919,0.000672,0.898171
0.395659,0.017825,0.192229,0.004865,0.047937,0.000608,0.013761,0.108675,0.038529,0.058914,0.209446,0.000704,0.889690
0.396588,0.017632,0.191910,0.004896,0.049345,0.000736,0.013920,0.111331,0.038721,0.059938,0.213254,0.000640,0.896794
0.395660,0.017633,0.192133,0.004897,0.049153,0.000608,0.013600,0.109475,0.038657,0.059714,0.211206,0.000736,0.891867
0.396428,0.017856,0.213543,0.005088,0.049057,0.000608,0.013601,0.109187,0.036545,0.057186,0.205798,0.000672,0.910811
0.395404,0.017664,0.192006,0.004928,0.048641,0.000768,0.014465,0.108579,0.038945,0.059106,0.209574,0.000672,0.890810
0.396140,0.017729,0.191589,0.004832,0.048578,0.000736,0.014656,0.104899,0.035426,0.057441,0.200870,0.000576,0.882618
0.396267,0.017761,0.192006,0.004832,0.049345,0.000736,0.014401,0.110659,0.039233,0.060002,0.212998,0.000704,0.895738
0.396427,0.017761,0.191654,0.004896,0.048033,0.000800,0.014529,0.115011,0.041761,0.058178,0.218566,0.000672,0.901242
0.395820,0.017760,0.191654,0.004864,0.048578,0.000800,0.014144,0.106275,0.035937,0.058626,0.204166,0.000800,0.885498
0.396076,0.017505,0.191685,0.004960,0.048226,0.000800,0.014112,0.108099,0.038881,0.061826,0.212903,0.000736,0.894651
0.395916,0.017440,0.209510,0.005153,0.048641,0.000800,0.014689,0.110499,0.044801,0.060802,0.219334,0.000704,0.919355
0.395564,0.017536,0.191942,0.004928,0.048994,0.000800,0.014144,0.103427,0.044002,0.064962,0.215559,0.000704,0.897595
0.395884,0.017280,0.191686,0.004832,0.048162,0.000800,0.014400,0.110019,0.035841,0.056866,0.205862,0.000672,0.886202
0.396172,0.017792,0.191974,0.004832,0.048482,0.000992,0.014048,0.112355,0.038818,0.059233,0.213606,0.000704,0.896154
0.395564,0.017440,0.191782,0.004864,0.048161,0.000800,0.013665,0.109827,0.038753,0.058850,0.210598,0.000704,0.890202
0.395627,0.017569,0.192454,0.004832,0.047489,0.000800,0.013729,0.115939,0.039393,0.059458,0.217862,0.000736,0.897914
0.396172,0.017697,0.191557,0.004832,0.048482,0.000832,0.014848,0.103235,0.039266,0.056705,0.202534,0.000960,0.885306
0.396299,0.017633,0.208454,0.004992,0.047970,0.000800,0.014784,0.113923,0.046433,0.071266,0.235047,0.000640,0.934651
