Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-10],OUT[10],TEE[8-10],classifier
0.489455,0.017920,0.195142,0.004864,0.047810,0.000672,0.013376,0.000384,0.078562,0.038658,0.059265,0.179653,0.955772
0.397292,0.017600,0.193414,0.004896,0.048418,0.000672,0.013632,0.000384,0.107523,0.035393,0.058306,0.204358,0.887642
0.396203,0.017664,0.192614,0.004928,0.049537,0.000672,0.014369,0.000384,0.114083,0.039553,0.063137,0.219942,0.903546
0.413708,0.017632,0.192262,0.004864,0.049442,0.000864,0.013984,0.000608,0.114596,0.035649,0.062210,0.215783,0.915611
0.395820,0.017696,0.192070,0.004832,0.049249,0.000640,0.014209,0.000384,0.118435,0.040322,0.062466,0.224359,0.907515
0.396588,0.017825,0.192005,0.004800,0.049890,0.000832,0.014240,0.000384,0.125124,0.046370,0.064673,0.239560,0.924348
0.396844,0.017633,0.192453,0.004960,0.049762,0.001056,0.013696,0.000384,0.143621,0.048001,0.076834,0.272168,0.957276
0.395916,0.017761,0.192037,0.004832,0.048865,0.000800,0.013696,0.000384,0.118532,0.046177,0.069666,0.237383,0.918523
0.395884,0.017504,0.191398,0.004864,0.048930,0.000800,0.013568,0.000416,0.118916,0.038497,0.063650,0.224071,0.905691
0.395692,0.017504,0.191334,0.004896,0.047937,0.000576,0.013505,0.000352,0.115811,0.038081,0.061377,0.218502,0.896954
0.414668,0.017825,0.191845,0.004864,0.048994,0.000832,0.013472,0.000384,0.118308,0.040225,0.061186,0.223175,0.923771
0.395308,0.017761,0.191525,0.004864,0.048577,0.000640,0.013856,0.000384,0.117508,0.045281,0.062882,0.229063,0.908955
0.394924,0.017473,0.191749,0.004897,0.048961,0.000576,0.013664,0.000385,0.117411,0.038401,0.060610,0.219782,0.899611
0.395436,0.017472,0.207623,0.005024,0.048577,0.001056,0.013697,0.000352,0.109283,0.036993,0.059842,0.209190,0.905403
0.396620,0.017345,0.192005,0.004864,0.048482,0.000576,0.013824,0.000352,0.123268,0.041569,0.059842,0.227943,0.909947
0.396267,0.017729,0.192134,0.004928,0.048705,0.000576,0.013697,0.000416,0.124067,0.043394,0.066370,0.237223,0.917947
0.396076,0.017793,0.192453,0.004896,0.049537,0.000832,0.013600,0.000384,0.125732,0.044898,0.063873,0.237767,0.920700
0.395659,0.017537,0.193894,0.004864,0.048225,0.000576,0.013569,0.000352,0.122051,0.038849,0.062274,0.226278,0.907386
0.397035,0.017505,0.192038,0.004896,0.050049,0.000608,0.014401,0.000352,0.117411,0.040673,0.060386,0.221798,0.906010
0.395884,0.017409,0.191973,0.004864,0.048642,0.000640,0.013760,0.000384,0.113700,0.045057,0.069570,0.231623,0.911803
0.395339,0.017600,0.211110,0.004832,0.048802,0.001024,0.013952,0.000352,0.117572,0.038689,0.062882,0.223623,0.924379
0.396492,0.018144,0.191750,0.004928,0.048162,0.000608,0.013600,0.000416,0.112804,0.038689,0.060098,0.214471,0.894939
0.395884,0.017440,0.192006,0.004896,0.048514,0.000832,0.013984,0.000384,0.133348,0.039841,0.065090,0.241735,0.924155
0.398475,0.017729,0.192326,0.004928,0.048193,0.000608,0.013697,0.000416,0.115619,0.035905,0.060290,0.214886,0.897754
0.395884,0.017696,0.192390,0.004864,0.048737,0.000800,0.013664,0.000416,0.124068,0.038817,0.062978,0.229159,0.911195
0.394828,0.017761,0.192005,0.004833,0.048513,0.000800,0.013600,0.000384,0.121380,0.036417,0.061506,0.222503,0.901787
0.394796,0.017920,0.191974,0.004928,0.049090,0.000800,0.013536,0.000352,0.112419,0.039874,0.060481,0.215911,0.896027
0.412492,0.017824,0.191974,0.004864,0.049314,0.000832,0.013632,0.000384,0.114052,0.044417,0.066114,0.227527,0.925403
0.395212,0.017632,0.191814,0.004864,0.049410,0.000640,0.013760,0.000352,0.113443,0.039170,0.061121,0.216710,0.897178
0.395788,0.017633,0.191877,0.004864,0.048994,0.000576,0.013632,0.000384,0.109924,0.036833,0.063682,0.213255,0.893147
0.394156,0.017728,0.191654,0.004832,0.048417,0.000800,0.013633,0.000352,0.115395,0.062690,0.075266,0.258696,0.937756
0.395404,0.017568,0.191334,0.004896,0.049250,0.000576,0.013568,0.000352,0.115011,0.039138,0.062689,0.220071,0.899579
0.395948,0.017696,0.191750,0.004896,0.049122,0.000608,0.013472,0.000416,0.112483,0.035649,0.059841,0.211174,0.891546
0.395468,0.017825,0.192101,0.004897,0.049217,0.000608,0.013536,0.000320,0.109891,0.040129,0.059778,0.213030,0.893595
0.423117,0.017792,0.192230,0.004832,0.048578,0.000608,0.013536,0.000416,0.127076,0.038081,0.062818,0.231463,0.940956
0.395596,0.017824,0.191942,0.004896,0.048386,0.000576,0.014656,0.000416,0.123588,0.038433,0.064034,0.229319,0.909883
0.394956,0.017664,0.192134,0.004896,0.049026,0.000832,0.014176,0.000416,0.116644,0.038881,0.062210,0.221063,0.901755
0.395404,0.017632,0.191974,0.004960,0.066850,0.000800,0.014433,0.000384,0.116835,0.041057,0.065090,0.226118,0.925371
0.395340,0.017633,0.191717,0.004961,0.048705,0.000608,0.013664,0.000416,0.112228,0.040545,0.063202,0.219559,0.899739
0.394828,0.017729,0.191461,0.004864,0.048898,0.000608,0.013696,0.000352,0.116964,0.038593,0.061570,0.220551,0.898875
0.395244,0.017760,0.191781,0.004864,0.048450,0.000640,0.013664,0.000384,0.114116,0.038721,0.061570,0.217767,0.896667
0.411116,0.017761,0.191781,0.004961,0.048929,0.000800,0.013600,0.000384,0.117603,0.045665,0.070114,0.236679,0.933052
0.395915,0.017568,0.191942,0.004864,0.049377,0.000608,0.013601,0.000384,0.112259,0.039745,0.063138,0.218374,0.899450
0.395051,0.017793,0.191846,0.004864,0.049249,0.000608,0.013537,0.000352,0.113539,0.037985,0.060994,0.215366,0.895290
0.395244,0.017601,0.213446,0.005120,0.049730,0.000864,0.013536,0.000416,0.126340,0.039137,0.067650,0.236135,0.940444
0.395276,0.017600,0.191590,0.004992,0.049090,0.000608,0.013536,0.000320,0.122788,0.038753,0.064450,0.229191,0.909339
0.395244,0.017857,0.191685,0.004864,0.048066,0.000608,0.014432,0.000384,0.121124,0.037857,0.061250,0.223847,0.904155
0.395148,0.017696,0.191718,0.004928,0.048674,0.000832,0.014432,0.000384,0.113988,0.045441,0.062594,0.224967,0.904955
0.397068,0.017600,0.191718,0.004864,0.049026,0.000576,0.013824,0.000384,0.114148,0.037409,0.063074,0.217959,0.899483
0.394924,0.017761,0.191621,0.004864,0.048994,0.000608,0.013632,0.000352,0.112644,0.044353,0.061762,0.221831,0.900731
0.394507,0.017984,0.191494,0.004864,0.048481,0.000608,0.013665,0.000352,0.114275,0.036641,0.059618,0.213606,0.891834
0.394924,0.035169,0.191974,0.004896,0.048257,0.000801,0.013600,0.000416,0.113699,0.038049,0.061474,0.216550,0.913499
0.394700,0.017856,0.191430,0.005024,0.048610,0.000608,0.013568,0.000352,0.109731,0.045154,0.068802,0.226599,0.904891
0.394955,0.017473,0.191717,0.004896,0.048417,0.000576,0.013473,0.000352,0.114915,0.045217,0.068386,0.231814,0.910106
0.395915,0.017889,0.191878,0.004960,0.048065,0.000608,0.013537,0.000352,0.123843,0.039586,0.069058,0.235975,0.917051
