Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-8],Layer[9],Layer[10],classifier
0.509844,0.017505,0.212328,0.004832,0.047586,0.000800,0.013729,0.000384,0.182919,0.010080,0.000608,1.009896
0.419664,0.017921,0.203912,0.005088,0.048034,0.000800,0.013697,0.000384,0.180423,0.003168,0.000384,0.902147
0.438929,0.017729,0.203496,0.005184,0.048386,0.000576,0.014497,0.000640,0.182631,0.001824,0.000384,0.924644
0.423600,0.018049,0.203208,0.005056,0.048226,0.000576,0.015009,0.000640,0.178247,0.001536,0.000416,0.904099
0.417328,0.017825,0.205192,0.005056,0.049122,0.000576,0.013984,0.000640,0.173766,0.001344,0.000384,0.895236
0.420464,0.017601,0.202920,0.004864,0.048386,0.000576,0.014017,0.000384,0.199208,0.001504,0.000416,0.920612
0.417584,0.017697,0.203656,0.004768,0.048738,0.000544,0.014081,0.000416,0.176967,0.001472,0.000448,0.896291
0.417040,0.017505,0.203368,0.004800,0.048802,0.000608,0.014145,0.000416,0.178599,0.001280,0.000352,0.895747
0.419792,0.018017,0.203912,0.005120,0.048450,0.000864,0.014081,0.000640,0.232009,0.002592,0.000672,0.959365
0.441746,0.017984,0.203816,0.004993,0.049218,0.000864,0.013952,0.000608,0.185544,0.002272,0.000416,0.931205
0.419056,0.018304,0.204040,0.005024,0.048962,0.000832,0.014113,0.000384,0.209832,0.002496,0.000673,0.935941
0.421777,0.018017,0.202535,0.004833,0.048578,0.000832,0.014080,0.000640,0.180039,0.001952,0.000640,0.902884
0.420240,0.017537,0.222313,0.005280,0.048706,0.000832,0.013921,0.000640,0.177799,0.001632,0.000384,0.918660
0.415792,0.017984,0.203368,0.005280,0.048546,0.000800,0.014689,0.000448,0.172071,0.001536,0.000608,0.889475
0.421040,0.017601,0.203464,0.005216,0.048642,0.000832,0.014081,0.000384,0.189767,0.001792,0.000353,0.913156
0.417648,0.017761,0.202568,0.005248,0.049730,0.000800,0.014209,0.000416,0.163654,0.002240,0.000608,0.883842
