Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-8],OUT[8],TEE[8-8],Layer[9],Layer[10],classifier
0.491855,0.017761,0.195013,0.004864,0.048577,0.000608,0.013504,0.000416,0.083587,0.033057,0.058082,0.178086,0.014816,0.000608,0.974237
0.398540,0.017344,0.192390,0.004896,0.048226,0.000768,0.013920,0.000448,0.108291,0.036801,0.060546,0.208742,0.002144,0.000640,0.896570
0.419276,0.017568,0.192902,0.004864,0.047585,0.000832,0.014401,0.000608,0.112963,0.037441,0.065314,0.218758,0.002176,0.000960,0.928155
0.396236,0.017473,0.191525,0.004928,0.048194,0.000768,0.013984,0.000416,0.112548,0.034433,0.058530,0.208775,0.002048,0.000704,0.893755
0.396268,0.017280,0.191558,0.004800,0.049730,0.000768,0.013920,0.000608,0.112387,0.034689,0.060002,0.209958,0.001760,0.000480,0.895290
0.395819,0.017377,0.191366,0.004864,0.068866,0.000640,0.014272,0.000608,0.117956,0.040769,0.065794,0.227783,0.001728,0.000480,0.932987
0.396076,0.017409,0.191621,0.005088,0.048866,0.000640,0.013888,0.000608,0.107748,0.035329,0.061762,0.207815,0.002176,0.000512,0.892539
0.396908,0.017473,0.191941,0.005345,0.050177,0.000864,0.014624,0.000384,0.114691,0.038913,0.066114,0.223014,0.001728,0.000896,0.912923
0.396204,0.017440,0.191590,0.004832,0.049090,0.000576,0.014080,0.000640,0.114627,0.034881,0.059777,0.212454,0.001440,0.000448,0.896410
0.395788,0.017441,0.191269,0.004897,0.048321,0.000768,0.013696,0.000417,0.113763,0.034209,0.058434,0.209606,0.001472,0.000640,0.892027
0.395980,0.017569,0.191557,0.004865,0.048449,0.000608,0.013824,0.000416,0.115588,0.033409,0.060770,0.212935,0.001440,0.000704,0.897787
0.396011,0.017409,0.191782,0.004864,0.048577,0.000800,0.013665,0.000448,0.107171,0.034625,0.059618,0.204710,0.001280,0.000832,0.888058
0.396460,0.017344,0.210727,0.005056,0.049953,0.000704,0.013569,0.000416,0.109699,0.034369,0.059106,0.206086,0.001824,0.000416,0.911099
0.396620,0.017377,0.191365,0.004864,0.050082,0.000768,0.013696,0.000416,0.109476,0.035073,0.058913,0.206502,0.001441,0.000416,0.891643
0.396427,0.017248,0.191558,0.004864,0.047969,0.000832,0.013665,0.000448,0.106595,0.033377,0.058946,0.201830,0.001344,0.000640,0.884954
0.396076,0.017312,0.191366,0.004864,0.047905,0.000800,0.013633,0.000416,0.107715,0.038209,0.065378,0.214278,0.001440,0.000384,0.896794
0.397132,0.017505,0.191333,0.004896,0.049730,0.000608,0.014240,0.000416,0.109028,0.032321,0.057633,0.201862,0.001472,0.000608,0.888090
0.396588,0.017440,0.191494,0.004960,0.048962,0.000800,0.014112,0.000448,0.118660,0.035777,0.063330,0.220999,0.001504,0.000704,0.907195
0.396236,0.017344,0.191398,0.004864,0.049282,0.000864,0.014112,0.000416,0.112195,0.034721,0.059650,0.209606,0.001632,0.000608,0.894490
0.418636,0.017537,0.191462,0.004768,0.048225,0.000800,0.013857,0.000416,0.109379,0.032897,0.059426,0.204742,0.001760,0.000608,0.911291
0.396044,0.017408,0.191462,0.004864,0.048033,0.000800,0.013985,0.000448,0.109187,0.036929,0.059714,0.209286,0.001856,0.000608,0.894106
0.395979,0.017505,0.191718,0.004864,0.048353,0.000768,0.013889,0.000448,0.113251,0.038945,0.068066,0.223238,0.001344,0.000384,0.906554
0.395468,0.017409,0.192165,0.004800,0.048738,0.000768,0.013728,0.000416,0.111300,0.034113,0.062114,0.210727,0.001504,0.000384,0.894171
0.395020,0.017408,0.191142,0.004896,0.047714,0.000800,0.013952,0.000448,0.107971,0.043265,0.067490,0.221831,0.001408,0.000384,0.901947
0.395531,0.017505,0.191461,0.004993,0.048577,0.000736,0.013633,0.000416,0.106275,0.034913,0.058530,0.202598,0.001280,0.000416,0.883770
0.395788,0.017313,0.191749,0.004832,0.047554,0.000736,0.013472,0.000416,0.105347,0.033441,0.057569,0.199302,0.001408,0.000416,0.880026
0.422413,0.017441,0.191493,0.004896,0.047426,0.000640,0.013472,0.000384,0.105603,0.042210,0.059425,0.210278,0.001312,0.000384,0.918204
0.397484,0.017441,0.191685,0.004833,0.047777,0.000960,0.013633,0.000672,0.115235,0.037729,0.058530,0.214758,0.001632,0.000480,0.899387
0.395948,0.017441,0.191365,0.004832,0.048994,0.000576,0.013504,0.000416,0.102851,0.034433,0.057633,0.197926,0.001440,0.000384,0.880314
0.395372,0.017601,0.191365,0.004896,0.049218,0.000800,0.014240,0.000448,0.104099,0.038434,0.059553,0.205062,0.001504,0.000480,0.888187
0.395627,0.017377,0.191046,0.004864,0.049089,0.000576,0.013665,0.000448,0.105411,0.035297,0.057570,0.201126,0.001312,0.000416,0.883066
0.395532,0.017568,0.191686,0.004832,0.047841,0.000736,0.013505,0.000448,0.105443,0.033953,0.061730,0.204134,0.001312,0.000448,0.885370
0.396044,0.017408,0.191270,0.004896,0.048513,0.000768,0.013697,0.000416,0.106467,0.043041,0.059906,0.212454,0.001472,0.000576,0.894586
0.425773,0.017376,0.191430,0.004896,0.047969,0.000608,0.013472,0.000416,0.100867,0.041089,0.073346,0.218438,0.001216,0.000384,0.928731
0.395212,0.017536,0.201734,0.004865,0.047937,0.000640,0.013440,0.000448,0.105603,0.042593,0.058818,0.210183,0.001408,0.000864,0.901307
0.396299,0.017441,0.191974,0.004896,0.048033,0.000608,0.013537,0.000448,0.108995,0.042017,0.059170,0.213382,0.001440,0.000640,0.896666
0.398156,0.017761,0.200070,0.005056,0.048193,0.000576,0.013889,0.000480,0.116739,0.039969,0.068482,0.228742,0.001600,0.000640,0.923708
0.396588,0.017568,0.191622,0.004832,0.047970,0.000576,0.013504,0.000416,0.107523,0.036673,0.057250,0.204518,0.001792,0.000608,0.887418
0.396108,0.017473,0.191621,0.004864,0.049346,0.000608,0.013472,0.000448,0.105923,0.031936,0.055618,0.196614,0.001312,0.000640,0.879162
0.396172,0.017504,0.191462,0.004800,0.048353,0.000544,0.013472,0.000416,0.102627,0.036609,0.057826,0.199942,0.001568,0.000640,0.882138
0.430317,0.017728,0.191654,0.004928,0.048738,0.000832,0.013504,0.000416,0.101411,0.034305,0.060418,0.198982,0.001408,0.000352,0.916539
0.395467,0.017537,0.191462,0.004896,0.048193,0.000608,0.013473,0.000448,0.103203,0.034913,0.059842,0.200678,0.001248,0.000576,0.881498
0.394764,0.017409,0.191365,0.004865,0.049569,0.000736,0.013472,0.000416,0.105540,0.034689,0.057025,0.200102,0.001568,0.000640,0.882810
