Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-9],OUT[9],TEE[8-9],Layer[10],classifier
0.494511,0.017889,0.195557,0.004800,0.048418,0.000800,0.013536,0.000448,0.126500,0.041185,0.061346,0.232295,0.000832,1.016510
0.397868,0.017441,0.192421,0.005056,0.048290,0.001024,0.013792,0.000384,0.108516,0.036993,0.061282,0.209895,0.000608,0.894011
0.417069,0.017696,0.192230,0.005056,0.048545,0.000961,0.014528,0.000576,0.110979,0.044130,0.062241,0.220967,0.000672,0.926940
0.397004,0.017536,0.191878,0.004864,0.048610,0.001024,0.014784,0.000416,0.109347,0.046850,0.067714,0.227175,0.000832,0.911291
0.396811,0.017505,0.191878,0.004928,0.048865,0.000768,0.014081,0.000384,0.111107,0.038369,0.059970,0.212614,0.000608,0.895866
0.396748,0.017568,0.191878,0.004864,0.048738,0.000800,0.014016,0.000416,0.129828,0.047649,0.067202,0.248007,0.000672,0.930908
0.395948,0.017440,0.191750,0.004832,0.048930,0.000832,0.014080,0.000384,0.111555,0.038338,0.059649,0.213286,0.000608,0.896538
0.396364,0.017632,0.191654,0.004928,0.049634,0.000800,0.013824,0.000416,0.108995,0.044994,0.061410,0.218759,0.000608,0.901659
0.396396,0.017633,0.191845,0.004832,0.048770,0.000832,0.013824,0.000352,0.110468,0.037761,0.059073,0.210471,0.000608,0.893179
0.411468,0.017440,0.191558,0.004864,0.049442,0.000832,0.013696,0.000448,0.107203,0.038658,0.063009,0.212070,0.000609,0.909275
0.396363,0.017377,0.191782,0.004960,0.048641,0.000768,0.013825,0.000416,0.111907,0.044961,0.062466,0.222726,0.000640,0.905338
0.395851,0.017377,0.191590,0.004992,0.049665,0.000832,0.013985,0.000384,0.108611,0.039745,0.065890,0.217606,0.000640,0.900346
0.396364,0.017600,0.191814,0.005024,0.068770,0.000960,0.013857,0.000384,0.110435,0.037761,0.060866,0.211878,0.000704,0.915675
0.396140,0.017376,0.191558,0.004928,0.049058,0.000832,0.013632,0.000576,0.105379,0.038081,0.060994,0.207622,0.000672,0.889466
0.396555,0.017377,0.192326,0.004864,0.048481,0.000960,0.013601,0.000576,0.106691,0.038465,0.059106,0.207462,0.000608,0.890554
0.396300,0.017312,0.192006,0.004928,0.048322,0.000768,0.013600,0.000416,0.107235,0.043970,0.058337,0.212646,0.000640,0.894074
0.413772,0.017441,0.191654,0.004928,0.047873,0.000576,0.013633,0.000352,0.111875,0.038209,0.059778,0.213318,0.000640,0.912795
0.396108,0.017440,0.191878,0.004896,0.048097,0.000512,0.013536,0.000416,0.106179,0.037825,0.058722,0.205926,0.000640,0.886010
0.397100,0.017472,0.191718,0.004896,0.047938,0.000544,0.013504,0.000448,0.102627,0.041602,0.058049,0.205766,0.000608,0.887546
0.396012,0.017537,0.210278,0.005088,0.050626,0.000544,0.013568,0.000416,0.109859,0.038498,0.059905,0.211302,0.000672,0.913467
