Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-10],OUT[10],TEE[9-10],classifier
0.488527,0.017952,0.195366,0.004928,0.047170,0.000832,0.013472,0.000384,0.001472,0.120964,0.043457,0.059554,0.227463,1.004990
0.397772,0.017728,0.192870,0.004896,0.047394,0.000832,0.014144,0.000416,0.001472,0.104771,0.036193,0.057505,0.201990,0.886714
0.397068,0.018624,0.191846,0.005216,0.048098,0.000576,0.014240,0.000416,0.001760,0.103555,0.037538,0.059745,0.204486,0.888858
0.397003,0.017793,0.191750,0.004832,0.048833,0.000576,0.014529,0.000416,0.001856,0.106435,0.038273,0.060802,0.209478,0.894554
0.397484,0.017824,0.191621,0.004928,0.048994,0.000608,0.014240,0.000352,0.001472,0.098563,0.038113,0.058850,0.198950,0.883386
0.396236,0.017697,0.207046,0.004960,0.047969,0.000576,0.013473,0.000416,0.001472,0.094179,0.035969,0.058722,0.191782,0.888283
0.396076,0.017632,0.191686,0.004928,0.048290,0.000576,0.013568,0.000352,0.001472,0.087075,0.035009,0.057026,0.182054,0.862874
0.395404,0.017952,0.191494,0.004928,0.047905,0.000576,0.013601,0.000416,0.001472,0.089443,0.036769,0.057441,0.186853,0.866713
0.397804,0.017761,0.191525,0.004960,0.048353,0.000544,0.013601,0.000384,0.001504,0.105891,0.036641,0.059426,0.205350,0.890267
0.409804,0.017856,0.191686,0.004896,0.048513,0.000608,0.013889,0.000608,0.001472,0.097219,0.035777,0.058178,0.194278,0.889979
0.395532,0.017536,0.191142,0.004960,0.048546,0.000576,0.013600,0.000384,0.001664,0.110403,0.051393,0.057666,0.222759,0.903259
0.396268,0.017760,0.191494,0.004960,0.048066,0.000512,0.013984,0.000384,0.001472,0.105475,0.036385,0.058850,0.203846,0.884922
0.396492,0.017888,0.191206,0.004864,0.047425,0.000608,0.013729,0.000448,0.001472,0.123460,0.036641,0.057761,0.221159,0.902779
0.397003,0.017601,0.193606,0.004992,0.047329,0.000608,0.013601,0.000384,0.001504,0.102051,0.035201,0.057761,0.198118,0.881914
0.396684,0.017664,0.191782,0.004864,0.047841,0.000576,0.013601,0.000384,0.001472,0.104579,0.037473,0.063906,0.209158,0.890810
0.396300,0.017473,0.191525,0.004960,0.047586,0.000576,0.013536,0.000384,0.001440,0.100867,0.039041,0.062465,0.205190,0.885434
0.416653,0.017536,0.192326,0.004960,0.047073,0.000577,0.013568,0.000384,0.001472,0.104067,0.033057,0.059490,0.199558,0.900795
0.396396,0.017440,0.191846,0.004896,0.047010,0.000576,0.013504,0.000384,0.001408,0.100643,0.037313,0.059426,0.200454,0.880442
0.396460,0.017888,0.191718,0.004896,0.047841,0.000608,0.013921,0.000416,0.001504,0.108195,0.037537,0.062946,0.211750,0.895386
0.396876,0.017793,0.191813,0.004864,0.047170,0.000576,0.013728,0.000448,0.001472,0.123716,0.039553,0.066274,0.232807,0.914331
0.395916,0.017665,0.191685,0.004929,0.047105,0.000480,0.013728,0.000416,0.001441,0.102563,0.041441,0.062402,0.209318,0.890395
0.397996,0.017569,0.191653,0.005216,0.047138,0.000608,0.013568,0.000352,0.001376,0.105731,0.036418,0.059329,0.204582,0.887738
0.396204,0.017441,0.191365,0.004865,0.047105,0.000544,0.013536,0.000416,0.001473,0.103971,0.037473,0.060866,0.205542,0.886779
0.416652,0.018753,0.193702,0.005408,0.047777,0.000576,0.013633,0.000384,0.001568,0.113155,0.037537,0.064258,0.218278,0.923963
0.397515,0.017729,0.192870,0.004928,0.047905,0.000608,0.013505,0.000416,0.001408,0.105155,0.037793,0.062146,0.208518,0.892570
0.396620,0.017568,0.191718,0.004896,0.047106,0.000576,0.013504,0.000416,0.001472,0.105731,0.038081,0.060097,0.207014,0.887642
0.396588,0.017793,0.192421,0.004929,0.047041,0.000608,0.013472,0.000416,0.001440,0.122051,0.039809,0.064642,0.229798,0.912091
0.395852,0.017633,0.191717,0.004928,0.047106,0.000576,0.013472,0.000416,0.001440,0.100739,0.040098,0.066434,0.210215,0.889723
0.395980,0.017761,0.191589,0.004864,0.047266,0.000576,0.013504,0.000416,0.001536,0.109732,0.038657,0.059746,0.211399,0.892699
0.396683,0.017505,0.191526,0.004832,0.047073,0.000576,0.013441,0.000416,0.001408,0.121987,0.035841,0.061218,0.222182,0.902330
0.413516,0.017824,0.191782,0.004928,0.047105,0.000608,0.013537,0.000384,0.001472,0.104419,0.036929,0.064354,0.208902,0.907291
0.396268,0.017952,0.191622,0.005152,0.047585,0.000576,0.013792,0.000384,0.001504,0.109443,0.036449,0.060834,0.210022,0.891994
0.395948,0.017601,0.191909,0.004928,0.047138,0.000576,0.013504,0.000384,0.001504,0.107204,0.041153,0.062690,0.214151,0.894555
0.397771,0.017601,0.191622,0.004928,0.066946,0.000608,0.013952,0.000384,0.001472,0.113508,0.037761,0.060354,0.214727,0.919643
0.396108,0.017889,0.191333,0.004928,0.048226,0.000608,0.013504,0.000384,0.001472,0.106755,0.037346,0.062849,0.210022,0.891387
0.396363,0.017569,0.191782,0.004928,0.048225,0.000576,0.013537,0.000384,0.001472,0.103043,0.036609,0.060322,0.203110,0.884698
0.395115,0.017793,0.191526,0.004928,0.047009,0.000640,0.013505,0.000416,0.001440,0.105315,0.040833,0.061474,0.210662,0.889978
0.415500,0.017825,0.192101,0.004896,0.047170,0.000576,0.013472,0.000384,0.001472,0.100387,0.035073,0.060962,0.200678,0.900634
0.396364,0.017600,0.191621,0.004928,0.047106,0.000576,0.013472,0.000416,0.001504,0.106115,0.037858,0.060193,0.207142,0.888698
0.397131,0.017633,0.191366,0.004896,0.047041,0.000640,0.013440,0.000416,0.001440,0.103971,0.036993,0.063362,0.207494,0.888186
0.396267,0.017793,0.191718,0.004864,0.066370,0.000640,0.013664,0.000352,0.001408,0.104067,0.037601,0.061345,0.205766,0.906234
0.396299,0.017697,0.191974,0.004928,0.047745,0.000640,0.013665,0.000384,0.001440,0.113731,0.039617,0.061410,0.218118,0.901467
0.396172,0.017729,0.191685,0.004864,0.047042,0.000608,0.013472,0.000416,0.001440,0.106884,0.037025,0.065250,0.212295,0.892507
0.396684,0.017536,0.191494,0.005472,0.047265,0.000544,0.013600,0.000416,0.001504,0.106627,0.039297,0.058658,0.208102,0.889978
0.412812,0.017536,0.191334,0.004960,0.047074,0.000576,0.013536,0.000384,0.001376,0.132996,0.042881,0.064354,0.243367,0.940155
0.396043,0.017633,0.191013,0.004896,0.046977,0.000576,0.013440,0.000353,0.001440,0.106787,0.035937,0.061634,0.207238,0.886138
0.395403,0.017504,0.191206,0.004896,0.047073,0.000544,0.013409,0.000384,0.001408,0.103907,0.036705,0.062722,0.206310,0.885530
0.396460,0.017696,0.211366,0.005057,0.048065,0.000608,0.013504,0.000416,0.001472,0.104419,0.041249,0.062754,0.211270,0.912987
0.396300,0.017537,0.191173,0.004865,0.047073,0.000640,0.013952,0.000352,0.001408,0.105380,0.037025,0.060194,0.205575,0.887355
0.396331,0.017505,0.191206,0.004928,0.047137,0.000544,0.013473,0.000416,0.001408,0.101923,0.036641,0.061602,0.203334,0.882906
0.397516,0.017760,0.191142,0.004928,0.047073,0.000577,0.013408,0.000416,0.001472,0.099907,0.035969,0.058434,0.197382,0.879066
0.427021,0.017664,0.191974,0.005344,0.047106,0.000576,0.013472,0.000416,0.001504,0.112035,0.036417,0.063170,0.214822,0.928667
0.395596,0.017857,0.191525,0.004961,0.047137,0.000608,0.013504,0.000384,0.001408,0.110756,0.036609,0.061314,0.211687,0.891643
0.396491,0.017792,0.191974,0.004864,0.047393,0.000576,0.013793,0.000320,0.001568,0.105731,0.038433,0.060098,0.207558,0.890682
0.395724,0.017601,0.210406,0.005184,0.047105,0.000576,0.013697,0.000352,0.001472,0.103555,0.033185,0.059650,0.199366,0.899515
0.396524,0.017440,0.191366,0.005024,0.047138,0.000576,0.013472,0.000352,0.001504,0.103139,0.034017,0.059938,0.200166,0.880026
0.395852,0.017472,0.191174,0.004864,0.047329,0.000608,0.013537,0.000384,0.001408,0.105795,0.032385,0.064450,0.205734,0.885338
0.395884,0.017537,0.191301,0.004864,0.047074,0.000640,0.013536,0.000352,0.001472,0.107811,0.036802,0.060673,0.208326,0.888122
0.414732,0.017920,0.191142,0.005248,0.047585,0.000608,0.013537,0.000416,0.001472,0.112099,0.032897,0.058658,0.207046,0.909275
0.396300,0.017697,0.191557,0.005025,0.047137,0.000576,0.013504,0.000384,0.001505,0.112259,0.043297,0.063010,0.221542,0.901979
0.395788,0.017793,0.191461,0.004928,0.046978,0.000576,0.013440,0.000384,0.001440,0.108612,0.036449,0.064898,0.212807,0.892539
0.396779,0.017792,0.211334,0.005345,0.047137,0.000608,0.013472,0.000448,0.001504,0.113859,0.037185,0.060674,0.214694,0.918203
0.397963,0.018017,0.192422,0.005120,0.048737,0.000800,0.013665,0.000608,0.001728,0.133028,0.036737,0.060866,0.233767,0.923035
0.397452,0.018081,0.192805,0.004992,0.050978,0.000800,0.015008,0.000640,0.001664,0.110052,0.037345,0.059778,0.210375,0.901307
0.396300,0.017825,0.191493,0.004897,0.048545,0.000640,0.013856,0.000416,0.001505,0.111203,0.036449,0.063426,0.214214,0.897147
0.395915,0.017633,0.191333,0.004865,0.048097,0.000608,0.013504,0.000384,0.001536,0.106819,0.032545,0.058369,0.200997,0.881819
0.397740,0.017632,0.191494,0.004896,0.048258,0.000544,0.013632,0.000352,0.001504,0.106499,0.037857,0.065666,0.213286,0.896602
0.396299,0.017857,0.191813,0.004865,0.047841,0.000608,0.013569,0.000352,0.001440,0.111779,0.041953,0.062466,0.219590,0.901627
0.395948,0.017696,0.211495,0.004960,0.047745,0.000608,0.013473,0.000416,0.001568,0.106851,0.038081,0.063074,0.211014,0.912763
0.396940,0.017921,0.191781,0.004960,0.047682,0.000544,0.013472,0.000416,0.001600,0.109828,0.034401,0.061313,0.208871,0.891227
0.396396,0.017824,0.191974,0.004928,0.047329,0.000576,0.013568,0.000416,0.001792,0.107843,0.035841,0.059842,0.206630,0.888346
0.396524,0.017729,0.191621,0.005153,0.047297,0.000576,0.013632,0.000448,0.001665,0.112515,0.040769,0.062754,0.219334,0.902331
0.395755,0.017857,0.192166,0.004864,0.047585,0.000608,0.013697,0.000416,0.001440,0.107459,0.036641,0.061762,0.208870,0.890426
0.397100,0.017857,0.192037,0.005280,0.047970,0.000608,0.014112,0.000384,0.001536,0.110660,0.041281,0.063106,0.218439,0.903355
0.396076,0.017600,0.191590,0.004896,0.048449,0.000576,0.013825,0.000416,0.001504,0.104131,0.037569,0.059618,0.204742,0.886714
0.397515,0.036577,0.191878,0.004896,0.049122,0.000608,0.013696,0.000416,0.001536,0.105475,0.037666,0.061153,0.207334,0.910682
0.395692,0.017889,0.191749,0.004896,0.048002,0.000576,0.013568,0.000416,0.001472,0.104132,0.042785,0.060610,0.210439,0.891451
0.395980,0.017537,0.191397,0.004897,0.048257,0.000576,0.013760,0.000416,0.001536,0.105251,0.036961,0.058113,0.203590,0.884859
0.396460,0.017761,0.191621,0.004992,0.047170,0.000576,0.013440,0.000384,0.001536,0.102787,0.037282,0.060289,0.203366,0.883706
0.395820,0.017824,0.191110,0.004864,0.047010,0.000576,0.013472,0.000352,0.001600,0.100803,0.032321,0.058050,0.194150,0.873850
0.395916,0.017857,0.191077,0.004897,0.047073,0.000608,0.013472,0.000416,0.001472,0.097634,0.035937,0.056962,0.193414,0.872666
0.396236,0.017824,0.191878,0.004896,0.047297,0.000608,0.013569,0.000384,0.001472,0.105347,0.037185,0.060066,0.205574,0.886810
0.396012,0.017920,0.206694,0.004960,0.047682,0.000640,0.013568,0.000576,0.001472,0.109764,0.036321,0.060098,0.209255,0.906171
0.396651,0.017856,0.191686,0.005248,0.047777,0.000608,0.013569,0.000416,0.001536,0.110851,0.037729,0.063394,0.215430,0.899098
0.397132,0.017824,0.191526,0.005280,0.047970,0.000640,0.014016,0.000384,0.001504,0.099011,0.039105,0.058914,0.200166,0.883162
0.395948,0.018048,0.192006,0.005280,0.049729,0.000576,0.013761,0.000416,0.001472,0.103779,0.037345,0.063458,0.207334,0.890522
0.395724,0.017985,0.191813,0.005313,0.047841,0.000576,0.013440,0.000384,0.001472,0.101635,0.036802,0.061057,0.202438,0.883162
0.396620,0.017536,0.191878,0.005280,0.047458,0.000608,0.013472,0.000384,0.001472,0.106115,0.037601,0.059778,0.206470,0.888346
0.396652,0.018016,0.191718,0.004896,0.047138,0.000608,0.013472,0.000384,0.001408,0.101123,0.038145,0.059746,0.201702,0.881850
0.396204,0.017824,0.208487,0.005056,0.047617,0.000608,0.013473,0.000352,0.001376,0.104739,0.041889,0.062594,0.212038,0.910331
0.397483,0.017665,0.191366,0.004896,0.047745,0.000608,0.013473,0.000416,0.001440,0.103907,0.040097,0.062114,0.208998,0.891034
0.395947,0.017504,0.191398,0.004928,0.047905,0.000576,0.013505,0.000416,0.001472,0.102787,0.032417,0.056962,0.195174,0.875642
0.396236,0.017633,0.191269,0.004896,0.047490,0.000576,0.013440,0.000416,0.001504,0.099299,0.035873,0.058082,0.196614,0.877050
0.412812,0.017889,0.191590,0.004928,0.047425,0.000576,0.013729,0.000384,0.001440,0.103075,0.036801,0.061218,0.203942,0.901563
0.396300,0.017825,0.191333,0.004865,0.047105,0.000640,0.013440,0.000384,0.001472,0.103524,0.039233,0.059297,0.205095,0.884987
0.396396,0.017856,0.191366,0.004864,0.047042,0.000640,0.013472,0.000416,0.001472,0.100739,0.039265,0.063074,0.206118,0.886650
0.396716,0.017632,0.191366,0.004928,0.047010,0.000576,0.013440,0.000352,0.001472,0.126020,0.037569,0.063266,0.229767,0.909819
0.396460,0.017793,0.191621,0.004897,0.047041,0.000608,0.013760,0.000673,0.001472,0.108483,0.035841,0.059810,0.207206,0.888635
0.396652,0.017664,0.191142,0.004896,0.046913,0.000608,0.013441,0.000416,0.001472,0.100867,0.037473,0.065282,0.206470,0.886298
0.396523,0.017856,0.191846,0.004896,0.047105,0.000576,0.013473,0.000416,0.001472,0.104195,0.042049,0.064898,0.214086,0.895194
0.424684,0.017760,0.192134,0.005344,0.047105,0.000544,0.013473,0.000416,0.001504,0.104291,0.038433,0.063522,0.209926,0.919899
0.396460,0.017856,0.191014,0.004896,0.047042,0.000576,0.013536,0.000384,0.001408,0.101475,0.037313,0.067490,0.209222,0.888986
0.396940,0.017600,0.192134,0.004896,0.047137,0.000608,0.013569,0.000384,0.001408,0.098563,0.037377,0.066786,0.205926,0.887674
0.398380,0.017664,0.192006,0.004864,0.047617,0.000608,0.013569,0.000416,0.001504,0.126692,0.044321,0.064130,0.238695,0.921435
0.396907,0.017824,0.191750,0.004928,0.047009,0.000576,0.013505,0.000416,0.001440,0.099683,0.037761,0.061346,0.201670,0.882426
