Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-9],OUT[9],TEE[9-9],Layer[10],classifier
0.508131,0.017921,0.207553,0.004864,0.046848,0.000800,0.013568,0.000384,0.001504,0.090464,0.040352,0.058849,0.193217,0.000864,1.003879
0.418947,0.017472,0.203457,0.004864,0.047393,0.000800,0.013824,0.000384,0.001408,0.101024,0.036353,0.059968,0.200225,0.000832,0.916486
0.417347,0.017216,0.203201,0.004864,0.048289,0.000576,0.014368,0.000384,0.001504,0.101633,0.037472,0.058080,0.200097,0.000832,0.915718
0.437059,0.017312,0.203682,0.004864,0.048512,0.000576,0.014176,0.000384,0.001472,0.103585,0.031392,0.056225,0.194370,0.000736,0.930119
0.416483,0.017344,0.203297,0.004832,0.048289,0.000576,0.014336,0.000384,0.001472,0.099264,0.038081,0.058400,0.198913,0.000736,0.913350
0.415747,0.017760,0.202817,0.004864,0.049761,0.000576,0.014336,0.000352,0.001504,0.105729,0.037280,0.059584,0.205761,0.000736,0.921574
0.415171,0.017280,0.204034,0.004896,0.048960,0.000576,0.014368,0.000352,0.001440,0.119457,0.035680,0.066465,0.224674,0.000992,0.939431
0.415203,0.017344,0.203233,0.004896,0.048673,0.000576,0.013824,0.000384,0.001408,0.096353,0.034464,0.056576,0.190529,0.000704,0.903686
0.415299,0.017280,0.202786,0.004864,0.048032,0.000576,0.013664,0.000384,0.001440,0.101185,0.042592,0.060897,0.207586,0.000512,0.919015
0.416195,0.017312,0.202946,0.004896,0.047552,0.000576,0.013888,0.000384,0.001408,0.100929,0.037696,0.058881,0.200674,0.000672,0.913511
0.431748,0.017472,0.203265,0.004864,0.047649,0.000576,0.013440,0.000384,0.001440,0.130689,0.038592,0.058208,0.230433,0.000640,0.958663
0.415715,0.017408,0.202818,0.004896,0.047328,0.000576,0.013440,0.000384,0.001376,0.099265,0.032288,0.079873,0.214690,0.000672,0.926631
0.416707,0.017312,0.203393,0.004832,0.047169,0.000576,0.013568,0.000416,0.001472,0.099872,0.032321,0.056512,0.191649,0.000608,0.904518
0.415907,0.017216,0.225665,0.005057,0.046912,0.000576,0.013376,0.000384,0.001408,0.105569,0.036416,0.057952,0.202657,0.000448,0.936998
0.415779,0.017440,0.203074,0.004928,0.047776,0.000576,0.013632,0.000384,0.001408,0.102305,0.037056,0.057825,0.200450,0.000608,0.912935
0.415523,0.017472,0.202689,0.004864,0.048545,0.000608,0.013568,0.000416,0.001472,0.104832,0.036769,0.059296,0.204001,0.000704,0.917094
0.416035,0.017376,0.202529,0.004897,0.047616,0.000608,0.013440,0.000384,0.001440,0.104993,0.031840,0.056096,0.195809,0.000512,0.907590
0.432931,0.017088,0.203010,0.004896,0.048192,0.000576,0.013440,0.000384,0.001408,0.101185,0.037152,0.058753,0.200322,0.000768,0.930055
0.415619,0.017280,0.202913,0.004832,0.048385,0.000608,0.013472,0.000608,0.001504,0.106848,0.038497,0.057952,0.206689,0.000544,0.919942
0.415811,0.017312,0.202786,0.004960,0.047744,0.000576,0.013504,0.000384,0.001408,0.104385,0.037248,0.057504,0.203073,0.000576,0.915143
0.416611,0.017312,0.226050,0.005216,0.048384,0.000576,0.013409,0.000384,0.001664,0.101760,0.037409,0.058400,0.200481,0.000512,0.938183
0.415875,0.017280,0.203201,0.004928,0.049153,0.000576,0.013504,0.000416,0.001440,0.098785,0.036352,0.057056,0.195393,0.000512,0.909510
0.416163,0.017344,0.202594,0.004928,0.049408,0.000576,0.014048,0.000384,0.001408,0.102945,0.038464,0.057665,0.202082,0.000448,0.916039
0.415363,0.017344,0.203010,0.004896,0.048736,0.000608,0.013760,0.000384,0.001472,0.109793,0.037632,0.059521,0.210338,0.000544,0.923719
0.416611,0.017473,0.202945,0.004864,0.049856,0.000576,0.013953,0.000448,0.001440,0.107264,0.036097,0.059104,0.205569,0.000704,0.921831
0.415363,0.017280,0.203233,0.004832,0.050465,0.000608,0.014432,0.000608,0.001504,0.134049,0.040832,0.058593,0.236866,0.000736,0.953479
0.416003,0.017537,0.203329,0.004928,0.048832,0.000576,0.013888,0.000416,0.001472,0.106593,0.032224,0.056448,0.198466,0.000544,0.912839
0.434467,0.017920,0.203137,0.004896,0.049665,0.000544,0.013632,0.000320,0.001440,0.105793,0.034240,0.057664,0.200705,0.000704,0.934534
0.415523,0.017952,0.203842,0.004864,0.048416,0.000608,0.013920,0.000384,0.001440,0.100417,0.037472,0.058657,0.199586,0.000448,0.913735
0.415395,0.017632,0.202818,0.004896,0.048320,0.000576,0.013600,0.000384,0.001440,0.095905,0.035232,0.057537,0.191554,0.000512,0.904135
0.415811,0.017504,0.202945,0.004896,0.048961,0.000576,0.013664,0.000352,0.001472,0.103073,0.037472,0.059616,0.203073,0.000544,0.916838
0.416131,0.017664,0.202850,0.004832,0.049184,0.000576,0.013632,0.000384,0.001408,0.103841,0.032512,0.056961,0.196642,0.000672,0.911687
0.415971,0.017409,0.203265,0.004800,0.048128,0.000576,0.013473,0.000416,0.001408,0.104384,0.035265,0.059488,0.202049,0.000512,0.915079
0.416003,0.017248,0.204993,0.004896,0.047713,0.000608,0.013408,0.000352,0.001440,0.105633,0.036544,0.058592,0.203873,0.000512,0.918406
0.432675,0.017344,0.203490,0.004896,0.047808,0.000608,0.013408,0.000416,0.001472,0.105345,0.034816,0.057697,0.200770,0.000544,0.930759
0.415971,0.017248,0.202977,0.004928,0.049089,0.000576,0.013440,0.000384,0.001440,0.105249,0.036256,0.064544,0.209025,0.000480,0.922950
0.416515,0.017440,0.203042,0.004832,0.048864,0.000576,0.013312,0.000416,0.001440,0.101761,0.037280,0.058817,0.200546,0.000576,0.914503
0.416099,0.017408,0.202754,0.004864,0.047264,0.000576,0.013312,0.000352,0.001504,0.124833,0.044545,0.070784,0.243842,0.000672,0.955975
