Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.507981,0.018016,0.195781,0.004832,0.047234,0.000832,0.013536,0.000384,0.001440,0.012833,0.000576,0.811350
0.820342,0.036225,0.398538,0.010273,0.097890,0.001504,0.028097,0.000768,0.003104,0.002912,0.000864,1.417030
0.416363,0.017921,0.193573,0.005152,0.047585,0.000800,0.013825,0.000352,0.001632,0.001824,0.000320,0.708531
0.447084,0.018016,0.193382,0.005280,0.047841,0.000864,0.013793,0.000384,0.001568,0.001344,0.000416,0.738804
0.511309,0.022689,0.244711,0.006688,0.060065,0.000896,0.017409,0.000544,0.001888,0.001248,0.000480,0.878071
0.621776,0.027329,0.301960,0.008000,0.074370,0.001056,0.021505,0.000576,0.002304,0.001664,0.000544,1.072893
0.848343,0.036545,0.397195,0.010208,0.097091,0.001216,0.028129,0.000704,0.002912,0.001792,0.000704,1.437863
0.818486,0.036257,0.397131,0.010208,0.098051,0.001248,0.028000,0.000736,0.002880,0.002272,0.000800,1.411366
0.860855,0.036129,0.398091,0.010208,0.097187,0.001280,0.027872,0.000736,0.003040,0.002560,0.000768,1.452775
0.402955,0.018336,0.197030,0.005184,0.048769,0.001120,0.013824,0.000352,0.002145,0.002816,0.000576,0.702451
