INFER[0-0],INFER[0-10],INFER[0-1],INFER[0-2],INFER[0-3],INFER[0-4],INFER[0-5],INFER[0-6],INFER[0-7],INFER[0-8],INFER[0-9],INFER[1-10],INFER[1-1],INFER[1-2],INFER[1-3],INFER[1-4],INFER[1-5],INFER[1-6],INFER[1-7],INFER[1-8],INFER[1-9],INFER[10-10],INFER[2-10],INFER[2-2],INFER[2-3],INFER[2-4],INFER[2-5],INFER[2-6],INFER[2-7],INFER[2-8],INFER[2-9],INFER[3-10],INFER[3-3],INFER[3-4],INFER[3-5],INFER[3-6],INFER[3-7],INFER[3-8],INFER[3-9],INFER[4-10],INFER[4-4],INFER[4-5],INFER[4-6],INFER[4-7],INFER[4-8],INFER[4-9],INFER[5-10],INFER[5-5],INFER[5-6],INFER[5-7],INFER[5-8],INFER[5-9],INFER[6-10],INFER[6-6],INFER[6-7],INFER[6-8],INFER[6-9],INFER[7-10],INFER[7-7],INFER[7-8],INFER[7-9],INFER[8-10],INFER[8-8],INFER[8-9],INFER[9-10],INFER[9-9],IN[0],IN[10],IN[1],IN[2],IN[3],IN[4],IN[5],IN[6],IN[7],IN[8],IN[9],Layer[0],Layer[10],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],OUT[0],OUT[10],OUT[1],OUT[2],OUT[3],OUT[4],OUT[5],OUT[6],OUT[7],OUT[8],OUT[9],TEE[0-0],TEE[0-10],TEE[0-1],TEE[0-2],TEE[0-3],TEE[0-4],TEE[0-5],TEE[0-6],TEE[0-7],TEE[0-8],TEE[0-9],TEE[1-10],TEE[1-1],TEE[1-2],TEE[1-3],TEE[1-4],TEE[1-5],TEE[1-6],TEE[1-7],TEE[1-8],TEE[1-9],TEE[10-10],TEE[2-10],TEE[2-2],TEE[2-3],TEE[2-4],TEE[2-5],TEE[2-6],TEE[2-7],TEE[2-8],TEE[2-9],TEE[3-10],TEE[3-3],TEE[3-4],TEE[3-5],TEE[3-6],TEE[3-7],TEE[3-8],TEE[3-9],TEE[4-10],TEE[4-4],TEE[4-5],TEE[4-6],TEE[4-7],TEE[4-8],TEE[4-9],TEE[5-10],TEE[5-5],TEE[5-6],TEE[5-7],TEE[5-8],TEE[5-9],TEE[6-10],TEE[6-6],TEE[6-7],TEE[6-8],TEE[6-9],TEE[7-10],TEE[7-7],TEE[7-8],TEE[7-9],TEE[8-10],TEE[8-8],TEE[8-9],TEE[9-10],TEE[9-9],classifier,source
8.552208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074821,,,,,,,,,,,,0.0005769999999999999,0.018369,0.260402,0.004897,0.048643,0.0008,0.013409,0.00041600000000000003,0.001504,0.002784,0.125097,,,,,,,,,,,8.757726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.115416,output_pp0-0_1016_1204
1.040808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.120201,,,,,,,,,,,,0.000384,0.024097,0.210351,0.0048,0.047268,0.000576,0.013472999999999999,0.00041600000000000003,0.001536,0.001184,0.080966,,,,,,,,,,,1.247223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.556684,output_pp0-0_1016_1204
1.066218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111687,,,,,,,,,,,,0.000384,0.017761000000000002,0.21003000000000002,0.005313,0.048547,0.0008320000000000001,0.014112999999999999,0.00044800000000000005,0.00144,0.001889,0.097222,,,,,,,,,,,1.2822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.588462,output_pp0-0_1016_1204
1.0441040000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106152,,,,,,,,,,,,0.000384,0.018306,0.21012600000000003,0.004801,0.048291,0.0008,0.013761,0.000384,0.00144,0.001184,0.087782,,,,,,,,,,,1.243926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.548715,output_pp0-0_1016_1204
1.061417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106919,,,,,,,,,,,,0.000384,0.021025,0.209775,0.005312,0.048067,0.0008,0.013761,0.00041600000000000003,0.0014730000000000001,0.001568,0.118504,,,,,,,,,,,1.293593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.601615,output_pp0-0_1016_1204
1.047976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106023,,,,,,,,,,,,0.00044800000000000005,0.017569,0.20983800000000002,0.005408,0.047715,0.000768,0.013985,0.00041600000000000003,0.001504,0.001281,0.089607,,,,,,,,,,,1.249815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.554348,output_pp0-0_1016_1204
1.064714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10547999999999999,,,,,,,,,,,,0.000384,0.017633000000000003,0.20974299999999999,0.004864,0.047938999999999996,0.0008,0.013857,0.00041600000000000003,0.001504,0.001248,0.11776800000000001,,,,,,,,,,,1.294234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.597775,output_pp0-0_1016_1204
1.041608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106951,,,,,,,,,,,,0.00041600000000000003,0.017634,0.20939000000000002,0.004864,0.048036,0.000608,0.013472999999999999,0.00041600000000000003,0.00144,0.001472,0.09805499999999999,,,,,,,,,,,1.252022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5553709999999998,output_pp0-0_1016_1204
1.0428879999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113704,,,,,,,,,,,,0.000384,0.021089,0.22907199999999997,0.004961,0.048770999999999995,0.000608,0.013985,0.000384,0.001504,0.001536,0.087622,,,,,,,,,,,1.252183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58059,output_pp0-0_1016_1204
1.046504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13639400000000002,,,,,,,,,,,,0.00041600000000000003,0.017601,0.20951799999999998,0.005184,0.048068,0.0008,0.013696999999999999,0.00041600000000000003,0.001472,0.00128,0.098951,,,,,,,,,,,1.287769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5918860000000001,output_pp0-0_1016_1204
